Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,totalCashflowsFromInvestingActivities,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,priceHint,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,exchange,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,ELEK,68104699,66520900,,,1836325,,1435759,559682,2644099,1605335,1605335,,,,,,400566,3780987,2175652,1136888,230990,,1435759,1435759,41581497,19594112,68104699,4654123,87698811,66521,3503376,31911577,4598411,-5454896,6076180,22779456,14995701,777374,-5454896,53963446,27659185,1037182,22620,84853,-285067.0,-1510.0,-1510.0,560468.0,2801582.0,-504826.0,3307918.0,1106030.0,-2899.0,510972.0,24958.0,,,,,12663484,en-US,US,EQUITY,False,Delayed Quote,0.0,1.11 - 1.11,1.11,finmb_226568230,Other OTC,Elektros Inc.,USD,3,0,0.110000014,0.110000014,1.0 - 3.1,-1.9899999,-0.64193547,1.0,3.1,USD,4,1.1791667,-0.06916666,-0.058657236,1.9167391,-0.8067391,-0.42089143,192621616,15,America/New_York,EDT,-14400000,PNK,0,False,False,1.11,1627922855,0.0,1.11,1.11,1.11,75,ELEKTROS INC,us_market,REGULAR,0.24,,,3.1,1.0,1.1792,1.9167,3,,66.52M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Nov 29, 2018",0.00%,0.00%,,,,,37.00%,,,-26.22k,,13.40%,22.78M,0.34,10.11M,14.84,0.91,,,,Value,33160,Consumer Cyclical,"Elektros Inc. engages in the motor vehicles and passenger car bodies business. The company was incorporated in 2020 and is based in Sunny Isles Beach, Florida.",Sunny Isles Beach,347 301 8431,FL,1546214400,United States,86400,16950 North Bay Road,Auto Manufacturers,Suite 1803
t-1,ELEK,67936331,66520900,,,1805899,,1417954,585382,2636369,1554960,1554960,,,,,,387945,3807049,2252089,1170680,250939,,1417954,1417954,41581497,20230721,67936331,5068301,88167052,66521,3958335,30475819,4684160,-4187506,6243677,19977874,15546561,815907,-4187506,56057135,25866240,1420125,20422,84188,-48802.0,30400.0,30400.0,13159.0,2418867.0,-1272054.0,3660521.0,1146432.0,15295.0,1157182.0,-43775.0,,,,,10319679,en-US,US,EQUITY,False,Delayed Quote,0.0,1.11 - 1.11,1.11,finmb_226568230,Other OTC,Elektros Inc.,USD,3,0,0.110000014,0.110000014,1.0 - 3.1,-1.9899999,-0.64193547,1.0,3.1,USD,4,1.1791667,-0.06916666,-0.058657236,1.9167391,-0.8067391,-0.42089143,192621616,15,America/New_York,EDT,-14400000,PNK,0,False,False,1.11,1627922855,0.0,1.11,1.11,1.11,75,ELEKTROS INC,us_market,REGULAR,0.24,,,3.1,1.0,1.1792,1.9167,3,,66.52M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Nov 29, 2018",0.00%,0.00%,,,,,37.00%,,,-26.22k,,13.40%,22.78M,0.34,10.11M,14.84,0.91,,,,Value,33160,Consumer Cyclical,"Elektros Inc. engages in the motor vehicles and passenger car bodies business. The company was incorporated in 2020 and is based in Sunny Isles Beach, Florida.",Sunny Isles Beach,347 301 8431,FL,1546214400,United States,86400,16950 North Bay Road,Auto Manufacturers,Suite 1803
t-2,ELEK,70957891,66520900,-999276.0,,1696934,,1300619,1774156,2712033,1415776,1415776,,,,,,396315,3935390,2519614,1223357,281158,,1300619,1300619,41581497,21537663,70957891,4485293,92495554,66521,4615812,29057865,4991680,252008,6640192,17559007,16545983,823949,252008,60897444,24957918,2607798,37669,1049776,351411.0,-80794.0,-73038.0,348786.0,3769520.0,35101.0,3705462.0,1192325.0,5407.0,564247.0,-58826.0,101995.0,141975.0,7756.0,-39980.0,8411935,en-US,US,EQUITY,False,Delayed Quote,0.0,1.11 - 1.11,1.11,finmb_226568230,Other OTC,Elektros Inc.,USD,3,0,0.110000014,0.110000014,1.0 - 3.1,-1.9899999,-0.64193547,1.0,3.1,USD,4,1.1791667,-0.06916666,-0.058657236,1.9167391,-0.8067391,-0.42089143,192621616,15,America/New_York,EDT,-14400000,PNK,0,False,False,1.11,1627922855,0.0,1.11,1.11,1.11,75,ELEKTROS INC,us_market,REGULAR,0.24,,,3.1,1.0,1.1792,1.9167,3,,66.52M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Nov 29, 2018",0.00%,0.00%,,,,,37.00%,,,-26.22k,,13.40%,22.78M,0.34,10.11M,14.84,0.91,,,,Value,33160,Consumer Cyclical,"Elektros Inc. engages in the motor vehicles and passenger car bodies business. The company was incorporated in 2020 and is based in Sunny Isles Beach, Florida.",Sunny Isles Beach,347 301 8431,FL,1546214400,United States,86400,16950 North Bay Road,Auto Manufacturers,Suite 1803
t-3,ELEK,70558980,66520900,374841.0,,1241875,,1062343,617789,2454251,949923,949923,,,,,,179532,2890431,1940508,436180,291952,,1062343,1062343,41581497,21570345,70558980,4278796,92129325,66521,5229793,27757247,5055488,1153715,6702756,13789487,16514857,779620,1153715,62851582,22574987,3191936,44195,1105230,-807059.0,-7544217.0,-7535644.0,33544.0,-5656148.0,574758.0,1348925.0,971096.0,-13639.0,703595.0,-257143.0,-44187.0,141975.0,8573.0,-44187.0,6060130,en-US,US,EQUITY,False,Delayed Quote,0.0,1.11 - 1.11,1.11,finmb_226568230,Other OTC,Elektros Inc.,USD,3,0,0.110000014,0.110000014,1.0 - 3.1,-1.9899999,-0.64193547,1.0,3.1,USD,4,1.1791667,-0.06916666,-0.058657236,1.9167391,-0.8067391,-0.42089143,192621616,15,America/New_York,EDT,-14400000,PNK,0,False,False,1.11,1627922855,0.0,1.11,1.11,1.11,75,ELEKTROS INC,us_market,REGULAR,0.24,,,3.1,1.0,1.1792,1.9167,3,,66.52M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Nov 29, 2018",0.00%,0.00%,,,,,37.00%,,,-26.22k,,13.40%,22.78M,0.34,10.11M,14.84,0.91,,,,Value,33160,Consumer Cyclical,"Elektros Inc. engages in the motor vehicles and passenger car bodies business. The company was incorporated in 2020 and is based in Sunny Isles Beach, Florida.",Sunny Isles Beach,347 301 8431,FL,1546214400,United States,86400,16950 North Bay Road,Auto Manufacturers,Suite 1803
