Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,exchangeDataDelayedBy,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DLTNF,27865196.0,102085000,,,-3999981,1596038,-4289627,5694455,2951695,-3244130,-3244130,,-848281,,,,0,13227540,16471670,10275845,-755851,,-3999981,-4289627,184415.0,5659828.0,44590423.0,28789053.0,1100981.0,74975514.0,62349195.0,1168895.0,-21402231.0,1111440.0,739442.0,-17817739.0,499011.0,4583563.0,16921063.0,2339798.0,-17817739.0,41579986.0,31439327.0,533333.0,5077005.0,23062024.0,20578619.0,2173540.0,885846.0,1034194.0,-510375.0,-623577.0,-646547.0,-1634488.0,-3493874.0,-2336952.0,1518888.0,-1149277.0,184181.0,-22970.0,1999177.0,-1396221.0,,14518264.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.33141667,-0.03241667,-0.09781244,0.40169564,-0.102695644,-0.25565535,30523414,15,America/New_York,EDT,-14400000,False,False,0.299,1630503002,-0.017199993,0.299,0.299,0.299,2801,REGULAR,PNK,4,-5.4395933,0.299 - 0.299,0.3162,finmb_421953401,Other OTC,Delta 9 Cannabis Inc.,CAD,16650,7383,0.00999999,0.034602042,0.289 - 0.594,-0.295,-0.496633,0.289,0.594,1617193800,1617193800,1617193800,0,DELTA 9 CANNABIS INC,0.76,,,0.594,0.289,0.3314,0.4017,16.65k,7.38k,102.08M,,66.51M,36.01%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-23.84%,-16.54%,-7.53%,-35.06%,53.52M,0.58,12.50%,18M,-4.34M,-12.76M,,,4.58M,0.05,36.03M,118.58,1.86,,-2.37M,-2.6M,Value,R3L 2V9,Healthcare,192,"Delta 9 Cannabis Inc. operates as an integrated cannabis company. The company, through its subsidiary, Delta 9 Bio-Tech Inc., engages in the cultivation, processing, extraction, wholesale distribution, retail, and sale of medical and recreational cannabis and related merchandise and devices. As of April 14, 2021, it owned and operated 12 retail stores under the Delta 9 Cannabis Store brand. Delta 9 Cannabis Inc. was founded in 2012 and is headquartered in Winnipeg, Canada.",Winnipeg,855 245 1259,MB,1609372800,Canada,http://www.delta9.ca,86400,P.O. Box 68096,Drug Manufacturers—Specialty & Generic,Osborne Village
t-1,DLTNF,31166966.0,102085000,,,-3155707,926896,-3666833,3659089,1637900,-2374987,-2374987,,-862658,,,,401015,14149717,16524704,12511817,-780720,,-3556722,-3666833,177056.0,5158458.0,43466084.0,32008464.0,962338.0,76401444.0,62274195.0,635716.0,-17112604.0,1167256.0,664442.0,-18311585.0,512027.0,8077437.0,15769957.0,2109872.0,-18311585.0,41600617.0,32521969.0,925333.0,5268950.0,22925448.0,18532157.0,1852596.0,885846.0,2058385.0,-1144128.0,-2529410.0,2430586.0,178619.0,853613.0,-432845.0,1426088.0,-4037358.0,925137.0,-790004.0,2253071.0,-964613.0,5750000.0,16752012.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.33141667,-0.03241667,-0.09781244,0.40169564,-0.102695644,-0.25565535,30523414,15,America/New_York,EDT,-14400000,False,False,0.299,1630503002,-0.017199993,0.299,0.299,0.299,2801,REGULAR,PNK,4,-5.4395933,0.299 - 0.299,0.3162,finmb_421953401,Other OTC,Delta 9 Cannabis Inc.,CAD,16650,7383,0.00999999,0.034602042,0.289 - 0.594,-0.295,-0.496633,0.289,0.594,1617193800,1617193800,1617193800,0,DELTA 9 CANNABIS INC,0.76,,,0.594,0.289,0.3314,0.4017,16.65k,7.38k,102.08M,,66.51M,36.01%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-23.84%,-16.54%,-7.53%,-35.06%,53.52M,0.58,12.50%,18M,-4.34M,-12.76M,,,4.58M,0.05,36.03M,118.58,1.86,,-2.37M,-2.6M,Value,R3L 2V9,Healthcare,192,"Delta 9 Cannabis Inc. operates as an integrated cannabis company. The company, through its subsidiary, Delta 9 Bio-Tech Inc., engages in the cultivation, processing, extraction, wholesale distribution, retail, and sale of medical and recreational cannabis and related merchandise and devices. As of April 14, 2021, it owned and operated 12 retail stores under the Delta 9 Cannabis Store brand. Delta 9 Cannabis Inc. was founded in 2012 and is headquartered in Winnipeg, Canada.",Winnipeg,855 245 1259,MB,1609372800,Canada,http://www.delta9.ca,86400,P.O. Box 68096,Drug Manufacturers—Specialty & Generic,Osborne Village
t-2,DLTNF,32656693.0,102085000,,,-5549181,816785,-5845766,5800524,1623595,-4953634,-4953634,,-801088,,,,0,13130320,18083954,11506725,-595547,,-5549181,-5845766,185936.0,5477898.0,43710393.0,32959072.0,721488.0,77486250.0,56003690.0,713093.0,-10141953.0,1257445.0,116443.0,-18380563.0,,7223824.0,9592819.0,3144707.0,-18380563.0,40948883.0,35197655.0,1037333.0,6078400.0,23574352.0,21182338.0,1272554.0,885846.0,86487.0,-620822.0,4277536.0,3857591.0,-720004.0,1207151.0,-2029618.0,1364191.0,-1091482.0,-1220160.0,-419945.0,5397115.0,-620822.0,5750000.0,25604836.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.33141667,-0.03241667,-0.09781244,0.40169564,-0.102695644,-0.25565535,30523414,15,America/New_York,EDT,-14400000,False,False,0.299,1630503002,-0.017199993,0.299,0.299,0.299,2801,REGULAR,PNK,4,-5.4395933,0.299 - 0.299,0.3162,finmb_421953401,Other OTC,Delta 9 Cannabis Inc.,CAD,16650,7383,0.00999999,0.034602042,0.289 - 0.594,-0.295,-0.496633,0.289,0.594,1617193800,1617193800,1617193800,0,DELTA 9 CANNABIS INC,0.76,,,0.594,0.289,0.3314,0.4017,16.65k,7.38k,102.08M,,66.51M,36.01%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-23.84%,-16.54%,-7.53%,-35.06%,53.52M,0.58,12.50%,18M,-4.34M,-12.76M,,,4.58M,0.05,36.03M,118.58,1.86,,-2.37M,-2.6M,Value,R3L 2V9,Healthcare,192,"Delta 9 Cannabis Inc. operates as an integrated cannabis company. The company, through its subsidiary, Delta 9 Bio-Tech Inc., engages in the cultivation, processing, extraction, wholesale distribution, retail, and sale of medical and recreational cannabis and related merchandise and devices. As of April 14, 2021, it owned and operated 12 retail stores under the Delta 9 Cannabis Store brand. Delta 9 Cannabis Inc. was founded in 2012 and is headquartered in Winnipeg, Canada.",Winnipeg,855 245 1259,MB,1609372800,Canada,http://www.delta9.ca,86400,P.O. Box 68096,Drug Manufacturers—Specialty & Generic,Osborne Village
t-3,DLTNF,37734564.0,102085000,,,1431517,520200,1042386,5186864,7079861,1718218,1718218,,-799003,,,,0,13013610,11295392,5933749,-286701,,1431517,1042386,177125.0,4701193.0,38412865.0,38028132.0,867929.0,76961197.0,56003690.0,727951.0,-4296188.0,742500.0,116443.0,-18380563.0,,6016673.0,15860123.0,3079712.0,-18380563.0,41477198.0,34153098.0,1037333.0,5713728.0,18549267.0,21694746.0,1401165.0,885846.0,819194.0,-2144671.0,-823662.0,-594818.0,756609.0,-305972.0,2433517.0,1304980.0,-1546249.0,1646944.0,228844.0,-1583666.0,-1844671.0,5750000.0,18292975.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.33141667,-0.03241667,-0.09781244,0.40169564,-0.102695644,-0.25565535,30523414,15,America/New_York,EDT,-14400000,False,False,0.299,1630503002,-0.017199993,0.299,0.299,0.299,2801,REGULAR,PNK,4,-5.4395933,0.299 - 0.299,0.3162,finmb_421953401,Other OTC,Delta 9 Cannabis Inc.,CAD,16650,7383,0.00999999,0.034602042,0.289 - 0.594,-0.295,-0.496633,0.289,0.594,1617193800,1617193800,1617193800,0,DELTA 9 CANNABIS INC,0.76,,,0.594,0.289,0.3314,0.4017,16.65k,7.38k,102.08M,,66.51M,36.01%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-23.84%,-16.54%,-7.53%,-35.06%,53.52M,0.58,12.50%,18M,-4.34M,-12.76M,,,4.58M,0.05,36.03M,118.58,1.86,,-2.37M,-2.6M,Value,R3L 2V9,Healthcare,192,"Delta 9 Cannabis Inc. operates as an integrated cannabis company. The company, through its subsidiary, Delta 9 Bio-Tech Inc., engages in the cultivation, processing, extraction, wholesale distribution, retail, and sale of medical and recreational cannabis and related merchandise and devices. As of April 14, 2021, it owned and operated 12 retail stores under the Delta 9 Cannabis Store brand. Delta 9 Cannabis Inc. was founded in 2012 and is headquartered in Winnipeg, Canada.",Winnipeg,855 245 1259,MB,1609372800,Canada,http://www.delta9.ca,86400,P.O. Box 68096,Drug Manufacturers—Specialty & Generic,Osborne Village
