Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Sep 12, 2019) 4","Short Ratio (Sep 12, 2019) 4","Short % of Float (Sep 12, 2019) 4","Short % of Shares Outstanding (Sep 12, 2019) 4","Shares Short (prior month Aug 14, 2019) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,ERLFF,-50208000,186660000,,,-1699000,,-1699000,437000,0,-1038000,-1038000,,-85000,,,,0,0,1038000,0,-661000,,-1699000,-1699000,58169000,-50208000,7961000,176221000,-248113000,48222000,21684000,12000,7260000,232000,21684000,220000,7552000,177000,130000,9615000,124000,45000.0,-41000.0,79000.0,120000.0,-142000.0,187000.0,-408000.0,22000.0,-83000.0,1307000.0,,7320000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,ENTREE RESOURCES LTD,False,False,PNK,0.6747,1630437998,0.0,0.656,0.6747,0.6747,17044,REGULAR,0,4,0.0,0.6747 - 0.6747,0.6747,finmb_4211086,Entrée Resources Ltd.,Other OTC,USD,41420,5616,0.3147,0.87416667,0.36 - 0.9,-0.22529995,-0.25033328,0.36,0.9,1617210240,1635418740,1635768000,0.6778889,-0.0031888485,-0.0047040875,0.65833336,0.01636666,0.024860749,122893232,15,America/New_York,EDT,-14400000,1.61,,,0.9,0.36,0.6779,0.6583,41.42k,5.62k,186.66M,,104.59M,51.77%,0.00%,120.45k,0.88,0.11%,0.07%,312.37k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-20.27%,,,,,,-2.27M,-6M,,,7.26M,0.04,9.82M,,32.55,,-1.5M,-960.25k,Value,V6E 3X1,Basic Materials,5,"EntrÃ©e Resources Ltd., an exploration stage company, engages in the exploration of mineral resource properties located in Mongolia, Peru, Australia, and Canada. Its principal property is the EntrÃ©e/Oyu Tolgoi joint venture property comprising Hugo North Extension copper-gold porphyry deposit and the Heruga copper-gold-molybdenum porphyry deposit located in Mongolia. The company was formerly known as EntrÃ©e Gold Inc. and changed its name to EntrÃ©e Resources Ltd. in May 2017. EntrÃ©e Resources Ltd. was incorporated in 1995 and is headquartered in Vancouver, Canada.",Vancouver,604 687 4777,BC,1609372800,Canada,http://www.entreeresourcesltd.com,86400,1066 West Hastings Street,604 687 4770,Other Industrial Metals & Mining,Suite 1650
t-1,ERLFF,-46884000,186660000,,,-1195000,,-1195000,286000,0,-370000,-370000,,-84000,,,,0,0,370000,0,-825000,,-1195000,-1195000,54933000,-46884000,8049000,175922000,-246414000,45125000,23608000,11000,7402000,184000,23608000,233000,7651000,154000,47000,9503000,81000,7000.0,-32000.0,3196000.0,3313000.0,2944000.0,44000.0,-296000.0,25000.0,7000.0,860000.0,-85000.0,7467000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,ENTREE RESOURCES LTD,False,False,PNK,0.6747,1630437998,0.0,0.656,0.6747,0.6747,17044,REGULAR,0,4,0.0,0.6747 - 0.6747,0.6747,finmb_4211086,Entrée Resources Ltd.,Other OTC,USD,41420,5616,0.3147,0.87416667,0.36 - 0.9,-0.22529995,-0.25033328,0.36,0.9,1617210240,1635418740,1635768000,0.6778889,-0.0031888485,-0.0047040875,0.65833336,0.01636666,0.024860749,122893232,15,America/New_York,EDT,-14400000,1.61,,,0.9,0.36,0.6779,0.6583,41.42k,5.62k,186.66M,,104.59M,51.77%,0.00%,120.45k,0.88,0.11%,0.07%,312.37k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-20.27%,,,,,,-2.27M,-6M,,,7.26M,0.04,9.82M,,32.55,,-1.5M,-960.25k,Value,V6E 3X1,Basic Materials,5,"EntrÃ©e Resources Ltd., an exploration stage company, engages in the exploration of mineral resource properties located in Mongolia, Peru, Australia, and Canada. Its principal property is the EntrÃ©e/Oyu Tolgoi joint venture property comprising Hugo North Extension copper-gold porphyry deposit and the Heruga copper-gold-molybdenum porphyry deposit located in Mongolia. The company was formerly known as EntrÃ©e Gold Inc. and changed its name to EntrÃ©e Resources Ltd. in May 2017. EntrÃ©e Resources Ltd. was incorporated in 1995 and is headquartered in Vancouver, Canada.",Vancouver,604 687 4777,BC,1609372800,Canada,http://www.entreeresourcesltd.com,86400,1066 West Hastings Street,604 687 4770,Other Industrial Metals & Mining,Suite 1650
t-2,ERLFF,-47874000,186660000,,,-1139000,,-1139000,387000,0,-492000,-492000,,-82000,,,,0,0,492000,0,-647000,,-1139000,-1139000,52854000,-47874000,4980000,173095000,-245219000,43302000,24250000,11000,4458000,176000,24250000,261000,4571000,137000,54000,9226000,73000,17000.0,-23000.0,-23000.0,3313000.0,-312000.0,118000.0,-407000.0,25000.0,15000.0,675000.0,-85000.0,4395000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,ENTREE RESOURCES LTD,False,False,PNK,0.6747,1630437998,0.0,0.656,0.6747,0.6747,17044,REGULAR,0,4,0.0,0.6747 - 0.6747,0.6747,finmb_4211086,Entrée Resources Ltd.,Other OTC,USD,41420,5616,0.3147,0.87416667,0.36 - 0.9,-0.22529995,-0.25033328,0.36,0.9,1617210240,1635418740,1635768000,0.6778889,-0.0031888485,-0.0047040875,0.65833336,0.01636666,0.024860749,122893232,15,America/New_York,EDT,-14400000,1.61,,,0.9,0.36,0.6779,0.6583,41.42k,5.62k,186.66M,,104.59M,51.77%,0.00%,120.45k,0.88,0.11%,0.07%,312.37k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-20.27%,,,,,,-2.27M,-6M,,,7.26M,0.04,9.82M,,32.55,,-1.5M,-960.25k,Value,V6E 3X1,Basic Materials,5,"EntrÃ©e Resources Ltd., an exploration stage company, engages in the exploration of mineral resource properties located in Mongolia, Peru, Australia, and Canada. Its principal property is the EntrÃ©e/Oyu Tolgoi joint venture property comprising Hugo North Extension copper-gold porphyry deposit and the Heruga copper-gold-molybdenum porphyry deposit located in Mongolia. The company was formerly known as EntrÃ©e Gold Inc. and changed its name to EntrÃ©e Resources Ltd. in May 2017. EntrÃ©e Resources Ltd. was incorporated in 1995 and is headquartered in Vancouver, Canada.",Vancouver,604 687 4777,BC,1609372800,Canada,http://www.entreeresourcesltd.com,86400,1066 West Hastings Street,604 687 4770,Other Industrial Metals & Mining,Suite 1650
t-3,ERLFF,-44897000,186660000,,,-1967000,,-1967000,320000,0,-380000,-380000,,-87000,,,,0,0,380000,0,-1587000,,-1967000,-1967000,50241000,-44897000,5344000,173095000,-244080000,40780000,26088000,11000,4770000,152000,26088000,276000,4939000,118000,69000,9139000,55000,-16000.0,-22000.0,-22000.0,3313000.0,-610000.0,-203000.0,-385000.0,26000.0,53000.0,1519000.0,-85000.0,4787000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,ENTREE RESOURCES LTD,False,False,PNK,0.6747,1630437998,0.0,0.656,0.6747,0.6747,17044,REGULAR,0,4,0.0,0.6747 - 0.6747,0.6747,finmb_4211086,Entrée Resources Ltd.,Other OTC,USD,41420,5616,0.3147,0.87416667,0.36 - 0.9,-0.22529995,-0.25033328,0.36,0.9,1617210240,1635418740,1635768000,0.6778889,-0.0031888485,-0.0047040875,0.65833336,0.01636666,0.024860749,122893232,15,America/New_York,EDT,-14400000,1.61,,,0.9,0.36,0.6779,0.6583,41.42k,5.62k,186.66M,,104.59M,51.77%,0.00%,120.45k,0.88,0.11%,0.07%,312.37k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-20.27%,,,,,,-2.27M,-6M,,,7.26M,0.04,9.82M,,32.55,,-1.5M,-960.25k,Value,V6E 3X1,Basic Materials,5,"EntrÃ©e Resources Ltd., an exploration stage company, engages in the exploration of mineral resource properties located in Mongolia, Peru, Australia, and Canada. Its principal property is the EntrÃ©e/Oyu Tolgoi joint venture property comprising Hugo North Extension copper-gold porphyry deposit and the Heruga copper-gold-molybdenum porphyry deposit located in Mongolia. The company was formerly known as EntrÃ©e Gold Inc. and changed its name to EntrÃ©e Resources Ltd. in May 2017. EntrÃ©e Resources Ltd. was incorporated in 1995 and is headquartered in Vancouver, Canada.",Vancouver,604 687 4777,BC,1609372800,Canada,http://www.entreeresourcesltd.com,86400,1066 West Hastings Street,604 687 4770,Other Industrial Metals & Mining,Suite 1650
