Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,capitalSurplus,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,repurchaseOfStock,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,EVUS,-424441.0,5060160000,,,-9133,,-9133,8987,0,-8987,-8987,,-146,,,,0,0,8987,0,-146,,-9133,-9133,425759.0,-424441.0,14076.0,1318.0,5060156.0,-5484597.0,1318.0,425759.0,1318.0,,0.0,6000.0,6000.0,838.0,-2149.0,-8149.0,146.0,,,-424441.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EV CHARGING USA INC,us_market,4,Other OTC,"EV Charging USA, Inc.",USD,3632816,1031968,0.00285,4.3846154,6.5E-4 - 0.049,-0.0455,-0.92857146,0.00065,0.049,-0.0,0,-0.0,0.0042336113,-0.0007336112,-0.1732826,0.009099295,-0.0055992953,-0.61535484,17710560,15,America/New_York,EDT,-14400000,False,False,0.0,0.0035 - 0.0035,0.0035,0.0,0.0,0,0,finmb_271122872,0.0035,1629834275,0.0,0.0037,0.0035,0.0035,2555412,2.69,,,0.049,0.0007,0.0042,0.0091,3.63M,1.03M,5.06B,,,,,,,,,,,,,,,0.00%,,,1:50,"Jul 18, 2010","Jun 29, 2015","Sep 29, 2015",0.00%,-778.14%,"-1,596.88%",,4.63k,0.00,,4.63k,,-36.51k,-0.0000,,1.32k,0,396k,,0.00,-0.00,-11.13k,2.05k,Value,60601,Consumer Cyclical,1,"EV Charging USA, Inc. focuses on providing electric vehicle (EV) charging services and charging stations. Its charging services and stations enable EV drivers to recharge their vehicles at commercial locations or in their own garages. The company was founded in 2013 and is headquartered in Chicago, Illinois.",Chicago,312-216-5106,IL,1451520000,United States,86400,180 North LaSalle Street,Specialty Retail,37th Floor
t-1,EVUS,-415308.0,5060160000,,,-15463,,-15463,19960,4633,-15327,-15327,,-136,,,,0,4633,19960,0,-136,,-15463,-15463,418775.0,-415308.0,12929.0,3467.0,5060156.0,-5475464.0,3467.0,418775.0,3467.0,,0.0,6000.0,6000.0,15276.0,171.0,171.0,358.0,-25000.0,,-415308.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EV CHARGING USA INC,us_market,4,Other OTC,"EV Charging USA, Inc.",USD,3632816,1031968,0.00285,4.3846154,6.5E-4 - 0.049,-0.0455,-0.92857146,0.00065,0.049,-0.0,0,-0.0,0.0042336113,-0.0007336112,-0.1732826,0.009099295,-0.0055992953,-0.61535484,17710560,15,America/New_York,EDT,-14400000,False,False,0.0,0.0035 - 0.0035,0.0035,0.0,0.0,0,0,finmb_271122872,0.0035,1629834275,0.0,0.0037,0.0035,0.0035,2555412,2.69,,,0.049,0.0007,0.0042,0.0091,3.63M,1.03M,5.06B,,,,,,,,,,,,,,,0.00%,,,1:50,"Jul 18, 2010","Jun 29, 2015","Sep 29, 2015",0.00%,-778.14%,"-1,596.88%",,4.63k,0.00,,4.63k,,-36.51k,-0.0000,,1.32k,0,396k,,0.00,-0.00,-11.13k,2.05k,Value,60601,Consumer Cyclical,1,"EV Charging USA, Inc. focuses on providing electric vehicle (EV) charging services and charging stations. Its charging services and stations enable EV drivers to recharge their vehicles at commercial locations or in their own garages. The company was founded in 2013 and is headquartered in Chicago, Illinois.",Chicago,312-216-5106,IL,1451520000,United States,86400,180 North LaSalle Street,Specialty Retail,37th Floor
t-2,EVUS,-400345.0,5060160000,,,-8654,,-8654,8553,0,-8553,-8553,,-101,,,,0,0,8553,0,-101,,-8654,-8654,403641.0,-400345.0,,3296.0,5060156.0,-5460501.0,3296.0,403641.0,3296.0,,0.0,4992.0,4992.0,6605.0,2943.0,-2049.0,358.0,-25000.0,,-400345.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EV CHARGING USA INC,us_market,4,Other OTC,"EV Charging USA, Inc.",USD,3632816,1031968,0.00285,4.3846154,6.5E-4 - 0.049,-0.0455,-0.92857146,0.00065,0.049,-0.0,0,-0.0,0.0042336113,-0.0007336112,-0.1732826,0.009099295,-0.0055992953,-0.61535484,17710560,15,America/New_York,EDT,-14400000,False,False,0.0,0.0035 - 0.0035,0.0035,0.0,0.0,0,0,finmb_271122872,0.0035,1629834275,0.0,0.0037,0.0035,0.0035,2555412,2.69,,,0.049,0.0007,0.0042,0.0091,3.63M,1.03M,5.06B,,,,,,,,,,,,,,,0.00%,,,1:50,"Jul 18, 2010","Jun 29, 2015","Sep 29, 2015",0.00%,-778.14%,"-1,596.88%",,4.63k,0.00,,4.63k,,-36.51k,-0.0000,,1.32k,0,396k,,0.00,-0.00,-11.13k,2.05k,Value,60601,Consumer Cyclical,1,"EV Charging USA, Inc. focuses on providing electric vehicle (EV) charging services and charging stations. Its charging services and stations enable EV drivers to recharge their vehicles at commercial locations or in their own garages. The company was founded in 2013 and is headquartered in Chicago, Illinois.",Chicago,312-216-5106,IL,1451520000,United States,86400,180 North LaSalle Street,Specialty Retail,37th Floor
t-3,EVUS,-394221.0,5060160000,,,-3261,,-3261,3184,0,-3184,-3184,,-77,,,,0,0,3184,0,-77,,-3261,-3261,392044.0,-394221.0,,353.0,156.0,-419027.0,353.0,392044.0,353.0,24650.0,0.0,-25044.0,-44.0,2198.0,-1151.0,-1107.0,-44.0,-25000.0,25000.0,-391691.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EV CHARGING USA INC,us_market,4,Other OTC,"EV Charging USA, Inc.",USD,3632816,1031968,0.00285,4.3846154,6.5E-4 - 0.049,-0.0455,-0.92857146,0.00065,0.049,-0.0,0,-0.0,0.0042336113,-0.0007336112,-0.1732826,0.009099295,-0.0055992953,-0.61535484,17710560,15,America/New_York,EDT,-14400000,False,False,0.0,0.0035 - 0.0035,0.0035,0.0,0.0,0,0,finmb_271122872,0.0035,1629834275,0.0,0.0037,0.0035,0.0035,2555412,2.69,,,0.049,0.0007,0.0042,0.0091,3.63M,1.03M,5.06B,,,,,,,,,,,,,,,0.00%,,,1:50,"Jul 18, 2010","Jun 29, 2015","Sep 29, 2015",0.00%,-778.14%,"-1,596.88%",,4.63k,0.00,,4.63k,,-36.51k,-0.0000,,1.32k,0,396k,,0.00,-0.00,-11.13k,2.05k,Value,60601,Consumer Cyclical,1,"EV Charging USA, Inc. focuses on providing electric vehicle (EV) charging services and charging stations. Its charging services and stations enable EV drivers to recharge their vehicles at commercial locations or in their own garages. The company was founded in 2013 and is headquartered in Chicago, Illinois.",Chicago,312-216-5106,IL,1451520000,United States,86400,180 North LaSalle Street,Specialty Retail,37th Floor
