Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,GNHRF,-4318182,139552992,,,-119847,,-119847,146349,0,-147946,-147946,,-2329,,,,0,0,147946,0,28099,,-119847,-119847,4484208,-4318182,415157,166026,25165706,-37260937,7777049,3859,4484208,7777049,60434,105592,101226,3998651,127513.0,-1633.0,7000.0,7000.0,22135.0,-897.0,-6264.0,1597.0,-37662.0,-1633.0,,,,,-4378616,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0015,15.000001,1.0E-4 - 0.4,-0.3984,-0.996,0.0001,0.4,-0.035,0.0,0.0016 - 0.0016,0.0016,finmb_35555912,Other OTC,Arian Resources Corp.,CAD,2013,1800,-0.031,0.0046055554,-0.0030055554,-0.65259343,0.0041538463,-0.0025538462,-0.6148148,1116,-0.051612902,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,ARIAN RES CORP NEW,0.0016,1629994281,0.0,0.0016,0.0016,0.0016,6000,17.54,,,0.4,0.0001,0.0046,0.0042,2.01k,1.8k,139.55M,,137.95M,3.60%,0.00%,,,,,,,,,,,0.00%,,,,,"May 30, 2016","Feb 27, 2017",0.00%,0.00%,-126.92%,,,,,,-1.02M,-5.94M,-0.0350,,3.86k,0,70.4k,,0.02,-0.03,-585.39k,1.58M,Value,V6E 3T5,Basic Materials,"Arian Resources Corp. acquires, explores for, and develops mineral properties in Canada. It primarily explores for gold, platinum group elements, chromite, and copper ores. The company holds interests in Albanian exploration projects that consist of four prospecting and exploration licenses (PELs) covering an area of approximately 32 square kilometers and two PEL application covering an area of 134 square kilometers located in Northern Albania. It also owns interest in a copper mining exploitation permit located in Albania. The company was formerly known as Golden Touch Resources Corp. and changed its name to Arian Resources Corp. in December 2012. Arian Resources Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.",Vancouver,778-786-8856,BC,1483142400,Canada,86400,1199 West Hastings Street,Other Industrial Metals & Mining,Suite 800
t-1,GNHRF,-4198335,139552992,,,-135420,,-135420,132638,0,-134319,-134319,,-1967,,,,0,0,134319,0,-1101,,-135420,-135420,4327560,-4198335,393022,129225,25165706,-37141090,7777049,4756,4327560,7777049,60398,68827,63564,3871138,84727.0,-1633.0,37900.0,37900.0,27295.0,1154.0,-36746.0,1681.0,-15029.0,-1633.0,,,,,-4258733,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0015,15.000001,1.0E-4 - 0.4,-0.3984,-0.996,0.0001,0.4,-0.035,0.0,0.0016 - 0.0016,0.0016,finmb_35555912,Other OTC,Arian Resources Corp.,CAD,2013,1800,-0.031,0.0046055554,-0.0030055554,-0.65259343,0.0041538463,-0.0025538462,-0.6148148,1116,-0.051612902,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,ARIAN RES CORP NEW,0.0016,1629994281,0.0,0.0016,0.0016,0.0016,6000,17.54,,,0.4,0.0001,0.0046,0.0042,2.01k,1.8k,139.55M,,137.95M,3.60%,0.00%,,,,,,,,,,,0.00%,,,,,"May 30, 2016","Feb 27, 2017",0.00%,0.00%,-126.92%,,,,,,-1.02M,-5.94M,-0.0350,,3.86k,0,70.4k,,0.02,-0.03,-585.39k,1.58M,Value,V6E 3T5,Basic Materials,"Arian Resources Corp. acquires, explores for, and develops mineral properties in Canada. It primarily explores for gold, platinum group elements, chromite, and copper ores. The company holds interests in Albanian exploration projects that consist of four prospecting and exploration licenses (PELs) covering an area of approximately 32 square kilometers and two PEL application covering an area of 134 square kilometers located in Northern Albania. It also owns interest in a copper mining exploitation permit located in Albania. The company was formerly known as Golden Touch Resources Corp. and changed its name to Arian Resources Corp. in December 2012. Arian Resources Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.",Vancouver,778-786-8856,BC,1483142400,Canada,86400,1199 West Hastings Street,Other Industrial Metals & Mining,Suite 800
t-2,GNHRF,-4062915,139552992,,,-137781,,-137781,135903,0,-137673,-137673,,-1416,,,,0,0,137673,0,-108,,-137781,-137781,4177638,-4062915,365727,114723,25165706,-37005670,7777049,3602,4177638,7777049,62079,52644,48535,3786411,174908.0,-28457.0,25500.0,25500.0,-25848.0,-764.0,2193.0,1770.0,-10856.0,-28457.0,,,,,-4124994,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0015,15.000001,1.0E-4 - 0.4,-0.3984,-0.996,0.0001,0.4,-0.035,0.0,0.0016 - 0.0016,0.0016,finmb_35555912,Other OTC,Arian Resources Corp.,CAD,2013,1800,-0.031,0.0046055554,-0.0030055554,-0.65259343,0.0041538463,-0.0025538462,-0.6148148,1116,-0.051612902,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,ARIAN RES CORP NEW,0.0016,1629994281,0.0,0.0016,0.0016,0.0016,6000,17.54,,,0.4,0.0001,0.0046,0.0042,2.01k,1.8k,139.55M,,137.95M,3.60%,0.00%,,,,,,,,,,,0.00%,,,,,"May 30, 2016","Feb 27, 2017",0.00%,0.00%,-126.92%,,,,,,-1.02M,-5.94M,-0.0350,,3.86k,0,70.4k,,0.02,-0.03,-585.39k,1.58M,Value,V6E 3T5,Basic Materials,"Arian Resources Corp. acquires, explores for, and develops mineral properties in Canada. It primarily explores for gold, platinum group elements, chromite, and copper ores. The company holds interests in Albanian exploration projects that consist of four prospecting and exploration licenses (PELs) covering an area of approximately 32 square kilometers and two PEL application covering an area of 134 square kilometers located in Northern Albania. It also owns interest in a copper mining exploitation permit located in Albania. The company was formerly known as Golden Touch Resources Corp. and changed its name to Arian Resources Corp. in December 2012. Arian Resources Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.",Vancouver,778-786-8856,BC,1483142400,Canada,86400,1199 West Hastings Street,Other Industrial Metals & Mining,Suite 800
t-3,GNHRF,-3925134,139552992,,,-5548113,,-5548113,604890,0,-5161377,-5161377,,-1282,,,,0,0,5161377,0,-386736,,-5548113,-5548113,4003078,-3925134,391575,77944,25165706,-36867889,7777049,4366,4003078,7777049,35392,42552,37679,3591503,22753.0,66112.0,-106112.0,302925.0,3575.0,-175533.0,-544570.0,4556487.0,245989.0,13197.0,354449.0,52915.0,54588.0,174739.0,-3960526,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0015,15.000001,1.0E-4 - 0.4,-0.3984,-0.996,0.0001,0.4,-0.035,0.0,0.0016 - 0.0016,0.0016,finmb_35555912,Other OTC,Arian Resources Corp.,CAD,2013,1800,-0.031,0.0046055554,-0.0030055554,-0.65259343,0.0041538463,-0.0025538462,-0.6148148,1116,-0.051612902,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,ARIAN RES CORP NEW,0.0016,1629994281,0.0,0.0016,0.0016,0.0016,6000,17.54,,,0.4,0.0001,0.0046,0.0042,2.01k,1.8k,139.55M,,137.95M,3.60%,0.00%,,,,,,,,,,,0.00%,,,,,"May 30, 2016","Feb 27, 2017",0.00%,0.00%,-126.92%,,,,,,-1.02M,-5.94M,-0.0350,,3.86k,0,70.4k,,0.02,-0.03,-585.39k,1.58M,Value,V6E 3T5,Basic Materials,"Arian Resources Corp. acquires, explores for, and develops mineral properties in Canada. It primarily explores for gold, platinum group elements, chromite, and copper ores. The company holds interests in Albanian exploration projects that consist of four prospecting and exploration licenses (PELs) covering an area of approximately 32 square kilometers and two PEL application covering an area of 134 square kilometers located in Northern Albania. It also owns interest in a copper mining exploitation permit located in Albania. The company was formerly known as Golden Touch Resources Corp. and changed its name to Arian Resources Corp. in December 2012. Arian Resources Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.",Vancouver,778-786-8856,BC,1483142400,Canada,86400,1199 West Hastings Street,Other Industrial Metals & Mining,Suite 800
