Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,accountsPayable,otherCurrentLiab,otherCurrentAssets,longTermDebt,otherLiab,deferredLongTermLiab,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,preMarketChange,preMarketChangePercent,preMarketTime,preMarketPrice,epsCurrentYear,priceEpsCurrentYear,gmtOffSetMilliseconds,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,HYLN,629377000.0,172322000,9332000,,-16562000,,-16562000,7399000,0,-16731000,-16731000,,,,,,0,0,16731000,0,169000,,-16562000,-16562000,308000.0,371077000.0,12723000.0,629685000.0,642408000.0,19000.0,258589000.0,193000.0,334718000.0,7885000.0,6183000.0,483243000.0,152481000.0,144829000.0,80000.0,2022000.0,,,,,,,-59459000.0,132000.0,-59817000.0,-957000.0,15587000.0,3726000.0,16544000.0,-54987000.0,-10757000.0,203000.0,12000.0,1732000.0,-358000.0,,,475358000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,0.4530007,8.66 - 9.085,8.83,0.0,0.0,10,9,finmb_381114489,NYSE,USD,3099214,2617614,1.1799998,0.153446,7.69 - 57.0,-48.13,-0.844386,7.69,57.0,1620763200,1620763200,1620763200,0.029999733,0.3382157,1630571930,8.9,-0.78,-11.371795,-14400000,9.209714,-0.33971405,-0.036886495,11.066304,-2.1963043,2,Hyliion Holdings Corp.,Hyliion Holdings Corp.,8.87,1630526402,0.03999996,8.72,9.085,8.66,2926391,PRE,NYQ,us_market,-0.19846773,1528496128,15,America/New_York,EDT,False,False,0,,,,57.0,7.69,9.21,11.07,3.1M,2.62M,172.32M,,95.23M,37.75%,22.75%,24.04M,6.91,20.31%,13.95%,24.39M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-6.78%,-16.56%,,,,,-34.75M,-50.18M,,,479.55M,2.78,5.63M,0.89,61.29,,-30.38M,-21.84M,Value,78613,Consumer Cyclical,91,"Hyliion Holdings Corp. designs, develops, and sells electrified powertrain solutions for the commercial transportation industry. It also provides battery management systems for hybrid and fully electric vehicle applications. The company was founded in 2015 and is headquartered in Cedar Park, Texas.",Cedar Park,833 495 4466,TX,1609372800,United States,http://www.hyliion.com,86400,1202 BMC Drive,Auto Parts,Suite 100
t-1,HYLN,639836000.0,172322000,12598000,,-34595390,,-34432991,4262034,0,-16710034,-16710034,-150000.0,-6345356.0,,,,-162399,0,16710034,0,-17885356,,-34432991,-34432991,332000.0,728299000.0,10639000.0,640168000.0,650807000.0,17000.0,-88148000.0,193000.0,389705000.0,4655000.0,6226000.0,608086000.0,35970000.0,201881000.0,12070000.0,1890000.0,175000.0,-3000.0,908000.0,,,,-237851000.0,-2984415.0,-238597050.0,3741000.0,527284000.0,-3896816.0,569041000.0,267234084.0,-21452866.0,850000.0,53000.0,14721356.0,-311000.0,-457050.0,-45498000.0,603431000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,0.4530007,8.66 - 9.085,8.83,0.0,0.0,10,9,finmb_381114489,NYSE,USD,3099214,2617614,1.1799998,0.153446,7.69 - 57.0,-48.13,-0.844386,7.69,57.0,1620763200,1620763200,1620763200,0.029999733,0.3382157,1630571930,8.9,-0.78,-11.371795,-14400000,9.209714,-0.33971405,-0.036886495,11.066304,-2.1963043,2,Hyliion Holdings Corp.,Hyliion Holdings Corp.,8.87,1630526402,0.03999996,8.72,9.085,8.66,2926391,PRE,NYQ,us_market,-0.19846773,1528496128,15,America/New_York,EDT,False,False,0,,,,57.0,7.69,9.21,11.07,3.1M,2.62M,172.32M,,95.23M,37.75%,22.75%,24.04M,6.91,20.31%,13.95%,24.39M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-6.78%,-16.56%,,,,,-34.75M,-50.18M,,,479.55M,2.78,5.63M,0.89,61.29,,-30.38M,-21.84M,Value,78613,Consumer Cyclical,91,"Hyliion Holdings Corp. designs, develops, and sells electrified powertrain solutions for the commercial transportation industry. It also provides battery management systems for hybrid and fully electric vehicle applications. The company was founded in 2015 and is headquartered in Cedar Park, Texas.",Cedar Park,833 495 4466,TX,1609372800,United States,http://www.hyliion.com,86400,1202 BMC Drive,Auto Parts,Suite 100
t-2,HYLN,5000010.0,172322000,12598000,,-2770010,,-2770010,2736764,0,-2786764,-2786764,50000.0,-6345356.0,,,,0,0,2786764,0,16754,,-2770010,-2770010,,7424498.0,348676670.0,5000010.0,353676680.0,724.0,-2425212.0,236483652.0,117102142.0,121484812.0,,117193028.0,,,,3726512.0,,,,227191858.0,,,-237851000.0,4050415.0,527050.0,-3835000.0,113604000.0,1039816.0,117100000.0,119169916.0,5038866.0,-482000.0,-83000.0,-1777356.0,80000.0,457050.0,339000.0,-4291784.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,0.4530007,8.66 - 9.085,8.83,0.0,0.0,10,9,finmb_381114489,NYSE,USD,3099214,2617614,1.1799998,0.153446,7.69 - 57.0,-48.13,-0.844386,7.69,57.0,1620763200,1620763200,1620763200,0.029999733,0.3382157,1630571930,8.9,-0.78,-11.371795,-14400000,9.209714,-0.33971405,-0.036886495,11.066304,-2.1963043,2,Hyliion Holdings Corp.,Hyliion Holdings Corp.,8.87,1630526402,0.03999996,8.72,9.085,8.66,2926391,PRE,NYQ,us_market,-0.19846773,1528496128,15,America/New_York,EDT,False,False,0,,,,57.0,7.69,9.21,11.07,3.1M,2.62M,172.32M,,95.23M,37.75%,22.75%,24.04M,6.91,20.31%,13.95%,24.39M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-6.78%,-16.56%,,,,,-34.75M,-50.18M,,,479.55M,2.78,5.63M,0.89,61.29,,-30.38M,-21.84M,Value,78613,Consumer Cyclical,91,"Hyliion Holdings Corp. designs, develops, and sells electrified powertrain solutions for the commercial transportation industry. It also provides battery management systems for hybrid and fully electric vehicle applications. The company was founded in 2015 and is headquartered in Cedar Park, Texas.",Cedar Park,833 495 4466,TX,1609372800,United States,http://www.hyliion.com,86400,1202 BMC Drive,Auto Parts,Suite 100
t-3,HYLN,-53684000.0,172322000,-2671000,,3745400,,3583001,1895202,0,675798,675798,100000.0,-6345356.0,,,,162399,0,-675798,0,3069602,,3583001,4024001,381000.0,5200000.0,39591000.0,-53303000.0,12075000.0,26000.0,-58529000.0,2276000.0,3301000.0,25589000.0,5707000.0,3711000.0,,,62000.0,2549000.0,4747000.0,,3632000.0,5805000.0,2064000.0,17144000.0,-237851000.0,-62000.0,10000.0,809000.0,470000.0,-239000.0,117100000.0,-2725000.0,-3205000.0,231000.0,-24000.0,-383000.0,80000.0,457050.0,-339000.0,-21878000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,0.4530007,8.66 - 9.085,8.83,0.0,0.0,10,9,finmb_381114489,NYSE,USD,3099214,2617614,1.1799998,0.153446,7.69 - 57.0,-48.13,-0.844386,7.69,57.0,1620763200,1620763200,1620763200,0.029999733,0.3382157,1630571930,8.9,-0.78,-11.371795,-14400000,9.209714,-0.33971405,-0.036886495,11.066304,-2.1963043,2,Hyliion Holdings Corp.,Hyliion Holdings Corp.,8.87,1630526402,0.03999996,8.72,9.085,8.66,2926391,PRE,NYQ,us_market,-0.19846773,1528496128,15,America/New_York,EDT,False,False,0,,,,57.0,7.69,9.21,11.07,3.1M,2.62M,172.32M,,95.23M,37.75%,22.75%,24.04M,6.91,20.31%,13.95%,24.39M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-6.78%,-16.56%,,,,,-34.75M,-50.18M,,,479.55M,2.78,5.63M,0.89,61.29,,-30.38M,-21.84M,Value,78613,Consumer Cyclical,91,"Hyliion Holdings Corp. designs, develops, and sells electrified powertrain solutions for the commercial transportation industry. It also provides battery management systems for hybrid and fully electric vehicle applications. The company was founded in 2015 and is headquartered in Cedar Park, Texas.",Cedar Park,833 495 4466,TX,1609372800,United States,http://www.hyliion.com,86400,1202 BMC Drive,Auto Parts,Suite 100
