Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToNetincome,capitalExpenditures,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,dividendDate,regularMarketChangePercent,regularMarketDayRange,ask,bid,regularMarketPreviousClose,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,currency,marketState,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,exchangeDataDelayedBy,twoHundredDayAverageChangePercent,shortName,exchange,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,DPZ,-3335808000.0,38828400,,,149638000,,117761000,91253000,277791000,186538000,186538000,,-39422000,,,,31877000,983698000,797160000,705907000,-36900000,,117761000,117761000,84694000.0,6612000.0,4898912000.0,-3236080000.0,192103000.0,1662832000.0,388000.0,338147000.0,-3240842000.0,81579000.0,15034000.0,-2238000.0,37074000.0,267719000.0,501835000.0,1698000.0,-2238000.0,517728000.0,925802000.0,82500000.0,235789000.0,4059520000.0,63775000.0,95042000.0,,-40000000.0,0.0,-56440000.0,-704000.0,-23119000.0,13713000.0,3693000.0,73453000.0,-26044000.0,161000.0,152851000.0,16465000.0,121000.0,-64000.0,3709000.0,-16561000.0,,,,423967000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,1632960000,-1.1801362,508.47 - 515.8,510.02,509.5,516.89,11,8,finmb_3132512,NYSE,"Domino's Pizza, Inc.",USD,517915,323633,191.08002,0.5976667,319.71 - 548.72,-37.929962,-0.069124445,319.71,548.72,1619681406,1633505400,1633951800,3.28,41.456863,0.006345644,USD,REGULAR,510.79,1630505744,-6.100006,515.02,515.8,508.47,49201,us_market,2,0,0.17599893,Domino's Pizza Inc,NYQ,12.321,14.93,13.68,37.33845,-83.365,513.50836,-2.7183533,-0.0052936883,434.34564,76.44437,19833159680,34.212322,-6.127152,15,America/New_York,EDT,-14400000,False,False,0.48,,,548.72,319.71,513.51,434.35,517.91k,323.63k,38.83M,,36.51M,0.70%,101.20%,2.41M,3.28,7.93%,6.21%,2.21M,3.76,0.82%,3.28,0.63%,0.85,26.62%,"Sep 29, 2021","Jun 13, 2021",,,"Jan 02, 2021","Mar 27, 2021",11.53%,17.89%,30.97%,,4.23B,108.46,12.70%,1.13B,800.82M,487.46M,12.32,-3.20%,267.72M,6.89,4.35B,,1.85,-83.36,650.29M,402.19M,Value,48105,Consumer Cyclical,6900,8,3,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. It operates through three segments: U.S. Stores, International Franchise, and Supply Chain. The company offers pizzas under the Domino's brand name through company-owned and franchised stores. As of January 3, 2021, it operated approximately 17,600 stores in 90 markets. The company was founded in 1960 and is based in Ann Arbor, Michigan.",Ann Arbor,734 930 3030,MI,9,1609372800,1622505600,5,United States,http://www.dominos.com/index.intl.html,86400,8,30 Frank Lloyd Wright Drive,Restaurants
t-1,DPZ,-3396772000.0,38828400,,,189565000,,151897000,138404000,382448000,244044000,244044000,,-54479000,,,,37668000,1356567000,1112523000,974119000,-54479000,,151897000,151897000,81306000.0,5122000.0,4867573000.0,-3300405000.0,145275000.0,1567168000.0,389000.0,365151000.0,-3303492000.0,78468000.0,15061000.0,-2424000.0,35785000.0,168821000.0,470819000.0,1904000.0,-2424000.0,525632000.0,869384000.0,40000000.0,244560000.0,4058318000.0,66683000.0,94499000.0,,-40000000.0,68954000.0,-37858000.0,-11215000.0,-292822000.0,18701000.0,4444000.0,-107767000.0,-225219000.0,518000.0,222395000.0,-2078000.0,-416000.0,-60832000.0,18541000.0,-37605000.0,-24959000.0,-33334000.0,,398565000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,1632960000,-1.1801362,508.47 - 515.8,510.02,509.5,516.89,11,8,finmb_3132512,NYSE,"Domino's Pizza, Inc.",USD,517915,323633,191.08002,0.5976667,319.71 - 548.72,-37.929962,-0.069124445,319.71,548.72,1619681406,1633505400,1633951800,3.28,41.456863,0.006345644,USD,REGULAR,510.79,1630505744,-6.100006,515.02,515.8,508.47,49201,us_market,2,0,0.17599893,Domino's Pizza Inc,NYQ,12.321,14.93,13.68,37.33845,-83.365,513.50836,-2.7183533,-0.0052936883,434.34564,76.44437,19833159680,34.212322,-6.127152,15,America/New_York,EDT,-14400000,False,False,0.48,,,548.72,319.71,513.51,434.35,517.91k,323.63k,38.83M,,36.51M,0.70%,101.20%,2.41M,3.28,7.93%,6.21%,2.21M,3.76,0.82%,3.28,0.63%,0.85,26.62%,"Sep 29, 2021","Jun 13, 2021",,,"Jan 02, 2021","Mar 27, 2021",11.53%,17.89%,30.97%,,4.23B,108.46,12.70%,1.13B,800.82M,487.46M,12.32,-3.20%,267.72M,6.89,4.35B,,1.85,-83.36,650.29M,402.19M,Value,48105,Consumer Cyclical,6900,8,3,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. It operates through three segments: U.S. Stores, International Franchise, and Supply Chain. The company offers pizzas under the Domino's brand name through company-owned and franchised stores. As of January 3, 2021, it operated approximately 17,600 stores in 90 markets. The company was founded in 1960 and is based in Ann Arbor, Michigan.",Ann Arbor,734 930 3030,MI,9,1609372800,1622505600,5,United States,http://www.dominos.com/index.intl.html,86400,8,30 Frank Lloyd Wright Drive,Restaurants
t-2,DPZ,-3305224000.0,38828400,,,123773000,,99129000,91652000,253833000,162181000,162181000,,-38605000,,,,24644000,967719000,805538000,713886000,-38408000,,99129000,99129000,78632000.0,34124000.0,4832479000.0,-3211531000.0,169606000.0,1620948000.0,394000.0,304612000.0,-3242627000.0,79798000.0,15061000.0,-3422000.0,78817000.0,330719000.0,488525000.0,6030000.0,-3422000.0,491917000.0,956521000.0,,229403000.0,4025189000.0,65499000.0,88188000.0,42000000.0,-40000000.0,0.0,-16858000.0,-68803000.0,-102662000.0,38253000.0,1725000.0,39547000.0,-4757000.0,496000.0,158571000.0,15327000.0,568000.0,-30827000.0,4584000.0,-17431000.0,-24959000.0,-33334000.0,,467996000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,1632960000,-1.1801362,508.47 - 515.8,510.02,509.5,516.89,11,8,finmb_3132512,NYSE,"Domino's Pizza, Inc.",USD,517915,323633,191.08002,0.5976667,319.71 - 548.72,-37.929962,-0.069124445,319.71,548.72,1619681406,1633505400,1633951800,3.28,41.456863,0.006345644,USD,REGULAR,510.79,1630505744,-6.100006,515.02,515.8,508.47,49201,us_market,2,0,0.17599893,Domino's Pizza Inc,NYQ,12.321,14.93,13.68,37.33845,-83.365,513.50836,-2.7183533,-0.0052936883,434.34564,76.44437,19833159680,34.212322,-6.127152,15,America/New_York,EDT,-14400000,False,False,0.48,,,548.72,319.71,513.51,434.35,517.91k,323.63k,38.83M,,36.51M,0.70%,101.20%,2.41M,3.28,7.93%,6.21%,2.21M,3.76,0.82%,3.28,0.63%,0.85,26.62%,"Sep 29, 2021","Jun 13, 2021",,,"Jan 02, 2021","Mar 27, 2021",11.53%,17.89%,30.97%,,4.23B,108.46,12.70%,1.13B,800.82M,487.46M,12.32,-3.20%,267.72M,6.89,4.35B,,1.85,-83.36,650.29M,402.19M,Value,48105,Consumer Cyclical,6900,8,3,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. It operates through three segments: U.S. Stores, International Franchise, and Supply Chain. The company offers pizzas under the Domino's brand name through company-owned and franchised stores. As of January 3, 2021, it operated approximately 17,600 stores in 90 markets. The company was founded in 1960 and is based in Ann Arbor, Michigan.",Ann Arbor,734 930 3030,MI,9,1609372800,1622505600,5,United States,http://www.dominos.com/index.intl.html,86400,8,30 Frank Lloyd Wright Drive,Restaurants
t-3,DPZ,-3375256000.0,38828400,,,124496000,,118668000,88068000,251651000,163583000,163583000,,-39727000,,,,5828000,920023000,756440000,668372000,-39087000,,118668000,118668000,77289000.0,32251000.0,4864594000.0,-3282906000.0,140203000.0,1581688000.0,393000.0,351320000.0,-3311015000.0,77282000.0,15061000.0,-4535000.0,77731000.0,247952000.0,459868000.0,8214000.0,-4535000.0,484498000.0,927109000.0,,232114000.0,4092367000.0,66850000.0,102896000.0,42000000.0,-40000000.0,0.0,-56318000.0,46809000.0,31136000.0,-1412000.0,14696000.0,91996000.0,-31000.0,708000.0,116470000.0,14757000.0,-59000.0,-30186000.0,-16827000.0,-16265000.0,-24959000.0,-33334000.0,-152000.0,467241000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,1632960000,-1.1801362,508.47 - 515.8,510.02,509.5,516.89,11,8,finmb_3132512,NYSE,"Domino's Pizza, Inc.",USD,517915,323633,191.08002,0.5976667,319.71 - 548.72,-37.929962,-0.069124445,319.71,548.72,1619681406,1633505400,1633951800,3.28,41.456863,0.006345644,USD,REGULAR,510.79,1630505744,-6.100006,515.02,515.8,508.47,49201,us_market,2,0,0.17599893,Domino's Pizza Inc,NYQ,12.321,14.93,13.68,37.33845,-83.365,513.50836,-2.7183533,-0.0052936883,434.34564,76.44437,19833159680,34.212322,-6.127152,15,America/New_York,EDT,-14400000,False,False,0.48,,,548.72,319.71,513.51,434.35,517.91k,323.63k,38.83M,,36.51M,0.70%,101.20%,2.41M,3.28,7.93%,6.21%,2.21M,3.76,0.82%,3.28,0.63%,0.85,26.62%,"Sep 29, 2021","Jun 13, 2021",,,"Jan 02, 2021","Mar 27, 2021",11.53%,17.89%,30.97%,,4.23B,108.46,12.70%,1.13B,800.82M,487.46M,12.32,-3.20%,267.72M,6.89,4.35B,,1.85,-83.36,650.29M,402.19M,Value,48105,Consumer Cyclical,6900,8,3,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. It operates through three segments: U.S. Stores, International Franchise, and Supply Chain. The company offers pizzas under the Domino's brand name through company-owned and franchised stores. As of January 3, 2021, it operated approximately 17,600 stores in 90 markets. The company was founded in 1960 and is based in Ann Arbor, Michigan.",Ann Arbor,734 930 3030,MI,9,1609372800,1622505600,5,United States,http://www.dominos.com/index.intl.html,86400,8,30 Frank Lloyd Wright Drive,Restaurants
