Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermDebt,accountsPayable,otherAssets,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,maxAge,address1,fax,industry,address2
t0,ITRX,-313217.0,19100000,,,-31193,,-31193,29595,0,-30064,-30064,,-1128,,,,0,0,30064,0,-1129,,-31193,-31193,210900.0,343995.0,-313217.0,30778.0,19100.0,14919.0,-543217.0,1.0,12265.0,201969.0,3594.0,27184.0,142025.0,139516.0,,7605.0,30616.0,30616.0,-1494.0,6004.0,-24613.0,469.0,,-174785.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1630334598,0.0,0.1,0.1,0.1,5000,0,INTERRA RESOURCES CORPORATION,PRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_11343422,Other OTC,inTerra Resources Corp,USD,34680,7903,0.0999,999.0,1.0E-4 - 0.44,-0.34,-0.7727273,0.0001,0.44,-0.13511434,0.039387412,0.06061259,1.5388823,-0.01,-0.016,0.11562222,-0.015622221,1910000,-6.25,15,America/New_York,EDT,-14400000,False,False,-84.0,,,0.44,0.0001,0.1156,0.0394,34.68k,7.9k,19.1M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2006","Dec 30, 2006",0.00%,0.00%,-375.53%,,,,,,-185.04k,-188.68k,-0.0100,,12.27k,0,204.48k,,0.14,-0.02,-56.04k,14.71k,Value,L5B 2T4,Basic Materials,"inTerra Resources Corp., a development stage company, focuses on the acquisition and development of exploration properties in the People's Republic of China and internationally. The company was founded in 1998. It was formerly known as China Resources Group, Ltd. and changed its name to inTerra Resources Corp. in November 2006. inTerra Resources is headquartered in Mississauga, Canada.",Mississauga,905-281-3948,ON,Canada,86400,201 City Centre Drive,905-281-8993,Other Industrial Metals & Mining,Suite 900
t-1,ITRX,-282024.0,19100000,,,-31686,,-31686,25664,0,-31119,-31119,,-568,,,,0,0,31119,0,-567,,-31686,-31686,210900.0,305773.0,-282024.0,23749.0,19100.0,13425.0,-512024.0,,6261.0,158236.0,4063.0,19686.0,147537.0,131911.0,,22532.0,5231.0,5231.0,2519.0,4050.0,-1181.0,241.0,5213.0,-138550.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1630334598,0.0,0.1,0.1,0.1,5000,0,INTERRA RESOURCES CORPORATION,PRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_11343422,Other OTC,inTerra Resources Corp,USD,34680,7903,0.0999,999.0,1.0E-4 - 0.44,-0.34,-0.7727273,0.0001,0.44,-0.13511434,0.039387412,0.06061259,1.5388823,-0.01,-0.016,0.11562222,-0.015622221,1910000,-6.25,15,America/New_York,EDT,-14400000,False,False,-84.0,,,0.44,0.0001,0.1156,0.0394,34.68k,7.9k,19.1M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2006","Dec 30, 2006",0.00%,0.00%,-375.53%,,,,,,-185.04k,-188.68k,-0.0100,,12.27k,0,204.48k,,0.14,-0.02,-56.04k,14.71k,Value,L5B 2T4,Basic Materials,"inTerra Resources Corp., a development stage company, focuses on the acquisition and development of exploration properties in the People's Republic of China and internationally. The company was founded in 1998. It was formerly known as China Resources Group, Ltd. and changed its name to inTerra Resources Corp. in November 2006. inTerra Resources is headquartered in Mississauga, Canada.",Mississauga,905-281-3948,ON,Canada,86400,201 City Centre Drive,905-281-8993,Other Industrial Metals & Mining,Suite 900
t-2,ITRX,-255552.0,19100000,,,-58421,,-58421,27098,0,-57859,-57859,,-561,,,,0,0,57859,0,-562,,-58421,-58421,205686.0,278010.0,-255552.0,22458.0,19100.0,15944.0,-480338.0,,2210.0,135137.0,4304.0,18154.0,142873.0,109379.0,,17893.0,1409.0,1409.0,-626.0,-8983.0,-10392.0,347.0,30415.0,-116983.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1630334598,0.0,0.1,0.1,0.1,5000,0,INTERRA RESOURCES CORPORATION,PRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_11343422,Other OTC,inTerra Resources Corp,USD,34680,7903,0.0999,999.0,1.0E-4 - 0.44,-0.34,-0.7727273,0.0001,0.44,-0.13511434,0.039387412,0.06061259,1.5388823,-0.01,-0.016,0.11562222,-0.015622221,1910000,-6.25,15,America/New_York,EDT,-14400000,False,False,-84.0,,,0.44,0.0001,0.1156,0.0394,34.68k,7.9k,19.1M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2006","Dec 30, 2006",0.00%,0.00%,-375.53%,,,,,,-185.04k,-188.68k,-0.0100,,12.27k,0,204.48k,,0.14,-0.02,-56.04k,14.71k,Value,L5B 2T4,Basic Materials,"inTerra Resources Corp., a development stage company, focuses on the acquisition and development of exploration properties in the People's Republic of China and internationally. The company was founded in 1998. It was formerly known as China Resources Group, Ltd. and changed its name to inTerra Resources Corp. in November 2006. inTerra Resources is headquartered in Mississauga, Canada.",Mississauga,905-281-3948,ON,Canada,86400,201 City Centre Drive,905-281-8993,Other Industrial Metals & Mining,Suite 900
t-3,ITRX,-227545.0,19100000,,,-67375,,-67375,36479,0,-67178,-67178,,-197,,,,0,0,67178,0,-197,,-67375,-67375,175272.0,258708.0,-227545.0,31163.0,19100.0,15317.0,-421917.0,1.0,11194.0,116682.0,4651.0,26511.0,142025.0,91485.0,1.0,11561.0,25197.0,25197.0,5258.0,5340.0,-19857.0,127.0,30572.0,-90171.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1630334598,0.0,0.1,0.1,0.1,5000,0,INTERRA RESOURCES CORPORATION,PRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_11343422,Other OTC,inTerra Resources Corp,USD,34680,7903,0.0999,999.0,1.0E-4 - 0.44,-0.34,-0.7727273,0.0001,0.44,-0.13511434,0.039387412,0.06061259,1.5388823,-0.01,-0.016,0.11562222,-0.015622221,1910000,-6.25,15,America/New_York,EDT,-14400000,False,False,-84.0,,,0.44,0.0001,0.1156,0.0394,34.68k,7.9k,19.1M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2006","Dec 30, 2006",0.00%,0.00%,-375.53%,,,,,,-185.04k,-188.68k,-0.0100,,12.27k,0,204.48k,,0.14,-0.02,-56.04k,14.71k,Value,L5B 2T4,Basic Materials,"inTerra Resources Corp., a development stage company, focuses on the acquisition and development of exploration properties in the People's Republic of China and internationally. The company was founded in 1998. It was formerly known as China Resources Group, Ltd. and changed its name to inTerra Resources Corp. in November 2006. inTerra Resources is headquartered in Mississauga, Canada.",Mississauga,905-281-3948,ON,Canada,86400,201 City Centre Drive,905-281-8993,Other Industrial Metals & Mining,Suite 900
