Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,totalCurrentAssets,longTermDebt,accountsPayable,intangibleAssets,propertyPlantEquipment,netReceivables,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,changeToInventory,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,market,currency,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,marketState,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,epsForward,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,JAMN,-8861812.0,229307008,,,-3362539,,-3416363,263890,0,-263890,-263890,,-731144,,,,0,0,263890,0,-3098649,-53824,-3362539,-3416363,27897174.0,9550121.0,-8861812.0,3587017.0,688309.0,230568.0,667432.0,-37043901.0,3524595.0,54347.0,5600.0,10277.0,5794122.0,961378.0,54347.0,682709.0,231404.0,254846.0,,,,0.0,,,,,,,,,,,,-5111413.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.6154622,0,PRE,PNK,False,False,0.0004,1630525563,0.0,0.0005,0.0005,0.0004,63089036,0.04,-0.010526316,15,America/New_York,EDT,4,0.0,4.0E-4 - 5.0E-4,0.0004,0.0,0.0,0,0,finmb_23397111,Other OTC,Jammin Java Corp.,USD,72514634,74683209,0.00035,7.0,5.0E-5 - 0.006,-0.0056000003,-0.9333334,5e-05,0.006,1447257540,1466175540,1466438400,-0.065,0.01,-14400000,-0.038,0.0006180556,-0.00021805559,-0.35280904,0.0010402098,-0.00064020976,91722,JAMMIN JAVA CORP,16.57,,,0.006,0.0,0.0006,0.001,72.51M,74.68M,229.31M,,188.39M,0.00%,0.02%,,,,,,,,,,,0.00%,,,3:1,"Feb 28, 2010","Jan 30, 2016","Oct 30, 2016",-83.38%,-39.99%,-199.63%,,11.2M,0.08,,3.17M,-3.96M,-9.91M,-0.0650,,10.28k,0,1.4M,,0.12,-0.04,-588.45k,-180.17k,Value,80211,Consumer Defensive,12,"Jammin Java Corp. produces and sells roasted coffee under the Marley Coffee brand name in the United States and internationally. It distributes roasted coffee to grocery, retail, online, service, hospitality, office coffee service, and big box store industries. The company was formerly known as Marley Coffee Inc. and changed its name to Jammin Java Corp. in July 2009. Jammin Java Corp. was founded in 2004 and is headquartered in Denver, Colorado.",Denver,303-396-1756,CO,1483142400,United States,http://www.marleycoffee.com,86400,4730 Tejon Street,Food Distribution
t-1,JAMN,-7012500.0,229307008,,,-2894219,,-2894219,1818089,302965,-1515124,-1515124,,-669622,,,,0,1697783,3212907,1394818,-1379095,-53824,-2894219,-2894219,26962259.0,7530623.0,-6534806.0,1503500.0,995817.0,130473.0,3000.0,-33627538.0,,,21316.0,137561.0,7299219.0,1243972.0,,373284.0,231404.0,3057769.0,477694.0,123523.0,129614.0,503048.0,297.0,-464765.0,-464765.0,-616836.0,-55441.0,409027.0,129230.0,1306401.0,1531770.0,,,-6925935.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.6154622,0,PRE,PNK,False,False,0.0004,1630525563,0.0,0.0005,0.0005,0.0004,63089036,0.04,-0.010526316,15,America/New_York,EDT,4,0.0,4.0E-4 - 5.0E-4,0.0004,0.0,0.0,0,0,finmb_23397111,Other OTC,Jammin Java Corp.,USD,72514634,74683209,0.00035,7.0,5.0E-5 - 0.006,-0.0056000003,-0.9333334,5e-05,0.006,1447257540,1466175540,1466438400,-0.065,0.01,-14400000,-0.038,0.0006180556,-0.00021805559,-0.35280904,0.0010402098,-0.00064020976,91722,JAMMIN JAVA CORP,16.57,,,0.006,0.0,0.0006,0.001,72.51M,74.68M,229.31M,,188.39M,0.00%,0.02%,,,,,,,,,,,0.00%,,,3:1,"Feb 28, 2010","Jan 30, 2016","Oct 30, 2016",-83.38%,-39.99%,-199.63%,,11.2M,0.08,,3.17M,-3.96M,-9.91M,-0.0650,,10.28k,0,1.4M,,0.12,-0.04,-588.45k,-180.17k,Value,80211,Consumer Defensive,12,"Jammin Java Corp. produces and sells roasted coffee under the Marley Coffee brand name in the United States and internationally. It distributes roasted coffee to grocery, retail, online, service, hospitality, office coffee service, and big box store industries. The company was formerly known as Marley Coffee Inc. and changed its name to Jammin Java Corp. in July 2009. Jammin Java Corp. was founded in 2004 and is headquartered in Denver, Colorado.",Denver,303-396-1756,CO,1483142400,United States,http://www.marleycoffee.com,86400,4730 Tejon Street,Food Distribution
t-2,JAMN,-4722723.0,229307008,,,-1487569,,-1487569,2042715,941129,-1101586,-1101586,,-516753,,,,0,2727999,3829585,1786870,-385983,-53824,-1487569,-1487569,26459125.0,6533836.0,-4144060.0,782603.0,2389776.0,130134.0,3840.0,-30733319.0,,,23567.0,193002.0,6283473.0,928971.0,,1639239.0,250363.0,3635442.0,578663.0,148307.0,1436015.0,24185.0,297.0,229342.0,229342.0,466975.0,-38019.0,-267361.0,50419.0,-20456.0,699085.0,,,-4644234.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.6154622,0,PRE,PNK,False,False,0.0004,1630525563,0.0,0.0005,0.0005,0.0004,63089036,0.04,-0.010526316,15,America/New_York,EDT,4,0.0,4.0E-4 - 5.0E-4,0.0004,0.0,0.0,0,0,finmb_23397111,Other OTC,Jammin Java Corp.,USD,72514634,74683209,0.00035,7.0,5.0E-5 - 0.006,-0.0056000003,-0.9333334,5e-05,0.006,1447257540,1466175540,1466438400,-0.065,0.01,-14400000,-0.038,0.0006180556,-0.00021805559,-0.35280904,0.0010402098,-0.00064020976,91722,JAMMIN JAVA CORP,16.57,,,0.006,0.0,0.0006,0.001,72.51M,74.68M,229.31M,,188.39M,0.00%,0.02%,,,,,,,,,,,0.00%,,,3:1,"Feb 28, 2010","Jan 30, 2016","Oct 30, 2016",-83.38%,-39.99%,-199.63%,,11.2M,0.08,,3.17M,-3.96M,-9.91M,-0.0650,,10.28k,0,1.4M,,0.12,-0.04,-588.45k,-180.17k,Value,80211,Consumer Defensive,12,"Jammin Java Corp. produces and sells roasted coffee under the Marley Coffee brand name in the United States and internationally. It distributes roasted coffee to grocery, retail, online, service, hospitality, office coffee service, and big box store industries. The company was formerly known as Marley Coffee Inc. and changed its name to Jammin Java Corp. in July 2009. Jammin Java Corp. was founded in 2004 and is headquartered in Denver, Colorado.",Denver,303-396-1756,CO,1483142400,United States,http://www.marleycoffee.com,86400,4730 Tejon Street,Food Distribution
t-3,JAMN,-4021041.0,229307008,,,-1539357,,-1539357,2375172,1000680,-1374492,-1374492,,-99358,,,,0,2934916,4309408,1934236,-164865,-53824,-1539357,-1539357,25691579.0,5917197.0,-3427716.0,778951.0,2489481.0,126455.0,8000.0,-29245750.0,,,23567.0,231021.0,5917197.0,,,1684751.0,,3527083.0,593325.0,187838.0,1415559.0,696850.0,18536.0,336190.0,336190.0,262745.0,171278.0,-183448.0,133114.0,-348101.0,609320.0,1981.0,-33287.0,-4232446.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.6154622,0,PRE,PNK,False,False,0.0004,1630525563,0.0,0.0005,0.0005,0.0004,63089036,0.04,-0.010526316,15,America/New_York,EDT,4,0.0,4.0E-4 - 5.0E-4,0.0004,0.0,0.0,0,0,finmb_23397111,Other OTC,Jammin Java Corp.,USD,72514634,74683209,0.00035,7.0,5.0E-5 - 0.006,-0.0056000003,-0.9333334,5e-05,0.006,1447257540,1466175540,1466438400,-0.065,0.01,-14400000,-0.038,0.0006180556,-0.00021805559,-0.35280904,0.0010402098,-0.00064020976,91722,JAMMIN JAVA CORP,16.57,,,0.006,0.0,0.0006,0.001,72.51M,74.68M,229.31M,,188.39M,0.00%,0.02%,,,,,,,,,,,0.00%,,,3:1,"Feb 28, 2010","Jan 30, 2016","Oct 30, 2016",-83.38%,-39.99%,-199.63%,,11.2M,0.08,,3.17M,-3.96M,-9.91M,-0.0650,,10.28k,0,1.4M,,0.12,-0.04,-588.45k,-180.17k,Value,80211,Consumer Defensive,12,"Jammin Java Corp. produces and sells roasted coffee under the Marley Coffee brand name in the United States and internationally. It distributes roasted coffee to grocery, retail, online, service, hospitality, office coffee service, and big box store industries. The company was formerly known as Marley Coffee Inc. and changed its name to Jammin Java Corp. in July 2009. Jammin Java Corp. was founded in 2004 and is headquartered in Denver, Colorado.",Denver,303-396-1756,CO,1483142400,United States,http://www.marleycoffee.com,86400,4730 Tejon Street,Food Distribution
