Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,totalCurrentAssets,longTermDebt,accountsPayable,deferredLongTermLiab,changeToLiabilities,changeToOperatingActivities,totalCashFromOperatingActivities,changeInCash,totalCashFromFinancingActivities,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,sector,longBusinessSummary,city,phone,country,maxAge,address1,fax,industry,address2
t0,EGYF,-918444.0,91986400,,,-64576,,-64576,64576,0,-64576,-64576,,,,,,0,0,64576,0,0,,-64576,-64576,620571.0,856268.0,970115.0,-297873.0,6133.0,672242.0,83986.0,778.0,-1238127.0,50893.0,969739.0,50893.0,778.0,376.0,963606.0,,58406.0,6133.0,-37.0,-37.0,,,-968961.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0259,1630506665,-0.0029999986,0.0259,0.0259,0.0259,18543,0,ENERGY FINDERS INC,REGULAR,us_market,-10.380618,0.0259 - 0.0259,0.0289,0.0,0.0,0,0,finmb_22768661,Other OTC,"Energy Finders, Inc.",USD,251997,220913,0.014900001,1.3545455,0.011 - 0.182,-0.15609999,-0.85769224,0.011,0.182,-0.34528446,0.07817092,-0.05227092,-0.66867477,-0.003,-0.004,0.039559167,-0.013659166,2382445,-6.475,15,America/New_York,EDT,-14400000,False,False,3.5,,,0.182,0.011,0.0396,0.0782,252k,220.91k,91.99M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2012","Mar 30, 2012",0.00%,0.00%,-26.55%,,,,,,-280.52k,-286.88k,-0.0030,,,,376.0,,0.0,-0.0,-102,107.52k,Value,Energy,"Energy Finders, Inc. does not have significant operations. The company intends to consummate a merger or acquisition with a partner that may involve a change in the company's business. Previously, it was engaged in the oil and gas exploration activities. The company was incorporated in 2006 and is headquartered in Central, Hong Kong.",Central,852 3106 3332,Hong Kong,86400,Kai Tak Commercial Building,852 3106 3262,Oil & Gas E&P,Suite 308 3rd Floor 317-319 Des Voeux Road
t-1,EGYF,-853868.0,91986400,,,-73849,,-73849,71730,0,-73849,-73849,,,,,,0,0,73849,0,0,,-73849,-73849,620571.0,856268.0,905575.0,-233297.0,,672278.0,83986.0,814.0,-1173551.0,50893.0,905199.0,50893.0,814.0,376.0,905199.0,,71730.0,6133.0,-37.0,-37.0,,,-904385.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0259,1630506665,-0.0029999986,0.0259,0.0259,0.0259,18543,0,ENERGY FINDERS INC,REGULAR,us_market,-10.380618,0.0259 - 0.0259,0.0289,0.0,0.0,0,0,finmb_22768661,Other OTC,"Energy Finders, Inc.",USD,251997,220913,0.014900001,1.3545455,0.011 - 0.182,-0.15609999,-0.85769224,0.011,0.182,-0.34528446,0.07817092,-0.05227092,-0.66867477,-0.003,-0.004,0.039559167,-0.013659166,2382445,-6.475,15,America/New_York,EDT,-14400000,False,False,3.5,,,0.182,0.011,0.0396,0.0782,252k,220.91k,91.99M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2012","Mar 30, 2012",0.00%,0.00%,-26.55%,,,,,,-280.52k,-286.88k,-0.0030,,,,376.0,,0.0,-0.0,-102,107.52k,Value,Energy,"Energy Finders, Inc. does not have significant operations. The company intends to consummate a merger or acquisition with a partner that may involve a change in the company's business. Previously, it was engaged in the oil and gas exploration activities. The company was incorporated in 2006 and is headquartered in Central, Hong Kong.",Central,852 3106 3332,Hong Kong,86400,Kai Tak Commercial Building,852 3106 3262,Oil & Gas E&P,Suite 308 3rd Floor 317-319 Des Voeux Road
t-2,EGYF,-780019.0,91986400,,,-74457,,-74457,72338,0,-74457,-74457,,,,,,0,0,74457,0,0,,-74457,-74457,620571.0,856268.0,833845.0,-159448.0,,674397.0,83986.0,814.0,-1099702.0,53012.0,833469.0,50893.0,814.0,376.0,833469.0,2119.0,72283.0,6133.0,-55.0,-37.0,55.0,55.0,-832655.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0259,1630506665,-0.0029999986,0.0259,0.0259,0.0259,18543,0,ENERGY FINDERS INC,REGULAR,us_market,-10.380618,0.0259 - 0.0259,0.0289,0.0,0.0,0,0,finmb_22768661,Other OTC,"Energy Finders, Inc.",USD,251997,220913,0.014900001,1.3545455,0.011 - 0.182,-0.15609999,-0.85769224,0.011,0.182,-0.34528446,0.07817092,-0.05227092,-0.66867477,-0.003,-0.004,0.039559167,-0.013659166,2382445,-6.475,15,America/New_York,EDT,-14400000,False,False,3.5,,,0.182,0.011,0.0396,0.0782,252k,220.91k,91.99M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2012","Mar 30, 2012",0.00%,0.00%,-26.55%,,,,,,-280.52k,-286.88k,-0.0030,,,,376.0,,0.0,-0.0,-102,107.52k,Value,Energy,"Energy Finders, Inc. does not have significant operations. The company intends to consummate a merger or acquisition with a partner that may involve a change in the company's business. Previously, it was engaged in the oil and gas exploration activities. The company was incorporated in 2006 and is headquartered in Central, Hong Kong.",Central,852 3106 3332,Hong Kong,86400,Kai Tak Commercial Building,852 3106 3262,Oil & Gas E&P,Suite 308 3rd Floor 317-319 Des Voeux Road
t-3,EGYF,-705616.0,91986400,,,-73999,,-73999,71879,0,-73999,-73999,,,,,,0,0,73999,0,0,,-73999,-73999,620571.0,856268.0,761561.0,-85045.0,,676516.0,83931.0,814.0,-1025244.0,55131.0,761185.0,50893.0,814.0,376.0,761185.0,4238.0,71869.0,6133.0,-10.0,-37.0,10.0,10.0,-760371.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0259,1630506665,-0.0029999986,0.0259,0.0259,0.0259,18543,0,ENERGY FINDERS INC,REGULAR,us_market,-10.380618,0.0259 - 0.0259,0.0289,0.0,0.0,0,0,finmb_22768661,Other OTC,"Energy Finders, Inc.",USD,251997,220913,0.014900001,1.3545455,0.011 - 0.182,-0.15609999,-0.85769224,0.011,0.182,-0.34528446,0.07817092,-0.05227092,-0.66867477,-0.003,-0.004,0.039559167,-0.013659166,2382445,-6.475,15,America/New_York,EDT,-14400000,False,False,3.5,,,0.182,0.011,0.0396,0.0782,252k,220.91k,91.99M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2012","Mar 30, 2012",0.00%,0.00%,-26.55%,,,,,,-280.52k,-286.88k,-0.0030,,,,376.0,,0.0,-0.0,-102,107.52k,Value,Energy,"Energy Finders, Inc. does not have significant operations. The company intends to consummate a merger or acquisition with a partner that may involve a change in the company's business. Previously, it was engaged in the oil and gas exploration activities. The company was incorporated in 2006 and is headquartered in Central, Hong Kong.",Central,852 3106 3332,Hong Kong,86400,Kai Tak Commercial Building,852 3106 3262,Oil & Gas E&P,Suite 308 3rd Floor 317-319 Des Voeux Road
