Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,ISVLF,58851196.0,143812992,,,359219,,-257341,1378139,1944766,277676,277676,,-1221,,,,616560,5375860,5098184,3431094,81543,,-257341,-257341,8369286.0,6219205.0,58851196.0,65070401.0,80463330.0,-24323985.0,3879871.0,-5657435.0,500665.0,21749001.0,2326029.0,-5657435.0,40311604.0,24258132.0,75000.0,1602713.0,694326.0,2277351.0,-223175.0,-779934.0,-22524.0,863596.0,886120.0,1363450.0,1279788.0,299749.0,474938.0,-372225.0,1355848.0,-829934.0,,21932103.0,en-US,US,EQUITY,False,Delayed Quote,3.0238147,0.4156 - 0.456,0.42,0.0,0.0,0,0,finmb_3159980,Other OTC,IMPACT Silver Corp.,CAD,152390,159100,0.102699995,0.3112121,0.33 - 0.95,-0.5173,-0.54452634,0.33,0.95,USD,False,False,us_market,0.4327,1630525494,0.012700021,0.456,0.456,0.4156,142530,PRE,IMPACT SILVER CORPORATION,PNK,1616669940,1616669940,1616669940,33.284615,0.013,0,0.409,0.41085714,0.021842867,0.053164143,0.55913043,-0.12643042,-0.22611973,62227884,1.0579462,15,America/New_York,EDT,-14400000,4,1.09,,,0.95,0.33,0.4109,0.5591,152.39k,159.1k,143.81M,,142.76M,0.95%,5.92%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",12.17%,13.40%,2.68%,4.40%,17.54M,0.14,57.50%,4.68M,3.59M,2.13M,0.0130,,21.82M,0.15,61.98k,0.10,10.43,0.41,3.09M,1.12M,Value,V6C 1X8,Basic Materials,"IMPACT Silver Corp. engages in the exploration, development, and mineral processing activities in Mexico. The company produces silver, lead, zinc, gold, and copper deposits. It operates San Ramon Deeps, Mirasol, and Cuchara-Oscar silver mines. The company also owns interests in the Royal Mines of Zacualpan Silver District and the Capire Mineral District covering 357 square kilometers located in central Mexico. IMPACT Silver Corp. was founded in 2006 and is headquartered in Vancouver, Canada.",Vancouver,604 664 7707,BC,1609372800,Canada,http://www.impactsilver.com,86400,543 Granville Street,Silver,Suite 705
t-1,ISVLF,58689049.0,143812992,,,232729,,1658363,422203,1342959,558520,558520,29610.0,-1445,,,,-1425634,4547815,3989295,3204856,-325791,,1658363,1658363,7523552.0,6142581.0,58689049.0,64831630.0,79325168.0,-24066644.0,3474448.0,-4093027.0,575192.0,20385551.0,2651136.0,-4093027.0,41277674.0,22978764.0,,1218940.0,1213996.0,2589464.0,217352.0,-427269.0,-55319.0,3304229.0,4115743.0,2962299.0,85339.0,340118.0,-569570.0,-83779.0,-1366304.0,-427269.0,-756195.0,20327628.0,en-US,US,EQUITY,False,Delayed Quote,3.0238147,0.4156 - 0.456,0.42,0.0,0.0,0,0,finmb_3159980,Other OTC,IMPACT Silver Corp.,CAD,152390,159100,0.102699995,0.3112121,0.33 - 0.95,-0.5173,-0.54452634,0.33,0.95,USD,False,False,us_market,0.4327,1630525494,0.012700021,0.456,0.456,0.4156,142530,PRE,IMPACT SILVER CORPORATION,PNK,1616669940,1616669940,1616669940,33.284615,0.013,0,0.409,0.41085714,0.021842867,0.053164143,0.55913043,-0.12643042,-0.22611973,62227884,1.0579462,15,America/New_York,EDT,-14400000,4,1.09,,,0.95,0.33,0.4109,0.5591,152.39k,159.1k,143.81M,,142.76M,0.95%,5.92%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",12.17%,13.40%,2.68%,4.40%,17.54M,0.14,57.50%,4.68M,3.59M,2.13M,0.0130,,21.82M,0.15,61.98k,0.10,10.43,0.41,3.09M,1.12M,Value,V6C 1X8,Basic Materials,"IMPACT Silver Corp. engages in the exploration, development, and mineral processing activities in Mexico. The company produces silver, lead, zinc, gold, and copper deposits. It operates San Ramon Deeps, Mirasol, and Cuchara-Oscar silver mines. The company also owns interests in the Royal Mines of Zacualpan Silver District and the Capire Mineral District covering 357 square kilometers located in central Mexico. IMPACT Silver Corp. was founded in 2006 and is headquartered in Vancouver, Canada.",Vancouver,604 664 7707,BC,1609372800,Canada,http://www.impactsilver.com,86400,543 Granville Street,Silver,Suite 705
t-2,ISVLF,51687587.0,143812992,,,987958,,927842,463997,2060487,1220788,1220788,29610.0,-8919,,,,60116,4773965,3553177,2713478,-232830,,927842,927842,7628059.0,6904843.0,51687587.0,58592430.0,75248691.0,-25725007.0,4444115.0,-5464156.0,544158.0,17423252.0,2443401.0,-5464156.0,38816625.0,19231647.0,,961241.0,600762.0,2368049.0,443858.0,-591583.0,-27250.0,10158572.0,10185822.0,11121575.0,1554586.0,382830.0,-85832.0,-188811.0,122614.0,-591583.0,-756195.0,16788246.0,en-US,US,EQUITY,False,Delayed Quote,3.0238147,0.4156 - 0.456,0.42,0.0,0.0,0,0,finmb_3159980,Other OTC,IMPACT Silver Corp.,CAD,152390,159100,0.102699995,0.3112121,0.33 - 0.95,-0.5173,-0.54452634,0.33,0.95,USD,False,False,us_market,0.4327,1630525494,0.012700021,0.456,0.456,0.4156,142530,PRE,IMPACT SILVER CORPORATION,PNK,1616669940,1616669940,1616669940,33.284615,0.013,0,0.409,0.41085714,0.021842867,0.053164143,0.55913043,-0.12643042,-0.22611973,62227884,1.0579462,15,America/New_York,EDT,-14400000,4,1.09,,,0.95,0.33,0.4109,0.5591,152.39k,159.1k,143.81M,,142.76M,0.95%,5.92%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",12.17%,13.40%,2.68%,4.40%,17.54M,0.14,57.50%,4.68M,3.59M,2.13M,0.0130,,21.82M,0.15,61.98k,0.10,10.43,0.41,3.09M,1.12M,Value,V6C 1X8,Basic Materials,"IMPACT Silver Corp. engages in the exploration, development, and mineral processing activities in Mexico. The company produces silver, lead, zinc, gold, and copper deposits. It operates San Ramon Deeps, Mirasol, and Cuchara-Oscar silver mines. The company also owns interests in the Royal Mines of Zacualpan Silver District and the Capire Mineral District covering 357 square kilometers located in central Mexico. IMPACT Silver Corp. was founded in 2006 and is headquartered in Vancouver, Canada.",Vancouver,604 664 7707,BC,1609372800,Canada,http://www.impactsilver.com,86400,543 Granville Street,Silver,Suite 705
t-3,ISVLF,40012901.0,143812992,,,-179828,,-195019,348476,976442,293282,293282,29610.0,-8955,,,,15191,2842355,2549073,1865913,-473110,,-195019,-195019,7628059.0,6305745.0,40012901.0,46318646.0,65939530.0,-26652849.0,4255044.0,-6901839.0,580982.0,6301677.0,2015342.0,-6901839.0,37985034.0,7752630.0,,798955.0,505832.0,1936452.0,-133332.0,-225934.0,-24086.0,2468758.0,2492844.0,2414063.0,171239.0,341709.0,-89650.0,249490.0,-27492.0,-225934.0,-756195.0,5737288.0,en-US,US,EQUITY,False,Delayed Quote,3.0238147,0.4156 - 0.456,0.42,0.0,0.0,0,0,finmb_3159980,Other OTC,IMPACT Silver Corp.,CAD,152390,159100,0.102699995,0.3112121,0.33 - 0.95,-0.5173,-0.54452634,0.33,0.95,USD,False,False,us_market,0.4327,1630525494,0.012700021,0.456,0.456,0.4156,142530,PRE,IMPACT SILVER CORPORATION,PNK,1616669940,1616669940,1616669940,33.284615,0.013,0,0.409,0.41085714,0.021842867,0.053164143,0.55913043,-0.12643042,-0.22611973,62227884,1.0579462,15,America/New_York,EDT,-14400000,4,1.09,,,0.95,0.33,0.4109,0.5591,152.39k,159.1k,143.81M,,142.76M,0.95%,5.92%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",12.17%,13.40%,2.68%,4.40%,17.54M,0.14,57.50%,4.68M,3.59M,2.13M,0.0130,,21.82M,0.15,61.98k,0.10,10.43,0.41,3.09M,1.12M,Value,V6C 1X8,Basic Materials,"IMPACT Silver Corp. engages in the exploration, development, and mineral processing activities in Mexico. The company produces silver, lead, zinc, gold, and copper deposits. It operates San Ramon Deeps, Mirasol, and Cuchara-Oscar silver mines. The company also owns interests in the Royal Mines of Zacualpan Silver District and the Capire Mineral District covering 357 square kilometers located in central Mexico. IMPACT Silver Corp. was founded in 2006 and is headquartered in Vancouver, Canada.",Vancouver,604 664 7707,BC,1609372800,Canada,http://www.impactsilver.com,86400,543 Granville Street,Silver,Suite 705
