Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,accountsPayable,netReceivables,changeToLiabilities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,totalCashflowsFromInvestingActivities,changeToOperatingActivities,netBorrowings,totalCashFromFinancingActivities,otherCashflowsFromInvestingActivities,investments,otherCashflowsFromFinancingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,currency,market,shortName,exchange,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,exchangeDataDelayedBy,epsTrailingTwelveMonths,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,ERHE,-8365857.0,2879439872,,,-190011,,-190011,132779,0,-143421,-143421,,-113829,,,,0,0,143421,0,-46590,,-190011,-190011,108546669.0,13924633.0,-8365857.0,5173819.0,3250010.0,5558776.0,287944.0,-117200470.0,5173819.0,146530.0,13924633.0,212226.0,172731.0,10174741.0,,140259.0,16884.0,16884.0,10643.0,6188.0,-64009.0,,,,,,,,,-13751902.0,en-US,US,EQUITY,False,Delayed Quote,0.0001,1629303549,0.0,0.0001,0.0001,0.0001,1020279,-0.003,0.0001444444,-4.444441e-05,-0.30769214,0.0013415493,-0.0012415494,-0.9254594,479907,-0.03333333,15,America/New_York,EDT,False,False,USD,us_market,ERHC ENERGY INC,PNK,REGULAR,4,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_374651,Other OTC,ERHC Energy Inc.,USD,926324,0,0.0,0.0,1.0E-4 - 0.0045,-0.0044,-0.97777784,0.0001,0.0045,0,-0.006,-14400000,0.27,,,0.0045,0.0001,0.0001,0.0013,926.32k,,2.88B,,2.48B,13.87%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Jan 14, 2016","Sep 29, 2016","Jun 29, 2017",0.00%,"-17,863.68%",-83.41%,,54.61k,0.00,,,-9.71M,-11.14M,-0.0060,,146.53k,0,221.52k,,0.01,-0.00,-3.29M,6.23M,Value,77056,Energy,9,"ERHC Energy Inc. engages in the exploration and exploitation of oil and gas resources in Africa. Its principal assets include the rights to working interests in exploration acreage in the Republic of Kenya; the Republic of Chad; the Joint Development Zone between the Democratic Republic of Sao Tome and Principe; the Federal Republic of Nigeria; and the economic zone of Sao Tome. The company was founded in 1986 and is based in Houston, Texas.",Houston,713-626-4700,TX,1483142400,United States,http://www.erhc.com,86400,5444 Westheimer Road,Oil & Gas E&P,Suite 1000 #181
t-1,ERHE,-8175846.0,2879439872,,,-789821,,-789821,334422,18282,-326957,-326957,,-150134,,,,0,18282,345239,0,-462864,,-789821,-789821,108546669.0,13734569.0,-8175846.0,5173819.0,3314019.0,5558723.0,287944.0,-117010459.0,5173819.0,129646.0,13734569.0,222869.0,162035.0,10151837.0,6188.0,116956.0,-128564.0,-193564.0,10816.0,9291.0,312745.0,65000.0,3304.0,,,,,,,-13572534.0,en-US,US,EQUITY,False,Delayed Quote,0.0001,1629303549,0.0,0.0001,0.0001,0.0001,1020279,-0.003,0.0001444444,-4.444441e-05,-0.30769214,0.0013415493,-0.0012415494,-0.9254594,479907,-0.03333333,15,America/New_York,EDT,False,False,USD,us_market,ERHC ENERGY INC,PNK,REGULAR,4,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_374651,Other OTC,ERHC Energy Inc.,USD,926324,0,0.0,0.0,1.0E-4 - 0.0045,-0.0044,-0.97777784,0.0001,0.0045,0,-0.006,-14400000,0.27,,,0.0045,0.0001,0.0001,0.0013,926.32k,,2.88B,,2.48B,13.87%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Jan 14, 2016","Sep 29, 2016","Jun 29, 2017",0.00%,"-17,863.68%",-83.41%,,54.61k,0.00,,,-9.71M,-11.14M,-0.0060,,146.53k,0,221.52k,,0.01,-0.00,-3.29M,6.23M,Value,77056,Energy,9,"ERHC Energy Inc. engages in the exploration and exploitation of oil and gas resources in Africa. Its principal assets include the rights to working interests in exploration acreage in the Republic of Kenya; the Republic of Chad; the Joint Development Zone between the Democratic Republic of Sao Tome and Principe; the Federal Republic of Nigeria; and the economic zone of Sao Tome. The company was founded in 1986 and is based in Houston, Texas.",Houston,713-626-4700,TX,1483142400,United States,http://www.erhc.com,86400,5444 Westheimer Road,Oil & Gas E&P,Suite 1000 #181
t-2,ERHE,-7752342.0,2879439872,,,-1935857,,-1935857,465873,36330,-1185752,-1185752,,-204793,,,,0,36330,1222082,0,-750105,,-1935857,-1935857,108371019.0,13674790.0,-7752342.0,5173819.0,3422595.0,5922448.0,97277.0,-116220638.0,5173819.0,258210.0,13674790.0,445435.0,303194.0,10070034.0,15479.0,810142.0,-181334.0,-390809.0,9646.0,-15479.0,545349.0,125000.0,3304.0,84475.0,84475.0,125000.0,,,,-13371596.0,en-US,US,EQUITY,False,Delayed Quote,0.0001,1629303549,0.0,0.0001,0.0001,0.0001,1020279,-0.003,0.0001444444,-4.444441e-05,-0.30769214,0.0013415493,-0.0012415494,-0.9254594,479907,-0.03333333,15,America/New_York,EDT,False,False,USD,us_market,ERHC ENERGY INC,PNK,REGULAR,4,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_374651,Other OTC,ERHC Energy Inc.,USD,926324,0,0.0,0.0,1.0E-4 - 0.0045,-0.0044,-0.97777784,0.0001,0.0045,0,-0.006,-14400000,0.27,,,0.0045,0.0001,0.0001,0.0013,926.32k,,2.88B,,2.48B,13.87%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Jan 14, 2016","Sep 29, 2016","Jun 29, 2017",0.00%,"-17,863.68%",-83.41%,,54.61k,0.00,,,-9.71M,-11.14M,-0.0060,,146.53k,0,221.52k,,0.01,-0.00,-3.29M,6.23M,Value,77056,Energy,9,"ERHC Energy Inc. engages in the exploration and exploitation of oil and gas resources in Africa. Its principal assets include the rights to working interests in exploration acreage in the Republic of Kenya; the Republic of Chad; the Joint Development Zone between the Democratic Republic of Sao Tome and Principe; the Federal Republic of Nigeria; and the economic zone of Sao Tome. The company was founded in 1986 and is based in Houston, Texas.",Houston,713-626-4700,TX,1483142400,United States,http://www.erhc.com,86400,5444 Westheimer Road,Oil & Gas E&P,Suite 1000 #181
t-3,ERHE,-6843093.0,2879439872,,,-8227118,,-8227118,633883,0,-8099580,-8099580,,-45840,,,,0,0,8099580,0,-127538,,-8227118,-8227118,107436940.0,13066042.0,-6843093.0,5683819.0,3510461.0,6222949.0,4748.0,-114284781.0,5683819.0,439544.0,13066042.0,70081.0,469049.0,9273608.0,,5125400.0,-861400.0,-2723990.0,11596.0,-15479.0,137841.0,1762573.0,172620.0,73013.0,100017.0,125000.0,-3.0,27004.0,1762576.0,-12596993.0,en-US,US,EQUITY,False,Delayed Quote,0.0001,1629303549,0.0,0.0001,0.0001,0.0001,1020279,-0.003,0.0001444444,-4.444441e-05,-0.30769214,0.0013415493,-0.0012415494,-0.9254594,479907,-0.03333333,15,America/New_York,EDT,False,False,USD,us_market,ERHC ENERGY INC,PNK,REGULAR,4,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_374651,Other OTC,ERHC Energy Inc.,USD,926324,0,0.0,0.0,1.0E-4 - 0.0045,-0.0044,-0.97777784,0.0001,0.0045,0,-0.006,-14400000,0.27,,,0.0045,0.0001,0.0001,0.0013,926.32k,,2.88B,,2.48B,13.87%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Jan 14, 2016","Sep 29, 2016","Jun 29, 2017",0.00%,"-17,863.68%",-83.41%,,54.61k,0.00,,,-9.71M,-11.14M,-0.0060,,146.53k,0,221.52k,,0.01,-0.00,-3.29M,6.23M,Value,77056,Energy,9,"ERHC Energy Inc. engages in the exploration and exploitation of oil and gas resources in Africa. Its principal assets include the rights to working interests in exploration acreage in the Republic of Kenya; the Republic of Chad; the Joint Development Zone between the Democratic Republic of Sao Tome and Principe; the Federal Republic of Nigeria; and the economic zone of Sao Tome. The company was founded in 1986 and is based in Houston, Texas.",Houston,713-626-4700,TX,1483142400,United States,http://www.erhc.com,86400,5444 Westheimer Road,Oil & Gas E&P,Suite 1000 #181
