Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry,address2
t0,DMZPY,-461389000.0,173047008,,,72417000,,47724000,61257000,185057000,70053500,70053500,20927000,-4790000,,,,22333000,547555500,477502000,362498500,2363500,,50084000,47724000,393254000.0,2026590000.0,407151000.0,70870000.0,2433741000.0,259500000.0,33800000.0,277919000.0,271178000.0,475286000.0,-130268000.0,347524000.0,177342000.0,543948000.0,155000.0,16098000.0,-130268000.0,636909000.0,493786000.0,86982000.0,10010000.0,232405000.0,546108000.0,40229000.0,346149000.0,,241500,18701000,-18960000,-80183500,-92556000,1658500,10461500,-34168000,-3805500,81153500,32819500,15735500,-22749000,-6646000,-16959500,-85000,-1344500,-22453000,-50162000.0,en-US,US,EQUITY,False,Delayed Quote,USD,DOMINOS PIZZA ENTERPRISES LIMIT,0.25923905,9154066432,22.256693,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,2,52.37,1629744615,0.0,43.57,52.37,52.37,22,PNK,us_market,0.0,52.37 - 52.37,52.37,0.0,0.0,0,0,finmb_22275640,Other OTC,Domino's Pizza Enterprises Limited,AUD,226,33,24.869999,0.9043636,27.5 - 52.37,0.0,0.0,27.5,52.37,1632441600,1.41,71.2517,0.026923811,0.735,2.353,44.920277,7.4497223,0.1658432,41.588608,10.781391,0.3,,,52.37,27.5,44.92,41.59,226,33,173.05M,,116.23M,0.00%,0.00%,,,,,,0.53,1.30%,1.41,2.69%,,61.05%,"Sep 23, 2021","Feb 25, 2021",,,"Jun 27, 2020","Dec 26, 2020",7.86%,11.69%,6.54%,42.57%,2.09B,12.13,20.90%,639.76M,297.45M,164.71M,0.74,37.90%,187.35M,1.08,1.34B,328.72,0.91,2.35,340.34M,211.68M,Value,4007,Consumer Cyclical,65000,1,5,"Domino's Pizza Enterprises Limited operates retail food outlets. The company holds franchise rights for the Domino's brand and network in Australia, New Zealand, Belgium, France, the Netherlands, Japan, Germany, Luxembourg, and Denmark. It operates a network of approximately 2,668 stores. Domino's Pizza Enterprises Limited was founded in 1983 and is based in Brisbane, Australia.",Brisbane,61 7 3633 3333,QLD,6,1609372800,1619740800,9,Australia,http://www.dominos.com.au,86400,8,KSD1,Restaurants,Level 1 485 Kingsford Smith Drive Hamilton
t-1,DMZPY,-461389000.0,173047008,,,72417000,,47724000,61257000,185057000,70053500,70053500,20927000,-4790000,,,,22333000,547555500,477502000,362498500,2363500,,50084000,47724000,393254000.0,2026590000.0,407151000.0,70870000.0,2433741000.0,259500000.0,33800000.0,277919000.0,271178000.0,475286000.0,-130268000.0,347524000.0,177342000.0,543948000.0,155000.0,16098000.0,-130268000.0,636909000.0,493786000.0,86982000.0,10010000.0,232405000.0,546108000.0,40229000.0,346149000.0,,241500,18701000,-18960000,-80183500,-92556000,1658500,10461500,-34168000,-3805500,81153500,32819500,15735500,-22749000,-6646000,-16959500,-85000,-1344500,-22453000,-50162000.0,en-US,US,EQUITY,False,Delayed Quote,USD,DOMINOS PIZZA ENTERPRISES LIMIT,0.25923905,9154066432,22.256693,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,2,52.37,1629744615,0.0,43.57,52.37,52.37,22,PNK,us_market,0.0,52.37 - 52.37,52.37,0.0,0.0,0,0,finmb_22275640,Other OTC,Domino's Pizza Enterprises Limited,AUD,226,33,24.869999,0.9043636,27.5 - 52.37,0.0,0.0,27.5,52.37,1632441600,1.41,71.2517,0.026923811,0.735,2.353,44.920277,7.4497223,0.1658432,41.588608,10.781391,0.3,,,52.37,27.5,44.92,41.59,226,33,173.05M,,116.23M,0.00%,0.00%,,,,,,0.53,1.30%,1.41,2.69%,,61.05%,"Sep 23, 2021","Feb 25, 2021",,,"Jun 27, 2020","Dec 26, 2020",7.86%,11.69%,6.54%,42.57%,2.09B,12.13,20.90%,639.76M,297.45M,164.71M,0.74,37.90%,187.35M,1.08,1.34B,328.72,0.91,2.35,340.34M,211.68M,Value,4007,Consumer Cyclical,65000,1,5,"Domino's Pizza Enterprises Limited operates retail food outlets. The company holds franchise rights for the Domino's brand and network in Australia, New Zealand, Belgium, France, the Netherlands, Japan, Germany, Luxembourg, and Denmark. It operates a network of approximately 2,668 stores. Domino's Pizza Enterprises Limited was founded in 1983 and is based in Brisbane, Australia.",Brisbane,61 7 3633 3333,QLD,6,1609372800,1619740800,9,Australia,http://www.dominos.com.au,86400,8,KSD1,Restaurants,Level 1 485 Kingsford Smith Drive Hamilton
t-2,DMZPY,-396725000.0,173047008,,,50411000,,34632000,54152000,165728000,52416500,52416500,26935000,-4777000,,,,14444000,499754000,447337500,334026000,-2005500,,35967000,34632000,297549000.0,2077732000.0,393373000.0,144613000.0,2471105000.0,235420000.0,15827000.0,227969000.0,220944000.0,492549000.0,-70016000.0,504577000.0,245678000.0,535659000.0,6005000.0,50667000.0,-70016000.0,651830000.0,522399000.0,2201000.0,,210143000.0,658080000.0,30857000.0,223202000.0,89156000.0,37500,25233500,-24114500,22420000,-7055000,-5895000,10461500,59404500,1559500,89014500,22120000,11677000,-28760500,2025500,254500,-714500,-3371000,-24317000,-13260000.0,en-US,US,EQUITY,False,Delayed Quote,USD,DOMINOS PIZZA ENTERPRISES LIMIT,0.25923905,9154066432,22.256693,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,2,52.37,1629744615,0.0,43.57,52.37,52.37,22,PNK,us_market,0.0,52.37 - 52.37,52.37,0.0,0.0,0,0,finmb_22275640,Other OTC,Domino's Pizza Enterprises Limited,AUD,226,33,24.869999,0.9043636,27.5 - 52.37,0.0,0.0,27.5,52.37,1632441600,1.41,71.2517,0.026923811,0.735,2.353,44.920277,7.4497223,0.1658432,41.588608,10.781391,0.3,,,52.37,27.5,44.92,41.59,226,33,173.05M,,116.23M,0.00%,0.00%,,,,,,0.53,1.30%,1.41,2.69%,,61.05%,"Sep 23, 2021","Feb 25, 2021",,,"Jun 27, 2020","Dec 26, 2020",7.86%,11.69%,6.54%,42.57%,2.09B,12.13,20.90%,639.76M,297.45M,164.71M,0.74,37.90%,187.35M,1.08,1.34B,328.72,0.91,2.35,340.34M,211.68M,Value,4007,Consumer Cyclical,65000,1,5,"Domino's Pizza Enterprises Limited operates retail food outlets. The company holds franchise rights for the Domino's brand and network in Australia, New Zealand, Belgium, France, the Netherlands, Japan, Germany, Luxembourg, and Denmark. It operates a network of approximately 2,668 stores. Domino's Pizza Enterprises Limited was founded in 1983 and is based in Brisbane, Australia.",Brisbane,61 7 3633 3333,QLD,6,1609372800,1619740800,9,Australia,http://www.dominos.com.au,86400,8,KSD1,Restaurants,Level 1 485 Kingsford Smith Drive Hamilton
t-3,DMZPY,-396725000.0,173047008,,,50411000,,34632000,54152000,165728000,52416500,52416500,26935000,-4777000,,,,14444000,499754000,447337500,334026000,-2005500,,35967000,34632000,297549000.0,2077732000.0,393373000.0,144613000.0,2471105000.0,235420000.0,15827000.0,227969000.0,220944000.0,492549000.0,-70016000.0,504577000.0,245678000.0,535659000.0,6005000.0,50667000.0,-70016000.0,651830000.0,522399000.0,2201000.0,,210143000.0,658080000.0,30857000.0,223202000.0,89156000.0,37500,25233500,-24114500,22420000,-7055000,-5895000,10461500,59404500,1559500,89014500,22120000,11677000,-28760500,2025500,254500,-714500,-3371000,-24317000,-13260000.0,en-US,US,EQUITY,False,Delayed Quote,USD,DOMINOS PIZZA ENTERPRISES LIMIT,0.25923905,9154066432,22.256693,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,2,52.37,1629744615,0.0,43.57,52.37,52.37,22,PNK,us_market,0.0,52.37 - 52.37,52.37,0.0,0.0,0,0,finmb_22275640,Other OTC,Domino's Pizza Enterprises Limited,AUD,226,33,24.869999,0.9043636,27.5 - 52.37,0.0,0.0,27.5,52.37,1632441600,1.41,71.2517,0.026923811,0.735,2.353,44.920277,7.4497223,0.1658432,41.588608,10.781391,0.3,,,52.37,27.5,44.92,41.59,226,33,173.05M,,116.23M,0.00%,0.00%,,,,,,0.53,1.30%,1.41,2.69%,,61.05%,"Sep 23, 2021","Feb 25, 2021",,,"Jun 27, 2020","Dec 26, 2020",7.86%,11.69%,6.54%,42.57%,2.09B,12.13,20.90%,639.76M,297.45M,164.71M,0.74,37.90%,187.35M,1.08,1.34B,328.72,0.91,2.35,340.34M,211.68M,Value,4007,Consumer Cyclical,65000,1,5,"Domino's Pizza Enterprises Limited operates retail food outlets. The company holds franchise rights for the Domino's brand and network in Australia, New Zealand, Belgium, France, the Netherlands, Japan, Germany, Luxembourg, and Denmark. It operates a network of approximately 2,668 stores. Domino's Pizza Enterprises Limited was founded in 1983 and is based in Brisbane, Australia.",Brisbane,61 7 3633 3333,QLD,6,1609372800,1619740800,9,Australia,http://www.dominos.com.au,86400,8,KSD1,Restaurants,Level 1 485 Kingsford Smith Drive Hamilton
