Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,ECRFF,28789453.0,216044992,,,-334398,,276320,357330,0,-362412,-362412,,-4980,,,,-610718,0,362412,0,28014,,276320,276320,3375466.0,5513089.0,28789453.0,1638070.0,34302542.0,43928692.0,-18651782.0,2983519.0,137077.0,8607970.0,2432732.0,137077.0,24164167.0,10138375.0,90500.0,1187106.0,40000.0,753614.0,66756.0,-2146037.0,-9813.0,115187.0,33444.0,125000.0,-2139178.0,-108328.0,5081.0,210000.0,25853.0,-254716.0,-2356037.0,,7705643.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.13,0.1975,0.0072999895,0.036961973,0.22876811,-0.023968115,-0.104770355,44274892,1.5753846,15,America/New_York,EDT,-14400000,False,False,0.2048,1630503021,0.0069999993,0.2048,0.2048,0.2048,2490,REGULAR,PNK,4,3.538928,0.2048 - 0.2048,0.1978,0.0,0.0,0,0,finmb_30120804,Other OTC,Cartier Resources Inc.,CAD,33832,75650,0.064799994,0.4628571,0.14 - 0.31,-0.10520001,-0.33935487,0.14,0.31,-0.003,0,CARTIER RESOURCES INC,1.64,,,0.31,0.14,0.1975,0.2288,33.83k,75.65k,216.04M,,173.68M,20.05%,23.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-2.78%,-2.67%,,,,,-1.33M,-685.11k,-0.0030,,8.7M,0.04,137.89k,0.48,4.17,0.13,-1.28M,-4.47M,Value,J9P 7H1,Basic Materials,"Cartier Resources Inc. engages in the acquisition and exploration of mining properties in Canada. The company explores for gold deposits. Its flagship project is the Chimo mine property located to the east of Val-d'Or, Quebec. The company also holds interest in Benoist, Fenton, Wilson, Cadillac Extension, Dollier, and MacCormack metal deposit projects, which are located in Quebec. Cartier Resources Inc. was incorporated in 2006 and is headquartered in Val-d'Or, Canada.",Val-D'or,819 874 1331,QC,1609372800,Canada,http://ressourcescartier.com,86400,"1740, Chemin Sullivan",819 874 3113,Gold,Suite 1000
t-1,ECRFF,28104371.0,216044992,,,-370564,,-59530,341089,0,-346211,-346211,,-5832,,,,-311034,0,346211,0,-24353,,-59530,-59530,3287438.0,5785869.0,28104371.0,2279188.0,33890240.0,43304392.0,-18667036.0,2689403.0,179577.0,10747148.0,2982378.0,179577.0,21643725.0,12246515.0,,1213124.0,40000.0,669579.0,31498.0,-1910755.0,-9451.0,-9451.0,-147683.0,125000.0,-2524058.0,-603852.0,5083.0,210000.0,-242141.0,-191079.0,-1910755.0,,9264137.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.13,0.1975,0.0072999895,0.036961973,0.22876811,-0.023968115,-0.104770355,44274892,1.5753846,15,America/New_York,EDT,-14400000,False,False,0.2048,1630503021,0.0069999993,0.2048,0.2048,0.2048,2490,REGULAR,PNK,4,3.538928,0.2048 - 0.2048,0.1978,0.0,0.0,0,0,finmb_30120804,Other OTC,Cartier Resources Inc.,CAD,33832,75650,0.064799994,0.4628571,0.14 - 0.31,-0.10520001,-0.33935487,0.14,0.31,-0.003,0,CARTIER RESOURCES INC,1.64,,,0.31,0.14,0.1975,0.2288,33.83k,75.65k,216.04M,,173.68M,20.05%,23.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-2.78%,-2.67%,,,,,-1.33M,-685.11k,-0.0030,,8.7M,0.04,137.89k,0.48,4.17,0.13,-1.28M,-4.47M,Value,J9P 7H1,Basic Materials,"Cartier Resources Inc. engages in the acquisition and exploration of mining properties in Canada. The company explores for gold deposits. Its flagship project is the Chimo mine property located to the east of Val-d'Or, Quebec. The company also holds interest in Benoist, Fenton, Wilson, Cadillac Extension, Dollier, and MacCormack metal deposit projects, which are located in Quebec. Cartier Resources Inc. was incorporated in 2006 and is headquartered in Val-d'Or, Canada.",Val-D'or,819 874 1331,QC,1609372800,Canada,http://ressourcescartier.com,86400,"1740, Chemin Sullivan",819 874 3113,Gold,Suite 1000
t-2,ECRFF,28005551.0,216044992,,,-357831,,-358477,332197,0,-338508,-338508,,-6021,,,,646,0,338508,0,-19323,,-358477,-358477,3129088.0,5751062.0,28005551.0,2940057.0,33756613.0,43304392.0,-18607506.0,2339568.0,179577.0,13271206.0,3298802.0,179577.0,19376361.0,14380252.0,,970486.0,40000.0,314287.0,34347.0,-330527.0,10349.0,140349.0,12029.0,130000.0,-459692.0,-269514.0,5082.0,110024.0,-39278.0,76783.0,-440551.0,,11081450.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.13,0.1975,0.0072999895,0.036961973,0.22876811,-0.023968115,-0.104770355,44274892,1.5753846,15,America/New_York,EDT,-14400000,False,False,0.2048,1630503021,0.0069999993,0.2048,0.2048,0.2048,2490,REGULAR,PNK,4,3.538928,0.2048 - 0.2048,0.1978,0.0,0.0,0,0,finmb_30120804,Other OTC,Cartier Resources Inc.,CAD,33832,75650,0.064799994,0.4628571,0.14 - 0.31,-0.10520001,-0.33935487,0.14,0.31,-0.003,0,CARTIER RESOURCES INC,1.64,,,0.31,0.14,0.1975,0.2288,33.83k,75.65k,216.04M,,173.68M,20.05%,23.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-2.78%,-2.67%,,,,,-1.33M,-685.11k,-0.0030,,8.7M,0.04,137.89k,0.48,4.17,0.13,-1.28M,-4.47M,Value,J9P 7H1,Basic Materials,"Cartier Resources Inc. engages in the acquisition and exploration of mining properties in Canada. The company explores for gold deposits. Its flagship project is the Chimo mine property located to the east of Val-d'Or, Quebec. The company also holds interest in Benoist, Fenton, Wilson, Cadillac Extension, Dollier, and MacCormack metal deposit projects, which are located in Quebec. Cartier Resources Inc. was incorporated in 2006 and is headquartered in Val-d'Or, Canada.",Val-D'or,819 874 1331,QC,1609372800,Canada,http://ressourcescartier.com,86400,"1740, Chemin Sullivan",819 874 3113,Gold,Suite 1000
t-3,ECRFF,28117213.0,216044992,,,-322930,,-282359,280866,0,-287174,-287174,,-4156,,,,-40571,0,287174,0,-35756,,-282359,-282359,3077403.0,5526095.0,28117213.0,2908217.0,33643308.0,43109262.0,-18249029.0,2373861.0,179577.0,13730898.0,3032511.0,179577.0,19588829.0,14054479.0,,172992.0,30000.0,87216.0,-87451.0,-90614.0,-10123.0,8686967.0,-74156.0,9364626.0,8298277.0,-298076.0,5082.0,529006.0,61842.0,78962.0,-619620.0,-667536.0,11021968.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.13,0.1975,0.0072999895,0.036961973,0.22876811,-0.023968115,-0.104770355,44274892,1.5753846,15,America/New_York,EDT,-14400000,False,False,0.2048,1630503021,0.0069999993,0.2048,0.2048,0.2048,2490,REGULAR,PNK,4,3.538928,0.2048 - 0.2048,0.1978,0.0,0.0,0,0,finmb_30120804,Other OTC,Cartier Resources Inc.,CAD,33832,75650,0.064799994,0.4628571,0.14 - 0.31,-0.10520001,-0.33935487,0.14,0.31,-0.003,0,CARTIER RESOURCES INC,1.64,,,0.31,0.14,0.1975,0.2288,33.83k,75.65k,216.04M,,173.68M,20.05%,23.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-2.78%,-2.67%,,,,,-1.33M,-685.11k,-0.0030,,8.7M,0.04,137.89k,0.48,4.17,0.13,-1.28M,-4.47M,Value,J9P 7H1,Basic Materials,"Cartier Resources Inc. engages in the acquisition and exploration of mining properties in Canada. The company explores for gold deposits. Its flagship project is the Chimo mine property located to the east of Val-d'Or, Quebec. The company also holds interest in Benoist, Fenton, Wilson, Cadillac Extension, Dollier, and MacCormack metal deposit projects, which are located in Quebec. Cartier Resources Inc. was incorporated in 2006 and is headquartered in Val-d'Or, Canada.",Val-D'or,819 874 1331,QC,1609372800,Canada,http://ressourcescartier.com,86400,"1740, Chemin Sullivan",819 874 3113,Gold,Suite 1000
