Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingPE,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,marketState,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,exchange,priceHint,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry,address2
t0,GMWKF,186500000.0,32776200,,,29650000,,24050000,31650000,57900000,30050000,30050000,-3800000,-250000,,,,5600000,83200000,53150000,25300000,-400000,,24050000,24050000,8400000.0,14500000.0,85400000.0,196300000.0,15300000.0,11000000.0,281700000.0,1600000.0,178100000.0,2300000.0,1400000.0,2100000.0,31700000.0,85200000.0,44700000.0,10100000.0,2100000.0,95800000.0,144400000.0,21800000.0,27500000.0,12100000.0,1450000.0,-9600000.0,-2800000.0,-20000000.0,50000.0,-5650000.0,-250000.0,24200000.0,5250000.0,50000.0,-17200000.0,-3850000.0,-2450000.0,-1900000.0,-6100000.0,,99700000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,163.05 - 163.05,163.05,0.0,0.0,0,0,finmb_28819,Other OTC,Games Workshop Group PLC,GBP,79,100,52.25,0.47157037,110.8 - 171.9,-8.849991,-0.05148337,110.8,171.9,1.6,39.251328,-14400000,False,False,USD,PREPRE,0.009812941,4.154,5.573,158.92372,4.1262817,0.025963914,151.59224,11.457764,0.07558279,5446212608,29.257133,15,America/New_York,EDT,GAMES WORKSHOP GROUP,163.05,1630077648,0.0,163.05,163.05,163.05,2,0,PNK,2,us_market,1.09,,,171.9,110.8,158.92,151.59,79,100,32.78M,,32.69M,2.64%,74.39%,,,,,,2.23,1.37%,1.60,0.98%,3.81,63.43%,,"Aug 04, 2021",,,"May 29, 2021","May 29, 2021",34.54%,43.06%,38.86%,73.94%,353.2M,10.79,37.20%,256.9M,161.3M,122M,4.15,102.10%,85.2M,2.6,47M,23.94,3.23,5.57,132.7M,74.44M,Value,NG7 2WS,Consumer Cyclical,2436,7,9,"Games Workshop Group PLC, together with its subsidiaries, designs and manufactures miniature figures and games. It operates through Trade, Retail, and Online segments. The company's games include Warhammer: Age of Sigmar; Warhammer 40,000; Horus Heresy; and Middle-earth strategy battle game. It also publishes short stories, audio dramas, full length novels, and audio books under the Black Library name through physical bookstores, third party online platforms, and other retail and specialist stores; and develops digital content for animation and TV. In addition, the company engages in the newsstand and trustee businesses. It provides its products through its retail stores, social media sites, and warhammer-community.com. As of May 31, 2021, the company operated 523 stores in 23 countries; 406 single staff stores; and 117 multi-staff stores. It serves in the United Kingdom, Continental Europe, North America, Australia, New Zealand, Asia, and internationally. Games Workshop Group PLC was incorporated in 1991 and is headquartered in Nottingham, the United Kingdom.",Nottingham,44 1159 140 000,1,1640908800,1625097600,7,United Kingdom,http://www.games-workshop.com,86400,8,Willow Road,Leisure,Lenton
t-1,GMWKF,186500000.0,32776200,,,29650000,,24050000,31650000,57900000,30050000,30050000,-3800000,-250000,,,,5600000,83200000,53150000,25300000,-400000,,24050000,24050000,8400000.0,14500000.0,85400000.0,196300000.0,15300000.0,11000000.0,281700000.0,1600000.0,178100000.0,2300000.0,1400000.0,2100000.0,31700000.0,85200000.0,44700000.0,10100000.0,2100000.0,95800000.0,144400000.0,21800000.0,27500000.0,12100000.0,1450000.0,-9600000.0,-2800000.0,-20000000.0,50000.0,-5650000.0,-250000.0,24200000.0,5250000.0,50000.0,-17200000.0,-3850000.0,-2450000.0,-1900000.0,-6100000.0,,99700000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,163.05 - 163.05,163.05,0.0,0.0,0,0,finmb_28819,Other OTC,Games Workshop Group PLC,GBP,79,100,52.25,0.47157037,110.8 - 171.9,-8.849991,-0.05148337,110.8,171.9,1.6,39.251328,-14400000,False,False,USD,PREPRE,0.009812941,4.154,5.573,158.92372,4.1262817,0.025963914,151.59224,11.457764,0.07558279,5446212608,29.257133,15,America/New_York,EDT,GAMES WORKSHOP GROUP,163.05,1630077648,0.0,163.05,163.05,163.05,2,0,PNK,2,us_market,1.09,,,171.9,110.8,158.92,151.59,79,100,32.78M,,32.69M,2.64%,74.39%,,,,,,2.23,1.37%,1.60,0.98%,3.81,63.43%,,"Aug 04, 2021",,,"May 29, 2021","May 29, 2021",34.54%,43.06%,38.86%,73.94%,353.2M,10.79,37.20%,256.9M,161.3M,122M,4.15,102.10%,85.2M,2.6,47M,23.94,3.23,5.57,132.7M,74.44M,Value,NG7 2WS,Consumer Cyclical,2436,7,9,"Games Workshop Group PLC, together with its subsidiaries, designs and manufactures miniature figures and games. It operates through Trade, Retail, and Online segments. The company's games include Warhammer: Age of Sigmar; Warhammer 40,000; Horus Heresy; and Middle-earth strategy battle game. It also publishes short stories, audio dramas, full length novels, and audio books under the Black Library name through physical bookstores, third party online platforms, and other retail and specialist stores; and develops digital content for animation and TV. In addition, the company engages in the newsstand and trustee businesses. It provides its products through its retail stores, social media sites, and warhammer-community.com. As of May 31, 2021, the company operated 523 stores in 23 countries; 406 single staff stores; and 117 multi-staff stores. It serves in the United Kingdom, Continental Europe, North America, Australia, New Zealand, Asia, and internationally. Games Workshop Group PLC was incorporated in 1991 and is headquartered in Nottingham, the United Kingdom.",Nottingham,44 1159 140 000,1,1640908800,1625097600,7,United Kingdom,http://www.games-workshop.com,86400,8,Willow Road,Leisure,Lenton
t-2,GMWKF,160500000.0,32776200,,,45800000,,36950000,28900000,70550000,46000000,46000000,-4350000,-250000,,,,8850000,93400000,47400000,22850000,-200000,,36950000,36950000,20300000.0,14400000.0,84400000.0,182200000.0,,5000000.0,266600000.0,1600000.0,162600000.0,2400000.0,1400000.0,3600000.0,16000000.0,96500000.0,45300000.0,8900000.0,3600000.0,87000000.0,141900000.0,25800000.0,19600000.0,31700000.0,100000.0,-5300000.0,-2650000.0,-15000000.0,-500000.0,21800000.0,-50000.0,42150000.0,4850000.0,50000.0,-13050000.0,750000.0,-2950000.0,1550000.0,-2600000.0,700000.0,96600000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,163.05 - 163.05,163.05,0.0,0.0,0,0,finmb_28819,Other OTC,Games Workshop Group PLC,GBP,79,100,52.25,0.47157037,110.8 - 171.9,-8.849991,-0.05148337,110.8,171.9,1.6,39.251328,-14400000,False,False,USD,PREPRE,0.009812941,4.154,5.573,158.92372,4.1262817,0.025963914,151.59224,11.457764,0.07558279,5446212608,29.257133,15,America/New_York,EDT,GAMES WORKSHOP GROUP,163.05,1630077648,0.0,163.05,163.05,163.05,2,0,PNK,2,us_market,1.09,,,171.9,110.8,158.92,151.59,79,100,32.78M,,32.69M,2.64%,74.39%,,,,,,2.23,1.37%,1.60,0.98%,3.81,63.43%,,"Aug 04, 2021",,,"May 29, 2021","May 29, 2021",34.54%,43.06%,38.86%,73.94%,353.2M,10.79,37.20%,256.9M,161.3M,122M,4.15,102.10%,85.2M,2.6,47M,23.94,3.23,5.57,132.7M,74.44M,Value,NG7 2WS,Consumer Cyclical,2436,7,9,"Games Workshop Group PLC, together with its subsidiaries, designs and manufactures miniature figures and games. It operates through Trade, Retail, and Online segments. The company's games include Warhammer: Age of Sigmar; Warhammer 40,000; Horus Heresy; and Middle-earth strategy battle game. It also publishes short stories, audio dramas, full length novels, and audio books under the Black Library name through physical bookstores, third party online platforms, and other retail and specialist stores; and develops digital content for animation and TV. In addition, the company engages in the newsstand and trustee businesses. It provides its products through its retail stores, social media sites, and warhammer-community.com. As of May 31, 2021, the company operated 523 stores in 23 countries; 406 single staff stores; and 117 multi-staff stores. It serves in the United Kingdom, Continental Europe, North America, Australia, New Zealand, Asia, and internationally. Games Workshop Group PLC was incorporated in 1991 and is headquartered in Nottingham, the United Kingdom.",Nottingham,44 1159 140 000,1,1640908800,1625097600,7,United Kingdom,http://www.games-workshop.com,86400,8,Willow Road,Leisure,Lenton
t-3,GMWKF,160500000.0,32776200,,,45800000,,36950000,28900000,70550000,46000000,46000000,-4350000,-250000,,,,8850000,93400000,47400000,22850000,-200000,,36950000,36950000,20300000.0,14400000.0,84400000.0,182200000.0,,5000000.0,266600000.0,1600000.0,162600000.0,2400000.0,1400000.0,3600000.0,16000000.0,96500000.0,45300000.0,8900000.0,3600000.0,87000000.0,141900000.0,25800000.0,19600000.0,31700000.0,100000.0,-5300000.0,-2650000.0,-15000000.0,-500000.0,21800000.0,-50000.0,42150000.0,4850000.0,50000.0,-13050000.0,750000.0,-2950000.0,1550000.0,-2600000.0,700000.0,96600000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,163.05 - 163.05,163.05,0.0,0.0,0,0,finmb_28819,Other OTC,Games Workshop Group PLC,GBP,79,100,52.25,0.47157037,110.8 - 171.9,-8.849991,-0.05148337,110.8,171.9,1.6,39.251328,-14400000,False,False,USD,PREPRE,0.009812941,4.154,5.573,158.92372,4.1262817,0.025963914,151.59224,11.457764,0.07558279,5446212608,29.257133,15,America/New_York,EDT,GAMES WORKSHOP GROUP,163.05,1630077648,0.0,163.05,163.05,163.05,2,0,PNK,2,us_market,1.09,,,171.9,110.8,158.92,151.59,79,100,32.78M,,32.69M,2.64%,74.39%,,,,,,2.23,1.37%,1.60,0.98%,3.81,63.43%,,"Aug 04, 2021",,,"May 29, 2021","May 29, 2021",34.54%,43.06%,38.86%,73.94%,353.2M,10.79,37.20%,256.9M,161.3M,122M,4.15,102.10%,85.2M,2.6,47M,23.94,3.23,5.57,132.7M,74.44M,Value,NG7 2WS,Consumer Cyclical,2436,7,9,"Games Workshop Group PLC, together with its subsidiaries, designs and manufactures miniature figures and games. It operates through Trade, Retail, and Online segments. The company's games include Warhammer: Age of Sigmar; Warhammer 40,000; Horus Heresy; and Middle-earth strategy battle game. It also publishes short stories, audio dramas, full length novels, and audio books under the Black Library name through physical bookstores, third party online platforms, and other retail and specialist stores; and develops digital content for animation and TV. In addition, the company engages in the newsstand and trustee businesses. It provides its products through its retail stores, social media sites, and warhammer-community.com. As of May 31, 2021, the company operated 523 stores in 23 countries; 406 single staff stores; and 117 multi-staff stores. It serves in the United Kingdom, Continental Europe, North America, Australia, New Zealand, Asia, and internationally. Games Workshop Group PLC was incorporated in 1991 and is headquartered in Nottingham, the United Kingdom.",Nottingham,44 1159 140 000,1,1640908800,1625097600,7,United Kingdom,http://www.games-workshop.com,86400,8,Willow Road,Leisure,Lenton
