Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,JUSHF,-89876000.0,150544000,,,-20368000,1307000,-26626000,17394000,20093000,-864000,-864000,,-6653000,,,,6433000,41675000,42539000,21582000,-19504000,,-26801000,-26626000,136337000.0,379448000.0,77516000.0,30922000.0,458271000.0,348597000.0,1346000.0,-292579000.0,235199000.0,31055000.0,21498000.0,6191000.0,162085000.0,49640000.0,1594000.0,21498000.0,86236000.0,196952000.0,1500000.0,5832000.0,1594000.0,56765000.0,24219000.0,6405000.0,3252000.0,12077000.0,-9039000.0,-10700000.0,84846000.0,396000.0,95546000.0,76228000.0,-40000.0,461000.0,1769000.0,-5680000.0,-16000.0,18541000.0,-8699000.0,,,147312000.0,en-US,US,EQUITY,False,Delayed Quote,4.66,1630526362,0.24479961,4.43,4.7,4.42,359472,-1.3719711,-0.2274499,787740416,3.444198,15,America/New_York,EDT,-14400000,False,False,USD,4,JUSHI HOLDINGS INC,PNK,-0.16,-29.125,1.353,4.9696283,-0.3096285,-0.062304154,6.031971,0,finmb_554422655,Other OTC,Jushi Holdings Inc.,USD,327637,302900,2.7099998,1.3897434,1.95 - 9.063,-4.403,-0.4858215,1.95,9.063,1524787200,1619686800,1619686800,1619686800,-0.196,PRE,5.5444736,4.42 - 4.7,4.4152,us_market,1.58,,,9.063,1.95,4.9696,6.032,327.64k,302.9k,150.54M,,139.83M,6.79%,0.69%,,,,,,,,,,,0.00%,"Apr 26, 2018",,1:30,"Apr 26, 2018","Dec 30, 2020","Mar 30, 2021",-194.15%,-2.00%,-0.42%,-242.13%,113.81M,1.00,382.70%,43.07M,1.75M,-220.97M,-0.1960,,167.92M,1.08,102.45M,129.98,3.97,1.35,4.42M,-22.45M,Value,33431,Healthcare,557,"Jushi Holdings Inc., a vertically integrated cannabis company, engages in the cultivation, processing, retail, and distribution of medical and adult-use products. It focuses on building a portfolio of cannabis assets in various jurisdictions in Pennsylvania, Virginia, Ohio, Illinois, California, Nevada, and Massachusetts. The company operates retail locations under the BEYOND/HELLO retail brand, which include 11 medical dispensaries in Ardmore, Bethlehem, Bristol, Irwin, Johnstown, Philadelphia, Reading, Scranton, and West Chester, Pennsylvania; and 3 adult-use dispensaries located in Sauget and Normal, Illinois. It also offers hemp-based CBD products, including cannabidiol supplements, tinctures, soft gels, and topicals/lotions under The Bank, The Lab, Nira+ Medicinals, Seche, Tasteology, and Nira brands. The company was incorporated in 2007 and is headquartered in Boca Raton, Florida.",Boca Raton,561 617 9100,FL,1609372800,United States,http://www.jushico.com,86400,301 Yamato Road,Drug Manufacturers—Specialty & Generic,Suite 3250
t-1,JUSHF,-163260000.0,150544000,,,-150476000,1927000,-156037000,17357000,19187000,1732000,1732000,,-5955000,,,,6187000,32294000,30562000,13107000,-152208000,,-156663000,-156037000,132028000.0,357529000.0,-177000.0,22821000.0,359279000.0,244623000.0,567000.0,-264091000.0,232634000.0,31055000.0,19291000.0,7456000.0,85857000.0,36754000.0,1338000.0,19291000.0,72471000.0,116269000.0,,,1665000.0,53647000.0,17744000.0,3712000.0,-253000.0,16868000.0,-12201000.0,-19462000.0,53541000.0,406000.0,75234000.0,50090000.0,-23000.0,8773000.0,1900000.0,-3018000.0,200000.0,148450000.0,-9289000.0,-1553000.0,-2231000.0,79515000.0,en-US,US,EQUITY,False,Delayed Quote,4.66,1630526362,0.24479961,4.43,4.7,4.42,359472,-1.3719711,-0.2274499,787740416,3.444198,15,America/New_York,EDT,-14400000,False,False,USD,4,JUSHI HOLDINGS INC,PNK,-0.16,-29.125,1.353,4.9696283,-0.3096285,-0.062304154,6.031971,0,finmb_554422655,Other OTC,Jushi Holdings Inc.,USD,327637,302900,2.7099998,1.3897434,1.95 - 9.063,-4.403,-0.4858215,1.95,9.063,1524787200,1619686800,1619686800,1619686800,-0.196,PRE,5.5444736,4.42 - 4.7,4.4152,us_market,1.58,,,9.063,1.95,4.9696,6.032,327.64k,302.9k,150.54M,,139.83M,6.79%,0.69%,,,,,,,,,,,0.00%,"Apr 26, 2018",,1:30,"Apr 26, 2018","Dec 30, 2020","Mar 30, 2021",-194.15%,-2.00%,-0.42%,-242.13%,113.81M,1.00,382.70%,43.07M,1.75M,-220.97M,-0.1960,,167.92M,1.08,102.45M,129.98,3.97,1.35,4.42M,-22.45M,Value,33431,Healthcare,557,"Jushi Holdings Inc., a vertically integrated cannabis company, engages in the cultivation, processing, retail, and distribution of medical and adult-use products. It focuses on building a portfolio of cannabis assets in various jurisdictions in Pennsylvania, Virginia, Ohio, Illinois, California, Nevada, and Massachusetts. The company operates retail locations under the BEYOND/HELLO retail brand, which include 11 medical dispensaries in Ardmore, Bethlehem, Bristol, Irwin, Johnstown, Philadelphia, Reading, Scranton, and West Chester, Pennsylvania; and 3 adult-use dispensaries located in Sauget and Normal, Illinois. It also offers hemp-based CBD products, including cannabidiol supplements, tinctures, soft gels, and topicals/lotions under The Bank, The Lab, Nira+ Medicinals, Seche, Tasteology, and Nira brands. The company was incorporated in 2007 and is headquartered in Boca Raton, Florida.",Boca Raton,561 617 9100,FL,1609372800,United States,http://www.jushico.com,86400,301 Yamato Road,Drug Manufacturers—Specialty & Generic,Suite 3250
t-2,JUSHF,-108678000.0,150544000,,,-28150000,11932000,-29426000,9259000,12250000,407000,407000,,-6791000,,,,1849000,24913000,24506000,12663000,-28557000,,-29999000,-29426000,140327000.0,231591000.0,59704000.0,5057000.0,303227000.0,144216000.0,3046000.0,-102588000.0,106470000.0,28055000.0,18076000.0,4250000.0,35767000.0,41206000.0,11876000.0,18076000.0,68015000.0,62580000.0,,,1052000.0,49210000.0,10732000.0,3618000.0,6511000.0,3966000.0,-15983000.0,14738000.0,15335000.0,-2600000.0,596000.0,-2743000.0,-11000.0,-2084000.0,1454000.0,815000.0,-591000.0,24282000.0,-2613000.0,-1553000.0,1000.0,21374000.0,en-US,US,EQUITY,False,Delayed Quote,4.66,1630526362,0.24479961,4.43,4.7,4.42,359472,-1.3719711,-0.2274499,787740416,3.444198,15,America/New_York,EDT,-14400000,False,False,USD,4,JUSHI HOLDINGS INC,PNK,-0.16,-29.125,1.353,4.9696283,-0.3096285,-0.062304154,6.031971,0,finmb_554422655,Other OTC,Jushi Holdings Inc.,USD,327637,302900,2.7099998,1.3897434,1.95 - 9.063,-4.403,-0.4858215,1.95,9.063,1524787200,1619686800,1619686800,1619686800,-0.196,PRE,5.5444736,4.42 - 4.7,4.4152,us_market,1.58,,,9.063,1.95,4.9696,6.032,327.64k,302.9k,150.54M,,139.83M,6.79%,0.69%,,,,,,,,,,,0.00%,"Apr 26, 2018",,1:30,"Apr 26, 2018","Dec 30, 2020","Mar 30, 2021",-194.15%,-2.00%,-0.42%,-242.13%,113.81M,1.00,382.70%,43.07M,1.75M,-220.97M,-0.1960,,167.92M,1.08,102.45M,129.98,3.97,1.35,4.42M,-22.45M,Value,33431,Healthcare,557,"Jushi Holdings Inc., a vertically integrated cannabis company, engages in the cultivation, processing, retail, and distribution of medical and adult-use products. It focuses on building a portfolio of cannabis assets in various jurisdictions in Pennsylvania, Virginia, Ohio, Illinois, California, Nevada, and Massachusetts. The company operates retail locations under the BEYOND/HELLO retail brand, which include 11 medical dispensaries in Ardmore, Bethlehem, Bristol, Irwin, Johnstown, Philadelphia, Reading, Scranton, and West Chester, Pennsylvania; and 3 adult-use dispensaries located in Sauget and Normal, Illinois. It also offers hemp-based CBD products, including cannabidiol supplements, tinctures, soft gels, and topicals/lotions under The Bank, The Lab, Nira+ Medicinals, Seche, Tasteology, and Nira brands. The company was incorporated in 2007 and is headquartered in Boca Raton, Florida.",Boca Raton,561 617 9100,FL,1609372800,United States,http://www.jushico.com,86400,301 Yamato Road,Drug Manufacturers—Specialty & Generic,Suite 3250
t-3,JUSHF,-45916000.0,150544000,,,-8291000,12503000,-8879000,8751000,7472000,-3554000,-3554000,,-3435000,,,,1017000,14932000,18486000,7460000,-4737000,,-9308000,-8879000,105061000.0,139274000.0,87200000.0,3535000.0,238977000.0,143232000.0,2417000.0,-73163000.0,43687000.0,28055000.0,17131000.0,842000.0,38510000.0,34387000.0,13107000.0,17131000.0,42593000.0,62426000.0,,,55000.0,46848000.0,4488000.0,3940000.0,3612849.0,7472002.0,-8284382.0,13824245.0,13817245.0,-1883620.0,596000.0,2791309.0,-11160.0,-2730394.0,1006719.0,-1674388.0,171777.0,1040071.0,-8847769.0,-1553000.0,-7000.0,28039000.0,en-US,US,EQUITY,False,Delayed Quote,4.66,1630526362,0.24479961,4.43,4.7,4.42,359472,-1.3719711,-0.2274499,787740416,3.444198,15,America/New_York,EDT,-14400000,False,False,USD,4,JUSHI HOLDINGS INC,PNK,-0.16,-29.125,1.353,4.9696283,-0.3096285,-0.062304154,6.031971,0,finmb_554422655,Other OTC,Jushi Holdings Inc.,USD,327637,302900,2.7099998,1.3897434,1.95 - 9.063,-4.403,-0.4858215,1.95,9.063,1524787200,1619686800,1619686800,1619686800,-0.196,PRE,5.5444736,4.42 - 4.7,4.4152,us_market,1.58,,,9.063,1.95,4.9696,6.032,327.64k,302.9k,150.54M,,139.83M,6.79%,0.69%,,,,,,,,,,,0.00%,"Apr 26, 2018",,1:30,"Apr 26, 2018","Dec 30, 2020","Mar 30, 2021",-194.15%,-2.00%,-0.42%,-242.13%,113.81M,1.00,382.70%,43.07M,1.75M,-220.97M,-0.1960,,167.92M,1.08,102.45M,129.98,3.97,1.35,4.42M,-22.45M,Value,33431,Healthcare,557,"Jushi Holdings Inc., a vertically integrated cannabis company, engages in the cultivation, processing, retail, and distribution of medical and adult-use products. It focuses on building a portfolio of cannabis assets in various jurisdictions in Pennsylvania, Virginia, Ohio, Illinois, California, Nevada, and Massachusetts. The company operates retail locations under the BEYOND/HELLO retail brand, which include 11 medical dispensaries in Ardmore, Bethlehem, Bristol, Irwin, Johnstown, Philadelphia, Reading, Scranton, and West Chester, Pennsylvania; and 3 adult-use dispensaries located in Sauget and Normal, Illinois. It also offers hemp-based CBD products, including cannabidiol supplements, tinctures, soft gels, and topicals/lotions under The Bank, The Lab, Nira+ Medicinals, Seche, Tasteology, and Nira brands. The company was incorporated in 2007 and is headquartered in Boca Raton, Florida.",Boca Raton,561 617 9100,FL,1609372800,United States,http://www.jushico.com,86400,301 Yamato Road,Drug Manufacturers—Specialty & Generic,Suite 3250
