Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,inventory,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,fax,industry
t0,JUMT,-19892163.0,46468900,,,,,0,,0,0,,,,,,,0,0,0,0,0,,,,62789.0,37950324.0,23280431.0,-19829374.0,120301.0,3452254.0,4646.0,126171.0,-58942345.0,1158001.0,98805.0,452897.0,23280431.0,19451092.0,1158001.0,870971.0,2419689.0,1818844.0,823535.0,,,0.0,,,,,,,,,,,,-20860742.0,en-US,US,EQUITY,False,Delayed Quote,0.0014,1630071001,0.0,0.0014,0.0014,0.0014,300,-0.0062821126,-0.81775844,65056,-0.0032786885,15,America/New_York,EDT,-14400000,False,False,USD,4,JUMA TECHNOLOGY CORPORATION,PNK,-0.427,0.0032311112,-0.0018311113,-0.56671256,0.0076821125,0,finmb_32624394,Other OTC,Juma Technology Corp.,USD,26141,37,0.0001999999,0.16666657,0.0012 - 0.02,-0.0186,-0.93,0.0012,0.02,-0.231,PRE,0.0,0.0014 - 0.0014,0.0014,0.0,0.0,0,0,us_market,6.35,,,0.02,0.0012,0.0032,0.0077,26.14k,37,46.47M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Dec 30, 2010",0.00%,-233.68%,-68.24%,,1.96M,0.04,,531.79k,-4.17M,-9.79M,-0.2310,,452.9k,0.01,19.48M,,0.10,-0.43,-6.07M,-77.91k,Value,11735,Technology,49,"Juma Technology Corp., through its subsidiary, Nectar Services Corp., provides a suite of software services for the management, monitoring, and call routing of an entity's voice and data systems. The company offers Converged Management Platform, an intelligent distributed platform that converges the monitoring of voice and data equipment, and the remote management of the various layers of a client's network and systems infrastructure to provide a view of the health and status of an entire network. Its Converged Management Platform is provided as a service to managed service providers in enabling them to monitor and manage their end-clients' facilities, as well as sold by managed service providers or channel partners directly to IT buyers within businesses and enterprises. The company also provides Enterprise Session Management, a managed services software solution that enables carrier class routing and session management functionality for enterprise or business customers. In addition, it offers a hosted telephony service that allows small to medium sized businesses to gain the features and functionality larger firms without purchasing a corporate private branch exchange. The company provides its software services for voice and data networks through a sales channel program of voice over Internet protocol and data integration firms. Juma Technology Corp. is headquartered in Farmingdale, New York.",Farmingdale,631-300-1000,NY,United States,86400,154 Toledo Street,631-300-4660,Communication Equipment
t-1,JUMT,-17721430.0,46468900,48420.0,,-2069205.0,,-2076236,2423496.0,833214,-1638702,-1638702.0,,-471013.0,,,,7031,2331645,3970347,1498431,-430503,,-2076236.0,-2076236.0,,37972809.0,22018632.0,-17721430.0,40071.0,4298399.0,4646.0,133889.0,-56726574.0,1027689.0,173887.0,392857.0,22017670.0,17629229.0,1027689.0,966260.0,3158252.0,2415252.0,1626117.0,171789.0,,-926104.0,-7413.0,908301.0,908301.0,1131442.0,119987.0,-780901.0,102747.0,-7493.0,913472.0,98567.0,-7413.0,-18859418.0,en-US,US,EQUITY,False,Delayed Quote,0.0014,1630071001,0.0,0.0014,0.0014,0.0014,300,-0.0062821126,-0.81775844,65056,-0.0032786885,15,America/New_York,EDT,-14400000,False,False,USD,4,JUMA TECHNOLOGY CORPORATION,PNK,-0.427,0.0032311112,-0.0018311113,-0.56671256,0.0076821125,0,finmb_32624394,Other OTC,Juma Technology Corp.,USD,26141,37,0.0001999999,0.16666657,0.0012 - 0.02,-0.0186,-0.93,0.0012,0.02,-0.231,PRE,0.0,0.0014 - 0.0014,0.0014,0.0,0.0,0,0,us_market,6.35,,,0.02,0.0012,0.0032,0.0077,26.14k,37,46.47M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Dec 30, 2010",0.00%,-233.68%,-68.24%,,1.96M,0.04,,531.79k,-4.17M,-9.79M,-0.2310,,452.9k,0.01,19.48M,,0.10,-0.43,-6.07M,-77.91k,Value,11735,Technology,49,"Juma Technology Corp., through its subsidiary, Nectar Services Corp., provides a suite of software services for the management, monitoring, and call routing of an entity's voice and data systems. The company offers Converged Management Platform, an intelligent distributed platform that converges the monitoring of voice and data equipment, and the remote management of the various layers of a client's network and systems infrastructure to provide a view of the health and status of an entire network. Its Converged Management Platform is provided as a service to managed service providers in enabling them to monitor and manage their end-clients' facilities, as well as sold by managed service providers or channel partners directly to IT buyers within businesses and enterprises. The company also provides Enterprise Session Management, a managed services software solution that enables carrier class routing and session management functionality for enterprise or business customers. In addition, it offers a hosted telephony service that allows small to medium sized businesses to gain the features and functionality larger firms without purchasing a corporate private branch exchange. The company provides its software services for voice and data networks through a sales channel program of voice over Internet protocol and data integration firms. Juma Technology Corp. is headquartered in Farmingdale, New York.",Farmingdale,631-300-1000,NY,United States,86400,154 Toledo Street,631-300-4660,Communication Equipment
t-2,JUMT,-15972782.0,46468900,71472.0,,-2235936.0,,-2235936,1681934.0,980819,-772587,-772587.0,,-1463349.0,,,,0,3434279,4206866,2453460,-1463349,,-2235936.0,-2827163.0,,37915968.0,21173072.0,-15972782.0,69185.0,5201487.0,4646.0,133889.0,-54650338.0,756942.0,197099.0,272870.0,20529723.0,16301815.0,756942.0,1061594.0,3942794.0,3307950.0,1838017.0,164296.0,641448.0,166853.0,-28929.0,288170.0,288170.0,-31436.0,-2042060.0,-2301301.0,102032.0,-7008.0,-1488738.0,179194.0,-28929.0,-16586929.0,en-US,US,EQUITY,False,Delayed Quote,0.0014,1630071001,0.0,0.0014,0.0014,0.0014,300,-0.0062821126,-0.81775844,65056,-0.0032786885,15,America/New_York,EDT,-14400000,False,False,USD,4,JUMA TECHNOLOGY CORPORATION,PNK,-0.427,0.0032311112,-0.0018311113,-0.56671256,0.0076821125,0,finmb_32624394,Other OTC,Juma Technology Corp.,USD,26141,37,0.0001999999,0.16666657,0.0012 - 0.02,-0.0186,-0.93,0.0012,0.02,-0.231,PRE,0.0,0.0014 - 0.0014,0.0014,0.0,0.0,0,0,us_market,6.35,,,0.02,0.0012,0.0032,0.0077,26.14k,37,46.47M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Dec 30, 2010",0.00%,-233.68%,-68.24%,,1.96M,0.04,,531.79k,-4.17M,-9.79M,-0.2310,,452.9k,0.01,19.48M,,0.10,-0.43,-6.07M,-77.91k,Value,11735,Technology,49,"Juma Technology Corp., through its subsidiary, Nectar Services Corp., provides a suite of software services for the management, monitoring, and call routing of an entity's voice and data systems. The company offers Converged Management Platform, an intelligent distributed platform that converges the monitoring of voice and data equipment, and the remote management of the various layers of a client's network and systems infrastructure to provide a view of the health and status of an entire network. Its Converged Management Platform is provided as a service to managed service providers in enabling them to monitor and manage their end-clients' facilities, as well as sold by managed service providers or channel partners directly to IT buyers within businesses and enterprises. The company also provides Enterprise Session Management, a managed services software solution that enables carrier class routing and session management functionality for enterprise or business customers. In addition, it offers a hosted telephony service that allows small to medium sized businesses to gain the features and functionality larger firms without purchasing a corporate private branch exchange. The company provides its software services for voice and data networks through a sales channel program of voice over Internet protocol and data integration firms. Juma Technology Corp. is headquartered in Farmingdale, New York.",Farmingdale,631-300-1000,NY,United States,86400,154 Toledo Street,631-300-4660,Communication Equipment
t-3,JUMT,-13845864.0,46468900,47356.0,,-3606432.0,,-3611510,2187601.0,604793,-1630164,-1630164.0,,-1976268.0,,,,5078,2312905,3943069,1708112,-1976268,,-3611510.0,-3611510.0,,33921009.0,19767506.0,-13845864.0,15564.0,5922642.0,4646.0,133889.0,-51823175.0,4051656.0,221554.0,2314930.0,19117122.0,15021030.0,4051656.0,1134697.0,4566391.0,1927931.0,2115520.0,157288.0,636506.0,171578.0,-10885.0,2731104.0,2731104.0,-5516.0,1353929.0,-1366290.0,100308.0,4482.0,253921.0,134738.0,-10885.0,-14550731.0,en-US,US,EQUITY,False,Delayed Quote,0.0014,1630071001,0.0,0.0014,0.0014,0.0014,300,-0.0062821126,-0.81775844,65056,-0.0032786885,15,America/New_York,EDT,-14400000,False,False,USD,4,JUMA TECHNOLOGY CORPORATION,PNK,-0.427,0.0032311112,-0.0018311113,-0.56671256,0.0076821125,0,finmb_32624394,Other OTC,Juma Technology Corp.,USD,26141,37,0.0001999999,0.16666657,0.0012 - 0.02,-0.0186,-0.93,0.0012,0.02,-0.231,PRE,0.0,0.0014 - 0.0014,0.0014,0.0,0.0,0,0,us_market,6.35,,,0.02,0.0012,0.0032,0.0077,26.14k,37,46.47M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Dec 30, 2010",0.00%,-233.68%,-68.24%,,1.96M,0.04,,531.79k,-4.17M,-9.79M,-0.2310,,452.9k,0.01,19.48M,,0.10,-0.43,-6.07M,-77.91k,Value,11735,Technology,49,"Juma Technology Corp., through its subsidiary, Nectar Services Corp., provides a suite of software services for the management, monitoring, and call routing of an entity's voice and data systems. The company offers Converged Management Platform, an intelligent distributed platform that converges the monitoring of voice and data equipment, and the remote management of the various layers of a client's network and systems infrastructure to provide a view of the health and status of an entire network. Its Converged Management Platform is provided as a service to managed service providers in enabling them to monitor and manage their end-clients' facilities, as well as sold by managed service providers or channel partners directly to IT buyers within businesses and enterprises. The company also provides Enterprise Session Management, a managed services software solution that enables carrier class routing and session management functionality for enterprise or business customers. In addition, it offers a hosted telephony service that allows small to medium sized businesses to gain the features and functionality larger firms without purchasing a corporate private branch exchange. The company provides its software services for voice and data networks through a sales channel program of voice over Internet protocol and data integration firms. Juma Technology Corp. is headquartered in Farmingdale, New York.",Farmingdale,631-300-1000,NY,United States,86400,154 Toledo Street,631-300-4660,Communication Equipment
