Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,capitalExpenditures,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DTRC,4820952.0,151888992,,,-1296030,,-1296030,158100,0,-252435,-252435,,-1048735,,,,0,0,252435,0,-1043595,,-1296030,-1296030,12462435.0,6284676.0,4820952.0,4357246.0,11105628.0,151890.0,4357246.0,-7793373.0,1346092.0,5717497.0,5307037.0,5798591.0,567179.0,401714.0,-541737.0,-3542499.0,-152967.0,9454033.0,-88920.0,9607000.0,5033084.0,-878450.0,744.0,-3542499.0,,81094.0,en-US,US,EQUITY,False,Delayed Quote,4.4,1630505116,0.0,4.4,4.4,4.4,3002,USD,PNK,668311552,-14400000,False,False,REGULAR,4,0.0,4.4 - 4.4,us_market,0,DAKOTA TERRITORY RESOURCE CORP,4.4,0.0,0.0,0,0,finmb_181917110,Other OTC,Dakota Territory Resource Corp.,USD,20396,15100,3.3200002,3.074074,1.08 - 8.985,-4.5849996,-0.5102949,1.08,8.985,1609718400,-0.039,0.032,4.567639,-0.16763878,-0.036701407,3.7473137,0.65268636,0.17417446,137.5,15,America/New_York,EDT,-1.75,,,8.985,1.08,4.5676,3.7473,20.4k,15.1k,151.89M,,28.02M,79.44%,0.00%,,,,,,,,,,,0.00%,"Jan 03, 2021","Dec 20, 2020",1:4,"May 24, 2021","Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-18.48%,-227.59%,,,,,,-3.01M,-0.0390,,1.35M,0.01,1.51M,31.37,1.01,0.03,-1.8M,-5.94M,Value,57754,Basic Materials,"Dakota Territory Resource Corp., an exploration stage company, engages in the acquisition, exploration, and development of gold properties in the United States. It holds 100% interests in eight gold properties, including the Blind Gold, City Creek, West Corridor, Homestake Paleoplacer, Ragged Top, Tinton, Maitland, and Poorman Anticline Properties covering an area of approximately 18,182 located in the Northern Black Hills of South Dakota. The company was formerly known as Mustang Geothermal Corp and changed its name to Dakota Territory Resource Corp. in September 2012. Dakota Territory Resource Corp. was incorporated in 2002 and is headquartered in Lead, South Dakota.",Lead,605-717-2450,SD,1609372800,United States,http://www.dakotatrc.com,86400,141 Glendale Drive,Gold,10580 North McCarran Boulevard
t-1,DTRC,-1988796.0,151888992,,,-773865,,-773865,214372,0,-570100,-570100,,-203765,,,,0,0,570100,0,-203765,,-773865,-773865,4438032.0,3110665.0,-1988796.0,,1121869.0,70515.0,,-6497343.0,670254.0,2697514.0,445282.0,676587.0,413151.0,556834.0,99117.0,-172089.0,-21255.0,52745.0,5560.0,74000.0,-587294.0,-467950.0,124.0,-172089.0,,-2020927.0,en-US,US,EQUITY,False,Delayed Quote,4.4,1630505116,0.0,4.4,4.4,4.4,3002,USD,PNK,668311552,-14400000,False,False,REGULAR,4,0.0,4.4 - 4.4,us_market,0,DAKOTA TERRITORY RESOURCE CORP,4.4,0.0,0.0,0,0,finmb_181917110,Other OTC,Dakota Territory Resource Corp.,USD,20396,15100,3.3200002,3.074074,1.08 - 8.985,-4.5849996,-0.5102949,1.08,8.985,1609718400,-0.039,0.032,4.567639,-0.16763878,-0.036701407,3.7473137,0.65268636,0.17417446,137.5,15,America/New_York,EDT,-1.75,,,8.985,1.08,4.5676,3.7473,20.4k,15.1k,151.89M,,28.02M,79.44%,0.00%,,,,,,,,,,,0.00%,"Jan 03, 2021","Dec 20, 2020",1:4,"May 24, 2021","Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-18.48%,-227.59%,,,,,,-3.01M,-0.0390,,1.35M,0.01,1.51M,31.37,1.01,0.03,-1.8M,-5.94M,Value,57754,Basic Materials,"Dakota Territory Resource Corp., an exploration stage company, engages in the acquisition, exploration, and development of gold properties in the United States. It holds 100% interests in eight gold properties, including the Blind Gold, City Creek, West Corridor, Homestake Paleoplacer, Ragged Top, Tinton, Maitland, and Poorman Anticline Properties covering an area of approximately 18,182 located in the Northern Black Hills of South Dakota. The company was formerly known as Mustang Geothermal Corp and changed its name to Dakota Territory Resource Corp. in September 2012. Dakota Territory Resource Corp. was incorporated in 2002 and is headquartered in Lead, South Dakota.",Lead,605-717-2450,SD,1609372800,United States,http://www.dakotatrc.com,86400,141 Glendale Drive,Gold,10580 North McCarran Boulevard
t-2,DTRC,-1288931.0,151888992,,,-345735,,-345735,151530,0,-277991,-277991,,-69744,,,,0,0,277991,0,-67744,,-345735,-345735,4367632.0,2831688.0,-1288931.0,,1542757.0,66915.0,,-5723478.0,1257548.0,2619650.0,273317.0,1269440.0,212038.0,505306.0,12895.0,-57213.0,1108383.0,1438383.0,-4244.0,330000.0,1111123.0,-270047.0,124.0,-57213.0,,-1350210.0,en-US,US,EQUITY,False,Delayed Quote,4.4,1630505116,0.0,4.4,4.4,4.4,3002,USD,PNK,668311552,-14400000,False,False,REGULAR,4,0.0,4.4 - 4.4,us_market,0,DAKOTA TERRITORY RESOURCE CORP,4.4,0.0,0.0,0,0,finmb_181917110,Other OTC,Dakota Territory Resource Corp.,USD,20396,15100,3.3200002,3.074074,1.08 - 8.985,-4.5849996,-0.5102949,1.08,8.985,1609718400,-0.039,0.032,4.567639,-0.16763878,-0.036701407,3.7473137,0.65268636,0.17417446,137.5,15,America/New_York,EDT,-1.75,,,8.985,1.08,4.5676,3.7473,20.4k,15.1k,151.89M,,28.02M,79.44%,0.00%,,,,,,,,,,,0.00%,"Jan 03, 2021","Dec 20, 2020",1:4,"May 24, 2021","Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-18.48%,-227.59%,,,,,,-3.01M,-0.0390,,1.35M,0.01,1.51M,31.37,1.01,0.03,-1.8M,-5.94M,Value,57754,Basic Materials,"Dakota Territory Resource Corp., an exploration stage company, engages in the acquisition, exploration, and development of gold properties in the United States. It holds 100% interests in eight gold properties, including the Blind Gold, City Creek, West Corridor, Homestake Paleoplacer, Ragged Top, Tinton, Maitland, and Poorman Anticline Properties covering an area of approximately 18,182 located in the Northern Black Hills of South Dakota. The company was formerly known as Mustang Geothermal Corp and changed its name to Dakota Territory Resource Corp. in September 2012. Dakota Territory Resource Corp. was incorporated in 2002 and is headquartered in Lead, South Dakota.",Lead,605-717-2450,SD,1609372800,United States,http://www.dakotatrc.com,86400,141 Glendale Drive,Gold,10580 North McCarran Boulevard
t-3,DTRC,-2578196.0,151888992,,,-590679,,-590679,550106,0,-587231,-587231,,-3448,,,,0,0,587231,0,-3448,,-590679,-590679,2734130.0,2948374.0,-2578196.0,,370178.0,65417.0,,-5377743.0,146425.0,2948374.0,216104.0,154074.0,,501818.0,257027.0,-57213.0,298666.0,298666.0,6111.0,330000.0,119304.0,-179362.0,124.0,-57213.0,148179.0,-2794300.0,en-US,US,EQUITY,False,Delayed Quote,4.4,1630505116,0.0,4.4,4.4,4.4,3002,USD,PNK,668311552,-14400000,False,False,REGULAR,4,0.0,4.4 - 4.4,us_market,0,DAKOTA TERRITORY RESOURCE CORP,4.4,0.0,0.0,0,0,finmb_181917110,Other OTC,Dakota Territory Resource Corp.,USD,20396,15100,3.3200002,3.074074,1.08 - 8.985,-4.5849996,-0.5102949,1.08,8.985,1609718400,-0.039,0.032,4.567639,-0.16763878,-0.036701407,3.7473137,0.65268636,0.17417446,137.5,15,America/New_York,EDT,-1.75,,,8.985,1.08,4.5676,3.7473,20.4k,15.1k,151.89M,,28.02M,79.44%,0.00%,,,,,,,,,,,0.00%,"Jan 03, 2021","Dec 20, 2020",1:4,"May 24, 2021","Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-18.48%,-227.59%,,,,,,-3.01M,-0.0390,,1.35M,0.01,1.51M,31.37,1.01,0.03,-1.8M,-5.94M,Value,57754,Basic Materials,"Dakota Territory Resource Corp., an exploration stage company, engages in the acquisition, exploration, and development of gold properties in the United States. It holds 100% interests in eight gold properties, including the Blind Gold, City Creek, West Corridor, Homestake Paleoplacer, Ragged Top, Tinton, Maitland, and Poorman Anticline Properties covering an area of approximately 18,182 located in the Northern Black Hills of South Dakota. The company was formerly known as Mustang Geothermal Corp and changed its name to Dakota Territory Resource Corp. in September 2012. Dakota Territory Resource Corp. was incorporated in 2002 and is headquartered in Lead, South Dakota.",Lead,605-717-2450,SD,1609372800,United States,http://www.dakotatrc.com,86400,141 Glendale Drive,Gold,10580 North McCarran Boulevard
