Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,otherAssets,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,WC,language,region,quoteType,triggerable,quoteSourceName,currency,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,marketState,shortName,market,exchangeDataDelayedBy,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,compensationRisk,auditRisk,longBusinessSummary,city,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,DLMAF,-748461000.0,310265984,,,154623000,,113574000,178131000,441199000,191666000,191666000,,-22146000,,,,41049000,954246000,762580000,513047000,-37043000,,113574000,113574000,161169000.0,29187000.0,3735697000.0,140490000.0,283132000.0,3876187000.0,486382000.0,18383000.0,-327431000.0,119745000.0,727782000.0,-47648000.0,49100000.0,1167503000.0,540063000.0,-47648000.0,2082772000.0,729062000.0,175402000.0,21050000.0,1044381000.0,629375000.0,,,-26482000.0,-30197000.0,-191693000.0,-494128000.0,-1605000.0,7179000.0,-390044000.0,-283362000.0,134281000.0,66481000.0,-14583000.0,1279000.0,-1150000.0,-11669000.0,6434000.0,-26071000.0,,-438441000.0,en-US,US,EQUITY,False,Delayed Quote,USD,1617174000,1630393200,1630926000,0.185,31.295998,0.0040103793,1.474,1.079,46.377224,-0.24692535,-0.005324281,44.231956,1.8983421,0.04291789,14106691584,42.752827,15,America/New_York,EDT,-14400000,2,0.0,46.1303 - 46.1303,46.1303,finmb_48853897,REGULAR,DOLLARAMA INC,us_market,0,PNK,False,False,46.1303,1630333511,0.0,46.1303,46.1303,46.1303,30,Other OTC,Dollarama Inc.,CAD,1735,33,11.650299,0.3378857,34.48 - 47.38,-1.2497025,-0.02637616,34.48,47.38,1628208000,0.88,,,47.38,34.48,46.38,44.23,1.74k,33,310.27M,,298.35M,4.95%,48.96%,,,,,,0.16,0.34%,0.19,0.40%,0.36,9.75%,"Aug 05, 2021","Jul 07, 2021",3:1,"Jun 19, 2018","Jan 30, 2021","May 01, 2021",14.31%,21.08%,13.53%,784.81%,4.14B,13.32,13.00%,1.91B,948.86M,591.84M,1.47,31.90%,49.1M,0.16,3.33B,2372.28,0.62,1.08,838.83M,613.99M,Value,H4P 0A1,Consumer Defensive,7,4,"Dollarama Inc. operates a chain of dollar stores in Canada. Its stores offer general merchandise, consumables, and seasonal items. The company also offers products online. As of January 31, 2021, it operated 1,355 stores. The company was formerly known as Dollarama Capital Corporation and changed its name to Dollarama Inc. in September 2009. Dollarama Inc. was founded in 1992 and is headquartered in Montreal, Canada.",Montreal,QC,7,1640908800,1625097600,1,Canada,http://www.dollarama.com,86400,5,5805 Royalmount Avenue,Discount Stores
t-1,DLMAF,-554719000.0,310265984,,,233277000,,173902000,278790000,535001000,185351000,185351000,,-22792000,,,,59375000,1103668000,918317000,568667000,47926000,,173902000,173902000,161791000.0,28527000.0,3888892000.0,334854000.0,96815000.0,4223746000.0,485487000.0,468000.0,-149983000.0,121879000.0,727782000.0,-29177000.0,439144000.0,1321165000.0,832821000.0,-29177000.0,2054108000.0,1100362000.0,179389000.0,20546000.0,1044079000.0,630655000.0,314000.0,66691000.0,-1718000.0,-51606000.0,-90899000.0,-174840000.0,-755000.0,16792000.0,-5577000.0,-87042000.0,220869000.0,65655000.0,-13691000.0,-28130000.0,5006000.0,-11669000.0,-2138000.0,-43020000.0,,-220803000.0,en-US,US,EQUITY,False,Delayed Quote,USD,1617174000,1630393200,1630926000,0.185,31.295998,0.0040103793,1.474,1.079,46.377224,-0.24692535,-0.005324281,44.231956,1.8983421,0.04291789,14106691584,42.752827,15,America/New_York,EDT,-14400000,2,0.0,46.1303 - 46.1303,46.1303,finmb_48853897,REGULAR,DOLLARAMA INC,us_market,0,PNK,False,False,46.1303,1630333511,0.0,46.1303,46.1303,46.1303,30,Other OTC,Dollarama Inc.,CAD,1735,33,11.650299,0.3378857,34.48 - 47.38,-1.2497025,-0.02637616,34.48,47.38,1628208000,0.88,,,47.38,34.48,46.38,44.23,1.74k,33,310.27M,,298.35M,4.95%,48.96%,,,,,,0.16,0.34%,0.19,0.40%,0.36,9.75%,"Aug 05, 2021","Jul 07, 2021",3:1,"Jun 19, 2018","Jan 30, 2021","May 01, 2021",14.31%,21.08%,13.53%,784.81%,4.14B,13.32,13.00%,1.91B,948.86M,591.84M,1.47,31.90%,49.1M,0.16,3.33B,2372.28,0.62,1.08,838.83M,613.99M,Value,H4P 0A1,Consumer Defensive,7,4,"Dollarama Inc. operates a chain of dollar stores in Canada. Its stores offer general merchandise, consumables, and seasonal items. The company also offers products online. As of January 31, 2021, it operated 1,355 stores. The company was formerly known as Dollarama Capital Corporation and changed its name to Dollarama Inc. in September 2009. Dollarama Inc. was founded in 1992 and is headquartered in Montreal, Canada.",Montreal,QC,7,1640908800,1625097600,1,Canada,http://www.dollarama.com,86400,5,5805 Royalmount Avenue,Discount Stores
t-2,DLMAF,-623703000.0,310265984,,,220762000,,161871000,186697000,505439000,250451000,250451000,,-23048000,,,,58891000,1064201000,813750000,558762000,-29689000,,161871000,161871000,158282000.0,30093000.0,3891904000.0,262361000.0,102871000.0,4154265000.0,467636000.0,3891000.0,-224697000.0,110807000.0,727782000.0,-10671000.0,444721000.0,1373240000.0,840314000.0,-10671000.0,2006021000.0,1086946000.0,175125000.0,27016000.0,1043584000.0,602524000.0,109000.0,187038000.0,40242000.0,-102643000.0,142714000.0,127591000.0,610000.0,930000.0,226364000.0,-87042000.0,201416000.0,63352000.0,-13683000.0,-16773000.0,-4479000.0,-2370000.0,6165000.0,-27459000.0,-69279000.0,-286294000.0,en-US,US,EQUITY,False,Delayed Quote,USD,1617174000,1630393200,1630926000,0.185,31.295998,0.0040103793,1.474,1.079,46.377224,-0.24692535,-0.005324281,44.231956,1.8983421,0.04291789,14106691584,42.752827,15,America/New_York,EDT,-14400000,2,0.0,46.1303 - 46.1303,46.1303,finmb_48853897,REGULAR,DOLLARAMA INC,us_market,0,PNK,False,False,46.1303,1630333511,0.0,46.1303,46.1303,46.1303,30,Other OTC,Dollarama Inc.,CAD,1735,33,11.650299,0.3378857,34.48 - 47.38,-1.2497025,-0.02637616,34.48,47.38,1628208000,0.88,,,47.38,34.48,46.38,44.23,1.74k,33,310.27M,,298.35M,4.95%,48.96%,,,,,,0.16,0.34%,0.19,0.40%,0.36,9.75%,"Aug 05, 2021","Jul 07, 2021",3:1,"Jun 19, 2018","Jan 30, 2021","May 01, 2021",14.31%,21.08%,13.53%,784.81%,4.14B,13.32,13.00%,1.91B,948.86M,591.84M,1.47,31.90%,49.1M,0.16,3.33B,2372.28,0.62,1.08,838.83M,613.99M,Value,H4P 0A1,Consumer Defensive,7,4,"Dollarama Inc. operates a chain of dollar stores in Canada. Its stores offer general merchandise, consumables, and seasonal items. The company also offers products online. As of January 31, 2021, it operated 1,355 stores. The company was formerly known as Dollarama Capital Corporation and changed its name to Dollarama Inc. in September 2009. Dollarama Inc. was founded in 1992 and is headquartered in Montreal, Canada.",Montreal,QC,7,1640908800,1625097600,1,Canada,http://www.dollarama.com,86400,5,5805 Royalmount Avenue,Discount Stores
t-3,DLMAF,-770255000.0,310265984,,,188805000,,142496000,204405000,479818000,208906000,208906000,,-22604000,,,,46309000,1013592000,804686000,533774000,-20101000,,142496000,142496000,157077000.0,28494000.0,3768495000.0,114604000.0,161094000.0,3883099000.0,466493000.0,4894000.0,-372877000.0,112149000.0,727782000.0,-7506000.0,218357000.0,1560846000.0,830711000.0,-7506000.0,1983653000.0,841266000.0,173321000.0,22858000.0,745038000.0,585752000.0,,216278000.0,-1838000.0,-62384000.0,-519752000.0,-524168000.0,9045000.0,9243000.0,-304287000.0,-87042000.0,282265000.0,61794000.0,-13659000.0,22580000.0,5780000.0,-2370000.0,-10138000.0,-26640000.0,-28002000.0,-719580000.0,en-US,US,EQUITY,False,Delayed Quote,USD,1617174000,1630393200,1630926000,0.185,31.295998,0.0040103793,1.474,1.079,46.377224,-0.24692535,-0.005324281,44.231956,1.8983421,0.04291789,14106691584,42.752827,15,America/New_York,EDT,-14400000,2,0.0,46.1303 - 46.1303,46.1303,finmb_48853897,REGULAR,DOLLARAMA INC,us_market,0,PNK,False,False,46.1303,1630333511,0.0,46.1303,46.1303,46.1303,30,Other OTC,Dollarama Inc.,CAD,1735,33,11.650299,0.3378857,34.48 - 47.38,-1.2497025,-0.02637616,34.48,47.38,1628208000,0.88,,,47.38,34.48,46.38,44.23,1.74k,33,310.27M,,298.35M,4.95%,48.96%,,,,,,0.16,0.34%,0.19,0.40%,0.36,9.75%,"Aug 05, 2021","Jul 07, 2021",3:1,"Jun 19, 2018","Jan 30, 2021","May 01, 2021",14.31%,21.08%,13.53%,784.81%,4.14B,13.32,13.00%,1.91B,948.86M,591.84M,1.47,31.90%,49.1M,0.16,3.33B,2372.28,0.62,1.08,838.83M,613.99M,Value,H4P 0A1,Consumer Defensive,7,4,"Dollarama Inc. operates a chain of dollar stores in Canada. Its stores offer general merchandise, consumables, and seasonal items. The company also offers products online. As of January 31, 2021, it operated 1,355 stores. The company was formerly known as Dollarama Capital Corporation and changed its name to Dollarama Inc. in September 2009. Dollarama Inc. was founded in 1992 and is headquartered in Montreal, Canada.",Montreal,QC,7,1640908800,1625097600,1,Canada,http://www.dollarama.com,86400,5,5805 Royalmount Avenue,Discount Stores
