Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchange,exchangeDataDelayedBy,marketState,twoHundredDayAverageChangePercent,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,regularMarketChangePercent,regularMarketDayRange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,HIBB,415966000.0,16206800,,,110051000,,84766000,91739000,209963000,110150000,110150000,,-99000,,,,25285000,506861000,396711000,296898000,-99000,,84766000,84766000,23500000.0,198356000.0,401293000.0,439466000.0,4100000.0,840759000.0,395000.0,7259000.0,943718000.0,3102000.0,-703003000.0,13651000.0,270852000.0,210484000.0,12264000.0,326397000.0,475056000.0,2155000.0,129000.0,14445000.0,182371000.0,105888000.0,-2683000,-6931000,-240000,-39867000,-12068000,1772000,61562000,-37314000,108360000,8074000,102000,19667000,-2586000,-4085000,-9565000,-7033000,264572000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,95.69,0.0,0.0,9,13,finmb_29444,NasdaqGS,"Hibbett, Inc.",USD,443770,865628,65.600006,2.0265682,32.37 - 100.32,-2.3499985,-0.023425024,32.37,100.32,1626739200,1614925800,1637242200,1637587800,22.470182,4.36,5.74,11.01,8.898274,23.73,89.24972,8.7202835,0.097706564,79.319855,18.650146,1587780224,17.067945,4.1285295,15,America/New_York,EDT,-14400000,False,False,NMS,0,PRE,0.23512582,"Hibbett, Inc.",97.97,1630526402,2.2799988,95.46,99.26,95.46,513472,us_market,2,2.3826928,95.46 - 99.26,1.81,,,100.32,32.37,89.25,79.32,443.77k,865.63k,16.21M,,14.89M,6.73%,108.78%,2.23M,4.61,19.47%,13.91%,1.91M,1,1.12%,,,,0.00%,"Jul 19, 2021","Jul 06, 2021",3:2,"Sep 27, 2005","Jan 29, 2021","Apr 30, 2021",10.52%,15.77%,20.68%,46.86%,1.66B,100.46,87.80%,507.53M,292.05M,174.32M,4.36,,270.98M,16.92,247.56M,56.33,2.26,23.73,302.19M,255.07M,Value,35211,Consumer Cyclical,3600,3,4,"Hibbett, Inc., together with its subsidiaries, engages in the retail of athletic-inspired fashion products. Its stores offer a range of merchandise, including athletic footwear, athletic and fashion apparel, team sports equipment, and related accessories. The company operates stores in small and mid-sized communities, and Website under the hibbett.com name. As of July 6, 2021, it operated approximately 1,070 retail stores under the Hibbett Sports and City Gear brands located in 35 states of the United States. The company was formerly known as Hibbett Sports, Inc. and changed its name to Hibbett, Inc. in June 2021. Hibbett, Inc. was founded in 1945 and is headquartered in Birmingham, Alabama.",Birmingham,205 942 4292,AL,4,1640908800,1625097600,3,United States,http://www.hibbett.com,86400,3,2700 Milan Court,Specialty Retail
t-1,HIBB,367536000.0,16206800,,,30973000,,23932000,32371000,88738000,48679000,48679000,,-156000,,,,7041000,376830000,328151000,288092000,-17706000,,23932000,23932000,23500000.0,194534000.0,417130000.0,391036000.0,18400000.0,808166000.0,394000.0,16348000.0,858951000.0,3078000.0,-662843000.0,16091000.0,209290000.0,225320000.0,14625000.0,326668000.0,439800000.0,2107000.0,219000.0,11905000.0,202038000.0,107215000.0,2987000,-13676000,-251000,-7239000,5406000,395000,31592000,-6969000,52507000,7688000,-548000,8818000,773000,-414000,3898000,-13969000,214480000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,95.69,0.0,0.0,9,13,finmb_29444,NasdaqGS,"Hibbett, Inc.",USD,443770,865628,65.600006,2.0265682,32.37 - 100.32,-2.3499985,-0.023425024,32.37,100.32,1626739200,1614925800,1637242200,1637587800,22.470182,4.36,5.74,11.01,8.898274,23.73,89.24972,8.7202835,0.097706564,79.319855,18.650146,1587780224,17.067945,4.1285295,15,America/New_York,EDT,-14400000,False,False,NMS,0,PRE,0.23512582,"Hibbett, Inc.",97.97,1630526402,2.2799988,95.46,99.26,95.46,513472,us_market,2,2.3826928,95.46 - 99.26,1.81,,,100.32,32.37,89.25,79.32,443.77k,865.63k,16.21M,,14.89M,6.73%,108.78%,2.23M,4.61,19.47%,13.91%,1.91M,1,1.12%,,,,0.00%,"Jul 19, 2021","Jul 06, 2021",3:2,"Sep 27, 2005","Jan 29, 2021","Apr 30, 2021",10.52%,15.77%,20.68%,46.86%,1.66B,100.46,87.80%,507.53M,292.05M,174.32M,4.36,,270.98M,16.92,247.56M,56.33,2.26,23.73,302.19M,255.07M,Value,35211,Consumer Cyclical,3600,3,4,"Hibbett, Inc., together with its subsidiaries, engages in the retail of athletic-inspired fashion products. Its stores offer a range of merchandise, including athletic footwear, athletic and fashion apparel, team sports equipment, and related accessories. The company operates stores in small and mid-sized communities, and Website under the hibbett.com name. As of July 6, 2021, it operated approximately 1,070 retail stores under the Hibbett Sports and City Gear brands located in 35 states of the United States. The company was formerly known as Hibbett Sports, Inc. and changed its name to Hibbett, Inc. in June 2021. Hibbett, Inc. was founded in 1945 and is headquartered in Birmingham, Alabama.",Birmingham,205 942 4292,AL,4,1640908800,1625097600,3,United States,http://www.hibbett.com,86400,3,2700 Milan Court,Specialty Retail
t-2,HIBB,349661000.0,16206800,,,33133000,,25266000,102953000,143198000,32704000,32704000,,-32000,,,,7867000,331383000,298679000,188185000,429000,,25266000,25266000,23500000.0,193208000.0,404241000.0,373161000.0,17910000.0,777402000.0,393000.0,10262000.0,835020000.0,2926000.0,-655460000.0,19660000.0,177698000.0,212853000.0,15750000.0,322122000.0,412120000.0,,541000.0,12762000.0,210857000.0,102414000.0,-21889000,-7404000,-249000,953000,-3567000,1202000,-40111000,-6969000,-33660000,7541000,935000,-28821000,1145000,-414000,160000,-8339000,199267000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,95.69,0.0,0.0,9,13,finmb_29444,NasdaqGS,"Hibbett, Inc.",USD,443770,865628,65.600006,2.0265682,32.37 - 100.32,-2.3499985,-0.023425024,32.37,100.32,1626739200,1614925800,1637242200,1637587800,22.470182,4.36,5.74,11.01,8.898274,23.73,89.24972,8.7202835,0.097706564,79.319855,18.650146,1587780224,17.067945,4.1285295,15,America/New_York,EDT,-14400000,False,False,NMS,0,PRE,0.23512582,"Hibbett, Inc.",97.97,1630526402,2.2799988,95.46,99.26,95.46,513472,us_market,2,2.3826928,95.46 - 99.26,1.81,,,100.32,32.37,89.25,79.32,443.77k,865.63k,16.21M,,14.89M,6.73%,108.78%,2.23M,4.61,19.47%,13.91%,1.91M,1,1.12%,,,,0.00%,"Jul 19, 2021","Jul 06, 2021",3:2,"Sep 27, 2005","Jan 29, 2021","Apr 30, 2021",10.52%,15.77%,20.68%,46.86%,1.66B,100.46,87.80%,507.53M,292.05M,174.32M,4.36,,270.98M,16.92,247.56M,56.33,2.26,23.73,302.19M,255.07M,Value,35211,Consumer Cyclical,3600,3,4,"Hibbett, Inc., together with its subsidiaries, engages in the retail of athletic-inspired fashion products. Its stores offer a range of merchandise, including athletic footwear, athletic and fashion apparel, team sports equipment, and related accessories. The company operates stores in small and mid-sized communities, and Website under the hibbett.com name. As of July 6, 2021, it operated approximately 1,070 retail stores under the Hibbett Sports and City Gear brands located in 35 states of the United States. The company was formerly known as Hibbett Sports, Inc. and changed its name to Hibbett, Inc. in June 2021. Hibbett, Inc. was founded in 1945 and is headquartered in Birmingham, Alabama.",Birmingham,205 942 4292,AL,4,1640908800,1625097600,3,United States,http://www.hibbett.com,86400,3,2700 Milan Court,Specialty Retail
t-3,HIBB,322179000.0,16206800,,,56072000,,40355000,103217000,180428000,69727000,69727000,,-206000,,,,15717000,441607000,371880000,261179000,-13655000,,40355000,40355000,23500000.0,190992000.0,441164000.0,345679000.0,17750000.0,786843000.0,393000.0,5793000.0,809754000.0,3149000.0,-655460000.0,17370000.0,217809000.0,247428000.0,15161000.0,324030000.0,419766000.0,2177000.0,222000.0,13907000.0,182035000.0,124303000.0,26154000,-8443000,-50216000,-54940000,13777000,96000,111604000,-6969000,174987000,7484000,-50000,59949000,6180000,-4820000,6598000,-8393000,172338000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,95.69,0.0,0.0,9,13,finmb_29444,NasdaqGS,"Hibbett, Inc.",USD,443770,865628,65.600006,2.0265682,32.37 - 100.32,-2.3499985,-0.023425024,32.37,100.32,1626739200,1614925800,1637242200,1637587800,22.470182,4.36,5.74,11.01,8.898274,23.73,89.24972,8.7202835,0.097706564,79.319855,18.650146,1587780224,17.067945,4.1285295,15,America/New_York,EDT,-14400000,False,False,NMS,0,PRE,0.23512582,"Hibbett, Inc.",97.97,1630526402,2.2799988,95.46,99.26,95.46,513472,us_market,2,2.3826928,95.46 - 99.26,1.81,,,100.32,32.37,89.25,79.32,443.77k,865.63k,16.21M,,14.89M,6.73%,108.78%,2.23M,4.61,19.47%,13.91%,1.91M,1,1.12%,,,,0.00%,"Jul 19, 2021","Jul 06, 2021",3:2,"Sep 27, 2005","Jan 29, 2021","Apr 30, 2021",10.52%,15.77%,20.68%,46.86%,1.66B,100.46,87.80%,507.53M,292.05M,174.32M,4.36,,270.98M,16.92,247.56M,56.33,2.26,23.73,302.19M,255.07M,Value,35211,Consumer Cyclical,3600,3,4,"Hibbett, Inc., together with its subsidiaries, engages in the retail of athletic-inspired fashion products. Its stores offer a range of merchandise, including athletic footwear, athletic and fashion apparel, team sports equipment, and related accessories. The company operates stores in small and mid-sized communities, and Website under the hibbett.com name. As of July 6, 2021, it operated approximately 1,070 retail stores under the Hibbett Sports and City Gear brands located in 35 states of the United States. The company was formerly known as Hibbett Sports, Inc. and changed its name to Hibbett, Inc. in June 2021. Hibbett, Inc. was founded in 1945 and is headquartered in Birmingham, Alabama.",Birmingham,205 942 4292,AL,4,1640908800,1625097600,3,United States,http://www.hibbett.com,86400,3,2700 Milan Court,Specialty Retail
