Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,industry
t0,GYPHQ,8281311.0,194644000,,,-1752577,,-1752577,546689,-332672,-1247358,-1247358,81095,-512428,,,,0,3215242,4462600,3547914,-505219,,-1752577,-1752577,54355144.0,34927807.0,8281311.0,43209118.0,194644.0,477546.0,-46268477.0,4189219.0,7222887.0,576038.0,10127014.0,5243004.0,27995758.0,7990473.0,107777.0,20611574.0,6113735.0,4884010.0,,598078,-1808774,-1072814,-1074993,66752,-3958903,4320,-1079456,352886,100185,-495219,-79057,-2179,63293,-1908959,-2136541.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.009 - 0.0125,0.01,0.0,0.0,0,0,finmb_8401152,Other OTC,Gryphon Gold Corporation,USD,166171,251904,0.007999999,3.9999995,0.002 - 0.0375,-0.027500002,-0.73333335,0.002,0.0375,USD,False,False,us_market,0.01,1630523428,0.0,0.01125,0.0125,0.009,509171,PREPRE,GRYPHON GOLD CORPORATION,PNK,-0.03,0,0.043,0.01018,-0.00018000044,-0.017681772,0.012385384,-0.0023853844,-0.19259672,3892880,0.23255813,15,America/New_York,EDT,-14400000,4,5.03,,,0.0375,0.002,0.0102,0.0124,166.17k,251.9k,194.64M,,,0.00%,0.08%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2012","Dec 30, 2012",-40.06%,-18.13%,-4.62%,-54.77%,14.41M,0.07,245.10%,604.96k,-1.16M,-5.77M,-0.0300,,576.04k,0,25.85M,312.20,0.79,0.04,-4.23M,-3.85M,Value,89512,Basic Materials,41,"Gryphon Gold Corporation engages in the acquisition, exploration, and development of gold properties primarily in Nevada, the United States. The company, through its wholly owned subsidiary, Borealis Mining Company, principally holds interest in the Borealis gold project that comprises 751 unpatented mining claims with an area of approximately 15,020 acres and 1 unpatented millsite claim with an area of approximately 5 acres located in the Walker Lane gold belt of western Nevada. Gryphon Gold Corporation was founded in 2003 and is based in Reno, Nevada.",Reno,604-261-2229,NV,United States,86400,748 South Meadow Parkway,Gold
t-1,GYPHQ,9960335.0,194644000,,,-1064576,,-1064576,625084,-236610,-963617,-963617,81095,-407427,,,,0,3504293,4467910,3740903,-100959,,-1064576,-1064576,54281591.0,29494483.0,9960335.0,39454818.0,194644.0,540441.0,-44515900.0,4117412.0,7323072.0,4534941.0,12238152.0,7769836.0,20634670.0,11497076.0,28724.0,13138919.0,5610841.0,4152679.0,,477183,-2292887,4017672,4004391,-507026,1680,1970,-1711794,468940,-943244,-1239344,-1541,-13281,-36400,-1349643,-741076.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.009 - 0.0125,0.01,0.0,0.0,0,0,finmb_8401152,Other OTC,Gryphon Gold Corporation,USD,166171,251904,0.007999999,3.9999995,0.002 - 0.0375,-0.027500002,-0.73333335,0.002,0.0375,USD,False,False,us_market,0.01,1630523428,0.0,0.01125,0.0125,0.009,509171,PREPRE,GRYPHON GOLD CORPORATION,PNK,-0.03,0,0.043,0.01018,-0.00018000044,-0.017681772,0.012385384,-0.0023853844,-0.19259672,3892880,0.23255813,15,America/New_York,EDT,-14400000,4,5.03,,,0.0375,0.002,0.0102,0.0124,166.17k,251.9k,194.64M,,,0.00%,0.08%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2012","Dec 30, 2012",-40.06%,-18.13%,-4.62%,-54.77%,14.41M,0.07,245.10%,604.96k,-1.16M,-5.77M,-0.0300,,576.04k,0,25.85M,312.20,0.79,0.04,-4.23M,-3.85M,Value,89512,Basic Materials,41,"Gryphon Gold Corporation engages in the acquisition, exploration, and development of gold properties primarily in Nevada, the United States. The company, through its wholly owned subsidiary, Borealis Mining Company, principally holds interest in the Borealis gold project that comprises 751 unpatented mining claims with an area of approximately 15,020 acres and 1 unpatented millsite claim with an area of approximately 5 acres located in the Walker Lane gold belt of western Nevada. Gryphon Gold Corporation was founded in 2003 and is based in Reno, Nevada.",Reno,604-261-2229,NV,United States,86400,748 South Meadow Parkway,Gold
t-2,GYPHQ,10947800.0,194644000,,,-379151,,-379151,712925,843548,71146,71146,27627,-889401,,,,0,5889363,5818217,5045815,-450297,,-379151,-379151,54205021.0,23306232.0,10947800.0,34254032.0,194103.0,491802.0,-43451324.0,2462585.0,4378377.0,4533261.0,8084165.0,3136500.0,18523664.0,11351991.0,27179.0,12759482.0,6024646.0,3863407.0,,-3131858,-259648,5073476,4988401,-103588,3930918,-5572,-792263,422293,-58800,1881582,7256,-85075,-112291,-201848,3267826.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.009 - 0.0125,0.01,0.0,0.0,0,0,finmb_8401152,Other OTC,Gryphon Gold Corporation,USD,166171,251904,0.007999999,3.9999995,0.002 - 0.0375,-0.027500002,-0.73333335,0.002,0.0375,USD,False,False,us_market,0.01,1630523428,0.0,0.01125,0.0125,0.009,509171,PREPRE,GRYPHON GOLD CORPORATION,PNK,-0.03,0,0.043,0.01018,-0.00018000044,-0.017681772,0.012385384,-0.0023853844,-0.19259672,3892880,0.23255813,15,America/New_York,EDT,-14400000,4,5.03,,,0.0375,0.002,0.0102,0.0124,166.17k,251.9k,194.64M,,,0.00%,0.08%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2012","Dec 30, 2012",-40.06%,-18.13%,-4.62%,-54.77%,14.41M,0.07,245.10%,604.96k,-1.16M,-5.77M,-0.0300,,576.04k,0,25.85M,312.20,0.79,0.04,-4.23M,-3.85M,Value,89512,Basic Materials,41,"Gryphon Gold Corporation engages in the acquisition, exploration, and development of gold properties primarily in Nevada, the United States. The company, through its wholly owned subsidiary, Borealis Mining Company, principally holds interest in the Borealis gold project that comprises 751 unpatented mining claims with an area of approximately 15,020 acres and 1 unpatented millsite claim with an area of approximately 5 acres located in the Walker Lane gold belt of western Nevada. Gryphon Gold Corporation was founded in 2003 and is based in Reno, Nevada.",Reno,604-261-2229,NV,United States,86400,748 South Meadow Parkway,Gold
t-3,GYPHQ,11236368.0,194644000,,,-2578423,,-2578423,979867,603387,-473351,-473351,112393,-512696,,,,0,1806048,2279399,1202661,-2105072,,-2578423,-2578423,54114438.0,18976014.0,11236368.0,30212382.0,194103.0,312549.0,-43072173.0,1813168.0,4333851.0,602343.0,6964235.0,583458.0,18071103.0,7807428.0,358005.0,10198611.0,6363016.0,4803924.0,125874.0,1751982,-1162118,876239,1024316,108327,-777734,10280,-650212,213944,-524116,-2349212,169864,148077,1675326,-638002,843193.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.009 - 0.0125,0.01,0.0,0.0,0,0,finmb_8401152,Other OTC,Gryphon Gold Corporation,USD,166171,251904,0.007999999,3.9999995,0.002 - 0.0375,-0.027500002,-0.73333335,0.002,0.0375,USD,False,False,us_market,0.01,1630523428,0.0,0.01125,0.0125,0.009,509171,PREPRE,GRYPHON GOLD CORPORATION,PNK,-0.03,0,0.043,0.01018,-0.00018000044,-0.017681772,0.012385384,-0.0023853844,-0.19259672,3892880,0.23255813,15,America/New_York,EDT,-14400000,4,5.03,,,0.0375,0.002,0.0102,0.0124,166.17k,251.9k,194.64M,,,0.00%,0.08%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2012","Dec 30, 2012",-40.06%,-18.13%,-4.62%,-54.77%,14.41M,0.07,245.10%,604.96k,-1.16M,-5.77M,-0.0300,,576.04k,0,25.85M,312.20,0.79,0.04,-4.23M,-3.85M,Value,89512,Basic Materials,41,"Gryphon Gold Corporation engages in the acquisition, exploration, and development of gold properties primarily in Nevada, the United States. The company, through its wholly owned subsidiary, Borealis Mining Company, principally holds interest in the Borealis gold project that comprises 751 unpatented mining claims with an area of approximately 15,020 acres and 1 unpatented millsite claim with an area of approximately 5 acres located in the Walker Lane gold belt of western Nevada. Gryphon Gold Corporation was founded in 2003 and is based in Reno, Nevada.",Reno,604-261-2229,NV,United States,86400,748 South Meadow Parkway,Gold
