Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,inventory,otherCurrentAssets,propertyPlantEquipment,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,totalCashflowsFromInvestingActivities,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,capitalExpenditures,issuanceOfStock,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,HIPH,-2004991.0,205950000,,,-143662,,-143662,56421,118010,9701,9701,,-23549,,,,0,169313,159612,51303,-153363,,-143662,-143662,55799.0,104039387.0,2204498.0,-1949192.0,1176293.0,275070.0,5561.0,-105994140.0,96391.0,2204498.0,219271.0,122880.0,,,,0.0,4754.0,4754.0,55035.0,-212.0,-4966.0,6975.0,75436.0,,,,,,,-1985227.0,en-US,US,EQUITY,False,Delayed Quote,0.0035,1630526300,-0.0003999998,0.00393,0.004,0.0035,3987049,USD,PNK,209542,-14400000,False,False,PRE,4,-10.256405,0.0035 - 0.004,us_market,0,AMERICAN PREMIUM WATER CORPORAT,0.0039,0.0,0.0,0,0,finmb_6125175,Other OTC,American Premium Water Corporation,USD,5676261,6238984,0.0019000001,1.1875001,0.0016 - 0.037,-0.0335,-0.9054054,0.0016,0.037,1499817600,1534869000,1534869000,1534869000,-0.261,-0.035,0.0053069443,-0.0018069441,-0.34048674,0.007922887,-0.0044228868,-0.55824184,-0.1,15,America/New_York,EDT,,,,0.037,0.0016,0.0053,0.0079,5.68M,6.24M,205.95M,,,,,,,,,,,,,,,,"Jul 11, 2017",,1:5000,"Jul 11, 2017","Dec 30, 2017","Dec 30, 2017",0.00%,"-1,257.46%","-1,173.70%",,208.96k,0.02,"23,882.00%",257.63k,-2.62M,-2.84M,-0.2610,,96.39k,0,406.09k,,0.10,-0.04,12.91k,599.92k,Value,90066,Consumer Defensive,1,"American Premium Water Corporation produces bottled water under the LALPINA brand name. The company was formerly known as Expert Group Inc. and changed its name to American Premium Water Corporation in October 2013. American Premium Water Corporation is based in Delray Beach, Florida.",Playa Vista,888-983-0054,CA,United States,http://lalpinahydrocbd.com,86400,12777 Jefferson Boulevard,Beverages—Non-Alcoholic,Suite 310
t-1,HIPH,-3250557.0,205950000,,,-408350,,-408350,118966,706,-218260,-218260,,-86020,,,,0,706,218966,0,-190090,,-408350,-408350,,101090640.0,3235603.0,-3250557.0,1706197.0,4762.0,40.0,-104341237.0,,3235603.0,4762.0,4762.0,,,,0.0,4754.0,4754.0,55035.0,-408350.0,-408350.0,6975.0,75436.0,,,,,,,-3230841.0,en-US,US,EQUITY,False,Delayed Quote,0.0035,1630526300,-0.0003999998,0.00393,0.004,0.0035,3987049,USD,PNK,209542,-14400000,False,False,PRE,4,-10.256405,0.0035 - 0.004,us_market,0,AMERICAN PREMIUM WATER CORPORAT,0.0039,0.0,0.0,0,0,finmb_6125175,Other OTC,American Premium Water Corporation,USD,5676261,6238984,0.0019000001,1.1875001,0.0016 - 0.037,-0.0335,-0.9054054,0.0016,0.037,1499817600,1534869000,1534869000,1534869000,-0.261,-0.035,0.0053069443,-0.0018069441,-0.34048674,0.007922887,-0.0044228868,-0.55824184,-0.1,15,America/New_York,EDT,,,,0.037,0.0016,0.0053,0.0079,5.68M,6.24M,205.95M,,,,,,,,,,,,,,,,"Jul 11, 2017",,1:5000,"Jul 11, 2017","Dec 30, 2017","Dec 30, 2017",0.00%,"-1,257.46%","-1,173.70%",,208.96k,0.02,"23,882.00%",257.63k,-2.62M,-2.84M,-0.2610,,96.39k,0,406.09k,,0.10,-0.04,12.91k,599.92k,Value,90066,Consumer Defensive,1,"American Premium Water Corporation produces bottled water under the LALPINA brand name. The company was formerly known as Expert Group Inc. and changed its name to American Premium Water Corporation in October 2013. American Premium Water Corporation is based in Delray Beach, Florida.",Playa Vista,888-983-0054,CA,United States,http://lalpinahydrocbd.com,86400,12777 Jefferson Boulevard,Beverages—Non-Alcoholic,Suite 310
t-2,HIPH,122069.0,205950000,,,8020,,8020,34120,45208,8020,8020,3068.0,-86020,,,,0,70740,62720,25532,0,,8020,8020,1080.0,435036.0,93974.0,123149.0,878.0,217123.0,100.0,-311987.0,126191.0,93974.0,127664.0,,1473.0,88379.0,19996.0,-1999.0,4754.0,-11731.0,-63.0,14964.0,5958.0,6975.0,75436.0,20736.0,23455.0,-11731.0,-2719.0,,,33690.0,en-US,US,EQUITY,False,Delayed Quote,0.0035,1630526300,-0.0003999998,0.00393,0.004,0.0035,3987049,USD,PNK,209542,-14400000,False,False,PRE,4,-10.256405,0.0035 - 0.004,us_market,0,AMERICAN PREMIUM WATER CORPORAT,0.0039,0.0,0.0,0,0,finmb_6125175,Other OTC,American Premium Water Corporation,USD,5676261,6238984,0.0019000001,1.1875001,0.0016 - 0.037,-0.0335,-0.9054054,0.0016,0.037,1499817600,1534869000,1534869000,1534869000,-0.261,-0.035,0.0053069443,-0.0018069441,-0.34048674,0.007922887,-0.0044228868,-0.55824184,-0.1,15,America/New_York,EDT,,,,0.037,0.0016,0.0053,0.0079,5.68M,6.24M,205.95M,,,,,,,,,,,,,,,,"Jul 11, 2017",,1:5000,"Jul 11, 2017","Dec 30, 2017","Dec 30, 2017",0.00%,"-1,257.46%","-1,173.70%",,208.96k,0.02,"23,882.00%",257.63k,-2.62M,-2.84M,-0.2610,,96.39k,0,406.09k,,0.10,-0.04,12.91k,599.92k,Value,90066,Consumer Defensive,1,"American Premium Water Corporation produces bottled water under the LALPINA brand name. The company was formerly known as Expert Group Inc. and changed its name to American Premium Water Corporation in October 2013. American Premium Water Corporation is based in Delray Beach, Florida.",Playa Vista,888-983-0054,CA,United States,http://lalpinahydrocbd.com,86400,12777 Jefferson Boulevard,Beverages—Non-Alcoholic,Suite 310
t-3,HIPH,123137.0,205950000,,,-227057,,-227057,46934,6527,-67412,-67412,3077.0,-1122,,,,0,41910,109322,35383,-159645,,-227057,-227057,3720.0,446766.0,96037.0,126857.0,942.0,222894.0,100.0,-320009.0,132041.0,96037.0,133514.0,,1473.0,85660.0,21995.0,14662.0,-335055.0,-257537.0,-77203.0,-13181.0,-263822.0,23928.0,-2.0,604325.0,142220.0,-11731.0,-118153.0,77518.0,1850.0,37477.0,en-US,US,EQUITY,False,Delayed Quote,0.0035,1630526300,-0.0003999998,0.00393,0.004,0.0035,3987049,USD,PNK,209542,-14400000,False,False,PRE,4,-10.256405,0.0035 - 0.004,us_market,0,AMERICAN PREMIUM WATER CORPORAT,0.0039,0.0,0.0,0,0,finmb_6125175,Other OTC,American Premium Water Corporation,USD,5676261,6238984,0.0019000001,1.1875001,0.0016 - 0.037,-0.0335,-0.9054054,0.0016,0.037,1499817600,1534869000,1534869000,1534869000,-0.261,-0.035,0.0053069443,-0.0018069441,-0.34048674,0.007922887,-0.0044228868,-0.55824184,-0.1,15,America/New_York,EDT,,,,0.037,0.0016,0.0053,0.0079,5.68M,6.24M,205.95M,,,,,,,,,,,,,,,,"Jul 11, 2017",,1:5000,"Jul 11, 2017","Dec 30, 2017","Dec 30, 2017",0.00%,"-1,257.46%","-1,173.70%",,208.96k,0.02,"23,882.00%",257.63k,-2.62M,-2.84M,-0.2610,,96.39k,0,406.09k,,0.10,-0.04,12.91k,599.92k,Value,90066,Consumer Defensive,1,"American Premium Water Corporation produces bottled water under the LALPINA brand name. The company was formerly known as Expert Group Inc. and changed its name to American Premium Water Corporation in October 2013. American Premium Water Corporation is based in Delray Beach, Florida.",Playa Vista,888-983-0054,CA,United States,http://lalpinahydrocbd.com,86400,12777 Jefferson Boulevard,Beverages—Non-Alcoholic,Suite 310
