Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DTSS,870669.0,21474100,207774,,-1276347,-95484,-1219000,1066501,7774,-1266501,-1266501,,,,,,0,17686,1284187,9912,-9846,,-1276347,-1219000,1041030.0,12077788.0,2766543.0,1911699.0,115707.0,4582758.0,21474.0,388376.0,-10463241.0,275678.0,221177.0,171177.0,1989088.0,275678.0,1827400.0,1493151.0,573807.0,254960.0,133386.0,100888.0,-29292.0,728824.0,728824.0,-320686.0,-503220.0,12911.0,-1215663.0,44111.0,8018.0,-12380.0,183386.0,-11840.0,,-495937.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,2.062,1630505026,0.0020000935,2.07,2.07,2.05,8060,Datasea Inc.,NCM,REGULAR,-0.28710938,0,False,False,0.09709192,2.05 - 2.07,2.06,2.06,2.09,13,14,finmb_315965344,NasdaqCM,Datasea Inc.,USD,3270317,136050,0.352,0.20584795,1.71 - 6.84,-4.778,-0.698538,1.71,6.84,1525132800,1601296200,1601296200,1601296200,-0.125,4,0.089,2.465,-0.40299988,-0.1634888,2.8924494,-0.83044934,44279596,23.16854,15,America/New_York,EDT,-14400000,0.92,,,6.84,1.71,2.465,2.8924,3.27M,136.05k,21.47M,,6.47M,69.85%,0.31%,12.37k,0.05,0.19%,0.06%,28.26k,,,,,,0.00%,"Apr 30, 2018",,1:3,"Apr 30, 2018","Jun 29, 2020","Mar 30, 2021",-168.23%,-173.03%,-30.86%,-93.14%,1.57M,0.07,,1.27M,-2.53M,-2.64M,-0.1250,,171.18k,0.01,2.18M,119.91,0.75,0.09,-3.95M,-2.57M,Value,100176,Technology,58,"Datasea Inc., through its subsidiaries, provides smart security solutions in the People's Republic of China. It develops big data security and smart 3D security platforms, safe campus security systems, scenic area security systems, and public community security systems, as well as epidemic system. The company offers its smart security solutions primarily to schools, tourist or scenic attractions, and public communities through its own sales teams, partner agents, and newly founded operating entities. It also develops and offers education-related technologies to build campus networks, education management systems, education cloud platforms, science education platforms, and other education systems used in schools. The company was formerly known as Rose Rock, Inc. and changed its name to Datasea Inc. in October 2015. Datasea Inc. was incorporated in 2014 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 5614 5240,1609372800,China,http://www.dataseainc.com,86400,"Tower B, Guorui Plaza",Software—Infrastructure,20th Floor 1 Ronghua South Road Technological Development Zone
t-1,DTSS,2216164.0,21474100,134509,,-1000592,-37945,-964037,932507,86070,-980946,-980946,,,,,,0,126184,1107130,40114,-19646,,-1000592,-964037,878955.0,12035140.0,2246634.0,3095119.0,131788.0,5303808.0,21470.0,741357.0,-9244241.0,282750.0,,674397.0,1297195.0,282750.0,2078855.0,2345998.0,565208.0,265365.0,74671.0,9869.0,-47557.0,728824.0,931000.0,-184969.0,-45639.0,7680.0,-936762.0,25579.0,-11042.0,5057.0,182781.0,-47376.0,931000.0,1048803.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,2.062,1630505026,0.0020000935,2.07,2.07,2.05,8060,Datasea Inc.,NCM,REGULAR,-0.28710938,0,False,False,0.09709192,2.05 - 2.07,2.06,2.06,2.09,13,14,finmb_315965344,NasdaqCM,Datasea Inc.,USD,3270317,136050,0.352,0.20584795,1.71 - 6.84,-4.778,-0.698538,1.71,6.84,1525132800,1601296200,1601296200,1601296200,-0.125,4,0.089,2.465,-0.40299988,-0.1634888,2.8924494,-0.83044934,44279596,23.16854,15,America/New_York,EDT,-14400000,0.92,,,6.84,1.71,2.465,2.8924,3.27M,136.05k,21.47M,,6.47M,69.85%,0.31%,12.37k,0.05,0.19%,0.06%,28.26k,,,,,,0.00%,"Apr 30, 2018",,1:3,"Apr 30, 2018","Jun 29, 2020","Mar 30, 2021",-168.23%,-173.03%,-30.86%,-93.14%,1.57M,0.07,,1.27M,-2.53M,-2.64M,-0.1250,,171.18k,0.01,2.18M,119.91,0.75,0.09,-3.95M,-2.57M,Value,100176,Technology,58,"Datasea Inc., through its subsidiaries, provides smart security solutions in the People's Republic of China. It develops big data security and smart 3D security platforms, safe campus security systems, scenic area security systems, and public community security systems, as well as epidemic system. The company offers its smart security solutions primarily to schools, tourist or scenic attractions, and public communities through its own sales teams, partner agents, and newly founded operating entities. It also develops and offers education-related technologies to build campus networks, education management systems, education cloud platforms, science education platforms, and other education systems used in schools. The company was formerly known as Rose Rock, Inc. and changed its name to Datasea Inc. in October 2015. Datasea Inc. was incorporated in 2014 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 5614 5240,1609372800,China,http://www.dataseainc.com,86400,"Tower B, Guorui Plaza",Software—Infrastructure,20th Floor 1 Ronghua South Road Technological Development Zone
t-2,DTSS,2800688.0,21474100,194726,,-866823,-37945,-866823,673501,-7844,-876071,-876071,,,,,,0,9055,885126,16899,9248,,-866823,-866823,273404.0,11104666.0,2263695.0,3074092.0,130978.0,5337787.0,20944.0,1364215.0,-8280204.0,228686.0,,720036.0,1303038.0,228686.0,2176450.0,2887933.0,546677.0,231148.0,62011.0,12969.0,-52139.0,728824.0,931000.0,-227499.0,-945900.0,15769.0,-909530.0,42660.0,-16254.0,-5057.0,150474.0,-43838.0,931000.0,1584895.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,2.062,1630505026,0.0020000935,2.07,2.07,2.05,8060,Datasea Inc.,NCM,REGULAR,-0.28710938,0,False,False,0.09709192,2.05 - 2.07,2.06,2.06,2.09,13,14,finmb_315965344,NasdaqCM,Datasea Inc.,USD,3270317,136050,0.352,0.20584795,1.71 - 6.84,-4.778,-0.698538,1.71,6.84,1525132800,1601296200,1601296200,1601296200,-0.125,4,0.089,2.465,-0.40299988,-0.1634888,2.8924494,-0.83044934,44279596,23.16854,15,America/New_York,EDT,-14400000,0.92,,,6.84,1.71,2.465,2.8924,3.27M,136.05k,21.47M,,6.47M,69.85%,0.31%,12.37k,0.05,0.19%,0.06%,28.26k,,,,,,0.00%,"Apr 30, 2018",,1:3,"Apr 30, 2018","Jun 29, 2020","Mar 30, 2021",-168.23%,-173.03%,-30.86%,-93.14%,1.57M,0.07,,1.27M,-2.53M,-2.64M,-0.1250,,171.18k,0.01,2.18M,119.91,0.75,0.09,-3.95M,-2.57M,Value,100176,Technology,58,"Datasea Inc., through its subsidiaries, provides smart security solutions in the People's Republic of China. It develops big data security and smart 3D security platforms, safe campus security systems, scenic area security systems, and public community security systems, as well as epidemic system. The company offers its smart security solutions primarily to schools, tourist or scenic attractions, and public communities through its own sales teams, partner agents, and newly founded operating entities. It also develops and offers education-related technologies to build campus networks, education management systems, education cloud platforms, science education platforms, and other education systems used in schools. The company was formerly known as Rose Rock, Inc. and changed its name to Datasea Inc. in October 2015. Datasea Inc. was incorporated in 2014 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 5614 5240,1609372800,China,http://www.dataseainc.com,86400,"Tower B, Guorui Plaza",Software—Infrastructure,20th Floor 1 Ronghua South Road Technological Development Zone
t-3,DTSS,3861742.0,21474100,884975,,-152338,-37945,-157496,542525,1268400,-159100,-159100,,,,,,5158,1414780,1573880,146380,6762,,-157496,-157496,20694.0,11104666.0,1030764.0,3882436.0,20953.0,4913200.0,20944.0,2055188.0,-7413381.0,170207.0,,1065936.0,689491.0,170207.0,993983.0,3898523.0,523755.0,206462.0,46975.0,70.0,1341520.0,249.0,249.0,-2567894.0,-944875.0,1495.0,-2288138.0,71786.0,125542.0,-1129.0,135885.0,-47134.0,931000.0,3209032.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,2.062,1630505026,0.0020000935,2.07,2.07,2.05,8060,Datasea Inc.,NCM,REGULAR,-0.28710938,0,False,False,0.09709192,2.05 - 2.07,2.06,2.06,2.09,13,14,finmb_315965344,NasdaqCM,Datasea Inc.,USD,3270317,136050,0.352,0.20584795,1.71 - 6.84,-4.778,-0.698538,1.71,6.84,1525132800,1601296200,1601296200,1601296200,-0.125,4,0.089,2.465,-0.40299988,-0.1634888,2.8924494,-0.83044934,44279596,23.16854,15,America/New_York,EDT,-14400000,0.92,,,6.84,1.71,2.465,2.8924,3.27M,136.05k,21.47M,,6.47M,69.85%,0.31%,12.37k,0.05,0.19%,0.06%,28.26k,,,,,,0.00%,"Apr 30, 2018",,1:3,"Apr 30, 2018","Jun 29, 2020","Mar 30, 2021",-168.23%,-173.03%,-30.86%,-93.14%,1.57M,0.07,,1.27M,-2.53M,-2.64M,-0.1250,,171.18k,0.01,2.18M,119.91,0.75,0.09,-3.95M,-2.57M,Value,100176,Technology,58,"Datasea Inc., through its subsidiaries, provides smart security solutions in the People's Republic of China. It develops big data security and smart 3D security platforms, safe campus security systems, scenic area security systems, and public community security systems, as well as epidemic system. The company offers its smart security solutions primarily to schools, tourist or scenic attractions, and public communities through its own sales teams, partner agents, and newly founded operating entities. It also develops and offers education-related technologies to build campus networks, education management systems, education cloud platforms, science education platforms, and other education systems used in schools. The company was formerly known as Rose Rock, Inc. and changed its name to Datasea Inc. in October 2015. Datasea Inc. was incorporated in 2014 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 5614 5240,1609372800,China,http://www.dataseainc.com,86400,"Tower B, Guorui Plaza",Software—Infrastructure,20th Floor 1 Ronghua South Road Technological Development Zone
