Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,IPG.DE,-2973900000,393376000,,,116200000,132800000,91700000,28200000,343100000,245700000,245700000,,-49600000,,,,23800000,2027700000,1782000000,1684600000,-129500000,,92400000,91700000,913600000,1107900000,13342900000,2874000000,816400000,16349700000,39300000,471900000,2623100000,1037300000,4934300000,-896300000,703400000,2015300000,7984500000,295600000,502800000,-896300000,2028200000,7770200000,5283000000,2906900000,5862000000,28800000,-1312300000,200000,-71600000,-212700000,-347000000,8000000,-492700000,-22400000,-30400000,-249800000,69200000,-300000,-109100000,1117800000,-17600000,128100000,-28300000,-214300000,en-US,US,EQUITY,False,Delayed Quote,EUR,"INTERPUBL.GR. COS. DL-,10",0.17305657,12273331200,4.26871,15,Europe/Berlin,CEST,7200000,False,False,REGULAR,0,2,31.2,1630510548,0.0,31.2,31.2,31.2,6,GER,de_market,0.0,31.2 - 31.2,31.2,31.2,31.8,finmb_108616,XETRA,"The Interpublic Group of Companies, Inc.",USD,737,0,23.561,3.0843043,7.639 - 32.2,-1.0,-0.0310559,7.639,32.2,1619593202,1634646600,1635165000,1.035,33.5845,0.033173077,0.929,7.309,30.12,1.0799999,0.03585657,26.597183,4.6028175,1.04,,,32.2,7.64,30.12,26.6,737,,393.38M,,390.94M,0.64%,102.54%,,,,,,0.91,3.37%,1.03,3.32%,,24.32%,,"Jun 04, 2021",,,"Dec 31, 2020","Mar 31, 2021",5.40%,14.46%,4.48%,15.48%,8.12B,20.80,2.80%,1.67B,1.46B,438.1M,0.93,"1,851.10%",2.02B,5.12,5.14B,170.81,0.97,7.31,1.87B,1.56B,Value,10022,Communication Services,50200,7,8,"The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in two segments, Integrated Agency Networks (IAN) and IPG DXTRA. The company offers consumer advertising, digital marketing, communications planning and media buying, public relations, and specialized communications disciplines, as well as data management services. It also provides various diversified services, including meeting and event production, sports and entertainment marketing, corporate and brand identity, and strategic marketing consulting. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York.",New York,212-704-1200,NY,1,1609372800,1622505600,10,United States,http://www.interpublic.com,86400,10,909 Third Avenue,Advertising Agencies
t-1,IPG.DE,-2984100000,393376000,,,175100000,142000000,112300000,335700000,887700000,478300000,478300000,,-46800000,,,,58100000,2284400000,1806100000,1396700000,-303200000,,117000000,112300000,933600000,1099300000,15005700000,2895000000,827400000,18042700000,39000000,391500000,2636900000,1068400000,4945500000,-880200000,726400000,2509000000,9580500000,302000000,502500000,-880200000,2069600000,9367600000,6467100000,2915800000,7269700000,28800000,2015600000,-83700000,-503600000,-608500000,314300000,6500000,881200000,-100000,51300000,1522100000,73700000,-25800000,-99500000,-1169000000,-11800000,172400000,-55500000,-212900000,en-US,US,EQUITY,False,Delayed Quote,EUR,"INTERPUBL.GR. COS. DL-,10",0.17305657,12273331200,4.26871,15,Europe/Berlin,CEST,7200000,False,False,REGULAR,0,2,31.2,1630510548,0.0,31.2,31.2,31.2,6,GER,de_market,0.0,31.2 - 31.2,31.2,31.2,31.8,finmb_108616,XETRA,"The Interpublic Group of Companies, Inc.",USD,737,0,23.561,3.0843043,7.639 - 32.2,-1.0,-0.0310559,7.639,32.2,1619593202,1634646600,1635165000,1.035,33.5845,0.033173077,0.929,7.309,30.12,1.0799999,0.03585657,26.597183,4.6028175,1.04,,,32.2,7.64,30.12,26.6,737,,393.38M,,390.94M,0.64%,102.54%,,,,,,0.91,3.37%,1.03,3.32%,,24.32%,,"Jun 04, 2021",,,"Dec 31, 2020","Mar 31, 2021",5.40%,14.46%,4.48%,15.48%,8.12B,20.80,2.80%,1.67B,1.46B,438.1M,0.93,"1,851.10%",2.02B,5.12,5.14B,170.81,0.97,7.31,1.87B,1.56B,Value,10022,Communication Services,50200,7,8,"The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in two segments, Integrated Agency Networks (IAN) and IPG DXTRA. The company offers consumer advertising, digital marketing, communications planning and media buying, public relations, and specialized communications disciplines, as well as data management services. It also provides various diversified services, including meeting and event production, sports and entertainment marketing, corporate and brand identity, and strategic marketing consulting. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York.",New York,212-704-1200,NY,1,1609372800,1622505600,10,United States,http://www.interpublic.com,86400,10,909 Third Avenue,Advertising Agencies
t-2,IPG.DE,-3102100000,393376000,,,192200000,190800000,279700000,9900000,377600000,296700000,296700000,,-50800000,,,,-86300000,1954600000,1657900000,1577000000,-104500000,,278500000,279700000,949300000,1028100000,13161300000,2722600000,736600000,16074700000,38900000,541700000,2623400000,1050800000,4875400000,-967800000,705700000,1628000000,7227900000,291400000,506600000,-967800000,2260000000,7284300000,5114600000,3411300000,5105900000,28800000,761600000,-39200000,-1000000,-115400000,-66400000,6500000,543300000,-400000,8600000,689300000,71000000,900000,-99400000,-447200000,-14600000,87300000,-40100000,56400000,en-US,US,EQUITY,False,Delayed Quote,EUR,"INTERPUBL.GR. COS. DL-,10",0.17305657,12273331200,4.26871,15,Europe/Berlin,CEST,7200000,False,False,REGULAR,0,2,31.2,1630510548,0.0,31.2,31.2,31.2,6,GER,de_market,0.0,31.2 - 31.2,31.2,31.2,31.8,finmb_108616,XETRA,"The Interpublic Group of Companies, Inc.",USD,737,0,23.561,3.0843043,7.639 - 32.2,-1.0,-0.0310559,7.639,32.2,1619593202,1634646600,1635165000,1.035,33.5845,0.033173077,0.929,7.309,30.12,1.0799999,0.03585657,26.597183,4.6028175,1.04,,,32.2,7.64,30.12,26.6,737,,393.38M,,390.94M,0.64%,102.54%,,,,,,0.91,3.37%,1.03,3.32%,,24.32%,,"Jun 04, 2021",,,"Dec 31, 2020","Mar 31, 2021",5.40%,14.46%,4.48%,15.48%,8.12B,20.80,2.80%,1.67B,1.46B,438.1M,0.93,"1,851.10%",2.02B,5.12,5.14B,170.81,0.97,7.31,1.87B,1.56B,Value,10022,Communication Services,50200,7,8,"The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in two segments, Integrated Agency Networks (IAN) and IPG DXTRA. The company offers consumer advertising, digital marketing, communications planning and media buying, public relations, and specialized communications disciplines, as well as data management services. It also provides various diversified services, including meeting and event production, sports and entertainment marketing, corporate and brand identity, and strategic marketing consulting. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York.",New York,212-704-1200,NY,1,1609372800,1622505600,10,United States,http://www.interpublic.com,86400,10,909 Third Avenue,Advertising Agencies
t-3,IPG.DE,-3360100000,393376000,,,-24900000,195900000,-45600000,4100000,231100000,153900000,153900000,,-49800000,,,,19000000,1853400000,1699500000,1622300000,-178800000,,-43900000,-45600000,968100000,996300000,12250600000,2450400000,732300000,14896900000,38900000,518600000,2444300000,1124700000,4842400000,-1029100000,718500000,1085400000,6366500000,287700000,503000000,-1029100000,2153600000,6214300000,4610300000,3411700000,4328100000,28800000,-1284100000,-32500000,-245400000,-366700000,60100000,6500000,-468500000,-2700000,17800000,-87100000,73100000,-4000000,-99200000,987300000,-19400000,119100000,-27300000,-152200000,en-US,US,EQUITY,False,Delayed Quote,EUR,"INTERPUBL.GR. COS. DL-,10",0.17305657,12273331200,4.26871,15,Europe/Berlin,CEST,7200000,False,False,REGULAR,0,2,31.2,1630510548,0.0,31.2,31.2,31.2,6,GER,de_market,0.0,31.2 - 31.2,31.2,31.2,31.8,finmb_108616,XETRA,"The Interpublic Group of Companies, Inc.",USD,737,0,23.561,3.0843043,7.639 - 32.2,-1.0,-0.0310559,7.639,32.2,1619593202,1634646600,1635165000,1.035,33.5845,0.033173077,0.929,7.309,30.12,1.0799999,0.03585657,26.597183,4.6028175,1.04,,,32.2,7.64,30.12,26.6,737,,393.38M,,390.94M,0.64%,102.54%,,,,,,0.91,3.37%,1.03,3.32%,,24.32%,,"Jun 04, 2021",,,"Dec 31, 2020","Mar 31, 2021",5.40%,14.46%,4.48%,15.48%,8.12B,20.80,2.80%,1.67B,1.46B,438.1M,0.93,"1,851.10%",2.02B,5.12,5.14B,170.81,0.97,7.31,1.87B,1.56B,Value,10022,Communication Services,50200,7,8,"The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in two segments, Integrated Agency Networks (IAN) and IPG DXTRA. The company offers consumer advertising, digital marketing, communications planning and media buying, public relations, and specialized communications disciplines, as well as data management services. It also provides various diversified services, including meeting and event production, sports and entertainment marketing, corporate and brand identity, and strategic marketing consulting. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York.",New York,212-704-1200,NY,1,1609372800,1622505600,10,United States,http://www.interpublic.com,86400,10,909 Third Avenue,Advertising Agencies
