Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceHint,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchangeDataDelayedBy,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,HYSR,-158078419,3773920000,1126422,,-20456544,,-20456544,691747,0,-1824481,-1824481,,-31341,,,,0,0,1824481,0,-18632063,,-20456544,-20456544,81081,77942807,203643652,-157997338,201779864,45646314,3320939,-239261084,45347801,202685491,120000,207168,45358065,958161,249909,71373,-159905,-64450,30016600,-27934,42423350,27982233,-1874462,6313,-12342300,18531493,-159905,-157327426,en-US,US,EQUITY,False,Delayed Quote,USD,0.059,1630526357,0.004549999,0.0538,0.059,0.0538,9283088,8.356288,0.0538 - 0.059,0.05445,0.0,0.0,0,0,finmb_60951583,Other OTC,"SunHydrogen, Inc.",USD,14274920,10622957,0.039,1.95,0.02 - 0.339,-0.27999997,-0.82595867,0.02,0.339,4,PNK,-0.092,-0.048,0.06057143,-0.001571428,-0.025943387,0.09182609,-0.03282609,-0.35748106,222661280,-1.2291666,15,America/New_York,EDT,-14400000,False,False,0,SUNHYDROGEN INC,us_market,PRE,3.14,,,0.339,0.02,0.0606,0.0918,14.27M,10.62M,3.77B,,3.53B,6.52%,0.01%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Mar 30, 2021",0.00%,0.00%,-14.77%,,,,,,-5.41M,-216.13M,-0.0920,,45.35M,0.01,1.08M,,0.22,-0.05,-4.91M,191.2M,Value,93101,Technology,1,"SunHydrogen, Inc. develops solar-powered nanoparticle systems that mimic photosynthesis to separate hydrogen from water. The company was formerly known as HyperSolar, Inc. and changed its name to SunHydrogen, Inc. in June 2020. SunHydrogen, Inc. was founded in 2009 and is based in Santa Barbara, California.",Santa Barbara,805 966 6566,CA,1609372800,United States,http://www.sunhydrogen.com,86400,10 East Yanonali Street,Solar,Suite 36
t-1,HYSR,-167940589,3773920000,439987,,-125120381,,-125120381,2286980,0,-2731648,-2731648,,-250428,,,,0,0,2731648,0,-122388733,,-125120381,-141048695,82839,48269731,185364515,-167857750,183176556,17506765,2677059,-218804540,17365568,184180515,176224,51818,17372108,1184000,178536,53807,-3961,-64450,19292300,40264,8200000,16864924,-2423415,4681,11092300,122388210,-3961,-166808407,en-US,US,EQUITY,False,Delayed Quote,USD,0.059,1630526357,0.004549999,0.0538,0.059,0.0538,9283088,8.356288,0.0538 - 0.059,0.05445,0.0,0.0,0,0,finmb_60951583,Other OTC,"SunHydrogen, Inc.",USD,14274920,10622957,0.039,1.95,0.02 - 0.339,-0.27999997,-0.82595867,0.02,0.339,4,PNK,-0.092,-0.048,0.06057143,-0.001571428,-0.025943387,0.09182609,-0.03282609,-0.35748106,222661280,-1.2291666,15,America/New_York,EDT,-14400000,False,False,0,SUNHYDROGEN INC,us_market,PRE,3.14,,,0.339,0.02,0.0606,0.0918,14.27M,10.62M,3.77B,,3.53B,6.52%,0.01%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Mar 30, 2021",0.00%,0.00%,-14.77%,,,,,,-5.41M,-216.13M,-0.0920,,45.35M,0.01,1.08M,,0.22,-0.05,-4.91M,191.2M,Value,93101,Technology,1,"SunHydrogen, Inc. develops solar-powered nanoparticle systems that mimic photosynthesis to separate hydrogen from water. The company was formerly known as HyperSolar, Inc. and changed its name to SunHydrogen, Inc. in June 2020. SunHydrogen, Inc. was founded in 2009 and is based in Santa Barbara, California.",Santa Barbara,805 966 6566,CA,1609372800,United States,http://www.sunhydrogen.com,86400,10 East Yanonali Street,Solar,Suite 36
t-2,HYSR,-62865735,3773920000,138260,,-2206260,,-2206260,438190,0,-578486,-578486,,-247689,,,,0,0,578486,0,-1627774,,-2206260,-2206260,84598,12803933,63429704,-62781137,61037804,648567,2171705,-77756775,500644,61969704,126950,50780,513189,1460000,124728,-76515,-50000,-64450,800000,56928,800000,305634,-444366,2036,11092300,1580421,-50000,-61456515,en-US,US,EQUITY,False,Delayed Quote,USD,0.059,1630526357,0.004549999,0.0538,0.059,0.0538,9283088,8.356288,0.0538 - 0.059,0.05445,0.0,0.0,0,0,finmb_60951583,Other OTC,"SunHydrogen, Inc.",USD,14274920,10622957,0.039,1.95,0.02 - 0.339,-0.27999997,-0.82595867,0.02,0.339,4,PNK,-0.092,-0.048,0.06057143,-0.001571428,-0.025943387,0.09182609,-0.03282609,-0.35748106,222661280,-1.2291666,15,America/New_York,EDT,-14400000,False,False,0,SUNHYDROGEN INC,us_market,PRE,3.14,,,0.339,0.02,0.0606,0.0918,14.27M,10.62M,3.77B,,3.53B,6.52%,0.01%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Mar 30, 2021",0.00%,0.00%,-14.77%,,,,,,-5.41M,-216.13M,-0.0920,,45.35M,0.01,1.08M,,0.22,-0.05,-4.91M,191.2M,Value,93101,Technology,1,"SunHydrogen, Inc. develops solar-powered nanoparticle systems that mimic photosynthesis to separate hydrogen from water. The company was formerly known as HyperSolar, Inc. and changed its name to SunHydrogen, Inc. in June 2020. SunHydrogen, Inc. was founded in 2009 and is based in Santa Barbara, California.",Santa Barbara,805 966 6566,CA,1609372800,United States,http://www.sunhydrogen.com,86400,10 East Yanonali Street,Solar,Suite 36
t-3,HYSR,-61918804,3773920000,222456,,-52420877,,-52420877,63823,0,-288358,-288358,,-235612,,,,0,0,288358,0,-52132519,,-52420877,-52420877,86356,11664657,62124250,-61832448,59657719,291802,2053410,-75550515,195010,60664250,160926,1058,204388,1460000,201243,107057,-50000,230000,230000,67940,800000,59758,-170242,2079,11092300,51888511,780,-60459862,en-US,US,EQUITY,False,Delayed Quote,USD,0.059,1630526357,0.004549999,0.0538,0.059,0.0538,9283088,8.356288,0.0538 - 0.059,0.05445,0.0,0.0,0,0,finmb_60951583,Other OTC,"SunHydrogen, Inc.",USD,14274920,10622957,0.039,1.95,0.02 - 0.339,-0.27999997,-0.82595867,0.02,0.339,4,PNK,-0.092,-0.048,0.06057143,-0.001571428,-0.025943387,0.09182609,-0.03282609,-0.35748106,222661280,-1.2291666,15,America/New_York,EDT,-14400000,False,False,0,SUNHYDROGEN INC,us_market,PRE,3.14,,,0.339,0.02,0.0606,0.0918,14.27M,10.62M,3.77B,,3.53B,6.52%,0.01%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Mar 30, 2021",0.00%,0.00%,-14.77%,,,,,,-5.41M,-216.13M,-0.0920,,45.35M,0.01,1.08M,,0.22,-0.05,-4.91M,191.2M,Value,93101,Technology,1,"SunHydrogen, Inc. develops solar-powered nanoparticle systems that mimic photosynthesis to separate hydrogen from water. The company was formerly known as HyperSolar, Inc. and changed its name to SunHydrogen, Inc. in June 2020. SunHydrogen, Inc. was founded in 2009 and is based in Santa Barbara, California.",Santa Barbara,805 966 6566,CA,1609372800,United States,http://www.sunhydrogen.com,86400,10 East Yanonali Street,Solar,Suite 36
