Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,industry
t0,DIZTF,59511000.0,65059200,,,-9660000,,-9660000,18281000,9338000,-11953000,-11953000,38000,-271000,,,,0,14038000,25991000,4700000,2293000,,-9660000,-9660000,222692000.0,34400000.0,59511000.0,13537000.0,967000.0,93911000.0,6506000.0,-169687000.0,18000.0,13537000.0,36333000.0,22548000.0,4473000.0,28836000.0,51538000.0,6830000.0,11834000.0,6695000.0,7997000.0,,,,0.0,-2807000.0,8507000.0,8507000.0,-5575000.0,-8033000.0,675000.0,-14408000.0,2972000.0,-138000.0,162000.0,-2169000.0,-2807000.0,,,28990000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DIGNITANA AB,False,False,PNK,1.12,1628527003,0.0,1.12,1.12,1.12,100,REGULAR,0,4,0.0,1.12 - 1.12,1.12,finmb_775042,Dignitana AB (publ.),Other OTC,SEK,9,0,0.32999998,0.41772148,0.79 - 1.24,-0.120000005,-0.0967742,0.79,1.24,1.1772223,-0.057222247,-0.048607852,0.9661683,0.15383172,0.15921836,73630704,15,America/New_York,EDT,-14400000,1.3,,,1.24,0.79,1.1772,0.9662,9,,65.06M,,43.18M,39.03%,15.37%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",-94.09%,0.00%,-32.65%,-102.55%,,,22.90%,29.71M,,,,,,,,27.4,2.29,,,,Value,226 60,Healthcare,28,"Dignitana AB (publ.), a medical technology company, develops, produces, and markets medical cooling devices primarily in the United States. It offers DigniCap, a scalp cooling system used to reduce hair loss from certain chemotherapy treatments, as well as in the treatment of breast cancer. Dignitana AB (publ.) was incorporated in 2007 is headquartered in Lund, Sweden.",Lund,46 46 16 30 90,Sweden,http://dignitana.com,86400,TraktorgrÃ¤nden 3,Medical Devices
t-1,DIZTF,67738000.0,65059200,,,-7664000,,-7664000,12648000,7904000,-8124000,-8124000,74000,-588000,,,,0,13165000,21289000,5261000,460000,,-7664000,-7664000,222692000.0,34693000.0,67738000.0,14655000.0,4133000.0,102431000.0,6506000.0,-161460000.0,18000.0,14655000.0,44366000.0,34279000.0,7493000.0,27890000.0,59886000.0,7388000.0,396000.0,6703000.0,12960000.0,1000.0,,,0.0,-2100000.0,-22280000.0,-22280000.0,-4629000.0,-34404000.0,-1327000.0,-8696000.0,3306000.0,848000.0,-338000.0,-219000.0,-2100000.0,,,25607000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DIGNITANA AB,False,False,PNK,1.12,1628527003,0.0,1.12,1.12,1.12,100,REGULAR,0,4,0.0,1.12 - 1.12,1.12,finmb_775042,Dignitana AB (publ.),Other OTC,SEK,9,0,0.32999998,0.41772148,0.79 - 1.24,-0.120000005,-0.0967742,0.79,1.24,1.1772223,-0.057222247,-0.048607852,0.9661683,0.15383172,0.15921836,73630704,15,America/New_York,EDT,-14400000,1.3,,,1.24,0.79,1.1772,0.9662,9,,65.06M,,43.18M,39.03%,15.37%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",-94.09%,0.00%,-32.65%,-102.55%,,,22.90%,29.71M,,,,,,,,27.4,2.29,,,,Value,226 60,Healthcare,28,"Dignitana AB (publ.), a medical technology company, develops, produces, and markets medical cooling devices primarily in the United States. It offers DigniCap, a scalp cooling system used to reduce hair loss from certain chemotherapy treatments, as well as in the treatment of breast cancer. Dignitana AB (publ.) was incorporated in 2007 is headquartered in Lund, Sweden.",Lund,46 46 16 30 90,Sweden,http://dignitana.com,86400,TraktorgrÃ¤nden 3,Medical Devices
t-2,DIZTF,77636000.0,65059200,,,-20820788,,-20820788,15562023,5699921,-15001947,-15001947,747454,-790873,,,,0,12929322,27931269,7229401,-5818841,,-20820788,-20820788,222692000.0,60253000.0,77636000.0,16233000.0,28589000.0,137889000.0,6057000.0,-151562000.0,18000.0,16233000.0,78770000.0,58574000.0,7968000.0,27501000.0,94155000.0,7533000.0,1661000.0,7455000.0,13327000.0,,449000.0,449000.0,0.0,-3773019.0,17283694.0,91895684.0,-17354520.0,63973705.0,1387758.0,-25536718.0,567391.0,-489506.0,-1523093.0,6986798.0,-3034019.0,75000000.0,-388010.0,35581000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DIGNITANA AB,False,False,PNK,1.12,1628527003,0.0,1.12,1.12,1.12,100,REGULAR,0,4,0.0,1.12 - 1.12,1.12,finmb_775042,Dignitana AB (publ.),Other OTC,SEK,9,0,0.32999998,0.41772148,0.79 - 1.24,-0.120000005,-0.0967742,0.79,1.24,1.1772223,-0.057222247,-0.048607852,0.9661683,0.15383172,0.15921836,73630704,15,America/New_York,EDT,-14400000,1.3,,,1.24,0.79,1.1772,0.9662,9,,65.06M,,43.18M,39.03%,15.37%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",-94.09%,0.00%,-32.65%,-102.55%,,,22.90%,29.71M,,,,,,,,27.4,2.29,,,,Value,226 60,Healthcare,28,"Dignitana AB (publ.), a medical technology company, develops, produces, and markets medical cooling devices primarily in the United States. It offers DigniCap, a scalp cooling system used to reduce hair loss from certain chemotherapy treatments, as well as in the treatment of breast cancer. Dignitana AB (publ.) was incorporated in 2007 is headquartered in Lund, Sweden.",Lund,46 46 16 30 90,Sweden,http://dignitana.com,86400,TraktorgrÃ¤nden 3,Medical Devices
t-3,DIZTF,24492594.0,65059200,,,-9858899,,-9858899,11833274,6768063,-11169802,-11169802,1931425,-508197,,,,0,10884416,22054218,4116353,1310903,,-9858899,-9858899,,56445622.0,24492594.0,18016088.0,23981337.0,80938216.0,55059155.0,-15423540.0,,18016088.0,14796195.0,52836106.0,9485781.0,30883582.0,32038546.0,5887686.0,3609516.0,10362606.0,11832756.0,,-15143021.0,-15143021.0,0.0,-5373501.0,-3144637.0,-3144637.0,20901928.0,7312450.0,198765.0,15631823.0,4173166.0,-838022.0,823122.0,430528.0,-5373501.0,75000000.0,-388010.0,-20797560.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DIGNITANA AB,False,False,PNK,1.12,1628527003,0.0,1.12,1.12,1.12,100,REGULAR,0,4,0.0,1.12 - 1.12,1.12,finmb_775042,Dignitana AB (publ.),Other OTC,SEK,9,0,0.32999998,0.41772148,0.79 - 1.24,-0.120000005,-0.0967742,0.79,1.24,1.1772223,-0.057222247,-0.048607852,0.9661683,0.15383172,0.15921836,73630704,15,America/New_York,EDT,-14400000,1.3,,,1.24,0.79,1.1772,0.9662,9,,65.06M,,43.18M,39.03%,15.37%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",-94.09%,0.00%,-32.65%,-102.55%,,,22.90%,29.71M,,,,,,,,27.4,2.29,,,,Value,226 60,Healthcare,28,"Dignitana AB (publ.), a medical technology company, develops, produces, and markets medical cooling devices primarily in the United States. It offers DigniCap, a scalp cooling system used to reduce hair loss from certain chemotherapy treatments, as well as in the treatment of breast cancer. Dignitana AB (publ.) was incorporated in 2007 is headquartered in Lund, Sweden.",Lund,46 46 16 30 90,Sweden,http://dignitana.com,86400,TraktorgrÃ¤nden 3,Medical Devices
