Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,otherCurrentAssets,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,gmtOffSetMilliseconds,esgPopulated,tradeable,market,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,priceHint,marketState,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,CYSNF,23674326.0,39612800,347171,,2174474,,1466580,778611,3150259,2024477,2024477,,,,,,707894,4719279,2694802,1569020,149997,,1466580,1466580,7999.0,1307130.0,1307992.0,23682325.0,140707.0,24990317.0,13054327.0,9320868.0,200972.0,9048007.0,1107020.0,74220.0,24908098.0,8129555.0,486154.0,7161193.0,911420.0,,695.0,-558711.0,695.0,-209796.0,-41721.0,283801.0,2264249.0,82228.0,2391122.0,7817.0,-493597.0,167449.0,-222719.0,1572427.0,,23801078.0,en-US,US,EQUITY,False,Delayed Quote,USD,-1.7255849,2.1026 - 2.22,2.12,0.0,0.0,0,0,finmb_3103445,Other OTC,C-Com Satellite Systems Inc.,CAD,23294,7449,-14400000,False,False,us_market,PNK,0.027,0.598,2.2365866,-0.12368655,-0.055301484,2.5662878,-0.45338774,-0.17667066,83697888,3.5332778,15,America/New_York,EDT,2.1129,1630438532,-0.037100077,2.13,2.22,2.1026,6299,C-COM SATELLITE SYSTEMS INC,4,REGULAR,0,0.28279996,0.15452705,1.8301 - 3.6,-1.4870999,-0.4130833,1.8301,3.6,1629158400,0.05,78.255554,0.023584908,-0.14,,,3.6,1.8301,2.2366,2.5663,23.29k,7.45k,39.61M,,23.41M,39.48%,0.13%,,,,,,0.04,1.89%,0.05,2.36%,3.55,154.10%,"Aug 16, 2021","May 02, 2021",,,"Nov 29, 2020","Feb 27, 2021",15.69%,15.77%,4.16%,6.87%,9.93M,0.26,280.40%,3.8M,1.59M,1.56M,0.0270,,17.18M,0.43,,,22.50,0.60,2.86M,2.33M,Value,K1B 3V7,Technology,"C-Com Satellite Systems Inc. develops and deploys commercial grade mobile auto-deploying satellite-based technology for the delivery of two-way high-speed Internet, VoIP, and video services into vehicles. The company offers iNetVu, a proprietary mobile auto-deploying antenna for the delivery of satellite based Internet services into vehicles while stationary virtually anywhere one can drive, as well as for the transportable platforms. It also provides driveaway, flyaway, and fixed motorized antennas. In addition, the company offers accessories, such as powersmart products, beacon receivers, transportable cases, cables, transportable enclosed skids, and custom integrations, as well as antenna controllers. Its products and services deliver solutions for fixed and mobile applications. The company serves oil and gas exploration, military, communications, disaster management, emergency responders, broadcasters, telemedicine, mobile education and office, government, banking, and other sectors. The company operates in Canada, the United States, Asia, the Russian Federation, Europe, and internationally. C-Com Satellite Systems Inc. was incorporated in 1997 and is headquartered in Ottawa, Canada.",Ottawa,613 745 4110,ON,1609372800,Canada,http://www.c-comsat.com,86400,2574 Sheffield Road,613 745 7144,Communication Equipment
t-1,CYSNF,22337959.0,39612800,466174,,469879,,348089,1055044,1399840,-121378,-121378,,,,,,121790,2379420,2500798,979580,591257,,348089,348089,9944.0,1229492.0,1115227.0,22347903.0,99042.0,23463130.0,12770526.0,8347885.0,215096.0,6783758.0,900131.0,80092.0,23373094.0,8074676.0,1144550.0,7328642.0,504137.0,29354.0,-32264.0,273840.0,-53745.0,362908.0,41985.0,852942.0,1048361.0,420.0,738778.0,5745.0,-490034.0,154880.0,-95943.0,-680.0,-23959.0,22472963.0,en-US,US,EQUITY,False,Delayed Quote,USD,-1.7255849,2.1026 - 2.22,2.12,0.0,0.0,0,0,finmb_3103445,Other OTC,C-Com Satellite Systems Inc.,CAD,23294,7449,-14400000,False,False,us_market,PNK,0.027,0.598,2.2365866,-0.12368655,-0.055301484,2.5662878,-0.45338774,-0.17667066,83697888,3.5332778,15,America/New_York,EDT,2.1129,1630438532,-0.037100077,2.13,2.22,2.1026,6299,C-COM SATELLITE SYSTEMS INC,4,REGULAR,0,0.28279996,0.15452705,1.8301 - 3.6,-1.4870999,-0.4130833,1.8301,3.6,1629158400,0.05,78.255554,0.023584908,-0.14,,,3.6,1.8301,2.2366,2.5663,23.29k,7.45k,39.61M,,23.41M,39.48%,0.13%,,,,,,0.04,1.89%,0.05,2.36%,3.55,154.10%,"Aug 16, 2021","May 02, 2021",,,"Nov 29, 2020","Feb 27, 2021",15.69%,15.77%,4.16%,6.87%,9.93M,0.26,280.40%,3.8M,1.59M,1.56M,0.0270,,17.18M,0.43,,,22.50,0.60,2.86M,2.33M,Value,K1B 3V7,Technology,"C-Com Satellite Systems Inc. develops and deploys commercial grade mobile auto-deploying satellite-based technology for the delivery of two-way high-speed Internet, VoIP, and video services into vehicles. The company offers iNetVu, a proprietary mobile auto-deploying antenna for the delivery of satellite based Internet services into vehicles while stationary virtually anywhere one can drive, as well as for the transportable platforms. It also provides driveaway, flyaway, and fixed motorized antennas. In addition, the company offers accessories, such as powersmart products, beacon receivers, transportable cases, cables, transportable enclosed skids, and custom integrations, as well as antenna controllers. Its products and services deliver solutions for fixed and mobile applications. The company serves oil and gas exploration, military, communications, disaster management, emergency responders, broadcasters, telemedicine, mobile education and office, government, banking, and other sectors. The company operates in Canada, the United States, Asia, the Russian Federation, Europe, and internationally. C-Com Satellite Systems Inc. was incorporated in 1997 and is headquartered in Ottawa, Canada.",Ottawa,613 745 4110,ON,1609372800,Canada,http://www.c-comsat.com,86400,2574 Sheffield Road,613 745 7144,Communication Equipment
t-2,CYSNF,21493681.0,39612800,431064,,317644,,210856,318726,1139923,390133,390133,,,,,,106788,1773918,1383785,633995,-72489,,210856,210856,4282.0,1520743.0,822715.0,21497963.0,71318.0,22320678.0,11487390.0,8489830.0,202479.0,5735397.0,620236.0,75924.0,22240472.0,8042412.0,895688.0,7483522.0,545718.0,,-32264.0,-847827.0,-2569.0,17024.0,28890.0,497600.0,-394007.0,79876.0,-488338.0,7261.0,-480576.0,38249.0,-362249.0,436480.0,-2569.0,21620236.0,en-US,US,EQUITY,False,Delayed Quote,USD,-1.7255849,2.1026 - 2.22,2.12,0.0,0.0,0,0,finmb_3103445,Other OTC,C-Com Satellite Systems Inc.,CAD,23294,7449,-14400000,False,False,us_market,PNK,0.027,0.598,2.2365866,-0.12368655,-0.055301484,2.5662878,-0.45338774,-0.17667066,83697888,3.5332778,15,America/New_York,EDT,2.1129,1630438532,-0.037100077,2.13,2.22,2.1026,6299,C-COM SATELLITE SYSTEMS INC,4,REGULAR,0,0.28279996,0.15452705,1.8301 - 3.6,-1.4870999,-0.4130833,1.8301,3.6,1629158400,0.05,78.255554,0.023584908,-0.14,,,3.6,1.8301,2.2366,2.5663,23.29k,7.45k,39.61M,,23.41M,39.48%,0.13%,,,,,,0.04,1.89%,0.05,2.36%,3.55,154.10%,"Aug 16, 2021","May 02, 2021",,,"Nov 29, 2020","Feb 27, 2021",15.69%,15.77%,4.16%,6.87%,9.93M,0.26,280.40%,3.8M,1.59M,1.56M,0.0270,,17.18M,0.43,,,22.50,0.60,2.86M,2.33M,Value,K1B 3V7,Technology,"C-Com Satellite Systems Inc. develops and deploys commercial grade mobile auto-deploying satellite-based technology for the delivery of two-way high-speed Internet, VoIP, and video services into vehicles. The company offers iNetVu, a proprietary mobile auto-deploying antenna for the delivery of satellite based Internet services into vehicles while stationary virtually anywhere one can drive, as well as for the transportable platforms. It also provides driveaway, flyaway, and fixed motorized antennas. In addition, the company offers accessories, such as powersmart products, beacon receivers, transportable cases, cables, transportable enclosed skids, and custom integrations, as well as antenna controllers. Its products and services deliver solutions for fixed and mobile applications. The company serves oil and gas exploration, military, communications, disaster management, emergency responders, broadcasters, telemedicine, mobile education and office, government, banking, and other sectors. The company operates in Canada, the United States, Asia, the Russian Federation, Europe, and internationally. C-Com Satellite Systems Inc. was incorporated in 1997 and is headquartered in Ottawa, Canada.",Ottawa,613 745 4110,ON,1609372800,Canada,http://www.c-comsat.com,86400,2574 Sheffield Road,613 745 7144,Communication Equipment
t-3,CYSNF,21188694.0,39612800,363251,,-618153,,-466930,958813,595908,-726156,-726156,,,,,,-151223,1061665,1787821,465757,108003,,-466930,-466930,5322.0,1560827.0,1430213.0,21194016.0,61743.0,22624229.0,10873641.0,8759548.0,225632.0,6129404.0,1204581.0,79576.0,22539331.0,8042412.0,733401.0,7521771.0,1133532.0,,1372619.0,1001456.0,1365741.0,-22997.0,87963.0,454049.0,1521244.0,-42006.0,220507.0,6584.0,-477046.0,-219287.0,342748.0,-532026.0,-6878.0,21334750.0,en-US,US,EQUITY,False,Delayed Quote,USD,-1.7255849,2.1026 - 2.22,2.12,0.0,0.0,0,0,finmb_3103445,Other OTC,C-Com Satellite Systems Inc.,CAD,23294,7449,-14400000,False,False,us_market,PNK,0.027,0.598,2.2365866,-0.12368655,-0.055301484,2.5662878,-0.45338774,-0.17667066,83697888,3.5332778,15,America/New_York,EDT,2.1129,1630438532,-0.037100077,2.13,2.22,2.1026,6299,C-COM SATELLITE SYSTEMS INC,4,REGULAR,0,0.28279996,0.15452705,1.8301 - 3.6,-1.4870999,-0.4130833,1.8301,3.6,1629158400,0.05,78.255554,0.023584908,-0.14,,,3.6,1.8301,2.2366,2.5663,23.29k,7.45k,39.61M,,23.41M,39.48%,0.13%,,,,,,0.04,1.89%,0.05,2.36%,3.55,154.10%,"Aug 16, 2021","May 02, 2021",,,"Nov 29, 2020","Feb 27, 2021",15.69%,15.77%,4.16%,6.87%,9.93M,0.26,280.40%,3.8M,1.59M,1.56M,0.0270,,17.18M,0.43,,,22.50,0.60,2.86M,2.33M,Value,K1B 3V7,Technology,"C-Com Satellite Systems Inc. develops and deploys commercial grade mobile auto-deploying satellite-based technology for the delivery of two-way high-speed Internet, VoIP, and video services into vehicles. The company offers iNetVu, a proprietary mobile auto-deploying antenna for the delivery of satellite based Internet services into vehicles while stationary virtually anywhere one can drive, as well as for the transportable platforms. It also provides driveaway, flyaway, and fixed motorized antennas. In addition, the company offers accessories, such as powersmart products, beacon receivers, transportable cases, cables, transportable enclosed skids, and custom integrations, as well as antenna controllers. Its products and services deliver solutions for fixed and mobile applications. The company serves oil and gas exploration, military, communications, disaster management, emergency responders, broadcasters, telemedicine, mobile education and office, government, banking, and other sectors. The company operates in Canada, the United States, Asia, the Russian Federation, Europe, and internationally. C-Com Satellite Systems Inc. was incorporated in 1997 and is headquartered in Ottawa, Canada.",Ottawa,613 745 4110,ON,1609372800,Canada,http://www.c-comsat.com,86400,2574 Sheffield Road,613 745 7144,Communication Equipment
