Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,totalAssets,commonStock,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,accountsPayable,otherCurrentLiab,shortTermInvestments,otherLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,preMarketChange,preMarketChangePercent,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingAnnualDividendYield,epsTrailingTwelveMonths,marketState,preMarketTime,preMarketPrice,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,IHT,6077502.0,8856050,,,157161,-3317214,-106483,537507,657601,-206579,-206579,141653,-89810,,,,0,1399126,1605705,741525,363740,,157161,-106483,12338132.0,6077502.0,15098420.0,20014474.0,-13936972.0,2787500.0,1558990.0,2169365.0,201354.0,10253304.0,1997616.0,60000.0,213134.0,7828683.0,1879682.0,,,,26079.0,-59434.0,-134351.0,-134351.0,-49091.0,-143765.0,50020.0,185020.0,-14382.0,-59089.0,-59434.0,,,,,,-171749.0,en-US,US,EQUITY,True,Delayed Quote,4.17,1630526400,0.31000018,4.01,4.58,3.82,610736,-0.43326092,-0.094120435,36929728,6.2053576,15,America/New_York,EDT,-14400000,False,False,USD,4,0.009999752,0.2398022,InnSuites Hospitality Trust Sha,ASE,0.672,4.670857,-0.5008569,-0.10723019,4.603261,0,finmb_299555,NYSE American,InnSuites Hospitality Trust,USD,727076,667000,3.13,3.0096157,1.04 - 14.77,-10.6,-0.717671,1.04,14.77,1627603200,1616616000,1616616000,1616616000,0.02,0.005181347,-0.177,PRE,1630571241,4.18,8.031094,3.82 - 4.58,3.86,4.0,4.2,9,9,us_market,0.59,,,14.77,1.04,4.6709,4.6033,727.08k,667k,8.86M,,2.77M,69.65%,2.41%,35.44k,0.09,1.29%,0.40%,93.39k,0.02,0.37%,0.02,0.52%,1.12,,"Jul 29, 2021","Jul 13, 2021",,,"Jan 30, 2021","Apr 29, 2021",-38.27%,-65.84%,-10.86%,-56.41%,4.16M,0.46,-3.20%,1.69M,-1.93M,-1.59M,-0.1770,,1.56M,0.17,10.46M,378.89,0.92,0.67,-384.51k,1.19M,Value,85020,Real Estate,120,"InnSuites Hospitality Trust (NYSE American symbol: IHT) first listed on the NYSE in 1971 is headquartered in Phoenix, Arizona is an unincorporated Ohio Business. Trust that owns and manages hotels under the InnSuites Hotels name. InnSuitesÂ® Hotels and Suites has owned real estate and hotels and provided hotel services including management, branding, and reservations to hotels under the brand name ÂInnSuitesÂ trademarked and owned by IHT over 40 years by being innovators for guest needs and recognizing hotel membership demands.",Phoenix,602-944-1500,AZ,1640908800,United States,http://www.innsuitestrust.com,86400,InnSuites Hotels Centre,REIT—Hotel & Motel,Suite 122 1730 East Northern Avenue
t-1,IHT,6090430.0,8856050,,,-508320,-3580858,-337710,571362,287459,-616794,-616794,135985,-85994,,,,-68661,878817,1495611,591358,108474,,-439659,-337710,12883536.0,6090430.0,15393108.0,20027402.0,-13936972.0,2833333.0,1702755.0,2156011.0,216015.0,10407242.0,2092533.0,60000.0,281407.0,8364662.0,136648.0,113315.0,5000.0,,186742.0,589557.0,1352528.0,1152492.0,-76027.0,1655369.0,-86680.0,196906.0,-12843.0,-94748.0,-37443.0,687000.0,-60000.0,-95924.0,-104112.0,,-63478.0,en-US,US,EQUITY,True,Delayed Quote,4.17,1630526400,0.31000018,4.01,4.58,3.82,610736,-0.43326092,-0.094120435,36929728,6.2053576,15,America/New_York,EDT,-14400000,False,False,USD,4,0.009999752,0.2398022,InnSuites Hospitality Trust Sha,ASE,0.672,4.670857,-0.5008569,-0.10723019,4.603261,0,finmb_299555,NYSE American,InnSuites Hospitality Trust,USD,727076,667000,3.13,3.0096157,1.04 - 14.77,-10.6,-0.717671,1.04,14.77,1627603200,1616616000,1616616000,1616616000,0.02,0.005181347,-0.177,PRE,1630571241,4.18,8.031094,3.82 - 4.58,3.86,4.0,4.2,9,9,us_market,0.59,,,14.77,1.04,4.6709,4.6033,727.08k,667k,8.86M,,2.77M,69.65%,2.41%,35.44k,0.09,1.29%,0.40%,93.39k,0.02,0.37%,0.02,0.52%,1.12,,"Jul 29, 2021","Jul 13, 2021",,,"Jan 30, 2021","Apr 29, 2021",-38.27%,-65.84%,-10.86%,-56.41%,4.16M,0.46,-3.20%,1.69M,-1.93M,-1.59M,-0.1770,,1.56M,0.17,10.46M,378.89,0.92,0.67,-384.51k,1.19M,Value,85020,Real Estate,120,"InnSuites Hospitality Trust (NYSE American symbol: IHT) first listed on the NYSE in 1971 is headquartered in Phoenix, Arizona is an unincorporated Ohio Business. Trust that owns and manages hotels under the InnSuites Hotels name. InnSuitesÂ® Hotels and Suites has owned real estate and hotels and provided hotel services including management, branding, and reservations to hotels under the brand name ÂInnSuitesÂ trademarked and owned by IHT over 40 years by being innovators for guest needs and recognizing hotel membership demands.",Phoenix,602-944-1500,AZ,1640908800,United States,http://www.innsuitestrust.com,86400,InnSuites Hotels Centre,REIT—Hotel & Motel,Suite 122 1730 East Northern Avenue
t-2,IHT,6548345.0,8856050,,,-767940,-3406279,-481110,626929,374328,-678784,-678784,218883,-110687,,,,0,952959,1631743,578631,-89156,,-767940,-481110,11383350.0,6548345.0,14525416.0,20485317.0,-13936972.0,1925500.0,47386.0,2654417.0,884086.0,10613378.0,956538.0,1030000.0,823876.0,6343563.0,1685348.0,,,1.0,-101965.0,313060.0,-57359.0,-67911.0,139004.0,-83023.0,-328172.0,207300.0,13488.0,-279631.0,-37443.0,313060.0,-60000.0,-95924.0,29548.0,-40100.0,-1697879.0,en-US,US,EQUITY,True,Delayed Quote,4.17,1630526400,0.31000018,4.01,4.58,3.82,610736,-0.43326092,-0.094120435,36929728,6.2053576,15,America/New_York,EDT,-14400000,False,False,USD,4,0.009999752,0.2398022,InnSuites Hospitality Trust Sha,ASE,0.672,4.670857,-0.5008569,-0.10723019,4.603261,0,finmb_299555,NYSE American,InnSuites Hospitality Trust,USD,727076,667000,3.13,3.0096157,1.04 - 14.77,-10.6,-0.717671,1.04,14.77,1627603200,1616616000,1616616000,1616616000,0.02,0.005181347,-0.177,PRE,1630571241,4.18,8.031094,3.82 - 4.58,3.86,4.0,4.2,9,9,us_market,0.59,,,14.77,1.04,4.6709,4.6033,727.08k,667k,8.86M,,2.77M,69.65%,2.41%,35.44k,0.09,1.29%,0.40%,93.39k,0.02,0.37%,0.02,0.52%,1.12,,"Jul 29, 2021","Jul 13, 2021",,,"Jan 30, 2021","Apr 29, 2021",-38.27%,-65.84%,-10.86%,-56.41%,4.16M,0.46,-3.20%,1.69M,-1.93M,-1.59M,-0.1770,,1.56M,0.17,10.46M,378.89,0.92,0.67,-384.51k,1.19M,Value,85020,Real Estate,120,"InnSuites Hospitality Trust (NYSE American symbol: IHT) first listed on the NYSE in 1971 is headquartered in Phoenix, Arizona is an unincorporated Ohio Business. Trust that owns and manages hotels under the InnSuites Hotels name. InnSuitesÂ® Hotels and Suites has owned real estate and hotels and provided hotel services including management, branding, and reservations to hotels under the brand name ÂInnSuitesÂ trademarked and owned by IHT over 40 years by being innovators for guest needs and recognizing hotel membership demands.",Phoenix,602-944-1500,AZ,1640908800,United States,http://www.innsuitestrust.com,86400,InnSuites Hotels Centre,REIT—Hotel & Motel,Suite 122 1730 East Northern Avenue
t-3,IHT,7062355.0,8856050,,,-1267385,-3148997,-664919,453322,327845,-1233747,-1233747,895869,-80234,,,,0,924720,2158467,596875,-33638,,-1267385,-664919,11553672.0,7062355.0,15467030.0,20959227.0,-13896872.0,1925500.0,130409.0,2757636.0,896785.0,10839623.0,1701907.0,1000000.0,1355104.0,6388723.0,1778239.0,,60.0,,785071.0,31695.0,-171347.0,-428838.0,-991.0,-416822.0,-19679.0,212401.0,251925.0,-603166.0,-37443.0,31695.0,-60000.0,-95924.0,25000.0,-186567.0,-1055729.0,en-US,US,EQUITY,True,Delayed Quote,4.17,1630526400,0.31000018,4.01,4.58,3.82,610736,-0.43326092,-0.094120435,36929728,6.2053576,15,America/New_York,EDT,-14400000,False,False,USD,4,0.009999752,0.2398022,InnSuites Hospitality Trust Sha,ASE,0.672,4.670857,-0.5008569,-0.10723019,4.603261,0,finmb_299555,NYSE American,InnSuites Hospitality Trust,USD,727076,667000,3.13,3.0096157,1.04 - 14.77,-10.6,-0.717671,1.04,14.77,1627603200,1616616000,1616616000,1616616000,0.02,0.005181347,-0.177,PRE,1630571241,4.18,8.031094,3.82 - 4.58,3.86,4.0,4.2,9,9,us_market,0.59,,,14.77,1.04,4.6709,4.6033,727.08k,667k,8.86M,,2.77M,69.65%,2.41%,35.44k,0.09,1.29%,0.40%,93.39k,0.02,0.37%,0.02,0.52%,1.12,,"Jul 29, 2021","Jul 13, 2021",,,"Jan 30, 2021","Apr 29, 2021",-38.27%,-65.84%,-10.86%,-56.41%,4.16M,0.46,-3.20%,1.69M,-1.93M,-1.59M,-0.1770,,1.56M,0.17,10.46M,378.89,0.92,0.67,-384.51k,1.19M,Value,85020,Real Estate,120,"InnSuites Hospitality Trust (NYSE American symbol: IHT) first listed on the NYSE in 1971 is headquartered in Phoenix, Arizona is an unincorporated Ohio Business. Trust that owns and manages hotels under the InnSuites Hotels name. InnSuitesÂ® Hotels and Suites has owned real estate and hotels and provided hotel services including management, branding, and reservations to hotels under the brand name ÂInnSuitesÂ trademarked and owned by IHT over 40 years by being innovators for guest needs and recognizing hotel membership demands.",Phoenix,602-944-1500,AZ,1640908800,United States,http://www.innsuitestrust.com,86400,InnSuites Hotels Centre,REIT—Hotel & Motel,Suite 122 1730 East Northern Avenue
