Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchange,exchangeDataDelayedBy,marketState,twoHundredDayAverageChangePercent,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChangePercent,regularMarketDayRange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GRIL,-452731,14867000,,,-3711684,,-3711684,2966636,-553388,-3700138,-3700138,,-14174,,,,0,1328338,5028476,1881726,-11546,,-3711684,-3711684,3592672,70983426,5257552,4079289,688402,9336841,1254,-66905391,1040842,939348,131916,2009650,3919668,1061157,2356928,2315977,149368,297042,122032,675863,198977.0,-567554.0,-18493.0,-18493.0,3259.0,-2186282.0,-1600235.0,168717.0,-8208.0,-24549.0,1772842.0,-67754.0,,,-1603691,en-US,US,EQUITY,True,Delayed Quote,USD,1.17,0.0,0.0,18,11,finmb_282949827,NasdaqCM,"Muscle Maker, Inc.",USD,439942,108300,0.24000001,0.24489796,0.98 - 3.7,-2.48,-0.67027026,0.98,3.7,1597926600,1597926600,1597926600,1.1815715,0.038428545,0.03252325,1.6242391,-0.40423906,18137740,15,America/New_York,EDT,-14400000,False,False,NCM,0,PREPRE,-0.24887903,"Muscle Maker, Inc",1.22,1630526402,0.05000007,1.18,1.23,1.15,222974,us_market,4,-0.81967133,1630539018,1.21,-0.00999999,4.273511,1.15 - 1.23,,,,3.7,0.98,1.1816,1.6242,439.94k,108.3k,14.87M,,10.08M,27.13%,6.98%,512.41k,0.58,4.22%,3.45%,151.52k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-190.50%,-186.86%,-54.24%,-185.66%,4.37M,0.49,-7.40%,-802.31k,-7.68M,-8.32M,,,2.01M,0.14,1.44M,35.32,0.59,,-6.84M,-4.39M,Value,77573,Consumer Cyclical,"Muscle Maker, Inc. owns, operates, and franchises Muscle Maker Grill and Healthy Joe's restaurants under the Muscle Maker Grill name. The company operates a fast-casual restaurant that specializes in preparing healthy-inspired, made-to-order lean, and protein-based meals, including chicken, seafood, pasta, hamburger, wrap, and flat bread, as well as entr̩e salads and sides, protein shakes, and fruit smoothies. It also operates under the Meal Plan AF, Muscle Maker Burger Bar, Bowls Deep, Burger Joe's, Wrap It Up, Salad Vibes and Gourmet Sandwich brand names. In addition, the company offers Muscle Maker meal prep/plans to consumers via direct- to-consumer through musclemakerprep.com. As of December 31, 2020, it had sixteen company-owned and sixteen franchised restaurants located in the United States and Kuwait. The company was incorporated in 2014 and is headquartered in League City, Texas.",League City,682 708 8250,TX,1577750400,United States,http://www.musclemakergrill.com,86400,2600 South Shore Boulevard,Restaurants,Suite 300
t-1,GRIL,2260502,14867000,,,-2443337,,-2443337,1775695,-551144,-2470368,-2470368,,-1020,,,,0,1072757,3543125,1623901,27031,,-2443337,-2443337,2878278,68987663,4708491,5795128,724845,10503619,1172,-63193707,1023561,656348,132912,4195932,3109790,801552,2342723,4493358,142699,575140,113824,692966,-289573.0,-290410.0,-18168.0,746231.0,-56744.0,-1867879.0,-2323700.0,133931.0,-27768.0,37655.0,322136.0,-212308.0,839999.0,-75600.0,1383568,en-US,US,EQUITY,True,Delayed Quote,USD,1.17,0.0,0.0,18,11,finmb_282949827,NasdaqCM,"Muscle Maker, Inc.",USD,439942,108300,0.24000001,0.24489796,0.98 - 3.7,-2.48,-0.67027026,0.98,3.7,1597926600,1597926600,1597926600,1.1815715,0.038428545,0.03252325,1.6242391,-0.40423906,18137740,15,America/New_York,EDT,-14400000,False,False,NCM,0,PREPRE,-0.24887903,"Muscle Maker, Inc",1.22,1630526402,0.05000007,1.18,1.23,1.15,222974,us_market,4,-0.81967133,1630539018,1.21,-0.00999999,4.273511,1.15 - 1.23,,,,3.7,0.98,1.1816,1.6242,439.94k,108.3k,14.87M,,10.08M,27.13%,6.98%,512.41k,0.58,4.22%,3.45%,151.52k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-190.50%,-186.86%,-54.24%,-185.66%,4.37M,0.49,-7.40%,-802.31k,-7.68M,-8.32M,,,2.01M,0.14,1.44M,35.32,0.59,,-6.84M,-4.39M,Value,77573,Consumer Cyclical,"Muscle Maker, Inc. owns, operates, and franchises Muscle Maker Grill and Healthy Joe's restaurants under the Muscle Maker Grill name. The company operates a fast-casual restaurant that specializes in preparing healthy-inspired, made-to-order lean, and protein-based meals, including chicken, seafood, pasta, hamburger, wrap, and flat bread, as well as entr̩e salads and sides, protein shakes, and fruit smoothies. It also operates under the Meal Plan AF, Muscle Maker Burger Bar, Bowls Deep, Burger Joe's, Wrap It Up, Salad Vibes and Gourmet Sandwich brand names. In addition, the company offers Muscle Maker meal prep/plans to consumers via direct- to-consumer through musclemakerprep.com. As of December 31, 2020, it had sixteen company-owned and sixteen franchised restaurants located in the United States and Kuwait. The company was incorporated in 2014 and is headquartered in League City, Texas.",League City,682 708 8250,TX,1577750400,United States,http://www.musclemakergrill.com,86400,2600 South Shore Boulevard,Restaurants,Suite 300
t-2,GRIL,3502988,14867000,,,-662080,,-662080,457282,-99197,-636592,-636592,,-20128,,,,0,1152545,1789137,1251742,-25488,,-662080,-662080,2890916,67799514,5066836,7050252,739414,12117088,1108,-60750370,1039296,656348,182731,6063811,3394253,586573,1933416,6453677,266586,633287,86056,821140,32999.0,-396339.0,-13004.0,4926997.0,-22227.0,2902616.0,-1628042.0,80113.0,-29596.0,-61118.0,-966133.0,-396346.0,5600001.0,-660000.0,3059424,en-US,US,EQUITY,True,Delayed Quote,USD,1.17,0.0,0.0,18,11,finmb_282949827,NasdaqCM,"Muscle Maker, Inc.",USD,439942,108300,0.24000001,0.24489796,0.98 - 3.7,-2.48,-0.67027026,0.98,3.7,1597926600,1597926600,1597926600,1.1815715,0.038428545,0.03252325,1.6242391,-0.40423906,18137740,15,America/New_York,EDT,-14400000,False,False,NCM,0,PREPRE,-0.24887903,"Muscle Maker, Inc",1.22,1630526402,0.05000007,1.18,1.23,1.15,222974,us_market,4,-0.81967133,1630539018,1.21,-0.00999999,4.273511,1.15 - 1.23,,,,3.7,0.98,1.1816,1.6242,439.94k,108.3k,14.87M,,10.08M,27.13%,6.98%,512.41k,0.58,4.22%,3.45%,151.52k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-190.50%,-186.86%,-54.24%,-185.66%,4.37M,0.49,-7.40%,-802.31k,-7.68M,-8.32M,,,2.01M,0.14,1.44M,35.32,0.59,,-6.84M,-4.39M,Value,77573,Consumer Cyclical,"Muscle Maker, Inc. owns, operates, and franchises Muscle Maker Grill and Healthy Joe's restaurants under the Muscle Maker Grill name. The company operates a fast-casual restaurant that specializes in preparing healthy-inspired, made-to-order lean, and protein-based meals, including chicken, seafood, pasta, hamburger, wrap, and flat bread, as well as entr̩e salads and sides, protein shakes, and fruit smoothies. It also operates under the Meal Plan AF, Muscle Maker Burger Bar, Bowls Deep, Burger Joe's, Wrap It Up, Salad Vibes and Gourmet Sandwich brand names. In addition, the company offers Muscle Maker meal prep/plans to consumers via direct- to-consumer through musclemakerprep.com. As of December 31, 2020, it had sixteen company-owned and sixteen franchised restaurants located in the United States and Kuwait. The company was incorporated in 2014 and is headquartered in League City, Texas.",League City,682 708 8250,TX,1577750400,United States,http://www.musclemakergrill.com,86400,2600 South Shore Boulevard,Restaurants,Suite 300
t-3,GRIL,162827,14867000,,,-1501425,,-1501425,1213851,-36076,-1393936,-1393936,,-1129,,,,0,834686,2228622,870762,-107489,,-1501425,-1501425,3006999,63913668,5093655,3826174,749224,8919829,796,-60088290,1159550,656348,162285,3161195,3236974,535733,1642580,3451617,209921,697131,56460,737363,-269363.0,-114494.0,859936.0,859936.0,35119.0,-546169.0,-1291611.0,97245.0,1069.0,-26787.0,372531.0,-114494.0,5600001.0,-660000.0,214643,en-US,US,EQUITY,True,Delayed Quote,USD,1.17,0.0,0.0,18,11,finmb_282949827,NasdaqCM,"Muscle Maker, Inc.",USD,439942,108300,0.24000001,0.24489796,0.98 - 3.7,-2.48,-0.67027026,0.98,3.7,1597926600,1597926600,1597926600,1.1815715,0.038428545,0.03252325,1.6242391,-0.40423906,18137740,15,America/New_York,EDT,-14400000,False,False,NCM,0,PREPRE,-0.24887903,"Muscle Maker, Inc",1.22,1630526402,0.05000007,1.18,1.23,1.15,222974,us_market,4,-0.81967133,1630539018,1.21,-0.00999999,4.273511,1.15 - 1.23,,,,3.7,0.98,1.1816,1.6242,439.94k,108.3k,14.87M,,10.08M,27.13%,6.98%,512.41k,0.58,4.22%,3.45%,151.52k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-190.50%,-186.86%,-54.24%,-185.66%,4.37M,0.49,-7.40%,-802.31k,-7.68M,-8.32M,,,2.01M,0.14,1.44M,35.32,0.59,,-6.84M,-4.39M,Value,77573,Consumer Cyclical,"Muscle Maker, Inc. owns, operates, and franchises Muscle Maker Grill and Healthy Joe's restaurants under the Muscle Maker Grill name. The company operates a fast-casual restaurant that specializes in preparing healthy-inspired, made-to-order lean, and protein-based meals, including chicken, seafood, pasta, hamburger, wrap, and flat bread, as well as entr̩e salads and sides, protein shakes, and fruit smoothies. It also operates under the Meal Plan AF, Muscle Maker Burger Bar, Bowls Deep, Burger Joe's, Wrap It Up, Salad Vibes and Gourmet Sandwich brand names. In addition, the company offers Muscle Maker meal prep/plans to consumers via direct- to-consumer through musclemakerprep.com. As of December 31, 2020, it had sixteen company-owned and sixteen franchised restaurants located in the United States and Kuwait. The company was incorporated in 2014 and is headquartered in League City, Texas.",League City,682 708 8250,TX,1577750400,United States,http://www.musclemakergrill.com,86400,2600 South Shore Boulevard,Restaurants,Suite 300
