Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,investments,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,market,currency,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,marketState,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,trailingAnnualDividendRate,trailingPE,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,ICTPU,-15455450,0,,,,393031,0,,0,0,,,,,,,0,0,0,0,0,,,,8488877,-7207,37574077,-4425709,66426,33541399,-1638198,905315,2540864,-2780304,1422139,559316,8458220,3363685,-2780304,18799413,2290106,396737,24964924,542278,2623744,0.0,,,,,,,,,,,,,,,,,,-6168114,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,0.22897176,0,PRE,PNK,False,False,1675.0,1629393011,1675.0,1655.0,1750.0,1655.0,6,-6.053641,15,America/New_York,EDT,2,0.0,1655.0 - 1750.0,0.0,0.0,0.0,0,0,finmb_250641,Other OTC,"American Restaurant Partners, L.P.",USD,2,6,930.0,1.2483221,745.0 - 2000.0,-325.0,-0.1625,745.0,2000.0,1627603200,112.5,9.862107,169.842,-14400000,-276.693,1558.6207,116.37927,0.07466812,1362.928,312.07202,11885800,AMERICAN RESTAURANT PARTNERS L ,0.65,,,2000.0,745.0,1558.62,1362.93,2,6,,,2.01k,0.00%,0.03%,,,,,,160,10.32%,112.50,∞%,,,"Jul 29, 2021","Jul 14, 2021",1:250,"Jan 04, 2012","Dec 29, 2003","Dec 29, 2003",3.75%,6.73%,9.59%,,71.97M,4527.95,,29.14M,8.04M,2.3M,169.84,,559.32k,34.97,31.86M,,0.27,-276.69,4.59M,3.13M,Value,67226,Consumer Cyclical,2700,"American Restaurant Partners, L.P., through its subsidiaries, engages in the ownership and operation of Pizza Hut restaurants in the United States. As of December 30, 2003, the partnership owned and operated 100 restaurants. RMC American Management, Inc. operates as the managing general partner of the partnership. American Restaurant Partners was founded in 1987 and is based in Wichita, Kansas.",Wichita,316-634-1190,KS,1072828800,United States,http://www.bookitprogram.com,86400,3020 North Cypress Road,316-634-1662,Restaurants,Suite 100
t-1,ICTPU,-16073310,0,,,85156.0,383027,100181,1466535.0,7269237,719407,719407.0,4260912.0,-666905.0,,,,0,18647717,17928310,11378480,-634251,,85156.0,100181.0,8498054,-7572,39100713,-5034392,4428,34449348,-2347184,941014,2540864,-2679636,1534164,1052214,9538474,2988413,-2679636,18969842,2906424,433277,25361363,528692,3460450,1058155.0,-29660.0,-240466.0,-707078.0,-1092242.0,125677.0,9750.0,500768.0,-9450.0,1833476.0,822383.0,196304.0,-379949.0,-24961.0,-224768.0,-5515.0,-23191.0,-411611.0,-6632050,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,0.22897176,0,PRE,PNK,False,False,1675.0,1629393011,1675.0,1655.0,1750.0,1655.0,6,-6.053641,15,America/New_York,EDT,2,0.0,1655.0 - 1750.0,0.0,0.0,0.0,0,0,finmb_250641,Other OTC,"American Restaurant Partners, L.P.",USD,2,6,930.0,1.2483221,745.0 - 2000.0,-325.0,-0.1625,745.0,2000.0,1627603200,112.5,9.862107,169.842,-14400000,-276.693,1558.6207,116.37927,0.07466812,1362.928,312.07202,11885800,AMERICAN RESTAURANT PARTNERS L ,0.65,,,2000.0,745.0,1558.62,1362.93,2,6,,,2.01k,0.00%,0.03%,,,,,,160,10.32%,112.50,∞%,,,"Jul 29, 2021","Jul 14, 2021",1:250,"Jan 04, 2012","Dec 29, 2003","Dec 29, 2003",3.75%,6.73%,9.59%,,71.97M,4527.95,,29.14M,8.04M,2.3M,169.84,,559.32k,34.97,31.86M,,0.27,-276.69,4.59M,3.13M,Value,67226,Consumer Cyclical,2700,"American Restaurant Partners, L.P., through its subsidiaries, engages in the ownership and operation of Pizza Hut restaurants in the United States. As of December 30, 2003, the partnership owned and operated 100 restaurants. RMC American Management, Inc. operates as the managing general partner of the partnership. American Restaurant Partners was founded in 1987 and is based in Wichita, Kansas.",Wichita,316-634-1190,KS,1072828800,United States,http://www.bookitprogram.com,86400,3020 North Cypress Road,316-634-1662,Restaurants,Suite 100
t-2,ICTPU,-15762609,0,,,560825.0,403567,560479,1477312.0,7242507,1287855,1287855.0,3638233.0,-691779.0,,,,0,17788883,16501028,10546376,-727030,,560825.0,560479.0,8445580,-7276,38188405,-4776165,115554,33815807,-2138152,983375,2540864,-2630737,1502067,551446,7893426,2909778,-2630737,19520770,1806526,215716,26004408,503731,2402295,-102620.0,-29660.0,-348090.0,-161426.0,-640959.0,-195934.0,9750.0,343195.0,-350.0,1332244.0,839107.0,2362.0,-472702.0,-24142.0,196237.0,-6481.0,59117.0,-413691.0,-6086900,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,0.22897176,0,PRE,PNK,False,False,1675.0,1629393011,1675.0,1655.0,1750.0,1655.0,6,-6.053641,15,America/New_York,EDT,2,0.0,1655.0 - 1750.0,0.0,0.0,0.0,0,0,finmb_250641,Other OTC,"American Restaurant Partners, L.P.",USD,2,6,930.0,1.2483221,745.0 - 2000.0,-325.0,-0.1625,745.0,2000.0,1627603200,112.5,9.862107,169.842,-14400000,-276.693,1558.6207,116.37927,0.07466812,1362.928,312.07202,11885800,AMERICAN RESTAURANT PARTNERS L ,0.65,,,2000.0,745.0,1558.62,1362.93,2,6,,,2.01k,0.00%,0.03%,,,,,,160,10.32%,112.50,∞%,,,"Jul 29, 2021","Jul 14, 2021",1:250,"Jan 04, 2012","Dec 29, 2003","Dec 29, 2003",3.75%,6.73%,9.59%,,71.97M,4527.95,,29.14M,8.04M,2.3M,169.84,,559.32k,34.97,31.86M,,0.27,-276.69,4.59M,3.13M,Value,67226,Consumer Cyclical,2700,"American Restaurant Partners, L.P., through its subsidiaries, engages in the ownership and operation of Pizza Hut restaurants in the United States. As of December 30, 2003, the partnership owned and operated 100 restaurants. RMC American Management, Inc. operates as the managing general partner of the partnership. American Restaurant Partners was founded in 1987 and is based in Wichita, Kansas.",Wichita,316-634-1190,KS,1072828800,United States,http://www.bookitprogram.com,86400,3020 North Cypress Road,316-634-1662,Restaurants,Suite 100
t-3,ICTPU,-12133300,0,,,784759.0,149702,775699,1439718.0,7018962,1549353,1549353.0,3260534.0,-689434.0,,,,0,17290015,15740662,10271053,-764594,,784759.0,775699.0,4708822,-7343,33309828,-4883614,1111474,28575916,-2229125,1026128,2540864,-2647146,1389208,208251,7555541,2865551,-2647146,18216674,1720348,365048,21347684,418976,2007361,-376116.0,139463.0,-62877.0,-1019858.0,-1603930.0,63815.0,6750.0,-313847.0,-106886.0,1352960.0,769357.0,4381.0,-477415.0,11566.0,-5115.0,-6521.0,113754.0,-206721.0,-5835193,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,0.22897176,0,PRE,PNK,False,False,1675.0,1629393011,1675.0,1655.0,1750.0,1655.0,6,-6.053641,15,America/New_York,EDT,2,0.0,1655.0 - 1750.0,0.0,0.0,0.0,0,0,finmb_250641,Other OTC,"American Restaurant Partners, L.P.",USD,2,6,930.0,1.2483221,745.0 - 2000.0,-325.0,-0.1625,745.0,2000.0,1627603200,112.5,9.862107,169.842,-14400000,-276.693,1558.6207,116.37927,0.07466812,1362.928,312.07202,11885800,AMERICAN RESTAURANT PARTNERS L ,0.65,,,2000.0,745.0,1558.62,1362.93,2,6,,,2.01k,0.00%,0.03%,,,,,,160,10.32%,112.50,∞%,,,"Jul 29, 2021","Jul 14, 2021",1:250,"Jan 04, 2012","Dec 29, 2003","Dec 29, 2003",3.75%,6.73%,9.59%,,71.97M,4527.95,,29.14M,8.04M,2.3M,169.84,,559.32k,34.97,31.86M,,0.27,-276.69,4.59M,3.13M,Value,67226,Consumer Cyclical,2700,"American Restaurant Partners, L.P., through its subsidiaries, engages in the ownership and operation of Pizza Hut restaurants in the United States. As of December 30, 2003, the partnership owned and operated 100 restaurants. RMC American Management, Inc. operates as the managing general partner of the partnership. American Restaurant Partners was founded in 1987 and is based in Wichita, Kansas.",Wichita,316-634-1190,KS,1072828800,United States,http://www.bookitprogram.com,86400,3020 North Cypress Road,316-634-1662,Restaurants,Suite 100
