Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,accountsPayable,otherCurrentAssets,netReceivables,changeToLiabilities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToNetincome,totalCashFromFinancingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,maxAge,address1,industry,address2
t0,HYHY,-1122930.0,0,,,-244797,,-244797,199168,0,-224723,-224723,,-20074,,,,0,0,224723,0,-20074,,-244797,-244797,1865004.0,5234309.0,1130883.0,742074.0,1872957.0,93750.0,-4685611.0,99626.0,32.0,1130883.0,99626.0,7953.0,1130883.0,,,-10069.0,6380.0,-1494.0,-10774.0,9280.0,25555.0,232211.0,,,,-1122930.0,en-US,US,EQUITY,False,Delayed Quote,0.0091,1630428106,0.0,0.01,0.0091,0.0091,95852,USD,PNK,27520,-14400000,False,False,PRE,4,0.0,0.0091 - 0.0091,us_market,0,HYDROGEN HYBRID TECHNOLOGIES IN,0.0091,0.0,0.0,0,0,finmb_33710698,Other OTC,"Hydrogen Hybrid Technologies, Inc.",USD,23928,30285,0.0041000005,0.8200001,0.005 - 0.41,-0.4009,-0.9778049,0.005,0.41,-0.037,0.008,0.013902778,-0.0048027774,-0.3454545,0.081044056,-0.07194406,-0.8877154,1.1375,15,America/New_York,EDT,85.02,,,0.41,0.005,0.0139,0.081,23.93k,30.29k,,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Jun 25, 2007","Sep 29, 2008","Mar 30, 2009",0.00%,-409.78%,-20.85%,-138.65%,287.7k,0.00,,129.33k,,-3.36M,-0.0370,,32.0,0.0,,,0.01,0.01,10.81k,279.88k,Value,L1W3X9,Industrials,"Hydrogen Hybrid Technologies, Inc. manufactures, sales and distributes on-board hydrogen generating and injections systems for the original equipment manufacturers in car and light truck markets. Its on-board hydrogen generating system improves fuel consumption and reduces pollution through the enhancement of the internal combustion process. This technology consists of an on-board system, which generates hydrogen and oxygen by splitting distilled water. In addition, the company holds rights to distribute the product to other markets, including the heavy goods vehicle market. Hydrogen Hybrid Technologies, Inc. is based in Pickering, Canada.",Pickering,416-303-9499,ON,Canada,86400,1845 Sandstone Manor,Specialty Industrial Machinery,Unit 11
t-1,HYHY,-1125125.0,0,,,38766,,38766,44335,133625,60994,60994,,-22228,,,,0,133625,72631,0,-22228,,38766,38766,1950047.0,5006777.0,1140952.0,824922.0,1965874.0,89071.0,-4440814.0,169888.0,1526.0,1140952.0,169888.0,15827.0,1140952.0,,,-256699.0,10267.0,714.0,180084.0,-179370.0,28296.0,232211.0,,,,-1125125.0,en-US,US,EQUITY,False,Delayed Quote,0.0091,1630428106,0.0,0.01,0.0091,0.0091,95852,USD,PNK,27520,-14400000,False,False,PRE,4,0.0,0.0091 - 0.0091,us_market,0,HYDROGEN HYBRID TECHNOLOGIES IN,0.0091,0.0,0.0,0,0,finmb_33710698,Other OTC,"Hydrogen Hybrid Technologies, Inc.",USD,23928,30285,0.0041000005,0.8200001,0.005 - 0.41,-0.4009,-0.9778049,0.005,0.41,-0.037,0.008,0.013902778,-0.0048027774,-0.3454545,0.081044056,-0.07194406,-0.8877154,1.1375,15,America/New_York,EDT,85.02,,,0.41,0.005,0.0139,0.081,23.93k,30.29k,,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Jun 25, 2007","Sep 29, 2008","Mar 30, 2009",0.00%,-409.78%,-20.85%,-138.65%,287.7k,0.00,,129.33k,,-3.36M,-0.0370,,32.0,0.0,,,0.01,0.01,10.81k,279.88k,Value,L1W3X9,Industrials,"Hydrogen Hybrid Technologies, Inc. manufactures, sales and distributes on-board hydrogen generating and injections systems for the original equipment manufacturers in car and light truck markets. Its on-board hydrogen generating system improves fuel consumption and reduces pollution through the enhancement of the internal combustion process. This technology consists of an on-board system, which generates hydrogen and oxygen by splitting distilled water. In addition, the company holds rights to distribute the product to other markets, including the heavy goods vehicle market. Hydrogen Hybrid Technologies, Inc. is based in Pickering, Canada.",Pickering,416-303-9499,ON,Canada,86400,1845 Sandstone Manor,Specialty Industrial Machinery,Unit 11
t-2,HYHY,-1372271.0,0,983.0,,-3137665,,-3137665,834420,68820,-998199,-998199,,-97523,,,,0,101173,1099372,32353,-2139466,,-3137665,-3137665,2284945.0,5006777.0,1397651.0,912674.0,2310325.0,89071.0,-4479580.0,296406.0,812.0,1397651.0,296406.0,25380.0,1397651.0,,,158993.0,437724.0,695.0,-166953.0,181357.0,231616.0,2267405.0,-13709.0,223284.0,-13709.0,-1372271.0,en-US,US,EQUITY,False,Delayed Quote,0.0091,1630428106,0.0,0.01,0.0091,0.0091,95852,USD,PNK,27520,-14400000,False,False,PRE,4,0.0,0.0091 - 0.0091,us_market,0,HYDROGEN HYBRID TECHNOLOGIES IN,0.0091,0.0,0.0,0,0,finmb_33710698,Other OTC,"Hydrogen Hybrid Technologies, Inc.",USD,23928,30285,0.0041000005,0.8200001,0.005 - 0.41,-0.4009,-0.9778049,0.005,0.41,-0.037,0.008,0.013902778,-0.0048027774,-0.3454545,0.081044056,-0.07194406,-0.8877154,1.1375,15,America/New_York,EDT,85.02,,,0.41,0.005,0.0139,0.081,23.93k,30.29k,,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Jun 25, 2007","Sep 29, 2008","Mar 30, 2009",0.00%,-409.78%,-20.85%,-138.65%,287.7k,0.00,,129.33k,,-3.36M,-0.0370,,32.0,0.0,,,0.01,0.01,10.81k,279.88k,Value,L1W3X9,Industrials,"Hydrogen Hybrid Technologies, Inc. manufactures, sales and distributes on-board hydrogen generating and injections systems for the original equipment manufacturers in car and light truck markets. Its on-board hydrogen generating system improves fuel consumption and reduces pollution through the enhancement of the internal combustion process. This technology consists of an on-board system, which generates hydrogen and oxygen by splitting distilled water. In addition, the company holds rights to distribute the product to other markets, including the heavy goods vehicle market. Hydrogen Hybrid Technologies, Inc. is based in Pickering, Canada.",Pickering,416-303-9499,ON,Canada,86400,1845 Sandstone Manor,Specialty Industrial Machinery,Unit 11
t-3,HYHY,-552965.0,0,983.0,,-16998,,-16998,32867,15869,-16998,-16998,,-97523,,,,0,52898,69896,37029,0,,-16998,-16998,4642299.0,5006777.0,1238658.0,4089334.0,5327992.0,89071.0,-1341915.0,335401.0,117.0,1238658.0,335401.0,685693.0,1238658.0,462292.0,223284.0,150800.0,-21914.0,54.0,-166953.0,-456.0,231616.0,2267405.0,510.0,-112344.0,510.0,-552965.0,en-US,US,EQUITY,False,Delayed Quote,0.0091,1630428106,0.0,0.01,0.0091,0.0091,95852,USD,PNK,27520,-14400000,False,False,PRE,4,0.0,0.0091 - 0.0091,us_market,0,HYDROGEN HYBRID TECHNOLOGIES IN,0.0091,0.0,0.0,0,0,finmb_33710698,Other OTC,"Hydrogen Hybrid Technologies, Inc.",USD,23928,30285,0.0041000005,0.8200001,0.005 - 0.41,-0.4009,-0.9778049,0.005,0.41,-0.037,0.008,0.013902778,-0.0048027774,-0.3454545,0.081044056,-0.07194406,-0.8877154,1.1375,15,America/New_York,EDT,85.02,,,0.41,0.005,0.0139,0.081,23.93k,30.29k,,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Jun 25, 2007","Sep 29, 2008","Mar 30, 2009",0.00%,-409.78%,-20.85%,-138.65%,287.7k,0.00,,129.33k,,-3.36M,-0.0370,,32.0,0.0,,,0.01,0.01,10.81k,279.88k,Value,L1W3X9,Industrials,"Hydrogen Hybrid Technologies, Inc. manufactures, sales and distributes on-board hydrogen generating and injections systems for the original equipment manufacturers in car and light truck markets. Its on-board hydrogen generating system improves fuel consumption and reduces pollution through the enhancement of the internal combustion process. This technology consists of an on-board system, which generates hydrogen and oxygen by splitting distilled water. In addition, the company holds rights to distribute the product to other markets, including the heavy goods vehicle market. Hydrogen Hybrid Technologies, Inc. is based in Pickering, Canada.",Pickering,416-303-9499,ON,Canada,86400,1845 Sandstone Manor,Specialty Industrial Machinery,Unit 11
