Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,otherCashflowsFromFinancingActivities,changeToNetincome,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,ISDSF,-4195062.0,155426000,,,-258639,,-258639,192749,-4096,-197902,-197902,,-80737,,,,0,0,197902,4096,-60737,,-258639,-258639,46749.0,10911748.0,4257903.0,-4148313.0,109590.0,16448619.0,10000.0,-31869581.0,302337.0,360901.0,23353.0,3955566.0,360901.0,3747.0,59094.0,4680.0,9574.0,917108.0,54041.0,-22672.0,145024.0,33732.0,111162.0,46172.0,-98852.0,1057.0,-9574.0,56534.0,80530.0,,-3896472.0,en-US,US,EQUITY,False,Delayed Quote,57300,0.0301,1.505,0.02 - 0.13,-0.0799,-0.6146154,0.02,0.13,-0.027,0.054285713,-0.004185714,-0.077105254,0.064492755,-0.014392756,7850068,4,8.676783,-1.8555554,15,America/New_York,EDT,-14400000,0.0501 - 0.0501,0.0461,0.0,0.0,0,0,finmb_46400106,Other OTC,iSIGN Media Solutions Inc.,CAD,52678,USD,False,False,0.0501,1630507967,0.003999997,0.0501,0.0501,0.0501,100,PNK,ISIGN MEDIA SOLUTIONS INC,0,us_market,PRE,-0.005,-0.22316857,0.61,,,0.13,0.02,0.0543,0.0645,52.68k,57.3k,155.43M,,126.05M,1.05%,0.00%,,,,,,,,,,,0.00%,,,,,"Apr 29, 2020","Jan 30, 2021",0.00%,"-3,829.22%",-356.78%,,18.09k,0.00,,5.69k,-687.46k,-1.01M,-0.0050,,23.35k,0,3.04M,,0.01,-0.03,-393.23k,-812.43k,Value,L4B 2P2,Technology,"iSIGN Media Solutions Inc., a data-focused software-as-a-service company, provides location-based security alert messaging and proximity marketing solutions in North America. The company integrates with signage networks, kiosks, and point of sale devices to provide rich media content. It also offers Smart Antenna, a Bluetooth/Wi-Fi transceiver device that identifies mobile devices, such as phones and tablets, as well as to push messages to these devices when they are within 300ft. iSIGN Media Solutions Inc. was incorporated in 2007 and is headquartered in Richmond Hill, Canada.",Richmond Hill,905 780 6200,ON,1546214400,Canada,http://www.isignmedia.com,86400,45A West Wilmot Street,Software—Application,Unit 3
t-1,ISDSF,-4161043.0,155426000,,,-215776,,-215776,140809,-3139,-145520,-145520,,-86368,,,,0,1136,146656,4275,-70256,,-215776,-215776,47673.0,10855748.0,4226003.0,-4113370.0,112633.0,16340461.0,10000.0,-31610942.0,302337.0,301363.0,1181.0,3923666.0,301363.0,3880.0,61080.0,38496.0,,863067.0,107620.0,62672.0,62672.0,-1208.0,111162.0,-3997.0,-66669.0,1572.0,-9574.0,56534.0,39311.0,1813.0,-3862586.0,en-US,US,EQUITY,False,Delayed Quote,57300,0.0301,1.505,0.02 - 0.13,-0.0799,-0.6146154,0.02,0.13,-0.027,0.054285713,-0.004185714,-0.077105254,0.064492755,-0.014392756,7850068,4,8.676783,-1.8555554,15,America/New_York,EDT,-14400000,0.0501 - 0.0501,0.0461,0.0,0.0,0,0,finmb_46400106,Other OTC,iSIGN Media Solutions Inc.,CAD,52678,USD,False,False,0.0501,1630507967,0.003999997,0.0501,0.0501,0.0501,100,PNK,ISIGN MEDIA SOLUTIONS INC,0,us_market,PRE,-0.005,-0.22316857,0.61,,,0.13,0.02,0.0543,0.0645,52.68k,57.3k,155.43M,,126.05M,1.05%,0.00%,,,,,,,,,,,0.00%,,,,,"Apr 29, 2020","Jan 30, 2021",0.00%,"-3,829.22%",-356.78%,,18.09k,0.00,,5.69k,-687.46k,-1.01M,-0.0050,,23.35k,0,3.04M,,0.01,-0.03,-393.23k,-812.43k,Value,L4B 2P2,Technology,"iSIGN Media Solutions Inc., a data-focused software-as-a-service company, provides location-based security alert messaging and proximity marketing solutions in North America. The company integrates with signage networks, kiosks, and point of sale devices to provide rich media content. It also offers Smart Antenna, a Bluetooth/Wi-Fi transceiver device that identifies mobile devices, such as phones and tablets, as well as to push messages to these devices when they are within 300ft. iSIGN Media Solutions Inc. was incorporated in 2007 and is headquartered in Richmond Hill, Canada.",Richmond Hill,905 780 6200,ON,1546214400,Canada,http://www.isignmedia.com,86400,45A West Wilmot Street,Software—Application,Unit 3
t-2,ISDSF,-4525716.0,155426000,,,-226529,,-226529,139997,-4184,-145420,-145420,,-81109,,,,0,0,145420,4184,-81109,,-226529,-226529,48597.0,10845748.0,4601405.0,-4477119.0,124286.0,15770936.0,10000.0,-31395166.0,302337.0,301363.0,5878.0,4299068.0,301363.0,9307.0,66382.0,36627.0,,1324972.0,137065.0,60000.0,60000.0,-7805.0,111162.0,-11512.0,-71512.0,1239.0,-9574.0,56534.0,24531.0,-13.0,-4232686.0,en-US,US,EQUITY,False,Delayed Quote,57300,0.0301,1.505,0.02 - 0.13,-0.0799,-0.6146154,0.02,0.13,-0.027,0.054285713,-0.004185714,-0.077105254,0.064492755,-0.014392756,7850068,4,8.676783,-1.8555554,15,America/New_York,EDT,-14400000,0.0501 - 0.0501,0.0461,0.0,0.0,0,0,finmb_46400106,Other OTC,iSIGN Media Solutions Inc.,CAD,52678,USD,False,False,0.0501,1630507967,0.003999997,0.0501,0.0501,0.0501,100,PNK,ISIGN MEDIA SOLUTIONS INC,0,us_market,PRE,-0.005,-0.22316857,0.61,,,0.13,0.02,0.0543,0.0645,52.68k,57.3k,155.43M,,126.05M,1.05%,0.00%,,,,,,,,,,,0.00%,,,,,"Apr 29, 2020","Jan 30, 2021",0.00%,"-3,829.22%",-356.78%,,18.09k,0.00,,5.69k,-687.46k,-1.01M,-0.0050,,23.35k,0,3.04M,,0.01,-0.03,-393.23k,-812.43k,Value,L4B 2P2,Technology,"iSIGN Media Solutions Inc., a data-focused software-as-a-service company, provides location-based security alert messaging and proximity marketing solutions in North America. The company integrates with signage networks, kiosks, and point of sale devices to provide rich media content. It also offers Smart Antenna, a Bluetooth/Wi-Fi transceiver device that identifies mobile devices, such as phones and tablets, as well as to push messages to these devices when they are within 300ft. iSIGN Media Solutions Inc. was incorporated in 2007 and is headquartered in Richmond Hill, Canada.",Richmond Hill,905 780 6200,ON,1546214400,Canada,http://www.isignmedia.com,86400,45A West Wilmot Street,Software—Application,Unit 3
t-3,ISDSF,-4439115.0,155426000,300.0,,-308318,,-308318,210566,8383,-203787,-203787,,-104531,,,,0,16952,220739,8569,-104531,,-308318,-308318,49521.0,10755603.0,4515813.0,-4389594.0,126219.0,15770936.0,10000.0,-31168637.0,302337.0,252504.0,14390.0,4213476.0,252504.0,9622.0,67076.0,31283.0,,1212437.0,86694.0,158000.0,158000.0,17754.0,111162.0,1799.0,-156201.0,1304.0,-9574.0,56534.0,48165.0,-1800.0,-4146400.0,en-US,US,EQUITY,False,Delayed Quote,57300,0.0301,1.505,0.02 - 0.13,-0.0799,-0.6146154,0.02,0.13,-0.027,0.054285713,-0.004185714,-0.077105254,0.064492755,-0.014392756,7850068,4,8.676783,-1.8555554,15,America/New_York,EDT,-14400000,0.0501 - 0.0501,0.0461,0.0,0.0,0,0,finmb_46400106,Other OTC,iSIGN Media Solutions Inc.,CAD,52678,USD,False,False,0.0501,1630507967,0.003999997,0.0501,0.0501,0.0501,100,PNK,ISIGN MEDIA SOLUTIONS INC,0,us_market,PRE,-0.005,-0.22316857,0.61,,,0.13,0.02,0.0543,0.0645,52.68k,57.3k,155.43M,,126.05M,1.05%,0.00%,,,,,,,,,,,0.00%,,,,,"Apr 29, 2020","Jan 30, 2021",0.00%,"-3,829.22%",-356.78%,,18.09k,0.00,,5.69k,-687.46k,-1.01M,-0.0050,,23.35k,0,3.04M,,0.01,-0.03,-393.23k,-812.43k,Value,L4B 2P2,Technology,"iSIGN Media Solutions Inc., a data-focused software-as-a-service company, provides location-based security alert messaging and proximity marketing solutions in North America. The company integrates with signage networks, kiosks, and point of sale devices to provide rich media content. It also offers Smart Antenna, a Bluetooth/Wi-Fi transceiver device that identifies mobile devices, such as phones and tablets, as well as to push messages to these devices when they are within 300ft. iSIGN Media Solutions Inc. was incorporated in 2007 and is headquartered in Richmond Hill, Canada.",Richmond Hill,905 780 6200,ON,1546214400,Canada,http://www.isignmedia.com,86400,45A West Wilmot Street,Software—Application,Unit 3
