Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,goodWill,cash,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,otherCashflowsFromInvestingActivities,capitalExpenditures,repurchaseOfStock,otherCashflowsFromFinancingActivities,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,IVCO,37157000.0,0,,,-9568000,,-9568000,339000,191000,-8964000,-8964000,,-297000,,,,0,1206000,10170000,1015000,-604000,,-9568000,-9568000,810000.0,107277000.0,20316000.0,37967000.0,50000.0,58285000.0,798000.0,-70108000.0,9041000.0,23483000.0,7580000.0,5233000.0,30011000.0,906000.0,3075000.0,399000.0,3695000.0,507000.0,1378000.0,,,,-160000.0,-49000.0,247000.0,247000.0,109000.0,-110000.0,-308000.0,62000.0,82000.0,45000.0,9122000.0,,,,,,-6674000.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INVESTCO CORPORATION,us_market,4,Other OTC,Investco Corporation,USD,3095,6020,0.0001,1.0,1.0E-4 - 0.09,-0.0898,-0.99777776,0.0001,0.09,-15.455,0,4.753,0.0006888889,-0.0004888889,-0.7096774,0.0026359155,-0.0024359156,-0.9241251,7189,4.207869e-05,15,America/New_York,EDT,-14400000,False,False,0.0,2.0E-4 - 2.0E-4,0.0002,finmb_632788,0.0002,1629984619,0.0,0.0002,0.0002,0.0002,36166,1145.96,,,0.09,0.0001,0.0007,0.0026,3.1k,6.02k,,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2002","Mar 30, 2003",0.00%,-278.30%,-13.71%,-80.41%,5.24M,2.17,7.50%,1.06M,-14.3M,-38.11M,-15.4550,,,,9.25M,24.37,0.12,4.75,-947k,4.41M,Value,92660,Real Estate,"Investco Corporation does not have significant operations. The company was formerly known as U S West Homes Inc and changed its name to Investco Corporation in March 2003. Investco Corporation is based in Newport Beach, California.",Newport Beach,949-717-0630,CA,1041292800,United States,86400,4695 MacArthur Court,Real Estate—Development,Suite 1430
t-1,IVCO,35861000.0,0,,,-19250000,,-19250000,859000,253000,-2094000,-2094000,,-297000,,,,0,1588000,3682000,1335000,-17156000,,-19250000,-19250000,207000.0,97114000.0,20121000.0,36693000.0,230000.0,56816000.0,119000.0,-60540000.0,9041000.0,23244000.0,7742000.0,5668000.0,30643000.0,1047000.0,1050000.0,444000.0,3338000.0,457000.0,1359000.0,36000.0,625000.0,110000.0,1046000.0,-368000.0,620000.0,620000.0,53000.0,57000.0,-195000.0,-12000.0,574000.0,-20000.0,17414000.0,35000.0,547000.0,,,,-6695000.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INVESTCO CORPORATION,us_market,4,Other OTC,Investco Corporation,USD,3095,6020,0.0001,1.0,1.0E-4 - 0.09,-0.0898,-0.99777776,0.0001,0.09,-15.455,0,4.753,0.0006888889,-0.0004888889,-0.7096774,0.0026359155,-0.0024359156,-0.9241251,7189,4.207869e-05,15,America/New_York,EDT,-14400000,False,False,0.0,2.0E-4 - 2.0E-4,0.0002,finmb_632788,0.0002,1629984619,0.0,0.0002,0.0002,0.0002,36166,1145.96,,,0.09,0.0001,0.0007,0.0026,3.1k,6.02k,,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2002","Mar 30, 2003",0.00%,-278.30%,-13.71%,-80.41%,5.24M,2.17,7.50%,1.06M,-14.3M,-38.11M,-15.4550,,,,9.25M,24.37,0.12,4.75,-947k,4.41M,Value,92660,Real Estate,"Investco Corporation does not have significant operations. The company was formerly known as U S West Homes Inc and changed its name to Investco Corporation in March 2003. Investco Corporation is based in Newport Beach, California.",Newport Beach,949-717-0630,CA,1041292800,United States,86400,4695 MacArthur Court,Real Estate—Development,Suite 1430
t-2,IVCO,55086000.0,0,,,-6147000,,-6147000,546000,278000,-568000,-568000,,-1599000,,,,0,1119000,1687000,841000,-5579000,,-6147000,-6147000,229000.0,97158000.0,17528000.0,55939000.0,,73469000.0,71000.0,-41290000.0,8636000.0,36640000.0,4838000.0,3329000.0,31859000.0,1027000.0,3090000.0,424000.0,4054000.0,493000.0,469000.0,,624000.0,53000.0,-3000.0,-231000.0,-143000.0,-154000.0,15000.0,49000.0,434000.0,158000.0,24000.0,276000.0,6107000.0,35000.0,-231000.0,-1000.0,-10000.0,,-3811000.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INVESTCO CORPORATION,us_market,4,Other OTC,Investco Corporation,USD,3095,6020,0.0001,1.0,1.0E-4 - 0.09,-0.0898,-0.99777776,0.0001,0.09,-15.455,0,4.753,0.0006888889,-0.0004888889,-0.7096774,0.0026359155,-0.0024359156,-0.9241251,7189,4.207869e-05,15,America/New_York,EDT,-14400000,False,False,0.0,2.0E-4 - 2.0E-4,0.0002,finmb_632788,0.0002,1629984619,0.0,0.0002,0.0002,0.0002,36166,1145.96,,,0.09,0.0001,0.0007,0.0026,3.1k,6.02k,,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2002","Mar 30, 2003",0.00%,-278.30%,-13.71%,-80.41%,5.24M,2.17,7.50%,1.06M,-14.3M,-38.11M,-15.4550,,,,9.25M,24.37,0.12,4.75,-947k,4.41M,Value,92660,Real Estate,"Investco Corporation does not have significant operations. The company was formerly known as U S West Homes Inc and changed its name to Investco Corporation in March 2003. Investco Corporation is based in Newport Beach, California.",Newport Beach,949-717-0630,CA,1041292800,United States,86400,4695 MacArthur Court,Real Estate—Development,Suite 1430
t-3,IVCO,59154000.0,0,,,-3134000,,-2225000,535000,244000,-2933000,-2933000,,-190000,,,,0,1315000,4248000,1071000,-201000,909000.0,-3134000,-2225000,250000.0,95126000.0,17006000.0,60028000.0,300000.0,77036000.0,48000.0,-35146000.0,500000.0,36639000.0,5096000.0,2597000.0,31185000.0,1268000.0,7070000.0,700000.0,11410000.0,517000.0,471000.0,,624000.0,4000.0,-150000.0,-140000.0,972000.0,983000.0,-168000.0,-35000.0,-878000.0,62000.0,5000.0,-171000.0,1784000.0,54000.0,-194000.0,-1000.0,10000.0,1000.0,-3828000.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INVESTCO CORPORATION,us_market,4,Other OTC,Investco Corporation,USD,3095,6020,0.0001,1.0,1.0E-4 - 0.09,-0.0898,-0.99777776,0.0001,0.09,-15.455,0,4.753,0.0006888889,-0.0004888889,-0.7096774,0.0026359155,-0.0024359156,-0.9241251,7189,4.207869e-05,15,America/New_York,EDT,-14400000,False,False,0.0,2.0E-4 - 2.0E-4,0.0002,finmb_632788,0.0002,1629984619,0.0,0.0002,0.0002,0.0002,36166,1145.96,,,0.09,0.0001,0.0007,0.0026,3.1k,6.02k,,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2002","Mar 30, 2003",0.00%,-278.30%,-13.71%,-80.41%,5.24M,2.17,7.50%,1.06M,-14.3M,-38.11M,-15.4550,,,,9.25M,24.37,0.12,4.75,-947k,4.41M,Value,92660,Real Estate,"Investco Corporation does not have significant operations. The company was formerly known as U S West Homes Inc and changed its name to Investco Corporation in March 2003. Investco Corporation is based in Newport Beach, California.",Newport Beach,949-717-0630,CA,1041292800,United States,86400,4695 MacArthur Court,Real Estate—Development,Suite 1430
