Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,quoteSourceName,triggerable,currency,bid,marketState,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,shortName,exchange,displayName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,maxAge,address1,fax,industry,address2
t0,DGNG,11866076,22072000,520459,,-2099300,2339878,-2056292,1753366,339887,-1933938,-1933938,,-285374,,,,386,13409910,15343848,13070023,-165362,,-2099686,-2056292,20937727,43907635,11866076,2802687,58113589,22593,2364932,-12944432,703427,3850188,366507,4426251,34560744,4524643,26733201,31013881,13020771,8643464,11201927,23765397,-1298342.0,-1876255.0,-1507886.0,-1507886.0,-1199005.0,-5262006.0,265995.0,-2143860.0,444313.0,132832.0,1751721.0,55004.0,-1895497.0,,-3546863,en-US,US,EQUITY,Delayed Quote,False,USD,0.0,REGULAR,1100529000000,4,0.0,0.0,1630349990,0.01,0.01,0.01 - 0.01,0.01,1000,0.01,0.0,0,0,Other OTC,USD,0.01,11883,142,0.008099999,4.2631574,0.0019 - 0.0333,-0.023300001,"Diguang International Development Co., Ltd.",finmb_24845432,America/New_York,EDT,-14400000,us_market,False,-0.6996997,0.0019,0.0333,-0.25,0.538,0.0077877776,0.0022122222,0.28406334,0.012144084,-0.0021440843,-0.17655382,220720,0.01858736,15,0,False,DIGUANG INTL DEV C,PNK,Diguang International Development,1.42,,,0.0333,0.0019,0.0078,0.0121,11.88k,142,22.07M,,,,,,,,,,,,,,,0.00%,,,0:1,"Feb 21, 2006","Dec 30, 2010","Mar 30, 2011",-8.39%,-7.64%,-5.30%,-33.82%,65.85M,2.98,7.40%,4.98M,-3.51M,-5.53M,-0.2500,,4.43M,0.2,15.09M,106.25,0.90,0.54,348.93k,8.14M,Value,518026,Technology,2177,"Diguang International Development Co., Ltd. engages in the design, production, and distribution of small to medium-sized light emitting diode and cold cathode fluorescent lamp backlights primarily for large and medium sized companies. The company offers backlights for liquid crystal displays in various applications, such as color displays for cell phones, car televisions and navigation systems, digital cameras, televisions, computer displays, camcorders, PDAs, DVDs, CD and MP3/MP4 players, and appliance displays, as well as for indoor and outdoor lighting, and home and office use. It sells its products to customers primarily in Taiwan, Hong Kong, North America, Europe, Japan, Southeast Asia, and China Mainland. The company was founded in 2004 and is headquartered in Shenzhen, the People's Republic of China. Diguang International Development Co., Ltd. is a subsidiary of Sino Olympics Industrial Limited.",Shenzhen,86 755 2655 3152,1293753600,China,86400,23rd Floor Building A Galaxy Century Building,86 755 2663 4369,Electronic Components,No 3069 Caitian Road Futian District
t-1,DGNG,13680331,22072000,712531,,-2844712,2364772,-2741174,2264367,220363,-2756535,-2756535,,-215971,,,,12185,16349314,19105849,16128951,-88177,,-2856897,-2741174,20926509,47588316,13680331,1318007,63633419,22593,4644351,-10888140,697917,3619369,363636,6563211,39452521,4293824,25589038,37680745,15073981,7437878,11399202,25264404,1387281.0,-37459.0,10466.0,-4723.0,138056.0,1318903.0,-580295.0,1941380.0,16346.0,-757770.0,3468955.0,385579.0,-37018.0,-15189.0,-1771776,en-US,US,EQUITY,Delayed Quote,False,USD,0.0,REGULAR,1100529000000,4,0.0,0.0,1630349990,0.01,0.01,0.01 - 0.01,0.01,1000,0.01,0.0,0,0,Other OTC,USD,0.01,11883,142,0.008099999,4.2631574,0.0019 - 0.0333,-0.023300001,"Diguang International Development Co., Ltd.",finmb_24845432,America/New_York,EDT,-14400000,us_market,False,-0.6996997,0.0019,0.0333,-0.25,0.538,0.0077877776,0.0022122222,0.28406334,0.012144084,-0.0021440843,-0.17655382,220720,0.01858736,15,0,False,DIGUANG INTL DEV C,PNK,Diguang International Development,1.42,,,0.0333,0.0019,0.0078,0.0121,11.88k,142,22.07M,,,,,,,,,,,,,,,0.00%,,,0:1,"Feb 21, 2006","Dec 30, 2010","Mar 30, 2011",-8.39%,-7.64%,-5.30%,-33.82%,65.85M,2.98,7.40%,4.98M,-3.51M,-5.53M,-0.2500,,4.43M,0.2,15.09M,106.25,0.90,0.54,348.93k,8.14M,Value,518026,Technology,2177,"Diguang International Development Co., Ltd. engages in the design, production, and distribution of small to medium-sized light emitting diode and cold cathode fluorescent lamp backlights primarily for large and medium sized companies. The company offers backlights for liquid crystal displays in various applications, such as color displays for cell phones, car televisions and navigation systems, digital cameras, televisions, computer displays, camcorders, PDAs, DVDs, CD and MP3/MP4 players, and appliance displays, as well as for indoor and outdoor lighting, and home and office use. It sells its products to customers primarily in Taiwan, Hong Kong, North America, Europe, Japan, Southeast Asia, and China Mainland. The company was founded in 2004 and is headquartered in Shenzhen, the People's Republic of China. Diguang International Development Co., Ltd. is a subsidiary of Sino Olympics Industrial Limited.",Shenzhen,86 755 2655 3152,1293753600,China,86400,23rd Floor Building A Galaxy Century Building,86 755 2663 4369,Electronic Components,No 3069 Caitian Road Futian District
t-2,DGNG,16784951,22072000,391103,,-850957,2450273,-855089,1673798,1511898,-553003,-553003,,-226099,,,,16199,19050932,19603935,17539034,-297954,,-867156,-855089,20915290,43629785,16784951,1637550,62865009,22593,4301626,-8146966,688476,3994034,381137,5244308,34302194,4668489,23942877,38540995,18073245,8639115,10921816,22149847,-455874.0,-1387063.0,729718.0,620413.0,373996.0,-2740728.0,56644.0,-2030722.0,543542.0,192758.0,-1853469.0,4713.0,-1393341.0,-109305.0,4238801,en-US,US,EQUITY,Delayed Quote,False,USD,0.0,REGULAR,1100529000000,4,0.0,0.0,1630349990,0.01,0.01,0.01 - 0.01,0.01,1000,0.01,0.0,0,0,Other OTC,USD,0.01,11883,142,0.008099999,4.2631574,0.0019 - 0.0333,-0.023300001,"Diguang International Development Co., Ltd.",finmb_24845432,America/New_York,EDT,-14400000,us_market,False,-0.6996997,0.0019,0.0333,-0.25,0.538,0.0077877776,0.0022122222,0.28406334,0.012144084,-0.0021440843,-0.17655382,220720,0.01858736,15,0,False,DIGUANG INTL DEV C,PNK,Diguang International Development,1.42,,,0.0333,0.0019,0.0078,0.0121,11.88k,142,22.07M,,,,,,,,,,,,,,,0.00%,,,0:1,"Feb 21, 2006","Dec 30, 2010","Mar 30, 2011",-8.39%,-7.64%,-5.30%,-33.82%,65.85M,2.98,7.40%,4.98M,-3.51M,-5.53M,-0.2500,,4.43M,0.2,15.09M,106.25,0.90,0.54,348.93k,8.14M,Value,518026,Technology,2177,"Diguang International Development Co., Ltd. engages in the design, production, and distribution of small to medium-sized light emitting diode and cold cathode fluorescent lamp backlights primarily for large and medium sized companies. The company offers backlights for liquid crystal displays in various applications, such as color displays for cell phones, car televisions and navigation systems, digital cameras, televisions, computer displays, camcorders, PDAs, DVDs, CD and MP3/MP4 players, and appliance displays, as well as for indoor and outdoor lighting, and home and office use. It sells its products to customers primarily in Taiwan, Hong Kong, North America, Europe, Japan, Southeast Asia, and China Mainland. The company was founded in 2004 and is headquartered in Shenzhen, the People's Republic of China. Diguang International Development Co., Ltd. is a subsidiary of Sino Olympics Industrial Limited.",Shenzhen,86 755 2655 3152,1293753600,China,86400,23rd Floor Building A Galaxy Century Building,86 755 2663 4369,Electronic Components,No 3069 Caitian Road Futian District
t-3,DGNG,17379452,22072000,-195017,,130008,2429190,126794,1523127,1539053,210943,210943,,-189787,,,,12829,17042646,16831703,15503593,-80935,,117179,126794,20904072,42170355,17379452,1326647,61978997,22593,4707878,-7291877,756654,3744664,398142,7985036,33303401,4419119,21584150,39996705,16233989,8110300,11069802,21267387,2672864.0,-2082413.0,144826.0,1812989.0,296053.0,2354620.0,41914.0,2582130.0,515482.0,-1031655.0,705487.0,-683353.0,-2087731.0,1668163.0,6693304,en-US,US,EQUITY,Delayed Quote,False,USD,0.0,REGULAR,1100529000000,4,0.0,0.0,1630349990,0.01,0.01,0.01 - 0.01,0.01,1000,0.01,0.0,0,0,Other OTC,USD,0.01,11883,142,0.008099999,4.2631574,0.0019 - 0.0333,-0.023300001,"Diguang International Development Co., Ltd.",finmb_24845432,America/New_York,EDT,-14400000,us_market,False,-0.6996997,0.0019,0.0333,-0.25,0.538,0.0077877776,0.0022122222,0.28406334,0.012144084,-0.0021440843,-0.17655382,220720,0.01858736,15,0,False,DIGUANG INTL DEV C,PNK,Diguang International Development,1.42,,,0.0333,0.0019,0.0078,0.0121,11.88k,142,22.07M,,,,,,,,,,,,,,,0.00%,,,0:1,"Feb 21, 2006","Dec 30, 2010","Mar 30, 2011",-8.39%,-7.64%,-5.30%,-33.82%,65.85M,2.98,7.40%,4.98M,-3.51M,-5.53M,-0.2500,,4.43M,0.2,15.09M,106.25,0.90,0.54,348.93k,8.14M,Value,518026,Technology,2177,"Diguang International Development Co., Ltd. engages in the design, production, and distribution of small to medium-sized light emitting diode and cold cathode fluorescent lamp backlights primarily for large and medium sized companies. The company offers backlights for liquid crystal displays in various applications, such as color displays for cell phones, car televisions and navigation systems, digital cameras, televisions, computer displays, camcorders, PDAs, DVDs, CD and MP3/MP4 players, and appliance displays, as well as for indoor and outdoor lighting, and home and office use. It sells its products to customers primarily in Taiwan, Hong Kong, North America, Europe, Japan, Southeast Asia, and China Mainland. The company was founded in 2004 and is headquartered in Shenzhen, the People's Republic of China. Diguang International Development Co., Ltd. is a subsidiary of Sino Olympics Industrial Limited.",Shenzhen,86 755 2655 3152,1293753600,China,86400,23rd Floor Building A Galaxy Century Building,86 755 2663 4369,Electronic Components,No 3069 Caitian Road Futian District
