Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,JFIL,-1118942,19548200,,,-18229,,-18229,18229,0,-18229,-18229,,,,,,0,0,18229,0,0,,-18229,-18229,2453733,1139767,-1118942,20825,19548,-3592223,2441,1139767,20825,9384,53143,-1595.0,7351.0,7351.0,3000.0,-4973.0,-12324.0,4500.0,,-1118942,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.026624998,1.5214285,0.0175 - 0.2688,-0.224675,-0.8358445,0.0175,0.2688,-0.004,0.0,0.044125 - 0.044125,0.044125,0.0,0.0,0,0,finmb_129780923,Other OTC,"Jubilant Flame International, Ltd.",USD,13603,2900,-0.057,0.04790861,-0.0037836134,-0.07897564,0.05697669,-0.012851693,-0.22556053,862564,-0.7741228,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,JUBILANT FLAME INTERNATIONAL LT,0.044125,1630427766,0.0,0.047,0.044125,0.044125,1,1.32,,,0.2688,0.0175,0.0479,0.057,13.6k,2.9k,19.55M,,12.04M,38.52%,0.00%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","Feb 27, 2021",0.00%,0.00%,-211.08%,,,,,,,-84.19k,-0.0040,,2.44k,0,551.12k,,0.02,-0.06,-69.37k,-37.8k,Value,201103,Healthcare,5,"Jubilant Flame International, Ltd. provides technical support services for the development of nutrition food products in the United States. Its nutritional oriented food includes sea-buckthourn and organic spouting powder. The company was formerly known as Jiu Feng Investment Hong Kong Ltd. and changed its name to Jubilant Flame International, Ltd. in May 2015. Jubilant Flame International, Ltd. was founded in 2009 and is based in Shanghai, China.",Shanghai,86 21 6474 8888,1546214400,China,http://www.acropass-shop.com,86400,Yunfeng Building,Pharmaceutical Retailers,10th Floor No. 478 Wuzhong Road
t-1,JFIL,-1105212,19548200,,,-22985,,-22985,22985,0,-22985,-22985,,,,,,0,0,22985,0,0,,-22985,-22985,2449733,1134010,-1105212,28798,19049,-3573994,7414,1134010,28798,9384,54737,5044.0,27372.0,27372.0,-9000.0,4931.0,-22441.0,4500.0,,-1105212,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.026624998,1.5214285,0.0175 - 0.2688,-0.224675,-0.8358445,0.0175,0.2688,-0.004,0.0,0.044125 - 0.044125,0.044125,0.0,0.0,0,0,finmb_129780923,Other OTC,"Jubilant Flame International, Ltd.",USD,13603,2900,-0.057,0.04790861,-0.0037836134,-0.07897564,0.05697669,-0.012851693,-0.22556053,862564,-0.7741228,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,JUBILANT FLAME INTERNATIONAL LT,0.044125,1630427766,0.0,0.047,0.044125,0.044125,1,1.32,,,0.2688,0.0175,0.0479,0.057,13.6k,2.9k,19.55M,,12.04M,38.52%,0.00%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","Feb 27, 2021",0.00%,0.00%,-211.08%,,,,,,,-84.19k,-0.0040,,2.44k,0,551.12k,,0.02,-0.06,-69.37k,-37.8k,Value,201103,Healthcare,5,"Jubilant Flame International, Ltd. provides technical support services for the development of nutrition food products in the United States. Its nutritional oriented food includes sea-buckthourn and organic spouting powder. The company was formerly known as Jiu Feng Investment Hong Kong Ltd. and changed its name to Jubilant Flame International, Ltd. in May 2015. Jubilant Flame International, Ltd. was founded in 2009 and is based in Shanghai, China.",Shanghai,86 21 6474 8888,1546214400,China,http://www.acropass-shop.com,86400,Yunfeng Building,Pharmaceutical Retailers,10th Floor No. 478 Wuzhong Road
t-2,JFIL,-1086727,19548200,,,-19872,,-19872,19872,0,-19872,-19872,,,,,,0,0,19872,0,0,,-19872,-19872,2445233,1101594,-1086727,14867,19049,-3551009,2483,1101594,14867,9384,49693,1437.0,15832.0,15832.0,-5000.0,-3103.0,-18935.0,4500.0,,-1086727,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.026624998,1.5214285,0.0175 - 0.2688,-0.224675,-0.8358445,0.0175,0.2688,-0.004,0.0,0.044125 - 0.044125,0.044125,0.0,0.0,0,0,finmb_129780923,Other OTC,"Jubilant Flame International, Ltd.",USD,13603,2900,-0.057,0.04790861,-0.0037836134,-0.07897564,0.05697669,-0.012851693,-0.22556053,862564,-0.7741228,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,JUBILANT FLAME INTERNATIONAL LT,0.044125,1630427766,0.0,0.047,0.044125,0.044125,1,1.32,,,0.2688,0.0175,0.0479,0.057,13.6k,2.9k,19.55M,,12.04M,38.52%,0.00%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","Feb 27, 2021",0.00%,0.00%,-211.08%,,,,,,,-84.19k,-0.0040,,2.44k,0,551.12k,,0.02,-0.06,-69.37k,-37.8k,Value,201103,Healthcare,5,"Jubilant Flame International, Ltd. provides technical support services for the development of nutrition food products in the United States. Its nutritional oriented food includes sea-buckthourn and organic spouting powder. The company was formerly known as Jiu Feng Investment Hong Kong Ltd. and changed its name to Jubilant Flame International, Ltd. in May 2015. Jubilant Flame International, Ltd. was founded in 2009 and is based in Shanghai, China.",Shanghai,86 21 6474 8888,1546214400,China,http://www.acropass-shop.com,86400,Yunfeng Building,Pharmaceutical Retailers,10th Floor No. 478 Wuzhong Road
t-3,JFIL,-1071356,19548200,,,-23100,,-23100,23100,0,-23100,-23100,,,,,,0,0,23100,0,0,,-23100,-23100,2440733,1092326,-1071356,20970,19049,-3531138,5586,1092326,20970,9384,56257,-8084.0,10624.0,10624.0,11000.0,-5042.0,-15666.0,4500.0,18.0,-1071356,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.026624998,1.5214285,0.0175 - 0.2688,-0.224675,-0.8358445,0.0175,0.2688,-0.004,0.0,0.044125 - 0.044125,0.044125,0.0,0.0,0,0,finmb_129780923,Other OTC,"Jubilant Flame International, Ltd.",USD,13603,2900,-0.057,0.04790861,-0.0037836134,-0.07897564,0.05697669,-0.012851693,-0.22556053,862564,-0.7741228,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,JUBILANT FLAME INTERNATIONAL LT,0.044125,1630427766,0.0,0.047,0.044125,0.044125,1,1.32,,,0.2688,0.0175,0.0479,0.057,13.6k,2.9k,19.55M,,12.04M,38.52%,0.00%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","Feb 27, 2021",0.00%,0.00%,-211.08%,,,,,,,-84.19k,-0.0040,,2.44k,0,551.12k,,0.02,-0.06,-69.37k,-37.8k,Value,201103,Healthcare,5,"Jubilant Flame International, Ltd. provides technical support services for the development of nutrition food products in the United States. Its nutritional oriented food includes sea-buckthourn and organic spouting powder. The company was formerly known as Jiu Feng Investment Hong Kong Ltd. and changed its name to Jubilant Flame International, Ltd. in May 2015. Jubilant Flame International, Ltd. was founded in 2009 and is based in Shanghai, China.",Shanghai,86 21 6474 8888,1546214400,China,http://www.acropass-shop.com,86400,Yunfeng Building,Pharmaceutical Retailers,10th Floor No. 478 Wuzhong Road
