Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,accountsPayable,treasuryStock,otherStockholderEquity,netReceivables,shortLongTermDebt,longTermDebt,otherCurrentLiab,otherCurrentAssets,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,totalCashflowsFromInvestingActivities,otherCashflowsFromInvestingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,gmtOffSetMilliseconds,esgPopulated,tradeable,market,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,priceHint,marketState,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,trailingPE,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 14, 2016) 4","Short Ratio (Jul 14, 2016) 4","Short % of Float (Jul 14, 2016) 4","Short % of Shares Outstanding (Jul 14, 2016) 4","Shares Short (prior month Jun 14, 2016) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DXIEF,-474000.0,11966000,,,-82000,,-82000,73000,0,-74000,-74000,,-8000,,,,0,0,74000,0,-8000,,-82000,-82000,12191000.0,521000.0,-474000.0,47000.0,113916000.0,-126581000.0,36000.0,521000.0,1000.0,46000.0,51000.0,,,,,,,,0.0,75000.0,67000.0,-23000.0,-37000.0,-104000.0,1000.0,-8000.0,,,,,-475000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.3182 - 0.3182,0.3182,finmb_876286,Other OTC,DXI Capital Corp.,CAD,1127,326,-14400000,False,False,us_market,PNK,0.969,-0.04,0.40383416,-0.08563417,-0.21205282,0.44021365,-0.12201366,-0.2771692,3840133,-7.955,15,America/New_York,EDT,0.3182,1630430964,0.0,0.3189,0.3182,0.3182,5,DXI CAPITAL CORP,4,REGULAR,0,0.30719998,27.92727,0.011 - 1.9,-1.5818,-0.8325263,0.011,1.9,1599782400,0.32837978,0.08,,,1.9,0.011,0.4038,0.4402,1.13k,326,11.97M,,2.29M,6.90%,0.00%,138,0.14,0.03%,0.03%,296,,,,,,0.00%,"Sep 10, 2020",,1:100,"Sep 10, 2020","Dec 30, 2020","Mar 30, 2021","21,483.78%",-783.78%,-41.76%,,37k,0.01,,-141k,-278k,7.95M,0.9690,,36k,0,450k,,0.09,-0.04,-361k,-2.01M,Value,V6C 3E2,Energy,"DXI Capital Corp. does not have signification operations. Previously, it was engaged in the exploration and development of oil and gas properties in North America. The company was formerly known as DXI Energy Inc. and changed its name to DXI Capital Corp. in September 2020. DXI Capital Corp. was incorporated in 1968 and is based in Vancouver, Canada.",Vancouver,604 638 5055,BC,1577750400,Canada,http://www.dxicap.com,86400,999 Canada Place,Oil & Gas E&P,Suite 404
t-1,DXIEF,-392000.0,11966000,,,1774000,,3496000,117000,-141000,-1531000,-1531000,,-8000,,,,0,295000,1826000,436000,3305000,1722000.0,1774000,3496000,12191000.0,475000.0,-392000.0,83000.0,113747000.0,-126499000.0,73000.0,475000.0,2000.0,81000.0,100000.0,169000.0,169000.0,2000.0,,,,,0.0,124000.0,103000.0,-13000.0,48000.0,-90000.0,1280000.0,-21000.0,35000.0,34000.0,-4853000.0,1000.0,-394000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.3182 - 0.3182,0.3182,finmb_876286,Other OTC,DXI Capital Corp.,CAD,1127,326,-14400000,False,False,us_market,PNK,0.969,-0.04,0.40383416,-0.08563417,-0.21205282,0.44021365,-0.12201366,-0.2771692,3840133,-7.955,15,America/New_York,EDT,0.3182,1630430964,0.0,0.3189,0.3182,0.3182,5,DXI CAPITAL CORP,4,REGULAR,0,0.30719998,27.92727,0.011 - 1.9,-1.5818,-0.8325263,0.011,1.9,1599782400,0.32837978,0.08,,,1.9,0.011,0.4038,0.4402,1.13k,326,11.97M,,2.29M,6.90%,0.00%,138,0.14,0.03%,0.03%,296,,,,,,0.00%,"Sep 10, 2020",,1:100,"Sep 10, 2020","Dec 30, 2020","Mar 30, 2021","21,483.78%",-783.78%,-41.76%,,37k,0.01,,-141k,-278k,7.95M,0.9690,,36k,0,450k,,0.09,-0.04,-361k,-2.01M,Value,V6C 3E2,Energy,"DXI Capital Corp. does not have signification operations. Previously, it was engaged in the exploration and development of oil and gas properties in North America. The company was formerly known as DXI Energy Inc. and changed its name to DXI Capital Corp. in September 2020. DXI Capital Corp. was incorporated in 1968 and is based in Vancouver, Canada.",Vancouver,604 638 5055,BC,1577750400,Canada,http://www.dxicap.com,86400,999 Canada Place,Oil & Gas E&P,Suite 404
t-2,DXIEF,-3921000.0,11966000,,,47000,,62000,90000,0,-90000,-90000,,-145000,,,,0,0,90000,0,137000,15000.0,47000,62000,13090000.0,3960000.0,-3921000.0,39000.0,109448000.0,-129995000.0,25000.0,1284000.0,2000.0,37000.0,252000.0,3536000.0,3536000.0,3000.0,472000.0,2676000.0,,,0.0,50000.0,50000.0,-4000.0,-26000.0,-82000.0,-1000.0,-21000.0,6000.0,34000.0,-139000.0,1000.0,-1247000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.3182 - 0.3182,0.3182,finmb_876286,Other OTC,DXI Capital Corp.,CAD,1127,326,-14400000,False,False,us_market,PNK,0.969,-0.04,0.40383416,-0.08563417,-0.21205282,0.44021365,-0.12201366,-0.2771692,3840133,-7.955,15,America/New_York,EDT,0.3182,1630430964,0.0,0.3189,0.3182,0.3182,5,DXI CAPITAL CORP,4,REGULAR,0,0.30719998,27.92727,0.011 - 1.9,-1.5818,-0.8325263,0.011,1.9,1599782400,0.32837978,0.08,,,1.9,0.011,0.4038,0.4402,1.13k,326,11.97M,,2.29M,6.90%,0.00%,138,0.14,0.03%,0.03%,296,,,,,,0.00%,"Sep 10, 2020",,1:100,"Sep 10, 2020","Dec 30, 2020","Mar 30, 2021","21,483.78%",-783.78%,-41.76%,,37k,0.01,,-141k,-278k,7.95M,0.9690,,36k,0,450k,,0.09,-0.04,-361k,-2.01M,Value,V6C 3E2,Energy,"DXI Capital Corp. does not have signification operations. Previously, it was engaged in the exploration and development of oil and gas properties in North America. The company was formerly known as DXI Energy Inc. and changed its name to DXI Capital Corp. in September 2020. DXI Capital Corp. was incorporated in 1968 and is based in Vancouver, Canada.",Vancouver,604 638 5055,BC,1577750400,Canada,http://www.dxicap.com,86400,999 Canada Place,Oil & Gas E&P,Suite 404
t-3,DXIEF,-3983000.0,11966000,,,4490000,,4472000,11000,-25000,-36000,-36000,,-135000,,,,0,18000,54000,43000,4526000,-18000.0,4490000,4472000,13090000.0,4094000.0,-3983000.0,111000.0,109448000.0,-130057000.0,51000.0,1500000.0,8000.0,103000.0,236000.0,3536000.0,3536000.0,11000.0,450000.0,2594000.0,310000.0,32000.0,0.0,50000.0,50000.0,-4000.0,-26000.0,-82000.0,-1000.0,-21000.0,6000.0,34000.0,-139000.0,1000.0,-1397000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.3182 - 0.3182,0.3182,finmb_876286,Other OTC,DXI Capital Corp.,CAD,1127,326,-14400000,False,False,us_market,PNK,0.969,-0.04,0.40383416,-0.08563417,-0.21205282,0.44021365,-0.12201366,-0.2771692,3840133,-7.955,15,America/New_York,EDT,0.3182,1630430964,0.0,0.3189,0.3182,0.3182,5,DXI CAPITAL CORP,4,REGULAR,0,0.30719998,27.92727,0.011 - 1.9,-1.5818,-0.8325263,0.011,1.9,1599782400,0.32837978,0.08,,,1.9,0.011,0.4038,0.4402,1.13k,326,11.97M,,2.29M,6.90%,0.00%,138,0.14,0.03%,0.03%,296,,,,,,0.00%,"Sep 10, 2020",,1:100,"Sep 10, 2020","Dec 30, 2020","Mar 30, 2021","21,483.78%",-783.78%,-41.76%,,37k,0.01,,-141k,-278k,7.95M,0.9690,,36k,0,450k,,0.09,-0.04,-361k,-2.01M,Value,V6C 3E2,Energy,"DXI Capital Corp. does not have signification operations. Previously, it was engaged in the exploration and development of oil and gas properties in North America. The company was formerly known as DXI Energy Inc. and changed its name to DXI Capital Corp. in September 2020. DXI Capital Corp. was incorporated in 1968 and is based in Vancouver, Canada.",Vancouver,604 638 5055,BC,1577750400,Canada,http://www.dxicap.com,86400,999 Canada Place,Oil & Gas E&P,Suite 404
