Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,epsForward,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,IS7.DE,14179000.0,4222570,,,1220000,,986000,3619000,10026000,842000,842000,4147000,-119000,,,,234000,28978000,28136000,18952000,378000,,986000,986000,3876000.0,15389000.0,39871000.0,18055000.0,5995000.0,57926000.0,4287000.0,-61000.0,1663000.0,-1560000.0,1587000.0,1698000.0,20795000.0,1587000.0,6489000.0,-1496000.0,23212000.0,29251000.0,939000.0,14714000.0,13279000.0,11900000.0,8311000.0,,1746000,-901000,-845000,-845000,122000,-1725000,5000,16000,1418000,-213000,-4361000,318000,-638000,8456000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,de_market,13.5,1630569173,-0.3000002,13.5,13.5,13.5,200,INTICA SYSTEMS AG,GER,REGULAR,-0.038953222,0,False,False,-2.1739144,13.5 - 13.5,13.8,13.3,13.8,80,2000,finmb_12735947,XETRA,InTiCa Systems AG,EUR,1742,481,7.6,1.2881355,5.9 - 23.6,-10.1,-0.42796612,5.9,23.6,1628765940,1628765940,1628765940,106.29921,0.127,0.26,2,4.276,15.294286,-1.7942858,-0.11731739,14.047183,-0.54718304,57004696,51.92308,3.1571562,15,Europe/Berlin,CEST,7200000,1.33,,,23.6,5.9,15.29,14.05,1.74k,481,4.22M,,1.64M,60.41%,0.00%,,,,,,,,,,,0.00%,,,3:1,"Jun 13, 2006","Dec 31, 2020","Mar 31, 2021",0.66%,3.21%,2.96%,3.17%,82.22M,19.19,56.60%,26.67M,6.02M,545k,0.13,205.30%,2.64M,0.62,23.9M,132.38,1.41,4.28,6.04M,3.78M,Value,94032,Consumer Cyclical,607,"InTiCa Systems AG, together with its subsidiaries, develops, produces, and markets inductive components, passive analogue switches, and mechatronic assemblies in Germany and internationally. It operates in two segments, Automotive Technology and Industrial Electronics. It offers solutions for power trains in the area of the stator, as well as related power electronics, such as EMC filters, transformers, and derating products; various types of actuator coils for handling, controlling, and measuring applications; antennas and transponder technology for applications in driving and access authorization, and keyless entry and transponder systems/immobilizers; components for special challenges from electromagnetic compatibility (EMC) solutions, such as common mode chokes and EMC-filters; and antenna solutions in high and low frequency areas for safety engineering applications, including tire pressure monitoring systems. The company also provides EMC filters/components for various electronic applications; AC-filter chokes, boost converters and boost chokes, high-frequency transformers, and inductive modules for solar converters; solenoid coils for various applications; solutions for transformers, coils, and hybrid transformers for frequency converters, as well as stator windings for electric motors; xDSL filter products for use in telecommunication networks; and various components of broadband cable. In addition, it offers manufacturing technology for plastic injections, soldering, resistance welding, ultra-sound welding, crimping, bonding, compound filling, winding, and testing. InTiCa Systems AG was founded in 2000 and is headquartered in Passau, Germany.",Passau,49 851 966 920,1577750400,Germany,http://www.intica-systems.com,86400,Spitalhofstrasse 94,49 851 966 9215,Auto Parts
t-1,IS7.DE,12956000.0,4222570,,,1236000,,942000,3842000,8068000,3679000,3679000,-816000,-95000,,,,294000,24565000,20886000,16497000,-2443000,,942000,942000,3932000.0,15389000.0,36427000.0,16888000.0,3960000.0,53315000.0,4287000.0,-1047000.0,1682000.0,-1741000.0,2413000.0,1473000.0,16849000.0,1606000.0,3100000.0,-1677000.0,22742000.0,24228000.0,582000.0,10015000.0,13572000.0,11687000.0,6565000.0,471000.0,524000,-803000,-832000,-832000,148000,2398000,-66000,4099000,120000,-886000,1347000,661000,-624000,7379000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,de_market,13.5,1630569173,-0.3000002,13.5,13.5,13.5,200,INTICA SYSTEMS AG,GER,REGULAR,-0.038953222,0,False,False,-2.1739144,13.5 - 13.5,13.8,13.3,13.8,80,2000,finmb_12735947,XETRA,InTiCa Systems AG,EUR,1742,481,7.6,1.2881355,5.9 - 23.6,-10.1,-0.42796612,5.9,23.6,1628765940,1628765940,1628765940,106.29921,0.127,0.26,2,4.276,15.294286,-1.7942858,-0.11731739,14.047183,-0.54718304,57004696,51.92308,3.1571562,15,Europe/Berlin,CEST,7200000,1.33,,,23.6,5.9,15.29,14.05,1.74k,481,4.22M,,1.64M,60.41%,0.00%,,,,,,,,,,,0.00%,,,3:1,"Jun 13, 2006","Dec 31, 2020","Mar 31, 2021",0.66%,3.21%,2.96%,3.17%,82.22M,19.19,56.60%,26.67M,6.02M,545k,0.13,205.30%,2.64M,0.62,23.9M,132.38,1.41,4.28,6.04M,3.78M,Value,94032,Consumer Cyclical,607,"InTiCa Systems AG, together with its subsidiaries, develops, produces, and markets inductive components, passive analogue switches, and mechatronic assemblies in Germany and internationally. It operates in two segments, Automotive Technology and Industrial Electronics. It offers solutions for power trains in the area of the stator, as well as related power electronics, such as EMC filters, transformers, and derating products; various types of actuator coils for handling, controlling, and measuring applications; antennas and transponder technology for applications in driving and access authorization, and keyless entry and transponder systems/immobilizers; components for special challenges from electromagnetic compatibility (EMC) solutions, such as common mode chokes and EMC-filters; and antenna solutions in high and low frequency areas for safety engineering applications, including tire pressure monitoring systems. The company also provides EMC filters/components for various electronic applications; AC-filter chokes, boost converters and boost chokes, high-frequency transformers, and inductive modules for solar converters; solenoid coils for various applications; solutions for transformers, coils, and hybrid transformers for frequency converters, as well as stator windings for electric motors; xDSL filter products for use in telecommunication networks; and various components of broadband cable. In addition, it offers manufacturing technology for plastic injections, soldering, resistance welding, ultra-sound welding, crimping, bonding, compound filling, winding, and testing. InTiCa Systems AG was founded in 2000 and is headquartered in Passau, Germany.",Passau,49 851 966 920,1577750400,Germany,http://www.intica-systems.com,86400,Spitalhofstrasse 94,49 851 966 9215,Auto Parts
t-2,IS7.DE,10994000.0,4222570,,,-288000,,-314000,2665000,6630000,-554000,-554000,3058000,-154000,,,,26000,17338000,17892000,10708000,266000,,-314000,-314000,4287000.0,15389000.0,38231000.0,15281000.0,5052000.0,53512000.0,4287000.0,-1989000.0,1725000.0,-2406000.0,1592000.0,1250000.0,17101000.0,1592000.0,6008000.0,-2342000.0,23062000.0,24571000.0,662000.0,11858000.0,15129000.0,10801000.0,6041000.0,,1883000,-431000,5355000,5355000,136000,6564000,57000,1583000,1461000,-956000,-856000,229000,-263000,7470000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,de_market,13.5,1630569173,-0.3000002,13.5,13.5,13.5,200,INTICA SYSTEMS AG,GER,REGULAR,-0.038953222,0,False,False,-2.1739144,13.5 - 13.5,13.8,13.3,13.8,80,2000,finmb_12735947,XETRA,InTiCa Systems AG,EUR,1742,481,7.6,1.2881355,5.9 - 23.6,-10.1,-0.42796612,5.9,23.6,1628765940,1628765940,1628765940,106.29921,0.127,0.26,2,4.276,15.294286,-1.7942858,-0.11731739,14.047183,-0.54718304,57004696,51.92308,3.1571562,15,Europe/Berlin,CEST,7200000,1.33,,,23.6,5.9,15.29,14.05,1.74k,481,4.22M,,1.64M,60.41%,0.00%,,,,,,,,,,,0.00%,,,3:1,"Jun 13, 2006","Dec 31, 2020","Mar 31, 2021",0.66%,3.21%,2.96%,3.17%,82.22M,19.19,56.60%,26.67M,6.02M,545k,0.13,205.30%,2.64M,0.62,23.9M,132.38,1.41,4.28,6.04M,3.78M,Value,94032,Consumer Cyclical,607,"InTiCa Systems AG, together with its subsidiaries, develops, produces, and markets inductive components, passive analogue switches, and mechatronic assemblies in Germany and internationally. It operates in two segments, Automotive Technology and Industrial Electronics. It offers solutions for power trains in the area of the stator, as well as related power electronics, such as EMC filters, transformers, and derating products; various types of actuator coils for handling, controlling, and measuring applications; antennas and transponder technology for applications in driving and access authorization, and keyless entry and transponder systems/immobilizers; components for special challenges from electromagnetic compatibility (EMC) solutions, such as common mode chokes and EMC-filters; and antenna solutions in high and low frequency areas for safety engineering applications, including tire pressure monitoring systems. The company also provides EMC filters/components for various electronic applications; AC-filter chokes, boost converters and boost chokes, high-frequency transformers, and inductive modules for solar converters; solenoid coils for various applications; solutions for transformers, coils, and hybrid transformers for frequency converters, as well as stator windings for electric motors; xDSL filter products for use in telecommunication networks; and various components of broadband cable. In addition, it offers manufacturing technology for plastic injections, soldering, resistance welding, ultra-sound welding, crimping, bonding, compound filling, winding, and testing. InTiCa Systems AG was founded in 2000 and is headquartered in Passau, Germany.",Passau,49 851 966 920,1577750400,Germany,http://www.intica-systems.com,86400,Spitalhofstrasse 94,49 851 966 9215,Auto Parts
t-3,IS7.DE,11133000.0,4222570,,,-1169000,,-1069000,2134000,4139000,-1329000,-1329000,2001000,-152000,,,,-100000,11337000,12666000,7198000,160000,,-1069000,-1069000,4536000.0,15389000.0,36685000.0,15669000.0,4429000.0,52354000.0,4287000.0,-1675000.0,1801000.0,-2332000.0,1588000.0,954000.0,21017000.0,1588000.0,12429000.0,-2268000.0,24150000.0,22080000.0,391000.0,10890000.0,9347000.0,9845000.0,4159000.0,,-2057000,-376000,-764000,-764000,1334000,-962000,-167000,345000,1333000,-321000,906000,219000,-240000,1063000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,de_market,13.5,1630569173,-0.3000002,13.5,13.5,13.5,200,INTICA SYSTEMS AG,GER,REGULAR,-0.038953222,0,False,False,-2.1739144,13.5 - 13.5,13.8,13.3,13.8,80,2000,finmb_12735947,XETRA,InTiCa Systems AG,EUR,1742,481,7.6,1.2881355,5.9 - 23.6,-10.1,-0.42796612,5.9,23.6,1628765940,1628765940,1628765940,106.29921,0.127,0.26,2,4.276,15.294286,-1.7942858,-0.11731739,14.047183,-0.54718304,57004696,51.92308,3.1571562,15,Europe/Berlin,CEST,7200000,1.33,,,23.6,5.9,15.29,14.05,1.74k,481,4.22M,,1.64M,60.41%,0.00%,,,,,,,,,,,0.00%,,,3:1,"Jun 13, 2006","Dec 31, 2020","Mar 31, 2021",0.66%,3.21%,2.96%,3.17%,82.22M,19.19,56.60%,26.67M,6.02M,545k,0.13,205.30%,2.64M,0.62,23.9M,132.38,1.41,4.28,6.04M,3.78M,Value,94032,Consumer Cyclical,607,"InTiCa Systems AG, together with its subsidiaries, develops, produces, and markets inductive components, passive analogue switches, and mechatronic assemblies in Germany and internationally. It operates in two segments, Automotive Technology and Industrial Electronics. It offers solutions for power trains in the area of the stator, as well as related power electronics, such as EMC filters, transformers, and derating products; various types of actuator coils for handling, controlling, and measuring applications; antennas and transponder technology for applications in driving and access authorization, and keyless entry and transponder systems/immobilizers; components for special challenges from electromagnetic compatibility (EMC) solutions, such as common mode chokes and EMC-filters; and antenna solutions in high and low frequency areas for safety engineering applications, including tire pressure monitoring systems. The company also provides EMC filters/components for various electronic applications; AC-filter chokes, boost converters and boost chokes, high-frequency transformers, and inductive modules for solar converters; solenoid coils for various applications; solutions for transformers, coils, and hybrid transformers for frequency converters, as well as stator windings for electric motors; xDSL filter products for use in telecommunication networks; and various components of broadband cable. In addition, it offers manufacturing technology for plastic injections, soldering, resistance welding, ultra-sound welding, crimping, bonding, compound filling, winding, and testing. InTiCa Systems AG was founded in 2000 and is headquartered in Passau, Germany.",Passau,49 851 966 920,1577750400,Germany,http://www.intica-systems.com,86400,Spitalhofstrasse 94,49 851 966 9215,Auto Parts
