Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,otherStockholderEquity,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry
t0,EDXC,-10382489.0,305452000,380,,-1413246,,-1413246,729869,-171927,-907276,-907276,,-224313,,,,0,146507,1053783,318434,-505970,,-1413246,-1413246,16250.0,24797183.0,12698534.0,-10366239.0,2283508.0,2332478.0,45741.0,-35209163.0,228760.0,77008.0,12285281.0,5175811.0,478861.0,1598687.0,9920.0,92060.0,413253.0,855907.0,361140.0,,,-108887,840484,865484,234932,25000,13743,-851741,5100,170224,-51113,258597,-10686594.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,ENDEXX CORPORATION,us_market,4,Other OTC,Endexx Corporation,USD,617888,200864,0.030949999,0.9983871,0.031 - 0.2849,-0.22295001,-0.7825553,0.031,0.2849,-0.014,0,-0.023,0.07648722,-0.014537223,-0.19006081,0.12913169,-0.06718169,-0.5202572,18922750,-2.693478,15,America/New_York,EDT,-14400000,False,False,-1.5103358,0.06195 - 0.0629,0.0629,0.0,0.0,0,0,finmb_21864403,0.06195,1630505604,-0.0009500012,0.0629,0.0629,0.06195,2600,2.37,,,0.2849,0.031,0.0765,0.1291,617.89k,200.86k,305.45M,,311.67M,0.00%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,-299.30%,,,646.44k,0.00,-69.90%,341.4k,-1.92M,-5.66M,-0.0140,,77.01k,0,7.01M,,0.13,-0.02,-3.58M,,Value,85331,Technology,"Endexx Corporation engages in the manufacturing and sale of CBD-based products for the health and wellness market. It provides CBD oils, capsules, topicals, and pet products for supporting the therapeutic relief of pain and inflammation for humans and pets through its e-commerce site cbdunlimited.com, as well as other online and in-store retailers. The company was formerly known as CBD Unlimited, Inc. and changed its name to Endexx Corporation in May 2020. Endexx Corporation is based in Cave Creek, Arizona.",Cave Creek,480 595 6900,AZ,United States,http://www.endexx.com,86400,38246 North Hazelwood Circle,Software—Application
t-1,EDXC,-10352642.0,305452000,3004,,-1090227,,-1090227,814011,-100623,-922738,-922738,,-268048,,,,0,148786,1071524,249409,-167489,,-1090227,-1090227,16250.0,23415014.0,12765836.0,-10336392.0,3481943.0,2429627.0,44510.0,-33795916.0,228760.0,63265.0,12392583.0,3327659.0,493960.0,1680737.0,9920.0,40947.0,373253.0,1055725.0,470027.0,,,90682,1050500,1253500,-168157,203000,58615,-1194885,5100,-144776,-11506,-479983,-10711846.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,ENDEXX CORPORATION,us_market,4,Other OTC,Endexx Corporation,USD,617888,200864,0.030949999,0.9983871,0.031 - 0.2849,-0.22295001,-0.7825553,0.031,0.2849,-0.014,0,-0.023,0.07648722,-0.014537223,-0.19006081,0.12913169,-0.06718169,-0.5202572,18922750,-2.693478,15,America/New_York,EDT,-14400000,False,False,-1.5103358,0.06195 - 0.0629,0.0629,0.0,0.0,0,0,finmb_21864403,0.06195,1630505604,-0.0009500012,0.0629,0.0629,0.06195,2600,2.37,,,0.2849,0.031,0.0765,0.1291,617.89k,200.86k,305.45M,,311.67M,0.00%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,-299.30%,,,646.44k,0.00,-69.90%,341.4k,-1.92M,-5.66M,-0.0140,,77.01k,0,7.01M,,0.13,-0.02,-3.58M,,Value,85331,Technology,"Endexx Corporation engages in the manufacturing and sale of CBD-based products for the health and wellness market. It provides CBD oils, capsules, topicals, and pet products for supporting the therapeutic relief of pain and inflammation for humans and pets through its e-commerce site cbdunlimited.com, as well as other online and in-store retailers. The company was formerly known as CBD Unlimited, Inc. and changed its name to Endexx Corporation in May 2020. Endexx Corporation is based in Cave Creek, Arizona.",Cave Creek,480 595 6900,AZ,United States,http://www.endexx.com,86400,38246 North Hazelwood Circle,Software—Application
t-2,EDXC,-11670952.0,305452000,6070,,-2895214,,-2895214,854663,-784425,-1608112,-1608112,,-1287070,,,,0,-649103,959009,135322,-1287102,,-2895214,-2895214,16250.0,21010497.0,13582499.0,-11654702.0,5686117.0,1928527.0,40491.0,-32705690.0,228760.0,4650.0,13384246.0,3348599.0,509061.0,1164536.0,9920.0,29441.0,198253.0,1109645.0,420482.0,,,28521,20000,70000,1215006,50000,-31206,-101206,5100,-108038,2839,584123,-12219710.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,ENDEXX CORPORATION,us_market,4,Other OTC,Endexx Corporation,USD,617888,200864,0.030949999,0.9983871,0.031 - 0.2849,-0.22295001,-0.7825553,0.031,0.2849,-0.014,0,-0.023,0.07648722,-0.014537223,-0.19006081,0.12913169,-0.06718169,-0.5202572,18922750,-2.693478,15,America/New_York,EDT,-14400000,False,False,-1.5103358,0.06195 - 0.0629,0.0629,0.0,0.0,0,0,finmb_21864403,0.06195,1630505604,-0.0009500012,0.0629,0.0629,0.06195,2600,2.37,,,0.2849,0.031,0.0765,0.1291,617.89k,200.86k,305.45M,,311.67M,0.00%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,-299.30%,,,646.44k,0.00,-69.90%,341.4k,-1.92M,-5.66M,-0.0140,,77.01k,0,7.01M,,0.13,-0.02,-3.58M,,Value,85331,Technology,"Endexx Corporation engages in the manufacturing and sale of CBD-based products for the health and wellness market. It provides CBD oils, capsules, topicals, and pet products for supporting the therapeutic relief of pain and inflammation for humans and pets through its e-commerce site cbdunlimited.com, as well as other online and in-store retailers. The company was formerly known as CBD Unlimited, Inc. and changed its name to Endexx Corporation in May 2020. Endexx Corporation is based in Cave Creek, Arizona.",Cave Creek,480 595 6900,AZ,United States,http://www.endexx.com,86400,38246 North Hazelwood Circle,Software—Application
t-3,EDXC,-9218082.0,305452000,4932,,-2266186,,-2266186,639156,143467,-505958,-505958,,-458256,,,,0,200060,706018,56593,-1760228,,-2266186,-2266186,16250.0,20577203.0,12130658.0,-9201832.0,5390186.0,2929556.0,39566.0,-29810476.0,856640.0,35856.0,11821159.0,1854598.0,470061.0,1576685.0,9920.0,111441.0,309499.0,1214012.0,363931.0,-8125.0,-8125.0,0,20000,70000,1215006,50000,-31206,-101206,5100,-108038,2839,584123,-10244474.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,ENDEXX CORPORATION,us_market,4,Other OTC,Endexx Corporation,USD,617888,200864,0.030949999,0.9983871,0.031 - 0.2849,-0.22295001,-0.7825553,0.031,0.2849,-0.014,0,-0.023,0.07648722,-0.014537223,-0.19006081,0.12913169,-0.06718169,-0.5202572,18922750,-2.693478,15,America/New_York,EDT,-14400000,False,False,-1.5103358,0.06195 - 0.0629,0.0629,0.0,0.0,0,0,finmb_21864403,0.06195,1630505604,-0.0009500012,0.0629,0.0629,0.06195,2600,2.37,,,0.2849,0.031,0.0765,0.1291,617.89k,200.86k,305.45M,,311.67M,0.00%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,-299.30%,,,646.44k,0.00,-69.90%,341.4k,-1.92M,-5.66M,-0.0140,,77.01k,0,7.01M,,0.13,-0.02,-3.58M,,Value,85331,Technology,"Endexx Corporation engages in the manufacturing and sale of CBD-based products for the health and wellness market. It provides CBD oils, capsules, topicals, and pet products for supporting the therapeutic relief of pain and inflammation for humans and pets through its e-commerce site cbdunlimited.com, as well as other online and in-store retailers. The company was formerly known as CBD Unlimited, Inc. and changed its name to Endexx Corporation in May 2020. Endexx Corporation is based in Cave Creek, Arizona.",Cave Creek,480 595 6900,AZ,United States,http://www.endexx.com,86400,38246 North Hazelwood Circle,Software—Application
