Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,OBS.DE,18135000,9469560,,,1268000,6039000,603500,775000,3795000,1242500,1242500,722500,-87500,,,,392500,22181000,20938500,18386000,25500,,875500,603500,3078000,38013000,31519000,9004000,75571000,9470000,654000,17564000,5432000,10306000,4485000,2281000,26063000,25312000,1995000,632000,4485000,9986000,48332000,1588000,20122000,4009000,10000,3813000,146000.0,-206000.0,91500.0,-138000.0,583000.0,2298500.0,-9500.0,8000.0,2634500.0,1055000.0,33000.0,-298500.0,-220000.0,245500.0,-175000.0,,23020000,en-US,US,EQUITY,False,Delayed Quote,7.9,1630570865,0.0,7.9,7.9,7.9,629,EUR,GER,74809528,7200000,False,False,REGULAR,2,0.0,7.9 - 7.9,de_market,0,ORBIS AG O.N.,7.9,7.75,7.9,2000,754,finmb_750833,XETRA,ORBIS AG,EUR,911,722,2.1,0.36206895,5.8 - 8.1,-0.20000029,-0.024691392,5.8,8.1,1630061940,1630061940,1630061940,0.2,37.98077,0.025316456,0.208,0.26,3.328,7.6557145,0.24428558,0.031908922,7.738028,0.16197205,0.020931954,30.384617,2.3737981,15,Europe/Berlin,CEST,0.35,,,8.1,5.8,7.66,7.74,911,722,9.47M,,4.35M,70.77%,0.00%,,,,,,0.2,2.55%,0.20,2.53%,,0.00%,,"May 12, 2021",,,"Dec 31, 2020","Dec 31, 2020",2.26%,4.84%,3.92%,8.14%,85.9M,9.22,20.40%,13.83M,5.51M,1.94M,0.21,6.00%,26.06M,2.75,10.33M,27.50,1.91,3.33,11.79M,10.66M,Value,66115,Technology,665,"ORBIS AG provides consultancy services and solutions to the automotive supplies, construction supplies, electrical/electronics, mechanical and plant engineering, logistics, metal, and consumer goods and trade industries in Germany and internationally. It helps medium-sized companies and international corporations to digitize their business processes from the joint elaboration of customized big pictures to the practical implementation of projects. The company offers Smart Factory, ORBIS Logistics, ORBIS Manufacturing Execution System, ORBIS Multi-Process Suite, ORBIS Logistics, ORBIS Business Application Suite, ORBIS Information Management System, ORBIS Configuration Suite, ORBIS Product Cost Calculator, and OSCO metal solutions. It also provides ORBIS ManufacturingONE, ORBIS AutomotiveONE, ORBIS ConstructionONE, ORBIS ConsumerONE, ORBIS Smart Services, ORBIS SAP IntegrationONE, ORBIS RapidValue CRM, ORBIS ServiceONE, ORBIS DataQualityONE, and ORBIS DataProtectionONE. The company was founded in 1986 and is based in SaarbrÃ¼cken, Germany.",SaarbrÃ¼cken,49 681 9924 0,1577750400,Germany,http://www.orbis.de,86400,Nell-Breuning-Allee 3-5,49 681 9924 111,Information Technology Services
t-1,OBS.DE,18135000,9469560,,,1268000,6039000,603500,775000,3795000,1242500,1242500,722500,-87500,,,,392500,22181000,20938500,18386000,25500,,875500,603500,3078000,38013000,31519000,9004000,75571000,9470000,654000,17564000,5432000,10306000,4485000,2281000,26063000,25312000,1995000,632000,4485000,9986000,48332000,1588000,20122000,4009000,10000,3813000,146000.0,-206000.0,91500.0,-138000.0,583000.0,2298500.0,-9500.0,8000.0,2634500.0,1055000.0,33000.0,-298500.0,-220000.0,245500.0,-175000.0,,23020000,en-US,US,EQUITY,False,Delayed Quote,7.9,1630570865,0.0,7.9,7.9,7.9,629,EUR,GER,74809528,7200000,False,False,REGULAR,2,0.0,7.9 - 7.9,de_market,0,ORBIS AG O.N.,7.9,7.75,7.9,2000,754,finmb_750833,XETRA,ORBIS AG,EUR,911,722,2.1,0.36206895,5.8 - 8.1,-0.20000029,-0.024691392,5.8,8.1,1630061940,1630061940,1630061940,0.2,37.98077,0.025316456,0.208,0.26,3.328,7.6557145,0.24428558,0.031908922,7.738028,0.16197205,0.020931954,30.384617,2.3737981,15,Europe/Berlin,CEST,0.35,,,8.1,5.8,7.66,7.74,911,722,9.47M,,4.35M,70.77%,0.00%,,,,,,0.2,2.55%,0.20,2.53%,,0.00%,,"May 12, 2021",,,"Dec 31, 2020","Dec 31, 2020",2.26%,4.84%,3.92%,8.14%,85.9M,9.22,20.40%,13.83M,5.51M,1.94M,0.21,6.00%,26.06M,2.75,10.33M,27.50,1.91,3.33,11.79M,10.66M,Value,66115,Technology,665,"ORBIS AG provides consultancy services and solutions to the automotive supplies, construction supplies, electrical/electronics, mechanical and plant engineering, logistics, metal, and consumer goods and trade industries in Germany and internationally. It helps medium-sized companies and international corporations to digitize their business processes from the joint elaboration of customized big pictures to the practical implementation of projects. The company offers Smart Factory, ORBIS Logistics, ORBIS Manufacturing Execution System, ORBIS Multi-Process Suite, ORBIS Logistics, ORBIS Business Application Suite, ORBIS Information Management System, ORBIS Configuration Suite, ORBIS Product Cost Calculator, and OSCO metal solutions. It also provides ORBIS ManufacturingONE, ORBIS AutomotiveONE, ORBIS ConstructionONE, ORBIS ConsumerONE, ORBIS Smart Services, ORBIS SAP IntegrationONE, ORBIS RapidValue CRM, ORBIS ServiceONE, ORBIS DataQualityONE, and ORBIS DataProtectionONE. The company was founded in 1986 and is based in SaarbrÃ¼cken, Germany.",SaarbrÃ¼cken,49 681 9924 0,1577750400,Germany,http://www.orbis.de,86400,Nell-Breuning-Allee 3-5,49 681 9924 111,Information Technology Services
t-2,OBS.DE,17186000,9469560,,,751000,5943000,367500,775000,3118500,837500,837500,1285500,-94500,,,,233000,20767500,19930000,17649000,-86500,,518000,367500,3261000,32443000,30753000,16037000,69139000,9470000,2906000,16357000,3991000,10306000,4926000,1226000,21466000,22651000,1099000,789000,4926000,10238000,42661000,1447000,18273000,2332000,16000,3521000,-501500.0,-999500.0,853000.0,3239500.0,960500.0,5498000.0,-9500.0,-3500.0,3261500.0,995500.0,-8000.0,1397500.0,-87000.0,197000.0,-242500.0,2473500.0,20010000,en-US,US,EQUITY,False,Delayed Quote,7.9,1630570865,0.0,7.9,7.9,7.9,629,EUR,GER,74809528,7200000,False,False,REGULAR,2,0.0,7.9 - 7.9,de_market,0,ORBIS AG O.N.,7.9,7.75,7.9,2000,754,finmb_750833,XETRA,ORBIS AG,EUR,911,722,2.1,0.36206895,5.8 - 8.1,-0.20000029,-0.024691392,5.8,8.1,1630061940,1630061940,1630061940,0.2,37.98077,0.025316456,0.208,0.26,3.328,7.6557145,0.24428558,0.031908922,7.738028,0.16197205,0.020931954,30.384617,2.3737981,15,Europe/Berlin,CEST,0.35,,,8.1,5.8,7.66,7.74,911,722,9.47M,,4.35M,70.77%,0.00%,,,,,,0.2,2.55%,0.20,2.53%,,0.00%,,"May 12, 2021",,,"Dec 31, 2020","Dec 31, 2020",2.26%,4.84%,3.92%,8.14%,85.9M,9.22,20.40%,13.83M,5.51M,1.94M,0.21,6.00%,26.06M,2.75,10.33M,27.50,1.91,3.33,11.79M,10.66M,Value,66115,Technology,665,"ORBIS AG provides consultancy services and solutions to the automotive supplies, construction supplies, electrical/electronics, mechanical and plant engineering, logistics, metal, and consumer goods and trade industries in Germany and internationally. It helps medium-sized companies and international corporations to digitize their business processes from the joint elaboration of customized big pictures to the practical implementation of projects. The company offers Smart Factory, ORBIS Logistics, ORBIS Manufacturing Execution System, ORBIS Multi-Process Suite, ORBIS Logistics, ORBIS Business Application Suite, ORBIS Information Management System, ORBIS Configuration Suite, ORBIS Product Cost Calculator, and OSCO metal solutions. It also provides ORBIS ManufacturingONE, ORBIS AutomotiveONE, ORBIS ConstructionONE, ORBIS ConsumerONE, ORBIS Smart Services, ORBIS SAP IntegrationONE, ORBIS RapidValue CRM, ORBIS ServiceONE, ORBIS DataQualityONE, and ORBIS DataProtectionONE. The company was founded in 1986 and is based in SaarbrÃ¼cken, Germany.",SaarbrÃ¼cken,49 681 9924 0,1577750400,Germany,http://www.orbis.de,86400,Nell-Breuning-Allee 3-5,49 681 9924 111,Information Technology Services
t-3,OBS.DE,17186000,9469560,,,751000,5943000,367500,775000,3118500,837500,837500,1285500,-94500,,,,233000,20767500,19930000,17649000,-86500,,518000,367500,3261000,32443000,30753000,16037000,69139000,9470000,2906000,16357000,3991000,10306000,4926000,1226000,21466000,22651000,1099000,789000,4926000,10238000,42661000,1447000,18273000,2332000,16000,3521000,-501500.0,-999500.0,853000.0,3239500.0,960500.0,5498000.0,-9500.0,-3500.0,3261500.0,995500.0,-8000.0,1397500.0,-87000.0,197000.0,-242500.0,2473500.0,20010000,en-US,US,EQUITY,False,Delayed Quote,7.9,1630570865,0.0,7.9,7.9,7.9,629,EUR,GER,74809528,7200000,False,False,REGULAR,2,0.0,7.9 - 7.9,de_market,0,ORBIS AG O.N.,7.9,7.75,7.9,2000,754,finmb_750833,XETRA,ORBIS AG,EUR,911,722,2.1,0.36206895,5.8 - 8.1,-0.20000029,-0.024691392,5.8,8.1,1630061940,1630061940,1630061940,0.2,37.98077,0.025316456,0.208,0.26,3.328,7.6557145,0.24428558,0.031908922,7.738028,0.16197205,0.020931954,30.384617,2.3737981,15,Europe/Berlin,CEST,0.35,,,8.1,5.8,7.66,7.74,911,722,9.47M,,4.35M,70.77%,0.00%,,,,,,0.2,2.55%,0.20,2.53%,,0.00%,,"May 12, 2021",,,"Dec 31, 2020","Dec 31, 2020",2.26%,4.84%,3.92%,8.14%,85.9M,9.22,20.40%,13.83M,5.51M,1.94M,0.21,6.00%,26.06M,2.75,10.33M,27.50,1.91,3.33,11.79M,10.66M,Value,66115,Technology,665,"ORBIS AG provides consultancy services and solutions to the automotive supplies, construction supplies, electrical/electronics, mechanical and plant engineering, logistics, metal, and consumer goods and trade industries in Germany and internationally. It helps medium-sized companies and international corporations to digitize their business processes from the joint elaboration of customized big pictures to the practical implementation of projects. The company offers Smart Factory, ORBIS Logistics, ORBIS Manufacturing Execution System, ORBIS Multi-Process Suite, ORBIS Logistics, ORBIS Business Application Suite, ORBIS Information Management System, ORBIS Configuration Suite, ORBIS Product Cost Calculator, and OSCO metal solutions. It also provides ORBIS ManufacturingONE, ORBIS AutomotiveONE, ORBIS ConstructionONE, ORBIS ConsumerONE, ORBIS Smart Services, ORBIS SAP IntegrationONE, ORBIS RapidValue CRM, ORBIS ServiceONE, ORBIS DataQualityONE, and ORBIS DataProtectionONE. The company was founded in 1986 and is based in SaarbrÃ¼cken, Germany.",SaarbrÃ¼cken,49 681 9924 0,1577750400,Germany,http://www.orbis.de,86400,Nell-Breuning-Allee 3-5,49 681 9924 111,Information Technology Services
