Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,longTermInvestments,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry
t0,ISAT,-432197,50994600,,,-100460,,-100460,27452,0,-27452,-27452,,-1521,,,,0,0,27452,0,-73008,,-100460,-100460,10265325,434522,-432197,211790,2325,5100,-10702622,325,434522,325,2000,163397,10700,8190,8190,-84,-8274,81486,-434197,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0179 - 0.0179,0.0179,0.0,0.0,0,0,finmb_4510265,Other OTC,"ISA Internationale, Inc.",USD,407,232,0.0177,88.5,2.0E-4 - 1.3,-1.2821,-0.9862308,0.0002,1.3,USD,False,False,us_market,0.0179,1630333002,0.0,0.0179,0.0179,0.0179,530,PRE,ISA INTERNATIONAL (US),PNK,-0.006,0,-0.008,0.040719446,-0.022819446,-0.5604066,0.13010105,-0.11220106,-0.86241466,912803,-2.2374997,15,America/New_York,EDT,-14400000,4,-5.43,,,1.3,0.0002,0.0407,0.1301,407,232,50.99M,,,,,,,,,,,,,,,0.00%,,,1:140,"Jan 26, 2004","Sep 29, 2014","Jun 29, 2015",0.00%,0.00%,"-1,435.08%",,,,,,,-290.2k,-0.0060,,325,0,59.34k,,0.00,-0.01,-62.78k,-84.29k,Value,55113,Industrials,"ISA Internationale, Inc., a business development company, provides management consulting services to assist American client companies in complying with the reporting requirements to the government and in communicating with shareholders, customers, and the public, as well as the accessing of needed growth capital. It assists client companies and investments to become public companies. The company was founded in 1997 and is based in St. Paul, Minnesota.",St. Paul,651-484-9850,MN,1419984000,United States,86400,2564 Rice Street,Consulting Services
t-1,ISAT,-331737,50994600,,,-93691,,-93691,21112,0,-21112,-21112,,-461,,,,0,0,21112,0,-72579,,-93691,-93691,10265325,334146,-331737,140304,2409,5100,-10602162,409,334146,409,2000,152697,-1894,13640,13640,172,-13467,82118,-333737,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0179 - 0.0179,0.0179,0.0,0.0,0,0,finmb_4510265,Other OTC,"ISA Internationale, Inc.",USD,407,232,0.0177,88.5,2.0E-4 - 1.3,-1.2821,-0.9862308,0.0002,1.3,USD,False,False,us_market,0.0179,1630333002,0.0,0.0179,0.0179,0.0179,530,PRE,ISA INTERNATIONAL (US),PNK,-0.006,0,-0.008,0.040719446,-0.022819446,-0.5604066,0.13010105,-0.11220106,-0.86241466,912803,-2.2374997,15,America/New_York,EDT,-14400000,4,-5.43,,,1.3,0.0002,0.0407,0.1301,407,232,50.99M,,,,,,,,,,,,,,,0.00%,,,1:140,"Jan 26, 2004","Sep 29, 2014","Jun 29, 2015",0.00%,0.00%,"-1,435.08%",,,,,,,-290.2k,-0.0060,,325,0,59.34k,,0.00,-0.01,-62.78k,-84.29k,Value,55113,Industrials,"ISA Internationale, Inc., a business development company, provides management consulting services to assist American client companies in complying with the reporting requirements to the government and in communicating with shareholders, customers, and the public, as well as the accessing of needed growth capital. It assists client companies and investments to become public companies. The company was founded in 1997 and is based in St. Paul, Minnesota.",St. Paul,651-484-9850,MN,1419984000,United States,86400,2564 Rice Street,Consulting Services
t-2,ISAT,-238046,50994600,,,-44488,,-44488,30438,0,-30438,-30438,,-283,,,,0,0,30438,0,-14050,,-44488,-44488,10265325,240283,-238046,68186,2237,5100,-10508471,237,240283,237,2000,154592,11999,7505,7505,-1216,-8722,23767,-240046,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0179 - 0.0179,0.0179,0.0,0.0,0,0,finmb_4510265,Other OTC,"ISA Internationale, Inc.",USD,407,232,0.0177,88.5,2.0E-4 - 1.3,-1.2821,-0.9862308,0.0002,1.3,USD,False,False,us_market,0.0179,1630333002,0.0,0.0179,0.0179,0.0179,530,PRE,ISA INTERNATIONAL (US),PNK,-0.006,0,-0.008,0.040719446,-0.022819446,-0.5604066,0.13010105,-0.11220106,-0.86241466,912803,-2.2374997,15,America/New_York,EDT,-14400000,4,-5.43,,,1.3,0.0002,0.0407,0.1301,407,232,50.99M,,,,,,,,,,,,,,,0.00%,,,1:140,"Jan 26, 2004","Sep 29, 2014","Jun 29, 2015",0.00%,0.00%,"-1,435.08%",,,,,,,-290.2k,-0.0060,,325,0,59.34k,,0.00,-0.01,-62.78k,-84.29k,Value,55113,Industrials,"ISA Internationale, Inc., a business development company, provides management consulting services to assist American client companies in complying with the reporting requirements to the government and in communicating with shareholders, customers, and the public, as well as the accessing of needed growth capital. It assists client companies and investments to become public companies. The company was founded in 1997 and is based in St. Paul, Minnesota.",St. Paul,651-484-9850,MN,1419984000,United States,86400,2564 Rice Street,Consulting Services
t-3,ISAT,-193558,50994600,,,-51565,,-51565,25587,0,-25587,-25587,,-5819,,,,0,0,25587,0,-25978,,-51565,-51565,10265325,197011,-193558,54419,3453,5100,-10463983,1453,197011,1453,2000,142592,-12289,28983,28983,-3332,-32315,31539,-195558,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0179 - 0.0179,0.0179,0.0,0.0,0,0,finmb_4510265,Other OTC,"ISA Internationale, Inc.",USD,407,232,0.0177,88.5,2.0E-4 - 1.3,-1.2821,-0.9862308,0.0002,1.3,USD,False,False,us_market,0.0179,1630333002,0.0,0.0179,0.0179,0.0179,530,PRE,ISA INTERNATIONAL (US),PNK,-0.006,0,-0.008,0.040719446,-0.022819446,-0.5604066,0.13010105,-0.11220106,-0.86241466,912803,-2.2374997,15,America/New_York,EDT,-14400000,4,-5.43,,,1.3,0.0002,0.0407,0.1301,407,232,50.99M,,,,,,,,,,,,,,,0.00%,,,1:140,"Jan 26, 2004","Sep 29, 2014","Jun 29, 2015",0.00%,0.00%,"-1,435.08%",,,,,,,-290.2k,-0.0060,,325,0,59.34k,,0.00,-0.01,-62.78k,-84.29k,Value,55113,Industrials,"ISA Internationale, Inc., a business development company, provides management consulting services to assist American client companies in complying with the reporting requirements to the government and in communicating with shareholders, customers, and the public, as well as the accessing of needed growth capital. It assists client companies and investments to become public companies. The company was founded in 1997 and is based in St. Paul, Minnesota.",St. Paul,651-484-9850,MN,1419984000,United States,86400,2564 Rice Street,Consulting Services
