Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,totalCurrentLiabilities,totalCurrentAssets,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,totalCashFromOperatingActivities,changeToNetincome,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceHint,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GRNF,-463253.0,249844000,,,-76742,,-76742,62917,0,-62917,-62917,,,,,,0,0,62917,0,-13825,,-76742,-76742,8446691.0,464253.0,-463253.0,1000.0,249844.0,-9159788.0,464253.0,1000.0,228048.0,30246.0,61321.0,61321.0,-1000.0,-61321.0,-13825.0,,-463253.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.0035,1630510274,-0.0002499998,0.0035,0.0035,0.0031,3250,GRN HOLDING CORPORATION,PNK,PREPRE,-0.8769427,0,False,False,-6.6666617,0.0031 - 0.0035,0.00375,finmb_106999493,Other OTC,GRN Holding Corporation,USD,201662,424642,0.0015,0.75,0.002 - 0.21,-0.2065,-0.98333335,0.002,0.21,4,0.0076857144,-0.0041857143,-0.54460967,0.028442029,-0.02494203,874454,15,America/New_York,EDT,-14400000,0.47,,,0.21,0.002,0.0077,0.0284,201.66k,424.64k,249.84M,,103.78M,0.00%,0.00%,,,,,,,,,,,0.00%,,,15:1,"Jan 18, 2011","Apr 29, 2020","Jul 30, 2020",0.00%,0.00%,,,,,,,,-518.29k,,,,,236.21k,,0.00,,-114.75k,,Value,98101,Financial Services,"GRN Holding Corporation does not have significant operations. The company intends to merge with another entity. Previously, it was involved in the gold exploration and development activities. The company was formerly known as Discovery Gold Corporation and changed its name to GRN Holding Corporation in September 2019. GRN Holding Corporation was founded in 2010 and is headquartered in Seattle, Washington.",Seattle,425 830 1192,WA,1609372800,United States,http://www.grnholding.com,86400,1700 Seventh Avenue,Shell Companies,Suite 2300
t-1,GRNF,-386511.0,249844000,,,-167853,,-167853,167384,0,-167384,-167384,,-469.0,,,,0,0,167384,0,-469,,-167853,-167853,8446691.0,444776.0,-386511.0,58265.0,249844.0,-9083046.0,444776.0,58265.0,197802.0,205081.0,54929.0,-56650.0,19422.0,56650.0,-13825.0,-111579.0,-386511.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.0035,1630510274,-0.0002499998,0.0035,0.0035,0.0031,3250,GRN HOLDING CORPORATION,PNK,PREPRE,-0.8769427,0,False,False,-6.6666617,0.0031 - 0.0035,0.00375,finmb_106999493,Other OTC,GRN Holding Corporation,USD,201662,424642,0.0015,0.75,0.002 - 0.21,-0.2065,-0.98333335,0.002,0.21,4,0.0076857144,-0.0041857143,-0.54460967,0.028442029,-0.02494203,874454,15,America/New_York,EDT,-14400000,0.47,,,0.21,0.002,0.0077,0.0284,201.66k,424.64k,249.84M,,103.78M,0.00%,0.00%,,,,,,,,,,,0.00%,,,15:1,"Jan 18, 2011","Apr 29, 2020","Jul 30, 2020",0.00%,0.00%,,,,,,,,-518.29k,,,,,236.21k,,0.00,,-114.75k,,Value,98101,Financial Services,"GRN Holding Corporation does not have significant operations. The company intends to merge with another entity. Previously, it was involved in the gold exploration and development activities. The company was formerly known as Discovery Gold Corporation and changed its name to GRN Holding Corporation in September 2019. GRN Holding Corporation was founded in 2010 and is headquartered in Seattle, Washington.",Seattle,425 830 1192,WA,1609372800,United States,http://www.grnholding.com,86400,1700 Seventh Avenue,Shell Companies,Suite 2300
t-2,GRNF,-218658.0,249844000,,,-242917,,-242917,242917,0,-242917,-242917,,-469.0,,,,0,0,242917,0,0,,-242917,-242917,8446691.0,218658.0,-218658.0,,249844.0,-8915193.0,218658.0,,105077.0,92459.0,84459.0,84459.0,19422.0,-84459.0,65999.0,-111579.0,,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.0035,1630510274,-0.0002499998,0.0035,0.0035,0.0031,3250,GRN HOLDING CORPORATION,PNK,PREPRE,-0.8769427,0,False,False,-6.6666617,0.0031 - 0.0035,0.00375,finmb_106999493,Other OTC,GRN Holding Corporation,USD,201662,424642,0.0015,0.75,0.002 - 0.21,-0.2065,-0.98333335,0.002,0.21,4,0.0076857144,-0.0041857143,-0.54460967,0.028442029,-0.02494203,874454,15,America/New_York,EDT,-14400000,0.47,,,0.21,0.002,0.0077,0.0284,201.66k,424.64k,249.84M,,103.78M,0.00%,0.00%,,,,,,,,,,,0.00%,,,15:1,"Jan 18, 2011","Apr 29, 2020","Jul 30, 2020",0.00%,0.00%,,,,,,,,-518.29k,,,,,236.21k,,0.00,,-114.75k,,Value,98101,Financial Services,"GRN Holding Corporation does not have significant operations. The company intends to merge with another entity. Previously, it was involved in the gold exploration and development activities. The company was formerly known as Discovery Gold Corporation and changed its name to GRN Holding Corporation in September 2019. GRN Holding Corporation was founded in 2010 and is headquartered in Seattle, Washington.",Seattle,425 830 1192,WA,1609372800,United States,http://www.grnholding.com,86400,1700 Seventh Avenue,Shell Companies,Suite 2300
t-3,GRNF,-41740.0,249844000,,,-30783,,-30783,30783,0,-30783,-30783,,-469.0,,,,0,0,30783,0,0,,-30783,-30783,8380759.0,41740.0,-41740.0,,249777.0,-8672276.0,41740.0,,12618.0,5161.0,25622.0,25622.0,19422.0,-25622.0,65999.0,-111579.0,,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.0035,1630510274,-0.0002499998,0.0035,0.0035,0.0031,3250,GRN HOLDING CORPORATION,PNK,PREPRE,-0.8769427,0,False,False,-6.6666617,0.0031 - 0.0035,0.00375,finmb_106999493,Other OTC,GRN Holding Corporation,USD,201662,424642,0.0015,0.75,0.002 - 0.21,-0.2065,-0.98333335,0.002,0.21,4,0.0076857144,-0.0041857143,-0.54460967,0.028442029,-0.02494203,874454,15,America/New_York,EDT,-14400000,0.47,,,0.21,0.002,0.0077,0.0284,201.66k,424.64k,249.84M,,103.78M,0.00%,0.00%,,,,,,,,,,,0.00%,,,15:1,"Jan 18, 2011","Apr 29, 2020","Jul 30, 2020",0.00%,0.00%,,,,,,,,-518.29k,,,,,236.21k,,0.00,,-114.75k,,Value,98101,Financial Services,"GRN Holding Corporation does not have significant operations. The company intends to merge with another entity. Previously, it was involved in the gold exploration and development activities. The company was formerly known as Discovery Gold Corporation and changed its name to GRN Holding Corporation in September 2019. GRN Holding Corporation was founded in 2010 and is headquartered in Seattle, Washington.",Seattle,425 830 1192,WA,1609372800,United States,http://www.grnholding.com,86400,1700 Seventh Avenue,Shell Companies,Suite 2300
