Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,FRHHF,37460000,26576900,,,-403000,-104000,-626000,4298000,5155000,-362000,-362000,,-2000,,,,223000,5636000,5998000,481000,-41000,,-626000,-626000,2070000,71570000,19143000,39530000,186000,1654000,58569000,2400000,475000,-34119000,4477000,-321000,6857000,38059000,8179000,6212000,-321000,7431000,42211000,3186000,71000,1228000,-1005472,-86416,-100163,-1296928,386976,-2040446,-1173764,-837376,180274,296513,-162284,-23000,1269490,229,34032000,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,FRESHII INC,us_market,4,Other OTC,Freshii Inc.,USD,1920,1566,0.89000005,1.0987655,0.81 - 1.8,-0.099999905,-0.055555504,0.81,1.8,1620849600,1620849600,1620849600,-0.075,0,1.01,1.6922222,0.00777781,0.004596211,1.6659492,0.034050822,0.020439291,54208752,1.6831684,15,America/New_York,EDT,-14400000,False,False,0.0,1.7 - 1.7,1.7,0.0,0.0,0,0,finmb_413896276,1.7,1630422632,0.0,1.69,1.7,1.7,1100,1.39,,,1.8,0.81,1.6922,1.6659,1.92k,1.57k,26.58M,,22.87M,1.85%,22.90%,,,,,,,,,,,0.00%,,,,,"Dec 26, 2020","Jun 26, 2021",-15.58%,-2.68%,-0.44%,-6.57%,16.45M,0.52,57.70%,12.73M,-2.38M,-2.56M,-0.0750,,38.06M,1.2,7.33M,18.58,5.16,1.01,-122.42k,1.33M,Value,M4W 2L2,Consumer Cyclical,"Freshii Inc., together with its subsidiaries, develops, franchises, and operates quick-serve restaurants in Canada, the United States, and internationally. Its restaurants offer salads, bowls, burritos, wraps, soups, juices, smoothies, frozen yogurt, drinks, snacks, breakfast, and products for kids. As of April 14, 2021, the company operated 411 restaurants in 15 countries worldwide. Freshii Inc. was founded in 2005 and is headquartered in Toronto, Canada.",Toronto,866 337 4265,ON,1609372800,Canada,http://www.freshii.com,86400,1027 Yonge Street,Restaurants,Unit 300
t-1,FRHHF,30529000,26576900,,,-1358000,-74000,-1046000,3348000,2682000,-1523000,-1523000,,-58000,,,,-311000,2894000,4417000,212000,165000,,-1047000,-1046000,1626000,55774000,15909000,32155000,195000,1278000,47990000,566000,607000,-25129000,4593000,944000,5714000,31225000,6029000,5117000,944000,6098000,34552000,2296000,60000,1292000,-1477000,-20000,-104000,-297000,83000,-382000,-193000,643000,-708000,229000,-230000,-23000,312000,-1000,28523000,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,FRESHII INC,us_market,4,Other OTC,Freshii Inc.,USD,1920,1566,0.89000005,1.0987655,0.81 - 1.8,-0.099999905,-0.055555504,0.81,1.8,1620849600,1620849600,1620849600,-0.075,0,1.01,1.6922222,0.00777781,0.004596211,1.6659492,0.034050822,0.020439291,54208752,1.6831684,15,America/New_York,EDT,-14400000,False,False,0.0,1.7 - 1.7,1.7,0.0,0.0,0,0,finmb_413896276,1.7,1630422632,0.0,1.69,1.7,1.7,1100,1.39,,,1.8,0.81,1.6922,1.6659,1.92k,1.57k,26.58M,,22.87M,1.85%,22.90%,,,,,,,,,,,0.00%,,,,,"Dec 26, 2020","Jun 26, 2021",-15.58%,-2.68%,-0.44%,-6.57%,16.45M,0.52,57.70%,12.73M,-2.38M,-2.56M,-0.0750,,38.06M,1.2,7.33M,18.58,5.16,1.01,-122.42k,1.33M,Value,M4W 2L2,Consumer Cyclical,"Freshii Inc., together with its subsidiaries, develops, franchises, and operates quick-serve restaurants in Canada, the United States, and internationally. Its restaurants offer salads, bowls, burritos, wraps, soups, juices, smoothies, frozen yogurt, drinks, snacks, breakfast, and products for kids. As of April 14, 2021, the company operated 411 restaurants in 15 countries worldwide. Freshii Inc. was founded in 2005 and is headquartered in Toronto, Canada.",Toronto,866 337 4265,ON,1609372800,Canada,http://www.freshii.com,86400,1027 Yonge Street,Restaurants,Unit 300
t-2,FRHHF,30645000,26576900,,,-1097000,-73000,-719000,3240000,2823000,-1314000,-1314000,,-69000,,,,-375000,2978000,4292000,155000,217000,,-722000,-719000,1662000,2854000,17035000,32307000,199000,1287000,49269000,53069000,903000,-23893000,4716000,277000,5407000,31607000,7019000,4712000,277000,6166000,36034000,3321000,39000,1387000,-647000,-102000,-81000,-81000,-491000,373000,-193000,995000,-439000,270000,521000,-23000,687000,-25000,29015000,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,FRESHII INC,us_market,4,Other OTC,Freshii Inc.,USD,1920,1566,0.89000005,1.0987655,0.81 - 1.8,-0.099999905,-0.055555504,0.81,1.8,1620849600,1620849600,1620849600,-0.075,0,1.01,1.6922222,0.00777781,0.004596211,1.6659492,0.034050822,0.020439291,54208752,1.6831684,15,America/New_York,EDT,-14400000,False,False,0.0,1.7 - 1.7,1.7,0.0,0.0,0,0,finmb_413896276,1.7,1630422632,0.0,1.69,1.7,1.7,1100,1.39,,,1.8,0.81,1.6922,1.6659,1.92k,1.57k,26.58M,,22.87M,1.85%,22.90%,,,,,,,,,,,0.00%,,,,,"Dec 26, 2020","Jun 26, 2021",-15.58%,-2.68%,-0.44%,-6.57%,16.45M,0.52,57.70%,12.73M,-2.38M,-2.56M,-0.0750,,38.06M,1.2,7.33M,18.58,5.16,1.01,-122.42k,1.33M,Value,M4W 2L2,Consumer Cyclical,"Freshii Inc., together with its subsidiaries, develops, franchises, and operates quick-serve restaurants in Canada, the United States, and internationally. Its restaurants offer salads, bowls, burritos, wraps, soups, juices, smoothies, frozen yogurt, drinks, snacks, breakfast, and products for kids. As of April 14, 2021, the company operated 411 restaurants in 15 countries worldwide. Freshii Inc. was founded in 2005 and is headquartered in Toronto, Canada.",Toronto,866 337 4265,ON,1609372800,Canada,http://www.freshii.com,86400,1027 Yonge Street,Restaurants,Unit 300
t-3,FRHHF,29444000,26576900,,,-1012000,-70000,-104000,2930000,3308000,-573000,-573000,,-78000,,,,-820000,3557000,4130000,249000,-439000,,-192000,-104000,1880000,2508000,18004000,31324000,198000,1219000,49258000,53041000,339000,-23174000,4821000,-1051000,4992000,31234000,7125000,4239000,-1051000,6919000,35467000,3654000,30000,968000,15000,-18000,-82000,-82000,188000,1248000,-193000,457000,891000,301000,176000,-23000,1181000,-2000,28342000,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,FRESHII INC,us_market,4,Other OTC,Freshii Inc.,USD,1920,1566,0.89000005,1.0987655,0.81 - 1.8,-0.099999905,-0.055555504,0.81,1.8,1620849600,1620849600,1620849600,-0.075,0,1.01,1.6922222,0.00777781,0.004596211,1.6659492,0.034050822,0.020439291,54208752,1.6831684,15,America/New_York,EDT,-14400000,False,False,0.0,1.7 - 1.7,1.7,0.0,0.0,0,0,finmb_413896276,1.7,1630422632,0.0,1.69,1.7,1.7,1100,1.39,,,1.8,0.81,1.6922,1.6659,1.92k,1.57k,26.58M,,22.87M,1.85%,22.90%,,,,,,,,,,,0.00%,,,,,"Dec 26, 2020","Jun 26, 2021",-15.58%,-2.68%,-0.44%,-6.57%,16.45M,0.52,57.70%,12.73M,-2.38M,-2.56M,-0.0750,,38.06M,1.2,7.33M,18.58,5.16,1.01,-122.42k,1.33M,Value,M4W 2L2,Consumer Cyclical,"Freshii Inc., together with its subsidiaries, develops, franchises, and operates quick-serve restaurants in Canada, the United States, and internationally. Its restaurants offer salads, bowls, burritos, wraps, soups, juices, smoothies, frozen yogurt, drinks, snacks, breakfast, and products for kids. As of April 14, 2021, the company operated 411 restaurants in 15 countries worldwide. Freshii Inc. was founded in 2005 and is headquartered in Toronto, Canada.",Toronto,866 337 4265,ON,1609372800,Canada,http://www.freshii.com,86400,1027 Yonge Street,Restaurants,Unit 300
