Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermDebt,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,gmtOffSetMilliseconds,esgPopulated,tradeable,market,exchange,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,priceHint,marketState,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,industry,address2
t0,FZRO,-3272860.0,0,,,-56146,,-56146,39860,0,-40682,-40682,,-15464,,,,0,0,40682,0,-15464,,-56146,-56146,2372410.0,3312977.0,-3272860.0,8674.0,40117.0,33374.0,37378.0,-5678644.0,2118.0,3.0,2280077.0,618.0,37381.0,1032900.0,762915.0,-208891,3094,3094,278229,22858,19764,822,5750,-2242696.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0069 - 0.0069,0.0069,0.0,0.0,0,0,finmb_4524712,Other OTC,FlashZero Corp.,USD,71669,117086,-14400000,False,False,us_market,PNK,0.009701111,-0.0028011114,-0.2887413,0.012256809,-0.0053568087,-0.4370476,4547569,15,America/New_York,EDT,0.0069,1630419225,0.0,0.0068,0.0069,0.0069,150020,FLASHZERO CORP,4,POST,0,0.0003999998,0.061538428,0.0065 - 0.039,-0.0321,-0.8230769,0.0065,0.039,1.67,,,0.039,0.0065,0.0097,0.0123,71.67k,117.09k,,,,,,,,,,,,3.62%,,,,,,,1:25,"Mar 10, 2015","Dec 30, 2007","Sep 29, 2008",0.00%,"-318,161.82%",-772.97%,,165,,,664,-520.93k,-586.56k,,,3,,1.75M,,0.02,,-17.84k,-230.44k,Value,77056,Financial Services,1,"FlashZero Corp., a development stage company, through a licensing agreement with Two Dog Net, Inc., engages in marketing, selling, and administering an Internet service and online community for children. It offers The Children's Internet service that provides access to pre-selected and pre-approved educational and entertaining age appropriate Web pages, as well as email, homework help, games, news, and super portals to learning activities and educational resources in an online environment. The company was incorporated in 1996 and is based in Houston, Texas.",Houston,323-325-8954,TX,United States,86400,5100 Westheimer Street,Shell Companies,Suite 115
t-1,FZRO,-3222464.0,0,,,-128899,,-129699,113741,0,-114828,-114828,,-14071,,,,800,0,114828,0,-14071,,-129699,-129699,2368660.0,3263400.0,-3222464.0,8440.0,40936.0,31374.0,37378.0,-5622498.0,2118.0,,2233594.0,1440.0,37378.0,1029806.0,972040.0,78934,975,975,23195,-23508,-24483,1087,2000,-2196216.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0069 - 0.0069,0.0069,0.0,0.0,0,0,finmb_4524712,Other OTC,FlashZero Corp.,USD,71669,117086,-14400000,False,False,us_market,PNK,0.009701111,-0.0028011114,-0.2887413,0.012256809,-0.0053568087,-0.4370476,4547569,15,America/New_York,EDT,0.0069,1630419225,0.0,0.0068,0.0069,0.0069,150020,FLASHZERO CORP,4,POST,0,0.0003999998,0.061538428,0.0065 - 0.039,-0.0321,-0.8230769,0.0065,0.039,1.67,,,0.039,0.0065,0.0097,0.0123,71.67k,117.09k,,,,,,,,,,,,3.62%,,,,,,,1:25,"Mar 10, 2015","Dec 30, 2007","Sep 29, 2008",0.00%,"-318,161.82%",-772.97%,,165,,,664,-520.93k,-586.56k,,,3,,1.75M,,0.02,,-17.84k,-230.44k,Value,77056,Financial Services,1,"FlashZero Corp., a development stage company, through a licensing agreement with Two Dog Net, Inc., engages in marketing, selling, and administering an Internet service and online community for children. It offers The Children's Internet service that provides access to pre-selected and pre-approved educational and entertaining age appropriate Web pages, as well as email, homework help, games, news, and super portals to learning activities and educational resources in an online environment. The company was incorporated in 1996 and is based in Houston, Texas.",Houston,323-325-8954,TX,United States,86400,5100 Westheimer Street,Shell Companies,Suite 115
t-2,FZRO,-3094765.0,0,,,-176425,,-176425,162730,27,-163789,-163789,,-12636,,,,0,30,163819,3,-12636,,-176425,-176425,2366660.0,3137441.0,-3094765.0,7405.0,42676.0,31374.0,37378.0,-5492799.0,2118.0,653.0,2108610.0,2527.0,38031.0,1028831.0,895289.0,106637,975,975,67251,549,549,1086,2000,-2070579.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0069 - 0.0069,0.0069,0.0,0.0,0,0,finmb_4524712,Other OTC,FlashZero Corp.,USD,71669,117086,-14400000,False,False,us_market,PNK,0.009701111,-0.0028011114,-0.2887413,0.012256809,-0.0053568087,-0.4370476,4547569,15,America/New_York,EDT,0.0069,1630419225,0.0,0.0068,0.0069,0.0069,150020,FLASHZERO CORP,4,POST,0,0.0003999998,0.061538428,0.0065 - 0.039,-0.0321,-0.8230769,0.0065,0.039,1.67,,,0.039,0.0065,0.0097,0.0123,71.67k,117.09k,,,,,,,,,,,,3.62%,,,,,,,1:25,"Mar 10, 2015","Dec 30, 2007","Sep 29, 2008",0.00%,"-318,161.82%",-772.97%,,165,,,664,-520.93k,-586.56k,,,3,,1.75M,,0.02,,-17.84k,-230.44k,Value,77056,Financial Services,1,"FlashZero Corp., a development stage company, through a licensing agreement with Two Dog Net, Inc., engages in marketing, selling, and administering an Internet service and online community for children. It offers The Children's Internet service that provides access to pre-selected and pre-approved educational and entertaining age appropriate Web pages, as well as email, homework help, games, news, and super portals to learning activities and educational resources in an online environment. The company was incorporated in 1996 and is based in Houston, Texas.",Houston,323-325-8954,TX,United States,86400,5100 Westheimer Street,Shell Companies,Suite 115
t-3,FZRO,-2920340.0,0,,,-224288,,-224288,204747,118,-205668,-205668,,-18620,,,,0,135,205803,17,-18620,,-224288,-224288,2364660.0,2963553.0,-2920340.0,4817.0,43213.0,31374.0,37378.0,-5316374.0,2118.0,104.0,1934722.0,3613.0,37482.0,1028831.0,791622.0,41458,14253,14253,152308,578,-13675,1039,15178,-1897240.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0069 - 0.0069,0.0069,0.0,0.0,0,0,finmb_4524712,Other OTC,FlashZero Corp.,USD,71669,117086,-14400000,False,False,us_market,PNK,0.009701111,-0.0028011114,-0.2887413,0.012256809,-0.0053568087,-0.4370476,4547569,15,America/New_York,EDT,0.0069,1630419225,0.0,0.0068,0.0069,0.0069,150020,FLASHZERO CORP,4,POST,0,0.0003999998,0.061538428,0.0065 - 0.039,-0.0321,-0.8230769,0.0065,0.039,1.67,,,0.039,0.0065,0.0097,0.0123,71.67k,117.09k,,,,,,,,,,,,3.62%,,,,,,,1:25,"Mar 10, 2015","Dec 30, 2007","Sep 29, 2008",0.00%,"-318,161.82%",-772.97%,,165,,,664,-520.93k,-586.56k,,,3,,1.75M,,0.02,,-17.84k,-230.44k,Value,77056,Financial Services,1,"FlashZero Corp., a development stage company, through a licensing agreement with Two Dog Net, Inc., engages in marketing, selling, and administering an Internet service and online community for children. It offers The Children's Internet service that provides access to pre-selected and pre-approved educational and entertaining age appropriate Web pages, as well as email, homework help, games, news, and super portals to learning activities and educational resources in an online environment. The company was incorporated in 1996 and is based in Houston, Texas.",Houston,323-325-8954,TX,United States,86400,5100 Westheimer Street,Shell Companies,Suite 115
