Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceHint,exchange,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchangeDataDelayedBy,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,industry
t0,HELFY,451600000.0,694230976,,,138700000,-400000,101600000,816900000,955600000,133900000,133900000,4800000,-4300000,,,,37100000,1442900000,1309000000,487300000,4800000,,101600000,101600000,62200000.0,1006700000.0,730200000.0,198300000.0,1736500000.0,173900000.0,51400000.0,44200000.0,204600000.0,216400000.0,512100000.0,47700000.0,876300000.0,649500000.0,47100000.0,514900000.0,290900000.0,1092800000.0,26500000.0,7500000.0,14700000.0,152600000.0,142900000.0,412300000.0,,102700000.0,-26800000.0,-7000000.0,-48100000.0,-800000.0,147300000.0,13500000.0,208700000.0,15700000.0,3100000.0,-23600000.0,14900000.0,-41100000.0,-1800000.0,-27200000.0,,443300000.0,en-US,US,EQUITY,False,Delayed Quote,USD,28.4,1630504332,1.2799988,28.4,28.4,28.4,110,4.7197595,28.4 - 28.4,27.12,finmb_315460452,Other OTC,HelloFresh SE,EUR,1023,82,9.308599,0.48758078,19.0914 - 28.95,-0.55000114,-0.018998312,19.0914,28.95,2,PNK,25.397083,3.0029163,0.11823863,23.88804,4.511959,0.18887942,19991412736,15,America/New_York,EDT,-14400000,False,False,0,HELLOFRESH SE UNSPON ADS EACH R,us_market,PRE,0.16,,,28.95,19.09,25.4,23.89,1.02k,82,694.23M,,643.26M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",9.59%,11.41%,26.41%,84.60%,4.49B,6.58,106.40%,2.47B,534.5M,430.9M,,155.90%,883.8M,1.27,191.5M,26.24,1.68,,677.7M,516.5M,Value,10405,Consumer Cyclical,6434,"HelloFresh SE delivers meal kit solutions to prepare home-cooked meals using its recipes. The company offers premium meals, double portions, and others, as well as add-ons, such as soups, snacks, fruit boxes, desserts, ready-made meals, and seasonal boxes. It also sells meal-kits through vending machines. The company has operations in the United States, Australia, Austria, Belgium, Canada, Germany, France, Luxembourg, the Netherlands, New Zealand, Switzerland, Sweden, Denmark, and the United Kingdom. It operates under the HelloFresh brand. The company was founded in 2011 and is headquartered in Berlin, Germany.",Berlin,49 30 2084831 60,Germany,http://www.hellofreshgroup.com,86400,SaarbrUecker Strasse 37a,Restaurants
t-1,HELFY,391500000.0,694230976,,,143000000,-400000,138800000,590400000,747100000,152500000,152500000,-7100000,-3400000,,,,4300000,1108500000,956000000,361400000,-9500000,,138700000,138800000,58300000.0,869600000.0,656400000.0,148000000.0,1525600000.0,173900000.0,1100000.0,-57000000.0,75000000.0,206600000.0,58000000.0,45800000.0,729000000.0,519800000.0,45200000.0,60800000.0,263100000.0,922000000.0,29800000.0,2400000.0,53000000.0,151400000.0,113700000.0,291700000.0,481500000.0,60200000.0,-166500000.0,-4000000.0,-7300000.0,4200000.0,6500000.0,-5100000.0,185400000.0,9400000.0,1300000.0,-37300000.0,-2300000.0,-4200000.0,8600000.0,-41200000.0,900000.0,402200000.0,en-US,US,EQUITY,False,Delayed Quote,USD,28.4,1630504332,1.2799988,28.4,28.4,28.4,110,4.7197595,28.4 - 28.4,27.12,finmb_315460452,Other OTC,HelloFresh SE,EUR,1023,82,9.308599,0.48758078,19.0914 - 28.95,-0.55000114,-0.018998312,19.0914,28.95,2,PNK,25.397083,3.0029163,0.11823863,23.88804,4.511959,0.18887942,19991412736,15,America/New_York,EDT,-14400000,False,False,0,HELLOFRESH SE UNSPON ADS EACH R,us_market,PRE,0.16,,,28.95,19.09,25.4,23.89,1.02k,82,694.23M,,643.26M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",9.59%,11.41%,26.41%,84.60%,4.49B,6.58,106.40%,2.47B,534.5M,430.9M,,155.90%,883.8M,1.27,191.5M,26.24,1.68,,677.7M,516.5M,Value,10405,Consumer Cyclical,6434,"HelloFresh SE delivers meal kit solutions to prepare home-cooked meals using its recipes. The company offers premium meals, double portions, and others, as well as add-ons, such as soups, snacks, fruit boxes, desserts, ready-made meals, and seasonal boxes. It also sells meal-kits through vending machines. The company has operations in the United States, Australia, Austria, Belgium, Canada, Germany, France, Luxembourg, the Netherlands, New Zealand, Switzerland, Sweden, Denmark, and the United Kingdom. It operates under the HelloFresh brand. The company was founded in 2011 and is headquartered in Berlin, Germany.",Berlin,49 30 2084831 60,Germany,http://www.hellofreshgroup.com,86400,SaarbrUecker Strasse 37a,Restaurants
t-2,HELFY,453300000.0,694230976,,,80600000,-800000,74400000,543200000,637800000,92100000,92100000,2500000,-3100000,,,,6000000,970200000,878100000,332400000,-11500000,,74600000,74400000,19400000.0,654000000.0,519300000.0,109800000.0,1172500000.0,173900000.0,31100000.0,-195700000.0,7900000.0,46600000.0,541100000.0,2700000.0,722500000.0,381900000.0,2000000.0,544900000.0,199100000.0,864900000.0,39800000.0,7300000.0,26400000.0,150400000.0,77600000.0,244700000.0,,30600000.0,-14200000.0,-5100000.0,900000.0,2500000.0,111000000.0,-10500000.0,134800000.0,11600000.0,100000.0,-9100000.0,300000.0,-4200000.0,24500000.0,-8200000.0,6000000.0,483000000.0,en-US,US,EQUITY,False,Delayed Quote,USD,28.4,1630504332,1.2799988,28.4,28.4,28.4,110,4.7197595,28.4 - 28.4,27.12,finmb_315460452,Other OTC,HelloFresh SE,EUR,1023,82,9.308599,0.48758078,19.0914 - 28.95,-0.55000114,-0.018998312,19.0914,28.95,2,PNK,25.397083,3.0029163,0.11823863,23.88804,4.511959,0.18887942,19991412736,15,America/New_York,EDT,-14400000,False,False,0,HELLOFRESH SE UNSPON ADS EACH R,us_market,PRE,0.16,,,28.95,19.09,25.4,23.89,1.02k,82,694.23M,,643.26M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",9.59%,11.41%,26.41%,84.60%,4.49B,6.58,106.40%,2.47B,534.5M,430.9M,,155.90%,883.8M,1.27,191.5M,26.24,1.68,,677.7M,516.5M,Value,10405,Consumer Cyclical,6434,"HelloFresh SE delivers meal kit solutions to prepare home-cooked meals using its recipes. The company offers premium meals, double portions, and others, as well as add-ons, such as soups, snacks, fruit boxes, desserts, ready-made meals, and seasonal boxes. It also sells meal-kits through vending machines. The company has operations in the United States, Australia, Austria, Belgium, Canada, Germany, France, Luxembourg, the Netherlands, New Zealand, Switzerland, Sweden, Denmark, and the United Kingdom. It operates under the HelloFresh brand. The company was founded in 2011 and is headquartered in Berlin, Germany.",Berlin,49 30 2084831 60,Germany,http://www.hellofreshgroup.com,86400,SaarbrUecker Strasse 37a,Restaurants
t-3,HELFY,368000000.0,694230976,,,130600000,-600000,115800000,495200000,629900000,134100000,134100000,600000,-1700000,,,,14600000,972100000,838000000,342200000,-3500000,,116000000,115800000,17300000.0,612100000.0,433000000.0,110400000.0,1044500000.0,166000000.0,30100000.0,-270500000.0,11600000.0,47700000.0,51600000.0,1100000.0,611500000.0,352400000.0,700000.0,54300000.0,188300000.0,748700000.0,41400000.0,9400000.0,26900000.0,149400000.0,70800000.0,219500000.0,485900000.0,39900000.0,-10600000.0,166300000.0,173500000.0,-16400000.0,311700000.0,-100000.0,148900000.0,11500000.0,200000.0,-20900000.0,-4700000.0,-4200000.0,23700000.0,-9200000.0,7200000.0,396300000.0,en-US,US,EQUITY,False,Delayed Quote,USD,28.4,1630504332,1.2799988,28.4,28.4,28.4,110,4.7197595,28.4 - 28.4,27.12,finmb_315460452,Other OTC,HelloFresh SE,EUR,1023,82,9.308599,0.48758078,19.0914 - 28.95,-0.55000114,-0.018998312,19.0914,28.95,2,PNK,25.397083,3.0029163,0.11823863,23.88804,4.511959,0.18887942,19991412736,15,America/New_York,EDT,-14400000,False,False,0,HELLOFRESH SE UNSPON ADS EACH R,us_market,PRE,0.16,,,28.95,19.09,25.4,23.89,1.02k,82,694.23M,,643.26M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",9.59%,11.41%,26.41%,84.60%,4.49B,6.58,106.40%,2.47B,534.5M,430.9M,,155.90%,883.8M,1.27,191.5M,26.24,1.68,,677.7M,516.5M,Value,10405,Consumer Cyclical,6434,"HelloFresh SE delivers meal kit solutions to prepare home-cooked meals using its recipes. The company offers premium meals, double portions, and others, as well as add-ons, such as soups, snacks, fruit boxes, desserts, ready-made meals, and seasonal boxes. It also sells meal-kits through vending machines. The company has operations in the United States, Australia, Austria, Belgium, Canada, Germany, France, Luxembourg, the Netherlands, New Zealand, Switzerland, Sweden, Denmark, and the United Kingdom. It operates under the HelloFresh brand. The company was founded in 2011 and is headquartered in Berlin, Germany.",Berlin,49 30 2084831 60,Germany,http://www.hellofreshgroup.com,86400,SaarbrUecker Strasse 37a,Restaurants
