Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,epsForward,epsCurrentYear,exchangeDataDelayedBy,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,DLTH,190040000.0,29548000,,,29226000,-2363000,21831000,103967000,135685000,30549000,30549000,,-1492000,,,,7464000,255960000,225411000,120275000,-1323000,,21762000,21831000,3019000.0,324479000.0,193461000.0,28293000.0,515577000.0,92875000.0,1149000.0,101166000.0,8200000.0,402000.0,-580000.0,540000.0,47221000.0,95714000.0,3123000.0,48000.0,295195000.0,210310000.0,6111000.0,5310000.0,72979000.0,149052000.0,33647000.0,35000,-22888000,-649000,-44413000,-44295000,2319000,34421000,-6000,79365000,6334000,64351000,-1286000,124000,-2424000,-684000,114596000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NMS,Duluth Holdings Inc.,us_market,2,NasdaqGS,Duluth Holdings Inc.,USD,252009,121650,6.0719995,0.644039,9.428 - 20.78,-5.2800007,-0.2540905,9.428,20.78,1616059800,1616059800,1616059800,37.081337,0.418,0.96,0.71,0,21.830986,5.891,16.254444,-0.7544441,-0.046414636,16.15558,-0.6555805,-0.0405792,510139104,16.145834,2.6311324,15,America/New_York,EDT,-14400000,False,False,-0.3856068,15.5 - 15.69,15.56,15.51,15.66,8,8,finmb_47242142,15.5,1630504937,-0.06000042,15.69,15.69,15.5,8325,0.83,,,20.78,9.43,16.25,16.16,252.01k,121.65k,29.55M,,12.02M,30.53%,27.76%,1.57M,5.37,7.59%,4.78%,1.86M,,,,,,0.00%,,,,,"Jan 30, 2021","Jan 30, 2021",2.13%,3.79%,3.06%,7.29%,638.78M,19.69,-1.40%,331.53M,48.5M,13.58M,0.42,-10.40%,47.22M,1.43,237.37M,124.21,2.20,5.89,50.75M,38.99M,Value,53572,Consumer Cyclical,1030,7,5,"Duluth Holdings Inc. sells casual wear, workwear, and accessories for men and women under the Duluth Trading brand in the United States. It provides shirts, pants, underwear, outerwear, footwear, accessories, and hard goods. The company offers its products under various trademarks, trade names, and service marks, including Alaskan Hardgear, Armachillo, Ballroom, Cab Commander, Crouch Gusset, Dry on the Fly, Duluth Trading Co, Duluthflex, Fire Hose, Longtail T, No Polo Shirt, No Yank, Wild Boar Mocs, and Buck Naked. The company markets its products through its Website, catalogs, and retail stores. As of January 31, 2021, it operated 62 retail stores and 3 outlet stores. The company was formerly known as GEMPLER'S, Inc. Duluth Holdings Inc. was founded in 1989 and is headquartered in Mount Horeb, Wisconsin.",Mount Horeb,608 424 1544,WI,10,1609372800,1619740800,9,United States,http://www.duluthtrading.com,86400,9,201 East Front Street,Apparel Retail
t-1,DLTH,170354000.0,29548000,,,1292000,-2294000,940000,67082000,71037000,2848000,2848000,,-1643000,,,,393000,135531000,132683000,64494000,-1556000,,899000,940000,300000.0,385987000.0,171054000.0,18034000.0,554747000.0,92385000.0,,79335000.0,11886000.0,400000.0,-666000.0,571000.0,12800000.0,106275000.0,3106000.0,-44000.0,304566000.0,242888000.0,6022000.0,6983000.0,116776000.0,213403000.0,57051000.0,32000,18064000,-2348000,11749000,11792000,1807000,-6368000,-41000,-15812000,8497000,-45819000,561000,84000,-93000,-2380000,136613000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NMS,Duluth Holdings Inc.,us_market,2,NasdaqGS,Duluth Holdings Inc.,USD,252009,121650,6.0719995,0.644039,9.428 - 20.78,-5.2800007,-0.2540905,9.428,20.78,1616059800,1616059800,1616059800,37.081337,0.418,0.96,0.71,0,21.830986,5.891,16.254444,-0.7544441,-0.046414636,16.15558,-0.6555805,-0.0405792,510139104,16.145834,2.6311324,15,America/New_York,EDT,-14400000,False,False,-0.3856068,15.5 - 15.69,15.56,15.51,15.66,8,8,finmb_47242142,15.5,1630504937,-0.06000042,15.69,15.69,15.5,8325,0.83,,,20.78,9.43,16.25,16.16,252.01k,121.65k,29.55M,,12.02M,30.53%,27.76%,1.57M,5.37,7.59%,4.78%,1.86M,,,,,,0.00%,,,,,"Jan 30, 2021","Jan 30, 2021",2.13%,3.79%,3.06%,7.29%,638.78M,19.69,-1.40%,331.53M,48.5M,13.58M,0.42,-10.40%,47.22M,1.43,237.37M,124.21,2.20,5.89,50.75M,38.99M,Value,53572,Consumer Cyclical,1030,7,5,"Duluth Holdings Inc. sells casual wear, workwear, and accessories for men and women under the Duluth Trading brand in the United States. It provides shirts, pants, underwear, outerwear, footwear, accessories, and hard goods. The company offers its products under various trademarks, trade names, and service marks, including Alaskan Hardgear, Armachillo, Ballroom, Cab Commander, Crouch Gusset, Dry on the Fly, Duluth Trading Co, Duluthflex, Fire Hose, Longtail T, No Polo Shirt, No Yank, Wild Boar Mocs, and Buck Naked. The company markets its products through its Website, catalogs, and retail stores. As of January 31, 2021, it operated 62 retail stores and 3 outlet stores. The company was formerly known as GEMPLER'S, Inc. Duluth Holdings Inc. was founded in 1989 and is headquartered in Mount Horeb, Wisconsin.",Mount Horeb,608 424 1544,WI,10,1609372800,1619740800,9,United States,http://www.duluthtrading.com,86400,9,201 East Front Street,Apparel Retail
t-2,DLTH,168953000.0,29548000,,,7764000,-2253000,5941000,62680000,72472000,9792000,9792000,,-1778000,,,,1866000,137375000,127583000,64903000,-2028000,,5898000,5941000,300000.0,338783000.0,169653000.0,18910000.0,506183000.0,91921000.0,,78395000.0,11710000.0,400000.0,-663000.0,1107000.0,19005000.0,84121000.0,3089000.0,-82000.0,296579000.0,201793000.0,6004000.0,7643000.0,104512000.0,167584000.0,40141000.0,33000,5202000,-5033000,-5769000,-5788000,-6111000,9868000,-67000,20689000,6801000,7453000,1364000,48000,3819000,-5066000,117672000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NMS,Duluth Holdings Inc.,us_market,2,NasdaqGS,Duluth Holdings Inc.,USD,252009,121650,6.0719995,0.644039,9.428 - 20.78,-5.2800007,-0.2540905,9.428,20.78,1616059800,1616059800,1616059800,37.081337,0.418,0.96,0.71,0,21.830986,5.891,16.254444,-0.7544441,-0.046414636,16.15558,-0.6555805,-0.0405792,510139104,16.145834,2.6311324,15,America/New_York,EDT,-14400000,False,False,-0.3856068,15.5 - 15.69,15.56,15.51,15.66,8,8,finmb_47242142,15.5,1630504937,-0.06000042,15.69,15.69,15.5,8325,0.83,,,20.78,9.43,16.25,16.16,252.01k,121.65k,29.55M,,12.02M,30.53%,27.76%,1.57M,5.37,7.59%,4.78%,1.86M,,,,,,0.00%,,,,,"Jan 30, 2021","Jan 30, 2021",2.13%,3.79%,3.06%,7.29%,638.78M,19.69,-1.40%,331.53M,48.5M,13.58M,0.42,-10.40%,47.22M,1.43,237.37M,124.21,2.20,5.89,50.75M,38.99M,Value,53572,Consumer Cyclical,1030,7,5,"Duluth Holdings Inc. sells casual wear, workwear, and accessories for men and women under the Duluth Trading brand in the United States. It provides shirts, pants, underwear, outerwear, footwear, accessories, and hard goods. The company offers its products under various trademarks, trade names, and service marks, including Alaskan Hardgear, Armachillo, Ballroom, Cab Commander, Crouch Gusset, Dry on the Fly, Duluth Trading Co, Duluthflex, Fire Hose, Longtail T, No Polo Shirt, No Yank, Wild Boar Mocs, and Buck Naked. The company markets its products through its Website, catalogs, and retail stores. As of January 31, 2021, it operated 62 retail stores and 3 outlet stores. The company was formerly known as GEMPLER'S, Inc. Duluth Holdings Inc. was founded in 1989 and is headquartered in Mount Horeb, Wisconsin.",Mount Horeb,608 424 1544,WI,10,1609372800,1619740800,9,United States,http://www.duluthtrading.com,86400,9,201 East Front Street,Apparel Retail
t-3,DLTH,162361000.0,29548000,,,-20265000,-2210000,-15135000,69706000,52332000,-17374000,-17374000,,-1350000,,,,-5086000,109917000,127291000,57585000,-2891000,,-15179000,-15135000,300000.0,344761000.0,163061000.0,18180000.0,505612000.0,91451000.0,,72454000.0,8302000.0,400000.0,-844000.0,1169000.0,8854000.0,82590000.0,573000.0,-330000.0,301052000.0,196990000.0,5701000.0,5381000.0,112396000.0,175037000.0,34421000.0,31000,-1842000,-4102000,44910000,44653000,9003000,7060000,-107000,-33491000,6888000,-27188000,-1989000,-150000,199000,-4133000,114400000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NMS,Duluth Holdings Inc.,us_market,2,NasdaqGS,Duluth Holdings Inc.,USD,252009,121650,6.0719995,0.644039,9.428 - 20.78,-5.2800007,-0.2540905,9.428,20.78,1616059800,1616059800,1616059800,37.081337,0.418,0.96,0.71,0,21.830986,5.891,16.254444,-0.7544441,-0.046414636,16.15558,-0.6555805,-0.0405792,510139104,16.145834,2.6311324,15,America/New_York,EDT,-14400000,False,False,-0.3856068,15.5 - 15.69,15.56,15.51,15.66,8,8,finmb_47242142,15.5,1630504937,-0.06000042,15.69,15.69,15.5,8325,0.83,,,20.78,9.43,16.25,16.16,252.01k,121.65k,29.55M,,12.02M,30.53%,27.76%,1.57M,5.37,7.59%,4.78%,1.86M,,,,,,0.00%,,,,,"Jan 30, 2021","Jan 30, 2021",2.13%,3.79%,3.06%,7.29%,638.78M,19.69,-1.40%,331.53M,48.5M,13.58M,0.42,-10.40%,47.22M,1.43,237.37M,124.21,2.20,5.89,50.75M,38.99M,Value,53572,Consumer Cyclical,1030,7,5,"Duluth Holdings Inc. sells casual wear, workwear, and accessories for men and women under the Duluth Trading brand in the United States. It provides shirts, pants, underwear, outerwear, footwear, accessories, and hard goods. The company offers its products under various trademarks, trade names, and service marks, including Alaskan Hardgear, Armachillo, Ballroom, Cab Commander, Crouch Gusset, Dry on the Fly, Duluth Trading Co, Duluthflex, Fire Hose, Longtail T, No Polo Shirt, No Yank, Wild Boar Mocs, and Buck Naked. The company markets its products through its Website, catalogs, and retail stores. As of January 31, 2021, it operated 62 retail stores and 3 outlet stores. The company was formerly known as GEMPLER'S, Inc. Duluth Holdings Inc. was founded in 1989 and is headquartered in Mount Horeb, Wisconsin.",Mount Horeb,608 424 1544,WI,10,1609372800,1619740800,9,United States,http://www.duluthtrading.com,86400,9,201 East Front Street,Apparel Retail
