Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,netReceivables,accountsPayable,shortLongTermDebt,otherCurrentAssets,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,currency,market,shortName,exchange,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,exchangeDataDelayedBy,trailingPE,epsTrailingTwelveMonths,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GOOLF,-3534928.0,49962300,,,-628655,,-628655,533111,0,-1578802,-1578802,,-19,,,,0,0,1578802,0,950147,,-628655,-628655,3592759.0,-3534928.0,730821.0,57831.0,21896849.0,-26915807.0,353976.0,1484030.0,554.0,3238783.0,1484030.0,57831.0,54360.0,2412472.0,,,363939,6760,174260,24900,239245,-225,1602,-176087,6871,-71745,56858,-3180952.0,en-US,US,EQUITY,False,Delayed Quote,0.089,1630513541,-0.008209996,0.089,0.089,0.089,3830,-0.094,0.080235,0.008765005,0.109241664,0.108080424,-0.019080423,-0.17653912,4544171,-0.9468086,15,America/New_York,EDT,False,False,USD,us_market,AQUARIUS AI INC,PNK,PREPRE,4,-8.445629,0.089 - 0.089,0.09721,0.0,0.0,0,0,finmb_301650120,Other OTC,Aquarius AI Inc.,CAD,3712,1560,0.0754,5.544118,0.0136 - 0.5058,-0.41680002,-0.8240411,0.0136,0.5058,1594166400,0,0.20227273,0.44,-14400000,,,,0.5058,0.0136,0.0802,0.1081,3.71k,1.56k,49.96M,,36.88M,1.93%,0.00%,,,,,,,,,,,0.00%,"Jul 07, 2020",,1:10,"Jul 07, 2020","Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-282.11%,,,,,,-1.36M,9.94M,0.4400,,554,0,95.49k,,0.02,-0.09,-520.17k,-1.54M,Value,V6C 2T5,Communication Services,"Aquarius AI Inc., a programmatic advertising technology company, provides digital branding and advertising services in the United States. It builds a technology platform for video that allows advertisers to carefully select where their ads are placed safeguarding a brand's reputation by ensuring their advertising is only associated with brand safe inventory. The company is based in Vancouver, Canada.",Vancouver,BC,1546214400,Canada,http://www.aquariusai.ca,86400,595 Howe Street,Advertising Agencies,Suite 150
t-1,GOOLF,-2500014.0,49962300,,,10620660,,10620660,566859,0,379447,379447,,-19,,,,0,0,-379447,0,10241213,,10620660,10620660,2535769.0,-2500014.0,856368.0,35755.0,22083210.0,-26310790.0,203979.0,1727566.0,779.0,2331790.0,1727566.0,35755.0,32109.0,727028.0,,,89650,-867832,278168,201094,1146000,-33941,1602,-312109,4218,-71745,-11227732,-2296035.0,en-US,US,EQUITY,False,Delayed Quote,0.089,1630513541,-0.008209996,0.089,0.089,0.089,3830,-0.094,0.080235,0.008765005,0.109241664,0.108080424,-0.019080423,-0.17653912,4544171,-0.9468086,15,America/New_York,EDT,False,False,USD,us_market,AQUARIUS AI INC,PNK,PREPRE,4,-8.445629,0.089 - 0.089,0.09721,0.0,0.0,0,0,finmb_301650120,Other OTC,Aquarius AI Inc.,CAD,3712,1560,0.0754,5.544118,0.0136 - 0.5058,-0.41680002,-0.8240411,0.0136,0.5058,1594166400,0,0.20227273,0.44,-14400000,,,,0.5058,0.0136,0.0802,0.1081,3.71k,1.56k,49.96M,,36.88M,1.93%,0.00%,,,,,,,,,,,0.00%,"Jul 07, 2020",,1:10,"Jul 07, 2020","Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-282.11%,,,,,,-1.36M,9.94M,0.4400,,554,0,95.49k,,0.02,-0.09,-520.17k,-1.54M,Value,V6C 2T5,Communication Services,"Aquarius AI Inc., a programmatic advertising technology company, provides digital branding and advertising services in the United States. It builds a technology platform for video that allows advertisers to carefully select where their ads are placed safeguarding a brand's reputation by ensuring their advertising is only associated with brand safe inventory. The company is based in Vancouver, Canada.",Vancouver,BC,1546214400,Canada,http://www.aquariusai.ca,86400,595 Howe Street,Advertising Agencies,Suite 150
t-2,GOOLF,-14373940.0,49962300,,,818177,,818177,292907,0,-292683,-292683,,-200622,,,,0,0,292683,0,1110860,,818177,818177,14578688.0,-14373940.0,831576.0,204748.0,20995087.0,-36931451.0,61369.0,1562424.0,34720.0,14517319.0,1562424.0,204748.0,145719.0,1821017.0,11293515.0,,91320,-34070,-34070,-3036,1146000,-7777,1602,26293,121395,-71745,-1001563,-14312571.0,en-US,US,EQUITY,False,Delayed Quote,0.089,1630513541,-0.008209996,0.089,0.089,0.089,3830,-0.094,0.080235,0.008765005,0.109241664,0.108080424,-0.019080423,-0.17653912,4544171,-0.9468086,15,America/New_York,EDT,False,False,USD,us_market,AQUARIUS AI INC,PNK,PREPRE,4,-8.445629,0.089 - 0.089,0.09721,0.0,0.0,0,0,finmb_301650120,Other OTC,Aquarius AI Inc.,CAD,3712,1560,0.0754,5.544118,0.0136 - 0.5058,-0.41680002,-0.8240411,0.0136,0.5058,1594166400,0,0.20227273,0.44,-14400000,,,,0.5058,0.0136,0.0802,0.1081,3.71k,1.56k,49.96M,,36.88M,1.93%,0.00%,,,,,,,,,,,0.00%,"Jul 07, 2020",,1:10,"Jul 07, 2020","Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-282.11%,,,,,,-1.36M,9.94M,0.4400,,554,0,95.49k,,0.02,-0.09,-520.17k,-1.54M,Value,V6C 2T5,Communication Services,"Aquarius AI Inc., a programmatic advertising technology company, provides digital branding and advertising services in the United States. It builds a technology platform for video that allows advertisers to carefully select where their ads are placed safeguarding a brand's reputation by ensuring their advertising is only associated with brand safe inventory. The company is based in Vancouver, Canada.",Vancouver,BC,1546214400,Canada,http://www.aquariusai.ca,86400,595 Howe Street,Advertising Agencies,Suite 150
t-3,GOOLF,-15893062.0,49962300,,,-868093,19521.0,-868093,530280,0,-527916,-527916,,-231733,,,,0,0,527916,0,-340177,,-868093,-868093,16204425.0,-15893062.0,164200.0,330884.0,20296209.0,-37749628.0,28528.0,1560357.0,42497.0,16175897.0,1560357.0,330884.0,254525.0,3375558.0,11092893.0,11789.0,147097,-34070,-34070,-11268,1146000,-58270,1602,-58270,446799,-71745,227195,-15845013.0,en-US,US,EQUITY,False,Delayed Quote,0.089,1630513541,-0.008209996,0.089,0.089,0.089,3830,-0.094,0.080235,0.008765005,0.109241664,0.108080424,-0.019080423,-0.17653912,4544171,-0.9468086,15,America/New_York,EDT,False,False,USD,us_market,AQUARIUS AI INC,PNK,PREPRE,4,-8.445629,0.089 - 0.089,0.09721,0.0,0.0,0,0,finmb_301650120,Other OTC,Aquarius AI Inc.,CAD,3712,1560,0.0754,5.544118,0.0136 - 0.5058,-0.41680002,-0.8240411,0.0136,0.5058,1594166400,0,0.20227273,0.44,-14400000,,,,0.5058,0.0136,0.0802,0.1081,3.71k,1.56k,49.96M,,36.88M,1.93%,0.00%,,,,,,,,,,,0.00%,"Jul 07, 2020",,1:10,"Jul 07, 2020","Dec 30, 2020","Dec 30, 2020",0.00%,0.00%,-282.11%,,,,,,-1.36M,9.94M,0.4400,,554,0,95.49k,,0.02,-0.09,-520.17k,-1.54M,Value,V6C 2T5,Communication Services,"Aquarius AI Inc., a programmatic advertising technology company, provides digital branding and advertising services in the United States. It builds a technology platform for video that allows advertisers to carefully select where their ads are placed safeguarding a brand's reputation by ensuring their advertising is only associated with brand safe inventory. The company is based in Vancouver, Canada.",Vancouver,BC,1546214400,Canada,http://www.aquariusai.ca,86400,595 Howe Street,Advertising Agencies,Suite 150
