Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,accountsPayable,netReceivables,inventory,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,capitalExpenditures,changeToInventory,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,fax,industry,address2
t0,HLXW,-7582390.0,1922000000,11040,,-1942685,,-1942685,344638,0,-355678,-355678,,-897924,,,,0,0,355678,0,-1587007,,-1942685,-1942685,97872.0,38930911.0,7829917.0,-7484518.0,5341223.0,345499.0,175000.0,-46590429.0,11704.0,7829917.0,229582.0,18045.0,954179.0,,,-17412.0,-6539.0,250000.0,250000.0,-23281.0,-56060.0,-299521.0,24702.0,1422755.0,,,,-7811872.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,1e-06,1629826893,0.0,0.0001,1e-06,1e-06,3040000,0,HELIX WIND CORP,PRE,us_market,0.0,1.0E-6 - 1.0E-6,1e-06,0.0007,0.0009,999,999,finmb_47524877,Other OTC,"Helix Wind, Corp.",USD,41676565,23736373,0.0,0.0,1.0E-6 - 0.0032,-0.003199,-0.9996875,1e-06,0.0032,-0.99913585,0.0004972535,-0.0004962535,-0.99798894,-0.006,-0.004,0.0011572222,-0.0011562222,480,-0.00024999998,15,America/New_York,EDT,-14400000,False,False,-58.98,,,0.0032,0.0,0.0012,0.0005,41.68M,23.74M,1.92B,,,0.00%,0.00%,,,,,,,,,,,,,,1:1000,"Nov 13, 2008","Dec 30, 2010","Jun 29, 2011",0.00%,"-2,208.15%",-247.88%,,99.32k,0.00,,31.16k,-2.08M,-6.45M,-0.0060,,11.7k,0,666.89k,,0.00,-0.00,-1.09M,-181.03k,Value,92064,Utilities,3,"Helix Wind, Corp., a renewable energy company, designs, manufactures, and sells small wind energy systems for small businesses and homeowners. The company's wind energy systems consist of a single turbine with a capacity of 400 watts to 500 kilowatts. Its products include savonius VAWT turbines and WTMS monitoring systems. The company is based in Poway, California.",Poway,619-501-3932,CA,United States,http://www.helixwind.com,86400,13125 Danielson Street,619-330-2628,Electric Utilities,Suite 104
t-1,HLXW,-6143768.0,1922000000,15286,,-656252,,-657052,306367,0,-321653,-321653,,-1613600,,,,800,0,321653,0,-334599,,-657052,-657052,91750.0,38420726.0,6494118.0,-6052018.0,3931904.0,442100.0,175000.0,-44647744.0,67764.0,6494118.0,267285.0,83065.0,971592.0,,,240.0,-13474.0,150000.0,150000.0,100358.0,-19631.0,-156157.0,24793.0,136524.0,-1640.0,,,-6411053.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,1e-06,1629826893,0.0,0.0001,1e-06,1e-06,3040000,0,HELIX WIND CORP,PRE,us_market,0.0,1.0E-6 - 1.0E-6,1e-06,0.0007,0.0009,999,999,finmb_47524877,Other OTC,"Helix Wind, Corp.",USD,41676565,23736373,0.0,0.0,1.0E-6 - 0.0032,-0.003199,-0.9996875,1e-06,0.0032,-0.99913585,0.0004972535,-0.0004962535,-0.99798894,-0.006,-0.004,0.0011572222,-0.0011562222,480,-0.00024999998,15,America/New_York,EDT,-14400000,False,False,-58.98,,,0.0032,0.0,0.0012,0.0005,41.68M,23.74M,1.92B,,,0.00%,0.00%,,,,,,,,,,,,,,1:1000,"Nov 13, 2008","Dec 30, 2010","Jun 29, 2011",0.00%,"-2,208.15%",-247.88%,,99.32k,0.00,,31.16k,-2.08M,-6.45M,-0.0060,,11.7k,0,666.89k,,0.00,-0.00,-1.09M,-181.03k,Value,92064,Utilities,3,"Helix Wind, Corp., a renewable energy company, designs, manufactures, and sells small wind energy systems for small businesses and homeowners. The company's wind energy systems consist of a single turbine with a capacity of 400 watts to 500 kilowatts. Its products include savonius VAWT turbines and WTMS monitoring systems. The company is based in Poway, California.",Poway,619-501-3932,CA,United States,http://www.helixwind.com,86400,13125 Danielson Street,619-330-2628,Electric Utilities,Suite 104
t-2,HLXW,-6233425.0,1922000000,34185,,-2297331,,-2297331,730616,3400,-761401,-761401,,-731881,,,,0,13500,774901,10100,-1535930,,-2297331,-2297331,79916.0,37735035.0,6615276.0,-6153509.0,4170654.0,461767.0,102148.0,-43990692.0,87395.0,6615276.0,291981.0,89870.0,936858.0,,,-185331.0,-13378.0,892000.0,892000.0,182341.0,86014.0,-792608.0,29852.0,957549.0,-1640.0,6563.0,-22014.0,-6525406.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,1e-06,1629826893,0.0,0.0001,1e-06,1e-06,3040000,0,HELIX WIND CORP,PRE,us_market,0.0,1.0E-6 - 1.0E-6,1e-06,0.0007,0.0009,999,999,finmb_47524877,Other OTC,"Helix Wind, Corp.",USD,41676565,23736373,0.0,0.0,1.0E-6 - 0.0032,-0.003199,-0.9996875,1e-06,0.0032,-0.99913585,0.0004972535,-0.0004962535,-0.99798894,-0.006,-0.004,0.0011572222,-0.0011562222,480,-0.00024999998,15,America/New_York,EDT,-14400000,False,False,-58.98,,,0.0032,0.0,0.0012,0.0005,41.68M,23.74M,1.92B,,,0.00%,0.00%,,,,,,,,,,,,,,1:1000,"Nov 13, 2008","Dec 30, 2010","Jun 29, 2011",0.00%,"-2,208.15%",-247.88%,,99.32k,0.00,,31.16k,-2.08M,-6.45M,-0.0060,,11.7k,0,666.89k,,0.00,-0.00,-1.09M,-181.03k,Value,92064,Utilities,3,"Helix Wind, Corp., a renewable energy company, designs, manufactures, and sells small wind energy systems for small businesses and homeowners. The company's wind energy systems consist of a single turbine with a capacity of 400 watts to 500 kilowatts. Its products include savonius VAWT turbines and WTMS monitoring systems. The company is based in Poway, California.",Poway,619-501-3932,CA,United States,http://www.helixwind.com,86400,13125 Danielson Street,619-330-2628,Electric Utilities,Suite 104
t-3,HLXW,-5359717.0,1922000000,60522,,-1556962,,-1556962,720462,26576,-754408,-754408,,-1655832,,,,0,85820,840228,59244,-802554,,-1556962,-1556962,72305.0,36372273.0,5858788.0,-5287412.0,3282182.0,571376.0,33676.0,-41693361.0,1381.0,5858788.0,321833.0,177238.0,1128441.0,67022.0,95127.0,-137986.0,-13378.0,-282000.0,-282000.0,94781.0,-123081.0,158919.0,32767.0,94899.0,-1640.0,64387.0,26964.0,-5681550.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,1e-06,1629826893,0.0,0.0001,1e-06,1e-06,3040000,0,HELIX WIND CORP,PRE,us_market,0.0,1.0E-6 - 1.0E-6,1e-06,0.0007,0.0009,999,999,finmb_47524877,Other OTC,"Helix Wind, Corp.",USD,41676565,23736373,0.0,0.0,1.0E-6 - 0.0032,-0.003199,-0.9996875,1e-06,0.0032,-0.99913585,0.0004972535,-0.0004962535,-0.99798894,-0.006,-0.004,0.0011572222,-0.0011562222,480,-0.00024999998,15,America/New_York,EDT,-14400000,False,False,-58.98,,,0.0032,0.0,0.0012,0.0005,41.68M,23.74M,1.92B,,,0.00%,0.00%,,,,,,,,,,,,,,1:1000,"Nov 13, 2008","Dec 30, 2010","Jun 29, 2011",0.00%,"-2,208.15%",-247.88%,,99.32k,0.00,,31.16k,-2.08M,-6.45M,-0.0060,,11.7k,0,666.89k,,0.00,-0.00,-1.09M,-181.03k,Value,92064,Utilities,3,"Helix Wind, Corp., a renewable energy company, designs, manufactures, and sells small wind energy systems for small businesses and homeowners. The company's wind energy systems consist of a single turbine with a capacity of 400 watts to 500 kilowatts. Its products include savonius VAWT turbines and WTMS monitoring systems. The company is based in Poway, California.",Poway,619-501-3932,CA,United States,http://www.helixwind.com,86400,13125 Danielson Street,619-330-2628,Electric Utilities,Suite 104
