Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,totalCurrentAssets,accountsPayable,netReceivables,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,changeToAccountReceivables,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,DSCR,6508792.0,4986910208,,,-637082,,-637082,634847,0,-643745,-643745,,,,,,0,0,643745,0,6663,,-637082,-637082,7568688.0,1867.0,6508792.0,6510659.0,38309.0,-1098205.0,6181285.0,140948.0,1867.0,329374.0,1867.0,,-17155,-3381285,2550000,-28692,2550000,-519219,312066,-2081285,219955,-1300000,327507.0,en-US,US,EQUITY,False,Delayed Quote,USD,-2.678567,0.0053 - 0.0056,0.0056,0.0,0.0,0,0,finmb_24862350,Other OTC,USD,44466786,28095901,0.00535,53.500004,1.0E-4 - 0.036,-0.03055,-0.8486111,0.0001,0.036,-0.024,-14400000,0.17,0.007875,-0.002425,-0.30793652,0.008119578,-0.0026695775,4,DISCOVERY MINERALS LTD,Discovery Minerals Ltd.,0.00545,1630504975,-0.00014999975,0.0055,0.0056,0.0053,2250263,REGULAR,PNK,us_market,-0.3287828,27178660,0.032058824,15,America/New_York,EDT,False,False,0,1.46,,,0.036,0.0001,0.0079,0.0081,44.47M,28.1M,4.99B,,,,,,,,,,,,,,,,,,,,"Sep 29, 2006","Jun 29, 2007",0.00%,0.00%,,,,,,,,-1.06M,-0.0240,,140.95k,0,,,176.42,0.17,-1.24M,,Value,90292,Basic Materials,"Discovery Minerals Ltd. operates as an acquisition and development company that targets natural resource properties. It focuses on gold mining projects. Discovery Minerals Ltd. was formerly known as Dhanoa Minerals Ltd. and changed its name to Discovery Minerals Ltd. in August 2012. The company was incorporated in 2005 and is based in Los Angeles, California.",Los Angeles,310-855-2642,CA,United States,http://discoveryminerals.com,86400,13428 Maxella Avenue,Other Precious Metals & Mining,Suite 884
t-1,DSCR,3820834.0,4986910208,,,-880814,,-880814,102546,0,-125774,-125774,,,,,,0,0,125774,0,-755040,,-880814,-880814,5022868.0,19021.0,3820834.0,3839855.0,34129.0,-1236163.0,2800000.0,660167.0,19021.0,1039855.0,19021.0,219955.0,-28192,-1300000,1300000,-76394,1300000,-1236605,-1236605,-200000,-219955,-1100000,1020834.0,en-US,US,EQUITY,False,Delayed Quote,USD,-2.678567,0.0053 - 0.0056,0.0056,0.0,0.0,0,0,finmb_24862350,Other OTC,USD,44466786,28095901,0.00535,53.500004,1.0E-4 - 0.036,-0.03055,-0.8486111,0.0001,0.036,-0.024,-14400000,0.17,0.007875,-0.002425,-0.30793652,0.008119578,-0.0026695775,4,DISCOVERY MINERALS LTD,Discovery Minerals Ltd.,0.00545,1630504975,-0.00014999975,0.0055,0.0056,0.0053,2250263,REGULAR,PNK,us_market,-0.3287828,27178660,0.032058824,15,America/New_York,EDT,False,False,0,1.46,,,0.036,0.0001,0.0079,0.0081,44.47M,28.1M,4.99B,,,,,,,,,,,,,,,,,,,,"Sep 29, 2006","Jun 29, 2007",0.00%,0.00%,,,,,,,,-1.06M,-0.0240,,140.95k,0,,,176.42,0.17,-1.24M,,Value,90292,Basic Materials,"Discovery Minerals Ltd. operates as an acquisition and development company that targets natural resource properties. It focuses on gold mining projects. Discovery Minerals Ltd. was formerly known as Dhanoa Minerals Ltd. and changed its name to Discovery Minerals Ltd. in August 2012. The company was incorporated in 2005 and is based in Los Angeles, California.",Los Angeles,310-855-2642,CA,United States,http://discoveryminerals.com,86400,13428 Maxella Avenue,Other Precious Metals & Mining,Suite 884
t-2,DSCR,3432898.0,4986910208,,,-254494,,-254494,127279,0,-254494,-254494,,,,,,0,0,254494,0,0,,-254494,-254494,3710788.0,47214.0,3432898.0,3480112.0,46209.0,-324099.0,1500000.0,1896773.0,47214.0,1980112.0,10131.0,,24514,-1500000,3699997,-76914,3699997,1893103,-306894,-1500000,-219955,-1100000,1932898.0,en-US,US,EQUITY,False,Delayed Quote,USD,-2.678567,0.0053 - 0.0056,0.0056,0.0,0.0,0,0,finmb_24862350,Other OTC,USD,44466786,28095901,0.00535,53.500004,1.0E-4 - 0.036,-0.03055,-0.8486111,0.0001,0.036,-0.024,-14400000,0.17,0.007875,-0.002425,-0.30793652,0.008119578,-0.0026695775,4,DISCOVERY MINERALS LTD,Discovery Minerals Ltd.,0.00545,1630504975,-0.00014999975,0.0055,0.0056,0.0053,2250263,REGULAR,PNK,us_market,-0.3287828,27178660,0.032058824,15,America/New_York,EDT,False,False,0,1.46,,,0.036,0.0001,0.0079,0.0081,44.47M,28.1M,4.99B,,,,,,,,,,,,,,,,,,,,"Sep 29, 2006","Jun 29, 2007",0.00%,0.00%,,,,,,,,-1.06M,-0.0240,,140.95k,0,,,176.42,0.17,-1.24M,,Value,90292,Basic Materials,"Discovery Minerals Ltd. operates as an acquisition and development company that targets natural resource properties. It focuses on gold mining projects. Discovery Minerals Ltd. was formerly known as Dhanoa Minerals Ltd. and changed its name to Discovery Minerals Ltd. in August 2012. The company was incorporated in 2005 and is based in Los Angeles, California.",Los Angeles,310-855-2642,CA,United States,http://discoveryminerals.com,86400,13428 Maxella Avenue,Other Precious Metals & Mining,Suite 884
t-3,DSCR,-12606.0,4986910208,,,-26699,,-26699,26499,0,-26499,-26499,,,,,,0,0,26499,0,-200,,-26699,-26699,9500.0,22700.0,-12606.0,10094.0,47500.0,-69606.0,,3669.0,22700.0,10094.0,22700.0,,20300,-1500000,3699997,-3000,3699997,-9399,-9399,-1500000,-219955,-1100000,-12606.0,en-US,US,EQUITY,False,Delayed Quote,USD,-2.678567,0.0053 - 0.0056,0.0056,0.0,0.0,0,0,finmb_24862350,Other OTC,USD,44466786,28095901,0.00535,53.500004,1.0E-4 - 0.036,-0.03055,-0.8486111,0.0001,0.036,-0.024,-14400000,0.17,0.007875,-0.002425,-0.30793652,0.008119578,-0.0026695775,4,DISCOVERY MINERALS LTD,Discovery Minerals Ltd.,0.00545,1630504975,-0.00014999975,0.0055,0.0056,0.0053,2250263,REGULAR,PNK,us_market,-0.3287828,27178660,0.032058824,15,America/New_York,EDT,False,False,0,1.46,,,0.036,0.0001,0.0079,0.0081,44.47M,28.1M,4.99B,,,,,,,,,,,,,,,,,,,,"Sep 29, 2006","Jun 29, 2007",0.00%,0.00%,,,,,,,,-1.06M,-0.0240,,140.95k,0,,,176.42,0.17,-1.24M,,Value,90292,Basic Materials,"Discovery Minerals Ltd. operates as an acquisition and development company that targets natural resource properties. It focuses on gold mining projects. Discovery Minerals Ltd. was formerly known as Dhanoa Minerals Ltd. and changed its name to Discovery Minerals Ltd. in August 2012. The company was incorporated in 2005 and is based in Los Angeles, California.",Los Angeles,310-855-2642,CA,United States,http://discoveryminerals.com,86400,13428 Maxella Avenue,Other Precious Metals & Mining,Suite 884
