Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermDebt,accountsPayable,inventory,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToInventory,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,FONU,-3041759.0,867689024,,,,,0,,0,0,,,,,,,0,0,0,0,0,,,,43419204.0,9214164.0,-3041759.0,47003.0,1696800.0,6172411.0,372419.0,-46833382.0,53503.0,2424.0,4112781.0,529410.0,6104036.0,14872.0,409439.0,156336.0,,0.0,,,,,,,,,,,,-4097909.0,en-US,US,EQUITY,False,Delayed Quote,USD,-20.000006,4.0E-4 - 4.0E-4,0.0005,0.0,0.0,0,0,finmb_173696992,Other OTC,USD,58739643,193145585,0.0,0.0,4.0E-4 - 0.008,-0.0076000006,-0.95000005,0.0004,0.008,-0.045,-14400000,-0.008,0.0009088889,-0.00050888886,-0.5599022,0.0015619014,-0.0011619014,4,FONU2 INC,"FonU2, Inc.",0.0004,1630525182,-0.000100000034,0.0004,0.0004,0.0004,120641729,POST,PNK,us_market,-0.74390185,347075,-0.049999997,15,America/New_York,EDT,False,False,0,-1.4,,,0.008,0.0004,0.0009,0.0016,58.74M,193.15M,867.69M,,790.41M,13.50%,0.00%,,,,,,,,,,,0.00%,,,1:400,"Feb 02, 2015","Sep 29, 2015","Sep 29, 2015",0.00%,"-8,940.32%",-33.30%,,18.61k,0.00,,14.34k,-1.62M,-6.4M,-0.0450,,2.42k,0,7.14M,,0.00,-0.01,-1.08M,1.23M,Value,31326,Communication Services,7,"FonU2, Inc. operates a film studio, production, and social commerce company. It develops a film production services, as well as offers rental services. FonU2, Inc. was formerly known as Cygnus Internet, Inc. and changed its name to FonU2, Inc. in April 2002. The company was founded in 1997 and is based in Rincon, Georgia. As of June 5, 2020, FonU2, Inc. operates as a subsidiary of Live Youth Sports Network.",Rincon,912-655-5321,GA,1451520000,United States,86400,135 Goshen Road,Broadcasting,Suite 205
t-1,FONU,-1706155.0,867689024,,,-1897590.0,,-1897590,459839.0,0,-461191,-461191.0,,-543657.0,,,,0,0,461191,0,-1436399,,-1897590.0,-1897590.0,43608504.0,8749911.0,-1706155.0,61809.0,2523489.0,7043762.0,239683.0,-45554342.0,1626446.0,178888.0,4076446.0,,5226143.0,191173.0,25000.0,205138.0,,-159.0,-58777.0,635483.0,555926.0,62329.0,169488.0,-327661.0,1352.0,-79557.0,983491.0,-58777.0,,-3885273.0,en-US,US,EQUITY,False,Delayed Quote,USD,-20.000006,4.0E-4 - 4.0E-4,0.0005,0.0,0.0,0,0,finmb_173696992,Other OTC,USD,58739643,193145585,0.0,0.0,4.0E-4 - 0.008,-0.0076000006,-0.95000005,0.0004,0.008,-0.045,-14400000,-0.008,0.0009088889,-0.00050888886,-0.5599022,0.0015619014,-0.0011619014,4,FONU2 INC,"FonU2, Inc.",0.0004,1630525182,-0.000100000034,0.0004,0.0004,0.0004,120641729,POST,PNK,us_market,-0.74390185,347075,-0.049999997,15,America/New_York,EDT,False,False,0,-1.4,,,0.008,0.0004,0.0009,0.0016,58.74M,193.15M,867.69M,,790.41M,13.50%,0.00%,,,,,,,,,,,0.00%,,,1:400,"Feb 02, 2015","Sep 29, 2015","Sep 29, 2015",0.00%,"-8,940.32%",-33.30%,,18.61k,0.00,,14.34k,-1.62M,-6.4M,-0.0450,,2.42k,0,7.14M,,0.00,-0.01,-1.08M,1.23M,Value,31326,Communication Services,7,"FonU2, Inc. operates a film studio, production, and social commerce company. It develops a film production services, as well as offers rental services. FonU2, Inc. was formerly known as Cygnus Internet, Inc. and changed its name to FonU2, Inc. in April 2002. The company was founded in 1997 and is based in Rincon, Georgia. As of June 5, 2020, FonU2, Inc. operates as a subsidiary of Live Youth Sports Network.",Rincon,912-655-5321,GA,1451520000,United States,86400,135 Goshen Road,Broadcasting,Suite 205
t-2,FONU,-603263.0,867689024,30000.0,,-2805506.0,,-2824765,460229.0,0,-490957,-490957.0,,-542376.0,,,,0,0,490957,0,-2314549,-19259.0,-2805506.0,-2824765.0,42839294.0,7337325.0,-603263.0,,1859539.0,6734068.0,214195.0,-43656752.0,1554325.0,9400.0,2782798.0,,5168718.0,11025.0,65517.0,194985.0,,100158.0,-158502.0,574517.0,574517.0,3570.0,-35393.0,-451408.0,-400.0,-79557.0,1776109.0,-158502.0,7510.0,-2771773.0,en-US,US,EQUITY,False,Delayed Quote,USD,-20.000006,4.0E-4 - 4.0E-4,0.0005,0.0,0.0,0,0,finmb_173696992,Other OTC,USD,58739643,193145585,0.0,0.0,4.0E-4 - 0.008,-0.0076000006,-0.95000005,0.0004,0.008,-0.045,-14400000,-0.008,0.0009088889,-0.00050888886,-0.5599022,0.0015619014,-0.0011619014,4,FONU2 INC,"FonU2, Inc.",0.0004,1630525182,-0.000100000034,0.0004,0.0004,0.0004,120641729,POST,PNK,us_market,-0.74390185,347075,-0.049999997,15,America/New_York,EDT,False,False,0,-1.4,,,0.008,0.0004,0.0009,0.0016,58.74M,193.15M,867.69M,,790.41M,13.50%,0.00%,,,,,,,,,,,0.00%,,,1:400,"Feb 02, 2015","Sep 29, 2015","Sep 29, 2015",0.00%,"-8,940.32%",-33.30%,,18.61k,0.00,,14.34k,-1.62M,-6.4M,-0.0450,,2.42k,0,7.14M,,0.00,-0.01,-1.08M,1.23M,Value,31326,Communication Services,7,"FonU2, Inc. operates a film studio, production, and social commerce company. It develops a film production services, as well as offers rental services. FonU2, Inc. was formerly known as Cygnus Internet, Inc. and changed its name to FonU2, Inc. in April 2002. The company was founded in 1997 and is based in Rincon, Georgia. As of June 5, 2020, FonU2, Inc. operates as a subsidiary of Live Youth Sports Network.",Rincon,912-655-5321,GA,1451520000,United States,86400,135 Goshen Road,Broadcasting,Suite 205
t-3,FONU,41788.0,867689024,4124.0,,-430954.0,,-430954,157681.0,74330,-88603,-88603.0,,-104615.0,,,,0,117285,205888,42955,-342351,-19259.0,-430954.0,-430954.0,40871071.0,295148.0,41788.0,,43568.0,336942.0,2704.0,-40831987.0,261347.0,44793.0,270148.0,,13029.0,62566.0,25000.0,15342.0,7510.0,14756.0,-158502.0,70000.0,70000.0,21344.0,29150.0,-40850.0,1128.0,-79557.0,252475.0,-158502.0,1497.0,-207582.0,en-US,US,EQUITY,False,Delayed Quote,USD,-20.000006,4.0E-4 - 4.0E-4,0.0005,0.0,0.0,0,0,finmb_173696992,Other OTC,USD,58739643,193145585,0.0,0.0,4.0E-4 - 0.008,-0.0076000006,-0.95000005,0.0004,0.008,-0.045,-14400000,-0.008,0.0009088889,-0.00050888886,-0.5599022,0.0015619014,-0.0011619014,4,FONU2 INC,"FonU2, Inc.",0.0004,1630525182,-0.000100000034,0.0004,0.0004,0.0004,120641729,POST,PNK,us_market,-0.74390185,347075,-0.049999997,15,America/New_York,EDT,False,False,0,-1.4,,,0.008,0.0004,0.0009,0.0016,58.74M,193.15M,867.69M,,790.41M,13.50%,0.00%,,,,,,,,,,,0.00%,,,1:400,"Feb 02, 2015","Sep 29, 2015","Sep 29, 2015",0.00%,"-8,940.32%",-33.30%,,18.61k,0.00,,14.34k,-1.62M,-6.4M,-0.0450,,2.42k,0,7.14M,,0.00,-0.01,-1.08M,1.23M,Value,31326,Communication Services,7,"FonU2, Inc. operates a film studio, production, and social commerce company. It develops a film production services, as well as offers rental services. FonU2, Inc. was formerly known as Cygnus Internet, Inc. and changed its name to FonU2, Inc. in April 2002. The company was founded in 1997 and is based in Rincon, Georgia. As of June 5, 2020, FonU2, Inc. operates as a subsidiary of Live Youth Sports Network.",Rincon,912-655-5321,GA,1451520000,United States,86400,135 Goshen Road,Broadcasting,Suite 205
