Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,quoteSourceName,triggerable,currency,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,marketState,priceHint,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,firstTradeDateMilliseconds,shortName,exchange,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,displayName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,fax,industry
t0,FLMP,-121844.0,71972704,,,7667,,7667,432170,444768,12598,12598,,-4933,,,,0,830394,817796,385626,-4931,,7667,7667,-27763.0,10793662.0,1309474.0,-149607.0,-1.0,1159867.0,582311.0,-1.0,-11515580.0,1.0,-10000.0,200835.0,199235.0,451726.0,735904.0,230898.0,1110238.0,297810.0,100448.0,,0.0,,,,,,,,,,,,536669.0,en-US,US,EQUITY,Delayed Quote,False,USD,-0.026,0.010277778,-0.008677778,-0.8443243,0.01710145,-0.01550145,-0.9064407,115156,-0.061538458,15,0,False,POST,4,-0.0033999998,-68.0,1630524744,0.0016,0.00255,0.0016 - 0.00255,0.0016,627330,0.005,Other OTC,USD,0.0022,18698,0,0.0,0.0,0.0016 - 0.04,-0.038399998,-0.96,0.0016,0.04,-0.019,1179322200000,FLAME SEAL PRODUCTS INC,PNK,"Flame Seal Products, Inc.",finmb_3110218,America/New_York,EDT,-14400000,us_market,False,Flame Seal Products,1.01,-66.67%,26.30%,0.0400,0.0016,0.0103,0.0171,18.7k,,71.97M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2011","Sep 29, 2016",-66.77%,-66.77%,-246.73%,,1.01M,0.03,,572.28k,,-674.43k,-0.0190,,200.84k,0,1.15M,,0.32,-0.03,,,Value,77053,Basic Materials,"Flame Seal Products, Inc. develops fire prevention technologies in the United States. It offers fire retardant coatings, as well as fabric fire, leather fire, paper fire, wood fire, and wildfire retardants. Flame Seal Products, Inc. was founded in 1992 and is headquartered in Houston, Texas.",Houston,713-668-4291,TX,United States,http://www.flameseal.com,86400,15200 West Drive,713-668-1724,Specialty Chemicals
t-1,FLMP,-985191.0,71972704,,,-96079,,-96079,340932,259818,-96079,-96079,14965.0,-4933,,,,0,375754,471833,115936,0,,-96079,-96079,,,1229531.0,-985191.0,116377.0,244340.0,8405464.0,13758.0,-9390655.0,,,30129.0,454889.0,121478.0,122862.0,71746.0,774642.0,7229.0,128483.0,192225.0,40641.0,-8102.0,73007.0,73007.0,6927.0,-6239.0,-71137.0,-6781.0,28695.0,-51322.0,-1321.0,,-332027.0,en-US,US,EQUITY,Delayed Quote,False,USD,-0.026,0.010277778,-0.008677778,-0.8443243,0.01710145,-0.01550145,-0.9064407,115156,-0.061538458,15,0,False,POST,4,-0.0033999998,-68.0,1630524744,0.0016,0.00255,0.0016 - 0.00255,0.0016,627330,0.005,Other OTC,USD,0.0022,18698,0,0.0,0.0,0.0016 - 0.04,-0.038399998,-0.96,0.0016,0.04,-0.019,1179322200000,FLAME SEAL PRODUCTS INC,PNK,"Flame Seal Products, Inc.",finmb_3110218,America/New_York,EDT,-14400000,us_market,False,Flame Seal Products,1.01,-66.67%,26.30%,0.0400,0.0016,0.0103,0.0171,18.7k,,71.97M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2011","Sep 29, 2016",-66.77%,-66.77%,-246.73%,,1.01M,0.03,,572.28k,,-674.43k,-0.0190,,200.84k,0,1.15M,,0.32,-0.03,,,Value,77053,Basic Materials,"Flame Seal Products, Inc. develops fire prevention technologies in the United States. It offers fire retardant coatings, as well as fabric fire, leather fire, paper fire, wood fire, and wildfire retardants. Flame Seal Products, Inc. was founded in 1992 and is headquartered in Houston, Texas.",Houston,713-668-4291,TX,United States,http://www.flameseal.com,86400,15200 West Drive,713-668-1724,Specialty Chemicals
t-2,FLMP,-868510.0,71972704,,,-217361,,-217361,311840,111302,-217361,-217361,16823.0,-4933,,,,0,311858,529219,200556,0,,-217361,-217361,,250000.0,1088393.0,-868510.0,71539.0,219883.0,8155464.0,4303.0,-9273974.0,,,39427.0,356757.0,120156.0,99727.0,50782.0,731636.0,5215.0,87646.0,181045.0,-40733.0,-5537.0,-4990.0,245010.0,6153.0,29906.0,-209568.0,-4663.0,55840.0,-13467.0,-874.0,250000.0,-257030.0,en-US,US,EQUITY,Delayed Quote,False,USD,-0.026,0.010277778,-0.008677778,-0.8443243,0.01710145,-0.01550145,-0.9064407,115156,-0.061538458,15,0,False,POST,4,-0.0033999998,-68.0,1630524744,0.0016,0.00255,0.0016 - 0.00255,0.0016,627330,0.005,Other OTC,USD,0.0022,18698,0,0.0,0.0,0.0016 - 0.04,-0.038399998,-0.96,0.0016,0.04,-0.019,1179322200000,FLAME SEAL PRODUCTS INC,PNK,"Flame Seal Products, Inc.",finmb_3110218,America/New_York,EDT,-14400000,us_market,False,Flame Seal Products,1.01,-66.67%,26.30%,0.0400,0.0016,0.0103,0.0171,18.7k,,71.97M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2011","Sep 29, 2016",-66.77%,-66.77%,-246.73%,,1.01M,0.03,,572.28k,,-674.43k,-0.0190,,200.84k,0,1.15M,,0.32,-0.03,,,Value,77053,Basic Materials,"Flame Seal Products, Inc. develops fire prevention technologies in the United States. It offers fire retardant coatings, as well as fabric fire, leather fire, paper fire, wood fire, and wildfire retardants. Flame Seal Products, Inc. was founded in 1992 and is headquartered in Houston, Texas.",Houston,713-668-4291,TX,United States,http://www.flameseal.com,86400,15200 West Drive,713-668-1724,Specialty Chemicals
t-3,FLMP,-343254.0,71972704,,,-32830,,-32830,274895,257288,-32830,-32830,15223.0,-4933,,,,0,448389,481219,191101,0,,-32830,-32830,,7939511.0,487149.0,-343254.0,106658.0,143895.0,189900.0,1585.0,-8472665.0,1.0,,25434.0,277735.0,68058.0,75837.0,47862.0,209413.0,956.0,131839.0,21434.0,0.0,-5537.0,-4990.0,245010.0,6153.0,29906.0,-209568.0,-4663.0,55840.0,-13467.0,-874.0,250000.0,-201898.0,en-US,US,EQUITY,Delayed Quote,False,USD,-0.026,0.010277778,-0.008677778,-0.8443243,0.01710145,-0.01550145,-0.9064407,115156,-0.061538458,15,0,False,POST,4,-0.0033999998,-68.0,1630524744,0.0016,0.00255,0.0016 - 0.00255,0.0016,627330,0.005,Other OTC,USD,0.0022,18698,0,0.0,0.0,0.0016 - 0.04,-0.038399998,-0.96,0.0016,0.04,-0.019,1179322200000,FLAME SEAL PRODUCTS INC,PNK,"Flame Seal Products, Inc.",finmb_3110218,America/New_York,EDT,-14400000,us_market,False,Flame Seal Products,1.01,-66.67%,26.30%,0.0400,0.0016,0.0103,0.0171,18.7k,,71.97M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2011","Sep 29, 2016",-66.77%,-66.77%,-246.73%,,1.01M,0.03,,572.28k,,-674.43k,-0.0190,,200.84k,0,1.15M,,0.32,-0.03,,,Value,77053,Basic Materials,"Flame Seal Products, Inc. develops fire prevention technologies in the United States. It offers fire retardant coatings, as well as fabric fire, leather fire, paper fire, wood fire, and wildfire retardants. Flame Seal Products, Inc. was founded in 1992 and is headquartered in Houston, Texas.",Houston,713-668-4291,TX,United States,http://www.flameseal.com,86400,15200 West Drive,713-668-1724,Specialty Chemicals
