Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceHint,exchange,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchangeDataDelayedBy,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,industry,address2
t0,JGLCF,241072000.0,3494609920,,,191609000,308589000,131326500,359329000,540510000,178020000,178020000,3161000,-9273000,,,,43803000,1340562000,1162542000,800052000,13589000,,147806000,131326500,522468000.0,1062659000.0,2733741000.0,1611778000.0,39979000.0,446332000.0,4654108000.0,34000.0,38879000.0,409990000.0,162118000.0,848238000.0,139095000.0,152153000.0,570810000.0,1617859000.0,60970000.0,46571000.0,139095000.0,277105000.0,2713714000.0,140430000.0,59334000.0,1218817000.0,892845000.0,575497000.0,895074000.0,-8048500,194587500,9712500,-174687000,-63443000,181831500,69111500,135489500,17278000,171942000,24881000,36895000,-1137500,-131019000,-251412000,43270000,19347000,-21540000,1095855000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2.75,1628608645,0.0,2.8,2.75,2.75,55,0.0,2.75 - 2.75,2.75,finmb_639004385,Other OTC,JS Global Lifestyle Company Limited,USD,17468,0,2.7497,9165.666,3.0E-4 - 3.05,-0.29999995,-0.09836064,0.0003,3.05,4,PNK,2.3541667,0.39583325,0.16814156,2.2377622,0.5122378,0.22890626,9711157248,15,America/New_York,EDT,-14400000,False,False,0,JS GLOBAL LIFESTYLE COMPANY LTD,us_market,PRE,,,,3.05,0.0003,2.3542,2.2378,17.47k,,3.49B,,921.2M,60.98%,22.23%,,,,,,0.03,1.25%,,,,0.00%,,"May 31, 2021",,,"Dec 30, 2020","Dec 30, 2020",8.21%,12.18%,7.58%,23.30%,4.2B,1.27,50.60%,1.7B,596.43M,344.43M,,561.80%,839.55M,0.24,1.02B,52.89,1.68,,652.95M,395.16M,Value,122001,Consumer Defensive,4926,"JS Global Lifestyle Company Limited engages in the research and development, design, production, marketing, distribution, and sale of small household appliances in Mainland China, North America, Europe, and internationally. The company operates through SharkNinja and Joyoung segments. It offers cleaning appliances, such as upright vacuums, steam mop, robotic vacuums, cordless and corded stick vacuums, and other floor care products; and food preparation appliances, including multifunctional blenders, soymilk makers, food processors, and other small household appliances that facilitate the food preparation process. The company also provides cooking appliances, which include rice cookers, pressure cookers, induction cookers, air fryers, counter top grills and ovens, coffee and tea makers, and other appliances for cooking; and other products, such as water purifiers, ventilators, water heaters, and garment care products and thermos. In addition, it offers enterprise management; supply chain management and consultancy; design and technical consulting; strategic planning; advertising and consultancy; property management; and conference and exhibition services, as well as related consultancy services. Further, the company is involved in the sale, installation, and maintenance of home appliance products; retail of home appliance products; equity investment; import and export of products; lease of houses; development of IT technology; provision of e-commerce; and development of real estate properties. It offers its products primarily under the Joyoung, Shark, and Ninja brand names. JS Global Lifestyle Company Limited was founded in 1994 and is headquartered in Sheung Wan, Hong Kong.",Sheung Wan,852 2310 8035,Hong Kong,http://www.jsgloballife.com,86400,238 Des Voeux Road Central,Household & Personal Products,21st Floor
t-1,JGLCF,241072000.0,3494609920,,,191609000,308589000,131326500,359329000,540510000,178020000,178020000,3161000,-9273000,,,,43803000,1340562000,1162542000,800052000,13589000,,147806000,131326500,522468000.0,1062659000.0,2733741000.0,1611778000.0,39979000.0,446332000.0,4654108000.0,34000.0,38879000.0,409990000.0,162118000.0,848238000.0,139095000.0,152153000.0,570810000.0,1617859000.0,60970000.0,46571000.0,139095000.0,277105000.0,2713714000.0,140430000.0,59334000.0,1218817000.0,892845000.0,575497000.0,895074000.0,-8048500,194587500,9712500,-174687000,-63443000,181831500,69111500,135489500,17278000,171942000,24881000,36895000,-1137500,-131019000,-251412000,43270000,19347000,-21540000,1095855000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2.75,1628608645,0.0,2.8,2.75,2.75,55,0.0,2.75 - 2.75,2.75,finmb_639004385,Other OTC,JS Global Lifestyle Company Limited,USD,17468,0,2.7497,9165.666,3.0E-4 - 3.05,-0.29999995,-0.09836064,0.0003,3.05,4,PNK,2.3541667,0.39583325,0.16814156,2.2377622,0.5122378,0.22890626,9711157248,15,America/New_York,EDT,-14400000,False,False,0,JS GLOBAL LIFESTYLE COMPANY LTD,us_market,PRE,,,,3.05,0.0003,2.3542,2.2378,17.47k,,3.49B,,921.2M,60.98%,22.23%,,,,,,0.03,1.25%,,,,0.00%,,"May 31, 2021",,,"Dec 30, 2020","Dec 30, 2020",8.21%,12.18%,7.58%,23.30%,4.2B,1.27,50.60%,1.7B,596.43M,344.43M,,561.80%,839.55M,0.24,1.02B,52.89,1.68,,652.95M,395.16M,Value,122001,Consumer Defensive,4926,"JS Global Lifestyle Company Limited engages in the research and development, design, production, marketing, distribution, and sale of small household appliances in Mainland China, North America, Europe, and internationally. The company operates through SharkNinja and Joyoung segments. It offers cleaning appliances, such as upright vacuums, steam mop, robotic vacuums, cordless and corded stick vacuums, and other floor care products; and food preparation appliances, including multifunctional blenders, soymilk makers, food processors, and other small household appliances that facilitate the food preparation process. The company also provides cooking appliances, which include rice cookers, pressure cookers, induction cookers, air fryers, counter top grills and ovens, coffee and tea makers, and other appliances for cooking; and other products, such as water purifiers, ventilators, water heaters, and garment care products and thermos. In addition, it offers enterprise management; supply chain management and consultancy; design and technical consulting; strategic planning; advertising and consultancy; property management; and conference and exhibition services, as well as related consultancy services. Further, the company is involved in the sale, installation, and maintenance of home appliance products; retail of home appliance products; equity investment; import and export of products; lease of houses; development of IT technology; provision of e-commerce; and development of real estate properties. It offers its products primarily under the Joyoung, Shark, and Ninja brand names. JS Global Lifestyle Company Limited was founded in 1994 and is headquartered in Sheung Wan, Hong Kong.",Sheung Wan,852 2310 8035,Hong Kong,http://www.jsgloballife.com,86400,238 Des Voeux Road Central,Household & Personal Products,21st Floor
t-2,JGLCF,-264999000.0,3494609920,,,71778500,250801000,40888500,231972500,311833000,77466000,77466000,2394500,-27751500,,,,18431500,757346000,679880000,445513000,-5687500,,53347000,40888500,565218000.0,924437000.0,2347783000.0,1148457000.0,,240885000.0,3747041000.0,33000.0,110003000.0,147301000.0,152797000.0,848238000.0,76686000.0,206078000.0,299831000.0,995799000.0,38949000.0,37500000.0,76686000.0,267723000.0,1728144000.0,131640000.0,26219000.0,783123000.0,1132641000.0,315450000.0,599876000.0,-72524500,9894000,-115271500,48365000,-94978500,-76038500,69111500,-60742500,-5025000,154532500,26048000,-18649000,-131570500,38492000,46184500,-11773000,52760000,-12571500,732345000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2.75,1628608645,0.0,2.8,2.75,2.75,55,0.0,2.75 - 2.75,2.75,finmb_639004385,Other OTC,JS Global Lifestyle Company Limited,USD,17468,0,2.7497,9165.666,3.0E-4 - 3.05,-0.29999995,-0.09836064,0.0003,3.05,4,PNK,2.3541667,0.39583325,0.16814156,2.2377622,0.5122378,0.22890626,9711157248,15,America/New_York,EDT,-14400000,False,False,0,JS GLOBAL LIFESTYLE COMPANY LTD,us_market,PRE,,,,3.05,0.0003,2.3542,2.2378,17.47k,,3.49B,,921.2M,60.98%,22.23%,,,,,,0.03,1.25%,,,,0.00%,,"May 31, 2021",,,"Dec 30, 2020","Dec 30, 2020",8.21%,12.18%,7.58%,23.30%,4.2B,1.27,50.60%,1.7B,596.43M,344.43M,,561.80%,839.55M,0.24,1.02B,52.89,1.68,,652.95M,395.16M,Value,122001,Consumer Defensive,4926,"JS Global Lifestyle Company Limited engages in the research and development, design, production, marketing, distribution, and sale of small household appliances in Mainland China, North America, Europe, and internationally. The company operates through SharkNinja and Joyoung segments. It offers cleaning appliances, such as upright vacuums, steam mop, robotic vacuums, cordless and corded stick vacuums, and other floor care products; and food preparation appliances, including multifunctional blenders, soymilk makers, food processors, and other small household appliances that facilitate the food preparation process. The company also provides cooking appliances, which include rice cookers, pressure cookers, induction cookers, air fryers, counter top grills and ovens, coffee and tea makers, and other appliances for cooking; and other products, such as water purifiers, ventilators, water heaters, and garment care products and thermos. In addition, it offers enterprise management; supply chain management and consultancy; design and technical consulting; strategic planning; advertising and consultancy; property management; and conference and exhibition services, as well as related consultancy services. Further, the company is involved in the sale, installation, and maintenance of home appliance products; retail of home appliance products; equity investment; import and export of products; lease of houses; development of IT technology; provision of e-commerce; and development of real estate properties. It offers its products primarily under the Joyoung, Shark, and Ninja brand names. JS Global Lifestyle Company Limited was founded in 1994 and is headquartered in Sheung Wan, Hong Kong.",Sheung Wan,852 2310 8035,Hong Kong,http://www.jsgloballife.com,86400,238 Des Voeux Road Central,Household & Personal Products,21st Floor
t-3,JGLCF,-264999000.0,3494609920,,,71778500,250801000,40888500,231972500,311833000,77466000,77466000,2394500,-27751500,,,,18431500,757346000,679880000,445513000,-5687500,,53347000,40888500,565218000.0,924437000.0,2347783000.0,1148457000.0,,240885000.0,3747041000.0,33000.0,110003000.0,147301000.0,152797000.0,848238000.0,76686000.0,206078000.0,299831000.0,995799000.0,38949000.0,37500000.0,76686000.0,267723000.0,1728144000.0,131640000.0,26219000.0,783123000.0,1132641000.0,315450000.0,599876000.0,-72524500,9894000,-115271500,48365000,-94978500,-76038500,69111500,-60742500,-5025000,154532500,26048000,-18649000,-131570500,38492000,46184500,-11773000,52760000,-12571500,732345000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2.75,1628608645,0.0,2.8,2.75,2.75,55,0.0,2.75 - 2.75,2.75,finmb_639004385,Other OTC,JS Global Lifestyle Company Limited,USD,17468,0,2.7497,9165.666,3.0E-4 - 3.05,-0.29999995,-0.09836064,0.0003,3.05,4,PNK,2.3541667,0.39583325,0.16814156,2.2377622,0.5122378,0.22890626,9711157248,15,America/New_York,EDT,-14400000,False,False,0,JS GLOBAL LIFESTYLE COMPANY LTD,us_market,PRE,,,,3.05,0.0003,2.3542,2.2378,17.47k,,3.49B,,921.2M,60.98%,22.23%,,,,,,0.03,1.25%,,,,0.00%,,"May 31, 2021",,,"Dec 30, 2020","Dec 30, 2020",8.21%,12.18%,7.58%,23.30%,4.2B,1.27,50.60%,1.7B,596.43M,344.43M,,561.80%,839.55M,0.24,1.02B,52.89,1.68,,652.95M,395.16M,Value,122001,Consumer Defensive,4926,"JS Global Lifestyle Company Limited engages in the research and development, design, production, marketing, distribution, and sale of small household appliances in Mainland China, North America, Europe, and internationally. The company operates through SharkNinja and Joyoung segments. It offers cleaning appliances, such as upright vacuums, steam mop, robotic vacuums, cordless and corded stick vacuums, and other floor care products; and food preparation appliances, including multifunctional blenders, soymilk makers, food processors, and other small household appliances that facilitate the food preparation process. The company also provides cooking appliances, which include rice cookers, pressure cookers, induction cookers, air fryers, counter top grills and ovens, coffee and tea makers, and other appliances for cooking; and other products, such as water purifiers, ventilators, water heaters, and garment care products and thermos. In addition, it offers enterprise management; supply chain management and consultancy; design and technical consulting; strategic planning; advertising and consultancy; property management; and conference and exhibition services, as well as related consultancy services. Further, the company is involved in the sale, installation, and maintenance of home appliance products; retail of home appliance products; equity investment; import and export of products; lease of houses; development of IT technology; provision of e-commerce; and development of real estate properties. It offers its products primarily under the Joyoung, Shark, and Ninja brand names. JS Global Lifestyle Company Limited was founded in 1994 and is headquartered in Sheung Wan, Hong Kong.",Sheung Wan,852 2310 8035,Hong Kong,http://www.jsgloballife.com,86400,238 Des Voeux Road Central,Household & Personal Products,21st Floor
