Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,otherLiab,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,totalCashflowsFromInvestingActivities,otherCashflowsFromInvestingActivities,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,epsForward,exchangeDataDelayedBy,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,DIGI,-3863986.0,70683200,13331,,-1695664,,-1695664,1443751,-275194,-1732276,-1732276,,-244408,,,,0,88494,1820770,363688,36612,,-1695664,-1695664,179394.0,25636202.0,4296931.0,-3684592.0,214863.0,6040.0,1033008.0,70197.0,354156.0,-29390991.0,219156.0,499.0,2922672.0,1206050.0,36028.0,598430.0,243775.0,1374259.0,820308.0,,382610.0,27427.0,77224.0,-59004.0,-209224.0,-286448.0,32542.0,243326.0,49797.0,593654.0,,,,,-2324242.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,-0.052,0.020997778,-0.0029977784,-0.14276646,0.042236127,-0.024236128,-0.5738246,50638,0.59999996,-0.34615383,15,America/New_York,EDT,-14400000,False,False,0.018,1630503057,0.004999999,0.019,0.019,0.018,29277,REGULAR,PNK,4,38.46153,0.018 - 0.019,0.013,0.0,0.0,0,0,finmb_34731216,Other OTC,"digitiliti, Inc.",USD,144835,203215,0.014599999,4.2941175,0.0034 - 0.122,-0.104,-0.852459,0.0034,0.122,-0.059,0.03,0,DIGITILITI INC,1.67,,,0.122,0.0034,0.021,0.0422,144.84k,203.22k,70.68M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Dec 30, 2011",-269.47%,-218.11%,-179.54%,,1.48M,0.02,-79.10%,165.93k,-3.1M,-3.99M,-0.0590,,499,0,2.74M,,0.20,-0.05,-1.66M,-508.07k,Value,56472,Technology,13,"Digitiliti, Inc. provides online data protection solutions to the small and medium business and small to medium enterprise markets in the United States. It offers DigiBAK, an online data backup and recovery service for various machines in a network, including desktops, laptops, and file and print servers. The company also provides DigiLIBE, an information management software that moves and manages information objects, which are human recognized content, such as a word document or an excel spreadsheet. It serves various data intensive industries, including financial services, engineering and scientific, construction, health care, education, and legal services. The company sells and supports its solutions and services through direct sales, value-added remarketers, and third-party integrators. Digitiliti, Inc. is based in Breezy Point, Minnesota.",Breezy Point,612-615-9334,MN,1230681600,United States,http://www.digitiliti.co,86400,31921 Castlewood Court,Computer Hardware
t-1,DIGI,-2809940.0,70683200,155003,,-564204,,-564204,360004,151712,-363295,-363295,,-200909,,,,0,498917,862212,347205,-200909,,-564204,-564204,236187.0,25880222.0,3643208.0,-2573753.0,259402.0,9989.0,1490124.0,69376.0,,-28523351.0,265724.0,209723.0,1778085.0,471064.0,68570.0,919643.0,541941.0,1861516.0,510358.0,3607.0,-162381.0,524999.0,486452.0,67949.0,2808.0,-532651.0,32196.0,-133270.0,-38547.0,38056.0,49007.0,50000.0,-993.0,,-858442.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,-0.052,0.020997778,-0.0029977784,-0.14276646,0.042236127,-0.024236128,-0.5738246,50638,0.59999996,-0.34615383,15,America/New_York,EDT,-14400000,False,False,0.018,1630503057,0.004999999,0.019,0.019,0.018,29277,REGULAR,PNK,4,38.46153,0.018 - 0.019,0.013,0.0,0.0,0,0,finmb_34731216,Other OTC,"digitiliti, Inc.",USD,144835,203215,0.014599999,4.2941175,0.0034 - 0.122,-0.104,-0.852459,0.0034,0.122,-0.059,0.03,0,DIGITILITI INC,1.67,,,0.122,0.0034,0.021,0.0422,144.84k,203.22k,70.68M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Dec 30, 2011",-269.47%,-218.11%,-179.54%,,1.48M,0.02,-79.10%,165.93k,-3.1M,-3.99M,-0.0590,,499,0,2.74M,,0.20,-0.05,-1.66M,-508.07k,Value,56472,Technology,13,"Digitiliti, Inc. provides online data protection solutions to the small and medium business and small to medium enterprise markets in the United States. It offers DigiBAK, an online data backup and recovery service for various machines in a network, including desktops, laptops, and file and print servers. The company also provides DigiLIBE, an information management software that moves and manages information objects, which are human recognized content, such as a word document or an excel spreadsheet. It serves various data intensive industries, including financial services, engineering and scientific, construction, health care, education, and legal services. The company sells and supports its solutions and services through direct sales, value-added remarketers, and third-party integrators. Digitiliti, Inc. is based in Breezy Point, Minnesota.",Breezy Point,612-615-9334,MN,1230681600,United States,http://www.digitiliti.co,86400,31921 Castlewood Court,Computer Hardware
t-2,DIGI,-2624895.0,70683200,131289,,-818991,,-818991,636449,120442,-647296,-647296,,-171695,,,,0,481714,1129010,361272,-171695,,-818991,-818991,299692.0,25565098.0,3360339.0,-2325203.0,125865.0,9989.0,1455805.0,68846.0,50000.0,-27959147.0,132187.0,206915.0,2080318.0,638277.0,99773.0,924153.0,408671.0,1276414.0,672739.0,3607.0,-62793.0,628627.0,680377.0,210792.0,205261.0,-421181.0,31811.0,-124311.0,-11250.0,180485.0,-53935.0,-50000.0,-3935.0,63000.0,-1156165.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,-0.052,0.020997778,-0.0029977784,-0.14276646,0.042236127,-0.024236128,-0.5738246,50638,0.59999996,-0.34615383,15,America/New_York,EDT,-14400000,False,False,0.018,1630503057,0.004999999,0.019,0.019,0.018,29277,REGULAR,PNK,4,38.46153,0.018 - 0.019,0.013,0.0,0.0,0,0,finmb_34731216,Other OTC,"digitiliti, Inc.",USD,144835,203215,0.014599999,4.2941175,0.0034 - 0.122,-0.104,-0.852459,0.0034,0.122,-0.059,0.03,0,DIGITILITI INC,1.67,,,0.122,0.0034,0.021,0.0422,144.84k,203.22k,70.68M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Dec 30, 2011",-269.47%,-218.11%,-179.54%,,1.48M,0.02,-79.10%,165.93k,-3.1M,-3.99M,-0.0590,,499,0,2.74M,,0.20,-0.05,-1.66M,-508.07k,Value,56472,Technology,13,"Digitiliti, Inc. provides online data protection solutions to the small and medium business and small to medium enterprise markets in the United States. It offers DigiBAK, an online data backup and recovery service for various machines in a network, including desktops, laptops, and file and print servers. The company also provides DigiLIBE, an information management software that moves and manages information objects, which are human recognized content, such as a word document or an excel spreadsheet. It serves various data intensive industries, including financial services, engineering and scientific, construction, health care, education, and legal services. The company sells and supports its solutions and services through direct sales, value-added remarketers, and third-party integrators. Digitiliti, Inc. is based in Breezy Point, Minnesota.",Breezy Point,612-615-9334,MN,1230681600,United States,http://www.digitiliti.co,86400,31921 Castlewood Court,Computer Hardware
t-3,DIGI,-2169416.0,70683200,147853,,-909684,,-909684,506640,168970,-485523,-485523,,-75527,,,,0,411029,896552,242059,-424161,,-909684,-909684,365557.0,25269583.0,2648443.0,-1803859.0,139340.0,9989.0,1265253.0,66714.0,,-27140156.0,145662.0,1654.0,1883887.0,539038.0,127649.0,626385.0,284360.0,760949.0,735532.0,3607.0,75085.0,392525.0,392525.0,-3577.0,-25903.0,-417493.0,31391.0,49327.0,-11250.0,235266.0,-935.0,-50000.0,-935.0,63000.0,-1257502.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,-0.052,0.020997778,-0.0029977784,-0.14276646,0.042236127,-0.024236128,-0.5738246,50638,0.59999996,-0.34615383,15,America/New_York,EDT,-14400000,False,False,0.018,1630503057,0.004999999,0.019,0.019,0.018,29277,REGULAR,PNK,4,38.46153,0.018 - 0.019,0.013,0.0,0.0,0,0,finmb_34731216,Other OTC,"digitiliti, Inc.",USD,144835,203215,0.014599999,4.2941175,0.0034 - 0.122,-0.104,-0.852459,0.0034,0.122,-0.059,0.03,0,DIGITILITI INC,1.67,,,0.122,0.0034,0.021,0.0422,144.84k,203.22k,70.68M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Dec 30, 2011",-269.47%,-218.11%,-179.54%,,1.48M,0.02,-79.10%,165.93k,-3.1M,-3.99M,-0.0590,,499,0,2.74M,,0.20,-0.05,-1.66M,-508.07k,Value,56472,Technology,13,"Digitiliti, Inc. provides online data protection solutions to the small and medium business and small to medium enterprise markets in the United States. It offers DigiBAK, an online data backup and recovery service for various machines in a network, including desktops, laptops, and file and print servers. The company also provides DigiLIBE, an information management software that moves and manages information objects, which are human recognized content, such as a word document or an excel spreadsheet. It serves various data intensive industries, including financial services, engineering and scientific, construction, health care, education, and legal services. The company sells and supports its solutions and services through direct sales, value-added remarketers, and third-party integrators. Digitiliti, Inc. is based in Breezy Point, Minnesota.",Breezy Point,612-615-9334,MN,1230681600,United States,http://www.digitiliti.co,86400,31921 Castlewood Court,Computer Hardware
