Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,intangibleAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,country,maxAge,address1,industry
t0,GSDC,-2123878.0,190188000,,,-602415,,-602415,394915,0,-542373,-542373,,-71241,,,,0,0,542373,0,-60042,,-602415,-602415,43073116.0,2473217.0,-2123878.0,147070.0,349339.0,190187.0,-50707599.0,5320418.0,38094.0,2069792.0,124045.0,5320418.0,127713.0,221626.0,171056.0,403425.0,1569517.0,,707770.0,-1623.0,50000.0,297000.0,-520503.0,267000.0,-15931.0,-311308.0,13620.0,14272.0,-20000.0,75948.0,-1623.0,,-1848166.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLDSANDS DEVELOPMENT COMPANY,us_market,4,Other OTC,Goldsands Development Company,USD,231965,170966,0.0007,7.0,1.0E-4 - 0.0078,-0.0069999998,-0.8974359,0.0001,0.0078,-0.163,0,-0.011,0.0024025,-0.0016025,-0.6670135,0.0020150703,-0.0012150703,-0.6029915,169055,-0.07272727,15,America/New_York,EDT,-14400000,False,False,0.0,8.0E-4 - 0.00122,0.0008,0.04,0.1,50,50,finmb_3017936,0.0008,1630522370,0.0,0.00122,0.00122,0.0008,260552,-1.25,,,0.0078,0.0001,0.0024,0.002,231.97k,170.97k,190.19M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Oct 03, 2005","Dec 30, 2010","Sep 29, 2011",0.00%,0.00%,-147.98%,-987.79%,,,,,-3.63M,-25.23M,-0.1630,,38.09k,0,527.47k,,0.11,-0.01,-2.64M,2.55M,Value,15074,Basic Materials,"GoldSands Development Company engages in metal mining business. The company was formerly known as Constitution Mining Corp. and changed its name to GoldSands Development Company in March 2011. GoldSands Development Company was founded in 2000 and is based in Miraflores, Peru.",Miraflores,51 1 446 6807,Peru,86400,Calle Juan Fanning 219,Gold
t-1,GSDC,-1823313.0,190188000,,,-999059,,-999059,490169,0,-895465,-895465,,-69603,,,,0,0,895465,0,-103594,,-999059,-999059,39995694.0,2217422.0,-1823313.0,859303.0,394109.0,187518.0,-50105184.0,8098659.0,54025.0,1863922.0,102872.0,8098659.0,139710.0,254399.0,185328.0,353500.0,861747.0,,-509119.0,-4990.0,50000.0,20000.0,685454.0,20000.0,-784031.0,-799041.0,20935.0,-66855.0,-20000.0,69603.0,-4990.0,,-1609523.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLDSANDS DEVELOPMENT COMPANY,us_market,4,Other OTC,Goldsands Development Company,USD,231965,170966,0.0007,7.0,1.0E-4 - 0.0078,-0.0069999998,-0.8974359,0.0001,0.0078,-0.163,0,-0.011,0.0024025,-0.0016025,-0.6670135,0.0020150703,-0.0012150703,-0.6029915,169055,-0.07272727,15,America/New_York,EDT,-14400000,False,False,0.0,8.0E-4 - 0.00122,0.0008,0.04,0.1,50,50,finmb_3017936,0.0008,1630522370,0.0,0.00122,0.00122,0.0008,260552,-1.25,,,0.0078,0.0001,0.0024,0.002,231.97k,170.97k,190.19M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Oct 03, 2005","Dec 30, 2010","Sep 29, 2011",0.00%,0.00%,-147.98%,-987.79%,,,,,-3.63M,-25.23M,-0.1630,,38.09k,0,527.47k,,0.11,-0.01,-2.64M,2.55M,Value,15074,Basic Materials,"GoldSands Development Company engages in metal mining business. The company was formerly known as Constitution Mining Corp. and changed its name to GoldSands Development Company in March 2011. GoldSands Development Company was founded in 2000 and is based in Miraflores, Peru.",Miraflores,51 1 446 6807,Peru,86400,Calle Juan Fanning 219,Gold
t-2,GSDC,-844253.0,190188000,,,-5228435,,-5228435,366730,0,-1220273,-1220273,,-4106796,,,,0,0,1220273,0,-4008162,,-5228435,-5228435,39995694.0,1971012.0,-844253.0,173376.0,1126759.0,187518.0,-49106124.0,8078659.0,838056.0,1666172.0,81930.0,8078659.0,155656.0,971103.0,118473.0,304840.0,1370866.0,,-431687.0,-12538.0,50000.0,2017000.0,-78810.0,1383592.0,833875.0,-1170587.0,450558.0,-7764.0,633408.0,4125551.0,-12538.0,,-695069.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLDSANDS DEVELOPMENT COMPANY,us_market,4,Other OTC,Goldsands Development Company,USD,231965,170966,0.0007,7.0,1.0E-4 - 0.0078,-0.0069999998,-0.8974359,0.0001,0.0078,-0.163,0,-0.011,0.0024025,-0.0016025,-0.6670135,0.0020150703,-0.0012150703,-0.6029915,169055,-0.07272727,15,America/New_York,EDT,-14400000,False,False,0.0,8.0E-4 - 0.00122,0.0008,0.04,0.1,50,50,finmb_3017936,0.0008,1630522370,0.0,0.00122,0.00122,0.0008,260552,-1.25,,,0.0078,0.0001,0.0024,0.002,231.97k,170.97k,190.19M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Oct 03, 2005","Dec 30, 2010","Sep 29, 2011",0.00%,0.00%,-147.98%,-987.79%,,,,,-3.63M,-25.23M,-0.1630,,38.09k,0,527.47k,,0.11,-0.01,-2.64M,2.55M,Value,15074,Basic Materials,"GoldSands Development Company engages in metal mining business. The company was formerly known as Constitution Mining Corp. and changed its name to GoldSands Development Company in March 2011. GoldSands Development Company was founded in 2000 and is based in Miraflores, Peru.",Miraflores,51 1 446 6807,Peru,86400,Calle Juan Fanning 219,Gold
t-3,GSDC,-5572981.0,190188000,,,-18404300,,-18404300,-350238,0,-18096720,-18096720,,-4106796,,,,0,0,18096720,0,-307580,,-18404300,-18404300,33448191.0,5867452.0,-5568814.0,409135.0,298638.0,88158.0,-43877689.0,4772526.0,4181.0,3300466.0,614466.0,4772526.0,159509.0,134962.0,110709.0,2566986.0,1802553.0,4167.0,1163216.0,-8881.0,92000.0,331999.0,-887318.0,1383592.0,-34705.0,-357823.0,18087822.0,6497.0,384809.0,-323740.0,-8881.0,-144810.0,-3165504.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLDSANDS DEVELOPMENT COMPANY,us_market,4,Other OTC,Goldsands Development Company,USD,231965,170966,0.0007,7.0,1.0E-4 - 0.0078,-0.0069999998,-0.8974359,0.0001,0.0078,-0.163,0,-0.011,0.0024025,-0.0016025,-0.6670135,0.0020150703,-0.0012150703,-0.6029915,169055,-0.07272727,15,America/New_York,EDT,-14400000,False,False,0.0,8.0E-4 - 0.00122,0.0008,0.04,0.1,50,50,finmb_3017936,0.0008,1630522370,0.0,0.00122,0.00122,0.0008,260552,-1.25,,,0.0078,0.0001,0.0024,0.002,231.97k,170.97k,190.19M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,2:1,"Oct 03, 2005","Dec 30, 2010","Sep 29, 2011",0.00%,0.00%,-147.98%,-987.79%,,,,,-3.63M,-25.23M,-0.1630,,38.09k,0,527.47k,,0.11,-0.01,-2.64M,2.55M,Value,15074,Basic Materials,"GoldSands Development Company engages in metal mining business. The company was formerly known as Constitution Mining Corp. and changed its name to GoldSands Development Company in March 2011. GoldSands Development Company was founded in 2000 and is based in Miraflores, Peru.",Miraflores,51 1 446 6807,Peru,86400,Calle Juan Fanning 219,Gold
