Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,shortLongTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,gmtOffSetMilliseconds,esgPopulated,tradeable,market,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,priceHint,marketState,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingPE,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,fax,industry,address2
t0,EINF,-14163000.0,0,433000,,-316000,,-316000,1185000,1387000,-231000,-231000,,-88000,,,,0,2167000,2398000,780000,-85000,,-316000,-382000,295000.0,7142000.0,-13868000.0,4088000.0,2514000.0,77480000.0,217000.0,-91366000.0,18000.0,60000.0,711000.0,6397000.0,18000.0,198000.0,1961000.0,1033000.0,693000.0,389000.0,,228000.0,-11000.0,-12000.0,-42000.0,460000.0,158000.0,-4000.0,215000.0,20000.0,-295000.0,-30000.0,92000.0,-11000.0,,-4436000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.51 - 0.51,0.51,0.0,0.0,0,0,finmb_249101,Other OTC,"Enterprise Informatics, Inc.",USD,32,0,-14400000,False,False,us_market,PNK,14.638,-366.278,0.71416664,-0.20416665,-0.28588098,1.3261595,-0.8161595,-0.6154309,1710,-0.001392385,15,America/New_York,EDT,0.51,1629485228,0.0,0.51,0.51,0.51,10,ENTERPRISE INFORMATICS INC,4,REGULAR,0,0.0,0.0,0.51 - 7.3,-6.79,-0.930137,0.51,7.3,0.034840826,-1.07,,,7.3,0.51,0.7142,1.3262,32.0,,,,,,,,,,,,,,,,,0.00%,,,1:1000,"May 08, 2008","Sep 29, 2007","Dec 30, 2007",10.59%,13.58%,29.12%,,9.41M,251.19,25.50%,6.33M,1.35M,733k,14.6380,,711k,12.11,768k,,0.31,-366.28,-443k,-501.38k,Value,92121,Technology,37,"Enterprise Informatics, Inc. develops, markets, and supports a suite of integrated document, configuration, and records management software products. It primarily offers eB, an integrated suite, which enables organizations to create, capture, store, manage, share, and distribute critical business information regarding their customers, products, assets, and processes. The eB suite also enables to maintain information about the configuration of its products, assets, and infrastructures. It serves local governments, petrochemicals, utilities, manufacturing, and transportation industries. The company offers its products and services through direct sales force, third-party value added resellers, system integrators, and OEMs principally in the United States and Europe. It was formerly known as Spescom Software, Inc. and changed its name to Enterprise Informatics, Inc. in April 2007. The company was founded in 1981 and is based in San Diego, California. Enterprise Informatics, Inc. operates as a subsidiary of Bentley Systems, Incorporated.",San Diego,858-625-3000,CA,United States,86400,10052 Mesa Ridge Court,858-625-3010,Software—Application,Suite 100
t-1,EINF,-13909000.0,0,332000,,-176000,,-151000,819000,1052000,-99000,-99000,,-82000,,,,-25000,1702000,1801000,650000,-77000,,-151000,-217000,321000.0,6410000.0,-13588000.0,4371000.0,2062000.0,76495000.0,204000.0,-91051000.0,968000.0,27000.0,553000.0,5679000.0,968000.0,211000.0,1503000.0,746000.0,676000.0,338000.0,,-144000.0,-21000.0,-12000.0,-12000.0,76000.0,-153000.0,8000.0,-128000.0,17000.0,-61000.0,-30000.0,109000.0,-21000.0,,-4176000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.51 - 0.51,0.51,0.0,0.0,0,0,finmb_249101,Other OTC,"Enterprise Informatics, Inc.",USD,32,0,-14400000,False,False,us_market,PNK,14.638,-366.278,0.71416664,-0.20416665,-0.28588098,1.3261595,-0.8161595,-0.6154309,1710,-0.001392385,15,America/New_York,EDT,0.51,1629485228,0.0,0.51,0.51,0.51,10,ENTERPRISE INFORMATICS INC,4,REGULAR,0,0.0,0.0,0.51 - 7.3,-6.79,-0.930137,0.51,7.3,0.034840826,-1.07,,,7.3,0.51,0.7142,1.3262,32.0,,,,,,,,,,,,,,,,,0.00%,,,1:1000,"May 08, 2008","Sep 29, 2007","Dec 30, 2007",10.59%,13.58%,29.12%,,9.41M,251.19,25.50%,6.33M,1.35M,733k,14.6380,,711k,12.11,768k,,0.31,-366.28,-443k,-501.38k,Value,92121,Technology,37,"Enterprise Informatics, Inc. develops, markets, and supports a suite of integrated document, configuration, and records management software products. It primarily offers eB, an integrated suite, which enables organizations to create, capture, store, manage, share, and distribute critical business information regarding their customers, products, assets, and processes. The eB suite also enables to maintain information about the configuration of its products, assets, and infrastructures. It serves local governments, petrochemicals, utilities, manufacturing, and transportation industries. The company offers its products and services through direct sales force, third-party value added resellers, system integrators, and OEMs principally in the United States and Europe. It was formerly known as Spescom Software, Inc. and changed its name to Enterprise Informatics, Inc. in April 2007. The company was founded in 1981 and is based in San Diego, California. Enterprise Informatics, Inc. operates as a subsidiary of Bentley Systems, Incorporated.",San Diego,858-625-3000,CA,United States,86400,10052 Mesa Ridge Court,858-625-3010,Software—Application,Suite 100
t-2,EINF,-13726000.0,0,257000,,12000,,12000,803000,1129000,69000,69000,,-55000,,,,0,1764000,1695000,635000,-57000,,12000,-54000,347000.0,6259000.0,-13379000.0,3766000.0,2120000.0,76529000.0,217000.0,-90900000.0,992000.0,26000.0,706000.0,6259000.0,992000.0,143000.0,1604000.0,681000.0,,440000.0,675000.0,-344000.0,-11000.0,-11000.0,-2000.0,-222000.0,-43000.0,3000.0,-33000.0,18000.0,358000.0,-30000.0,119000.0,-11000.0,9000.0,-4655000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.51 - 0.51,0.51,0.0,0.0,0,0,finmb_249101,Other OTC,"Enterprise Informatics, Inc.",USD,32,0,-14400000,False,False,us_market,PNK,14.638,-366.278,0.71416664,-0.20416665,-0.28588098,1.3261595,-0.8161595,-0.6154309,1710,-0.001392385,15,America/New_York,EDT,0.51,1629485228,0.0,0.51,0.51,0.51,10,ENTERPRISE INFORMATICS INC,4,REGULAR,0,0.0,0.0,0.51 - 7.3,-6.79,-0.930137,0.51,7.3,0.034840826,-1.07,,,7.3,0.51,0.7142,1.3262,32.0,,,,,,,,,,,,,,,,,0.00%,,,1:1000,"May 08, 2008","Sep 29, 2007","Dec 30, 2007",10.59%,13.58%,29.12%,,9.41M,251.19,25.50%,6.33M,1.35M,733k,14.6380,,711k,12.11,768k,,0.31,-366.28,-443k,-501.38k,Value,92121,Technology,37,"Enterprise Informatics, Inc. develops, markets, and supports a suite of integrated document, configuration, and records management software products. It primarily offers eB, an integrated suite, which enables organizations to create, capture, store, manage, share, and distribute critical business information regarding their customers, products, assets, and processes. The eB suite also enables to maintain information about the configuration of its products, assets, and infrastructures. It serves local governments, petrochemicals, utilities, manufacturing, and transportation industries. The company offers its products and services through direct sales force, third-party value added resellers, system integrators, and OEMs principally in the United States and Europe. It was formerly known as Spescom Software, Inc. and changed its name to Enterprise Informatics, Inc. in April 2007. The company was founded in 1981 and is based in San Diego, California. Enterprise Informatics, Inc. operates as a subsidiary of Bentley Systems, Incorporated.",San Diego,858-625-3000,CA,United States,86400,10052 Mesa Ridge Court,858-625-3010,Software—Application,Suite 100
t-3,EINF,-13764000.0,0,305000,,1477000,,1452000,1205000,3049000,1539000,1539000,,-53000,,,,25000,3781000,2242000,732000,-62000,,1452000,1386000,373000.0,6654000.0,-13391000.0,3957000.0,2503000.0,76515000.0,191000.0,-90912000.0,1006000.0,5000.0,749000.0,6651000.0,1006000.0,149000.0,1976000.0,1036000.0,,482000.0,675000.0,-2021000.0,-46000.0,-9000.0,-9000.0,27000.0,-555000.0,-3000.0,-497000.0,-12000.0,-71000.0,-30000.0,76000.0,-46000.0,9000.0,-4675000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.51 - 0.51,0.51,0.0,0.0,0,0,finmb_249101,Other OTC,"Enterprise Informatics, Inc.",USD,32,0,-14400000,False,False,us_market,PNK,14.638,-366.278,0.71416664,-0.20416665,-0.28588098,1.3261595,-0.8161595,-0.6154309,1710,-0.001392385,15,America/New_York,EDT,0.51,1629485228,0.0,0.51,0.51,0.51,10,ENTERPRISE INFORMATICS INC,4,REGULAR,0,0.0,0.0,0.51 - 7.3,-6.79,-0.930137,0.51,7.3,0.034840826,-1.07,,,7.3,0.51,0.7142,1.3262,32.0,,,,,,,,,,,,,,,,,0.00%,,,1:1000,"May 08, 2008","Sep 29, 2007","Dec 30, 2007",10.59%,13.58%,29.12%,,9.41M,251.19,25.50%,6.33M,1.35M,733k,14.6380,,711k,12.11,768k,,0.31,-366.28,-443k,-501.38k,Value,92121,Technology,37,"Enterprise Informatics, Inc. develops, markets, and supports a suite of integrated document, configuration, and records management software products. It primarily offers eB, an integrated suite, which enables organizations to create, capture, store, manage, share, and distribute critical business information regarding their customers, products, assets, and processes. The eB suite also enables to maintain information about the configuration of its products, assets, and infrastructures. It serves local governments, petrochemicals, utilities, manufacturing, and transportation industries. The company offers its products and services through direct sales force, third-party value added resellers, system integrators, and OEMs principally in the United States and Europe. It was formerly known as Spescom Software, Inc. and changed its name to Enterprise Informatics, Inc. in April 2007. The company was founded in 1981 and is based in San Diego, California. Enterprise Informatics, Inc. operates as a subsidiary of Bentley Systems, Incorporated.",San Diego,858-625-3000,CA,United States,86400,10052 Mesa Ridge Court,858-625-3010,Software—Application,Suite 100
