Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,repurchaseOfStock,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,currency,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,exchange,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,HLLXF,1411421,46543200,,,-505007,,-505007,480337,10921,-469807,-469807,,-748,,,,0,23781,493588,12860,-35200,,-505007,-505007,479318,1411421,382000,1890739,24164951,-23422450,9246,668920,9000,1219110,470072,668920,56840,1824899,11224,64072,-35187.0,-279393.0,-768459.0,-768459.0,535.0,50593.0,,,,,,1354827,en-US,US,EQUITY,False,Delayed Quote,0.0,0.001 - 0.001,0.001,0.0,0.0,0,0,finmb_3157581,Other OTC,Hellix Ventures Inc.,CAD,4491,7663,0.00090000004,9.000001,1.0E-4 - 0.06,-0.059,-0.98333335,0.0001,0.06,-0.017,USD,4,0.03,0.0058727274,-0.004872727,-0.82972133,0.0100074075,-0.009007407,-0.900074,46540,0.033333335,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.001,1630002616,0.0,0.001,0.001,0.001,6000,HELLIX VENTURES INC,us_market,PRE,5201.43,,,0.06,0.0001,0.0059,0.01,4.49k,7.66k,46.54M,,,,,,,,,,,,,,,,,,,,"Jul 30, 2013","Apr 29, 2014",0.00%,-987.50%,-21.70%,-32.89%,122.11k,0.00,-14.70%,44.31k,-1.19M,-985.59k,-0.0170,,1.22M,0.03,,,3.88,0.03,-742.68k,-1.11M,Value,V6G 2M6,,"Hellix Ventures Inc., a natural resource company, engages in the identification, acquisition, exploration, and development of resource properties in Canada and the United States. It primarily explores for gold and silver properties, as well as for oil and gas properties. The company owns 100% interest in the Athabasca mineral property located in the Nelson Mining District of British Columbia, Canada. It also owns interests in the Golden Knight property located in the Sunset Mining District of Clark County, Nevada. In addition, the company holds working interest in the Star Valley property consisting of 11 producing oil wells located in southern Saskatchewan, Canada. Hellix Ventures Inc. was founded in 1993 and is headquartered in Vancouver, Canada.",Vancouver,604-683-6657,BC,1388448000,Canada,http://www.hellixventures.com,86400,1030 Denman Street,604-684-4407,,Suite 125A
t-1,HLLXF,1916428,46543200,,,-180439,,-180439,332183,11863,-322841,-322841,,-749,,,,0,26255,349096,14392,142402,,-180439,-180439,501161,1916428,368800,2417589,24164951,-22917443,9102,668920,9000,1987569,492059,668920,57231,2351358,61661,107259,16908.0,-285960.0,-447613.0,-447613.0,640.0,1238.0,,,,,,1859299,en-US,US,EQUITY,False,Delayed Quote,0.0,0.001 - 0.001,0.001,0.0,0.0,0,0,finmb_3157581,Other OTC,Hellix Ventures Inc.,CAD,4491,7663,0.00090000004,9.000001,1.0E-4 - 0.06,-0.059,-0.98333335,0.0001,0.06,-0.017,USD,4,0.03,0.0058727274,-0.004872727,-0.82972133,0.0100074075,-0.009007407,-0.900074,46540,0.033333335,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.001,1630002616,0.0,0.001,0.001,0.001,6000,HELLIX VENTURES INC,us_market,PRE,5201.43,,,0.06,0.0001,0.0059,0.01,4.49k,7.66k,46.54M,,,,,,,,,,,,,,,,,,,,"Jul 30, 2013","Apr 29, 2014",0.00%,-987.50%,-21.70%,-32.89%,122.11k,0.00,-14.70%,44.31k,-1.19M,-985.59k,-0.0170,,1.22M,0.03,,,3.88,0.03,-742.68k,-1.11M,Value,V6G 2M6,,"Hellix Ventures Inc., a natural resource company, engages in the identification, acquisition, exploration, and development of resource properties in Canada and the United States. It primarily explores for gold and silver properties, as well as for oil and gas properties. The company owns 100% interest in the Athabasca mineral property located in the Nelson Mining District of British Columbia, Canada. It also owns interests in the Golden Knight property located in the Sunset Mining District of Clark County, Nevada. In addition, the company holds working interest in the Star Valley property consisting of 11 producing oil wells located in southern Saskatchewan, Canada. Hellix Ventures Inc. was founded in 1993 and is headquartered in Vancouver, Canada.",Vancouver,604-683-6657,BC,1388448000,Canada,http://www.hellixventures.com,86400,1030 Denman Street,604-684-4407,,Suite 125A
t-2,HLLXF,2096867,46543200,,,-90880,,-90880,143776,16697,-127600,-127600,,-952,,,,0,35944,163544,19247,36720,,-90880,-90880,473610,2096867,358300,2570477,24164951,-22737004,8959,668920,9000,2435182,464651,668920,57728,2503749,68567,98051,48884.0,12626.0,-26036.0,-26036.0,664.0,2670.0,,,,,,2039098,en-US,US,EQUITY,False,Delayed Quote,0.0,0.001 - 0.001,0.001,0.0,0.0,0,0,finmb_3157581,Other OTC,Hellix Ventures Inc.,CAD,4491,7663,0.00090000004,9.000001,1.0E-4 - 0.06,-0.059,-0.98333335,0.0001,0.06,-0.017,USD,4,0.03,0.0058727274,-0.004872727,-0.82972133,0.0100074075,-0.009007407,-0.900074,46540,0.033333335,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.001,1630002616,0.0,0.001,0.001,0.001,6000,HELLIX VENTURES INC,us_market,PRE,5201.43,,,0.06,0.0001,0.0059,0.01,4.49k,7.66k,46.54M,,,,,,,,,,,,,,,,,,,,"Jul 30, 2013","Apr 29, 2014",0.00%,-987.50%,-21.70%,-32.89%,122.11k,0.00,-14.70%,44.31k,-1.19M,-985.59k,-0.0170,,1.22M,0.03,,,3.88,0.03,-742.68k,-1.11M,Value,V6G 2M6,,"Hellix Ventures Inc., a natural resource company, engages in the identification, acquisition, exploration, and development of resource properties in Canada and the United States. It primarily explores for gold and silver properties, as well as for oil and gas properties. The company owns 100% interest in the Athabasca mineral property located in the Nelson Mining District of British Columbia, Canada. It also owns interests in the Golden Knight property located in the Sunset Mining District of Clark County, Nevada. In addition, the company holds working interest in the Star Valley property consisting of 11 producing oil wells located in southern Saskatchewan, Canada. Hellix Ventures Inc. was founded in 1993 and is headquartered in Vancouver, Canada.",Vancouver,604-683-6657,BC,1388448000,Canada,http://www.hellixventures.com,86400,1030 Denman Street,604-684-4407,,Suite 125A
t-3,HLLXF,2187747,46543200,,,-1039508,,-1039508,160629,17265,-1115871,-1115871,,-686,,,,0,36134,1152005,18869,76363,,-1039508,-1039508,412283,2187747,346000,2600030,24164951,-22646124,8816,668920,9000,2461218,403467,668920,58249,2532781,71563,17467,-61048.0,26014.0,-100568.0,-330808.0,15031.0,25687.0,830240.0,-600000.0,-600000.0,703016.0,830240.0,2129314,en-US,US,EQUITY,False,Delayed Quote,0.0,0.001 - 0.001,0.001,0.0,0.0,0,0,finmb_3157581,Other OTC,Hellix Ventures Inc.,CAD,4491,7663,0.00090000004,9.000001,1.0E-4 - 0.06,-0.059,-0.98333335,0.0001,0.06,-0.017,USD,4,0.03,0.0058727274,-0.004872727,-0.82972133,0.0100074075,-0.009007407,-0.900074,46540,0.033333335,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.001,1630002616,0.0,0.001,0.001,0.001,6000,HELLIX VENTURES INC,us_market,PRE,5201.43,,,0.06,0.0001,0.0059,0.01,4.49k,7.66k,46.54M,,,,,,,,,,,,,,,,,,,,"Jul 30, 2013","Apr 29, 2014",0.00%,-987.50%,-21.70%,-32.89%,122.11k,0.00,-14.70%,44.31k,-1.19M,-985.59k,-0.0170,,1.22M,0.03,,,3.88,0.03,-742.68k,-1.11M,Value,V6G 2M6,,"Hellix Ventures Inc., a natural resource company, engages in the identification, acquisition, exploration, and development of resource properties in Canada and the United States. It primarily explores for gold and silver properties, as well as for oil and gas properties. The company owns 100% interest in the Athabasca mineral property located in the Nelson Mining District of British Columbia, Canada. It also owns interests in the Golden Knight property located in the Sunset Mining District of Clark County, Nevada. In addition, the company holds working interest in the Star Valley property consisting of 11 producing oil wells located in southern Saskatchewan, Canada. Hellix Ventures Inc. was founded in 1993 and is headquartered in Vancouver, Canada.",Vancouver,604-683-6657,BC,1388448000,Canada,http://www.hellixventures.com,86400,1030 Denman Street,604-684-4407,,Suite 125A
