Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,fax,industry,address2
t0,GMNI,-13216534,0,,,-8934086,,-8936140,112558,-3647,-116205,-116205,,-7851869,,,,0,0,116205,3647,-8817881,-2054,-8934086,-8959064,54877764,15362174,-13216534,256746,2272115,3632599,1951,289,-67797854,-298395,2688692,562,12478093,2358051,-2342,11690,932217,304217,2884081,155769,1020595,38585,64813,-1363,-1363,645044,-2567,-66017,1482,64813,10327,720,8055634,-11545876,en-US,US,EQUITY,False,Delayed Quote,0.0009,1630519319,0.0,0.0012,0.0012,0.0009,1855864,-0.00096125866,-0.51645625,19487,-1.311743e-05,15,America/New_York,EDT,-14400000,False,False,USD,4,GEMINI GROUP GLOBAL CORP,PNK,-68.611,0.0013927778,-0.0004927778,-0.35380936,0.0018612586,0,finmb_1535339,Other OTC,Gemini Group Global Corp.,USD,5939314,5345167,0.00039999996,0.7999999,5.0E-4 - 0.0043,-0.0034000003,-0.7906977,0.0005,0.0043,-536.388,PREPRE,0.0,9.0E-4 - 0.0012,0.0009,us_market,-0.34,,,0.0043,0.0005,0.0014,0.0019,5.94M,5.35M,,,,,,,,,,,,5.11%,,,,0.00%,,,1:10,"Jan 13, 2013","Dec 30, 2006","Sep 29, 2007",0.00%,"-20,231.51%",-34.11%,,11.87k,0.51,,-40.59k,-2.39M,-28.9M,-536.3880,,562,0,11.1M,,0.08,-68.61,-590.72k,-8.1M,Value,76112,Consumer Defensive,4,"Gemini Group Global Corp. manufactures and distributes electronic cigarettes, e-liquid, and mods. Its products include prohibition juice, wildcat juice, moonshine juice, city gin, cat daddy, and white lightning juice. The company has the strategic alliance with Royal Vapour. The company was formerly known as Hull Energy, Inc. and changed its name to Gemini Group Global Corporation in September 2013. Gemini Group Global Corp. was founded in 1989 and is based in Fort Worth, Texas with manufacturing facility in California, United States and vapor shop in Las Vegas, Nevada.",Fort Worth,888-543-5551,TX,United States,http://www.geminivapour.com,86400,5601 Bridge Street,888-531-4931,Tobacco,Suite 300
t-1,GMNI,-13241653,0,,,-11493020,,-11388936,478795,-31404,-510199,-510199,,-1460208,,,,0,7199,517398,38603,-10982821,104084,-11493020,-11411269,45985970,16970109,-13241653,375077,2476095,5198660,196,334,-58838790,-389029,4111952,3129,13867831,1939578,-92976,13172,1073536,250720,3102278,166096,982010,222058,134881,-64372,-64372,627428,-119771,-190280,1482,134881,39313,3331,9905665,-12794295,en-US,US,EQUITY,False,Delayed Quote,0.0009,1630519319,0.0,0.0012,0.0012,0.0009,1855864,-0.00096125866,-0.51645625,19487,-1.311743e-05,15,America/New_York,EDT,-14400000,False,False,USD,4,GEMINI GROUP GLOBAL CORP,PNK,-68.611,0.0013927778,-0.0004927778,-0.35380936,0.0018612586,0,finmb_1535339,Other OTC,Gemini Group Global Corp.,USD,5939314,5345167,0.00039999996,0.7999999,5.0E-4 - 0.0043,-0.0034000003,-0.7906977,0.0005,0.0043,-536.388,PREPRE,0.0,9.0E-4 - 0.0012,0.0009,us_market,-0.34,,,0.0043,0.0005,0.0014,0.0019,5.94M,5.35M,,,,,,,,,,,,5.11%,,,,0.00%,,,1:10,"Jan 13, 2013","Dec 30, 2006","Sep 29, 2007",0.00%,"-20,231.51%",-34.11%,,11.87k,0.51,,-40.59k,-2.39M,-28.9M,-536.3880,,562,0,11.1M,,0.08,-68.61,-590.72k,-8.1M,Value,76112,Consumer Defensive,4,"Gemini Group Global Corp. manufactures and distributes electronic cigarettes, e-liquid, and mods. Its products include prohibition juice, wildcat juice, moonshine juice, city gin, cat daddy, and white lightning juice. The company has the strategic alliance with Royal Vapour. The company was formerly known as Hull Energy, Inc. and changed its name to Gemini Group Global Corporation in September 2013. Gemini Group Global Corp. was founded in 1989 and is based in Fort Worth, Texas with manufacturing facility in California, United States and vapor shop in Las Vegas, Nevada.",Fort Worth,888-543-5551,TX,United States,http://www.geminivapour.com,86400,5601 Bridge Street,888-531-4931,Tobacco,Suite 300
t-2,GMNI,-5729522,0,,,-3685456,,13048661,793452,-12247,-805699,-805699,,-1366150,,,,0,2948,808647,15195,-2879757,16734117,-3685456,13036160,44798724,19082130,-5729522,774456,4396429,14806057,56725,3384,-47427521,-3157450,14257931,122900,15793002,1454614,-3157450,14654,533472,158871,3289128,205409,759953,-53172,757820,-335639,-335639,644288,121600,-300581,1483,757820,2609,3356,-14106934,-15259530,en-US,US,EQUITY,False,Delayed Quote,0.0009,1630519319,0.0,0.0012,0.0012,0.0009,1855864,-0.00096125866,-0.51645625,19487,-1.311743e-05,15,America/New_York,EDT,-14400000,False,False,USD,4,GEMINI GROUP GLOBAL CORP,PNK,-68.611,0.0013927778,-0.0004927778,-0.35380936,0.0018612586,0,finmb_1535339,Other OTC,Gemini Group Global Corp.,USD,5939314,5345167,0.00039999996,0.7999999,5.0E-4 - 0.0043,-0.0034000003,-0.7906977,0.0005,0.0043,-536.388,PREPRE,0.0,9.0E-4 - 0.0012,0.0009,us_market,-0.34,,,0.0043,0.0005,0.0014,0.0019,5.94M,5.35M,,,,,,,,,,,,5.11%,,,,0.00%,,,1:10,"Jan 13, 2013","Dec 30, 2006","Sep 29, 2007",0.00%,"-20,231.51%",-34.11%,,11.87k,0.51,,-40.59k,-2.39M,-28.9M,-536.3880,,562,0,11.1M,,0.08,-68.61,-590.72k,-8.1M,Value,76112,Consumer Defensive,4,"Gemini Group Global Corp. manufactures and distributes electronic cigarettes, e-liquid, and mods. Its products include prohibition juice, wildcat juice, moonshine juice, city gin, cat daddy, and white lightning juice. The company has the strategic alliance with Royal Vapour. The company was formerly known as Hull Energy, Inc. and changed its name to Gemini Group Global Corporation in September 2013. Gemini Group Global Corp. was founded in 1989 and is based in Fort Worth, Texas with manufacturing facility in California, United States and vapor shop in Las Vegas, Nevada.",Fort Worth,888-543-5551,TX,United States,http://www.geminivapour.com,86400,5601 Bridge Street,888-531-4931,Tobacco,Suite 300
t-3,GMNI,-18429726,0,,,-3685456,,0,793452,0,0,-805699,,-1366150,,,,0,0,0,0,0,16734117,-3685456,13036160,44076801,21220739,-18429726,933584,4977295,4076506,52717,2834686,-60463681,-2095563,950702,1300,17725019,3116908,-2095563,16137,3109667,65663,3495720,208018,813125,0,757820,-335639,-335639,644288,121600,-300581,1483,757820,2609,3356,-14106934,-14615352,en-US,US,EQUITY,False,Delayed Quote,0.0009,1630519319,0.0,0.0012,0.0012,0.0009,1855864,-0.00096125866,-0.51645625,19487,-1.311743e-05,15,America/New_York,EDT,-14400000,False,False,USD,4,GEMINI GROUP GLOBAL CORP,PNK,-68.611,0.0013927778,-0.0004927778,-0.35380936,0.0018612586,0,finmb_1535339,Other OTC,Gemini Group Global Corp.,USD,5939314,5345167,0.00039999996,0.7999999,5.0E-4 - 0.0043,-0.0034000003,-0.7906977,0.0005,0.0043,-536.388,PREPRE,0.0,9.0E-4 - 0.0012,0.0009,us_market,-0.34,,,0.0043,0.0005,0.0014,0.0019,5.94M,5.35M,,,,,,,,,,,,5.11%,,,,0.00%,,,1:10,"Jan 13, 2013","Dec 30, 2006","Sep 29, 2007",0.00%,"-20,231.51%",-34.11%,,11.87k,0.51,,-40.59k,-2.39M,-28.9M,-536.3880,,562,0,11.1M,,0.08,-68.61,-590.72k,-8.1M,Value,76112,Consumer Defensive,4,"Gemini Group Global Corp. manufactures and distributes electronic cigarettes, e-liquid, and mods. Its products include prohibition juice, wildcat juice, moonshine juice, city gin, cat daddy, and white lightning juice. The company has the strategic alliance with Royal Vapour. The company was formerly known as Hull Energy, Inc. and changed its name to Gemini Group Global Corporation in September 2013. Gemini Group Global Corp. was founded in 1989 and is based in Fort Worth, Texas with manufacturing facility in California, United States and vapor shop in Las Vegas, Nevada.",Fort Worth,888-543-5551,TX,United States,http://www.geminivapour.com,86400,5601 Bridge Street,888-531-4931,Tobacco,Suite 300
