Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,propertyPlantEquipment,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,country,maxAge,address1,industry
t0,DANR,-530992.0,88438000,,,-5325150,,-5325150,59918,-30000,-4770098,-4770098,,-555052,,,,0,0,4770098,30000,-555052,,-5325150,-5325150,30584749.0,540497.0,-530992.0,9505.0,57822.0,-31173382.0,-181.0,9505.0,540497.0,-181.0,9505.0,,,0,10361,30000,30000,55604,-4547,-181,-34366,4680180,555000,-530992.0,en-US,US,EQUITY,False,Delayed Quote,12531,0.00029999999,3.0,1.0E-4 - 0.0029,-0.0025,-0.86206895,0.0001,0.0029,-0.009,0.0001222222,0.00027777778,2.2727277,0.0007106338,-0.00031063383,141500,4,0.0,-0.044444446,15,America/New_York,EDT,-14400000,4.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_30048094,Other OTC,Dana Resources,USD,92163,USD,False,False,0.0004,1630091097,0.0,0.0004,0.0004,0.0004,2000,PNK,DANA RESOURCES,0,us_market,REGULAR,-0.205,-0.43712223,0.82,,,0.0029,0.0001,0.0001,0.0007,92.16k,12.53k,88.44M,,,,,,,,,,,,,,,0.00%,,,71:1,"Feb 20, 2008","Jun 29, 2009","Dec 30, 2009",0.00%,0.00%,-130.35%,-237.69%,,,,-100.05k,9.29M,-10.32M,-0.2050,,9.51k,0,152.91k,,0.02,-0.01,-397.88k,3.15M,Value,R5 18,Basic Materials,"Dana Resources, an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Peru. It holds interests in 19 patented and unpatented base and precious metal mining properties located in the provinces of Chumbivilcas, Recuay, Piura, Huaytara, Pallasca, and Huancabamba. The company was formerly known as DanaPC.com and changed its name to Dana Resources in February 2007. Dana Resources was founded in 2006 and is based in Miraflores, Peru.",Miraflores,380 44 331 6201,Peru,86400,810 Malecon Cisneros,Other Industrial Metals & Mining
t-1,DANR,4219339.0,88438000,,,-4801310,,-4801310,90527,-30000,-4800708,-4800708,,-602,,,,0,0,4800708,30000,-602,,-4801310,-4801310,30017249.0,474893.0,4219339.0,4694232.0,50322.0,-25848232.0,,14052.0,474893.0,,14052.0,4680180.0,,0,-10361,93915,93915,33625,6411,-181,-87504,4680181,555000,-460841.0,en-US,US,EQUITY,False,Delayed Quote,12531,0.00029999999,3.0,1.0E-4 - 0.0029,-0.0025,-0.86206895,0.0001,0.0029,-0.009,0.0001222222,0.00027777778,2.2727277,0.0007106338,-0.00031063383,141500,4,0.0,-0.044444446,15,America/New_York,EDT,-14400000,4.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_30048094,Other OTC,Dana Resources,USD,92163,USD,False,False,0.0004,1630091097,0.0,0.0004,0.0004,0.0004,2000,PNK,DANA RESOURCES,0,us_market,REGULAR,-0.205,-0.43712223,0.82,,,0.0029,0.0001,0.0001,0.0007,92.16k,12.53k,88.44M,,,,,,,,,,,,,,,0.00%,,,71:1,"Feb 20, 2008","Jun 29, 2009","Dec 30, 2009",0.00%,0.00%,-130.35%,-237.69%,,,,-100.05k,9.29M,-10.32M,-0.2050,,9.51k,0,152.91k,,0.02,-0.01,-397.88k,3.15M,Value,R5 18,Basic Materials,"Dana Resources, an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Peru. It holds interests in 19 patented and unpatented base and precious metal mining properties located in the provinces of Chumbivilcas, Recuay, Piura, Huaytara, Pallasca, and Huancabamba. The company was formerly known as DanaPC.com and changed its name to Dana Resources in February 2007. Dana Resources was founded in 2006 and is based in Miraflores, Peru.",Miraflores,380 44 331 6201,Peru,86400,810 Malecon Cisneros,Other Industrial Metals & Mining
t-2,DANR,9020649.0,88438000,,,-86581,,-86581,56581,-30000,-86581,-86581,,-602,,,,0,0,86581,30000,0,,-86581,-86581,30017249.0,347353.0,9020649.0,9368002.0,50322.0,-21046922.0,,7641.0,347353.0,,7641.0,9360361.0,,-7500,-10361,49000,49000,-176554,-231996,-181,-270635,4680181,555000,-339712.0,en-US,US,EQUITY,False,Delayed Quote,12531,0.00029999999,3.0,1.0E-4 - 0.0029,-0.0025,-0.86206895,0.0001,0.0029,-0.009,0.0001222222,0.00027777778,2.2727277,0.0007106338,-0.00031063383,141500,4,0.0,-0.044444446,15,America/New_York,EDT,-14400000,4.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_30048094,Other OTC,Dana Resources,USD,92163,USD,False,False,0.0004,1630091097,0.0,0.0004,0.0004,0.0004,2000,PNK,DANA RESOURCES,0,us_market,REGULAR,-0.205,-0.43712223,0.82,,,0.0029,0.0001,0.0001,0.0007,92.16k,12.53k,88.44M,,,,,,,,,,,,,,,0.00%,,,71:1,"Feb 20, 2008","Jun 29, 2009","Dec 30, 2009",0.00%,0.00%,-130.35%,-237.69%,,,,-100.05k,9.29M,-10.32M,-0.2050,,9.51k,0,152.91k,,0.02,-0.01,-397.88k,3.15M,Value,R5 18,Basic Materials,"Dana Resources, an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Peru. It holds interests in 19 patented and unpatented base and precious metal mining properties located in the provinces of Chumbivilcas, Recuay, Piura, Huaytara, Pallasca, and Huancabamba. The company was formerly known as DanaPC.com and changed its name to Dana Resources in February 2007. Dana Resources was founded in 2006 and is based in Miraflores, Peru.",Miraflores,380 44 331 6201,Peru,86400,810 Malecon Cisneros,Other Industrial Metals & Mining
t-3,DANR,9107230.0,88438000,,,-100014,,-100014,70014,-30000,-100014,-100014,,-602,,,,0,0,100014,30000,0,,-100014,-100014,30017249.0,243907.0,9107230.0,9351137.0,50322.0,-20960341.0,,1137.0,243907.0,,1137.0,9350000.0,7500.0,-5465,-10361,49000,49000,109402,-5378,-181,-5378,4680181,555000,-242770.0,en-US,US,EQUITY,False,Delayed Quote,12531,0.00029999999,3.0,1.0E-4 - 0.0029,-0.0025,-0.86206895,0.0001,0.0029,-0.009,0.0001222222,0.00027777778,2.2727277,0.0007106338,-0.00031063383,141500,4,0.0,-0.044444446,15,America/New_York,EDT,-14400000,4.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_30048094,Other OTC,Dana Resources,USD,92163,USD,False,False,0.0004,1630091097,0.0,0.0004,0.0004,0.0004,2000,PNK,DANA RESOURCES,0,us_market,REGULAR,-0.205,-0.43712223,0.82,,,0.0029,0.0001,0.0001,0.0007,92.16k,12.53k,88.44M,,,,,,,,,,,,,,,0.00%,,,71:1,"Feb 20, 2008","Jun 29, 2009","Dec 30, 2009",0.00%,0.00%,-130.35%,-237.69%,,,,-100.05k,9.29M,-10.32M,-0.2050,,9.51k,0,152.91k,,0.02,-0.01,-397.88k,3.15M,Value,R5 18,Basic Materials,"Dana Resources, an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Peru. It holds interests in 19 patented and unpatented base and precious metal mining properties located in the provinces of Chumbivilcas, Recuay, Piura, Huaytara, Pallasca, and Huancabamba. The company was formerly known as DanaPC.com and changed its name to Dana Resources in February 2007. Dana Resources was founded in 2006 and is based in Miraflores, Peru.",Miraflores,380 44 331 6201,Peru,86400,810 Malecon Cisneros,Other Industrial Metals & Mining
