Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermDebt,inventory,accountsPayable,treasuryStock,otherStockholderEquity,shortLongTermDebt,netReceivables,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,otherCashflowsFromFinancingActivities,changeToNetincome,changeToAccountReceivables,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,HVCW,-9478786.0,192392000,,,-4448976,-82288,-4448181,275818,485371,-53408,-53408,222858,-486653,,,,0,672481,725889,187110,-4395568,,-4448976,-4448181,789051.0,12243630.0,-9478786.0,183114.0,10164872.0,2682566.0,14998.0,321811.0,-10282835.0,1350869.0,79606.0,10935086.0,851024.0,480673.0,1308544.0,71382.0,180112.0,,,,,39313.0,-593916.0,723358.0,704141.0,-46365.0,13192.0,-97033.0,50576.0,7334.0,4844.0,-19217.0,3908120.0,,,-10454413.0,en-US,US,EQUITY,False,Delayed Quote,19669087,0.00105,21.0,5.0E-5 - 0.0043,-0.0032000002,-0.74418604,5e-05,0.0043,-0.006,0.0014833333,-0.0003833333,-0.25842696,0.0019195804,-0.0008195804,63489,4,0.0,-0.18333334,15,America/New_York,EDT,-14400000,0.001 - 0.0012,0.0011,0.0,0.0,0,0,finmb_66631064,Other OTC,Harrison Vickers and Waterman Inc.,USD,80356607,USD,False,False,0.0011,1630525782,0.0,0.0011,0.0012,0.001,13912485,PNK,HARRISON VICKERS & WATERMAN INC,0,us_market,PRE,-0.006,-0.4269581,51.46,,,0.0043,0.0,0.0015,0.0019,80.36M,19.67M,192.39M,,,2.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2019","Mar 30, 2016",-223.22%,-9.96%,-8.53%,,4.26M,0.00,"1,367.20%",3.03M,-157.05k,-9.51M,-0.0060,,79.61k,0,1.36M,,0.41,-0.01,-145.48k,-531.37k,Value,33408,Consumer Defensive,"Harrison Vickers and Waterman Inc., through its subsidiary, Attitude Beer Holding Co., holds interest in the World of Beer tavern in West Hartford, Connecticut. It sells a selection of approximately 500 craft and imported beers along with tavern food, and other spirits and cocktails. The company was formerly known as Sharp Performance, Inc. and changed its name to Harrison Vickers and Waterman Inc. in October 2013. The company was founded in 2008 and is based in North Palm Beach, Florida. The company is a subsidiary of Attitude Drinks Incorporated.",North Palm Beach,561-227-2727,FL,United States,http://hvwenergy.com,86400,712 U.S. Highway 1,Beverages—Brewers,Suite 200
t-1,HVCW,-5201441.0,192392000,,,5561386,-62277,5568873,274992,556289,-67149,-67149,308344,-396914,,,,0,772936,840085,216647,5628535,,5561386,5568873,719913.0,7337746.0,-5201441.0,188349.0,5746209.0,2074038.0,13300.0,273660.0,-5834654.0,745089.0,66414.0,6426210.0,893224.0,435725.0,911536.0,76226.0,183000.0,-100000.0,-100000.0,,,33508.0,-513484.0,548000.0,521337.0,-130688.0,-85958.0,-93811.0,34866.0,7334.0,-1147.0,-26663.0,-6032936.0,100748.0,-484.0,-5990485.0,en-US,US,EQUITY,False,Delayed Quote,19669087,0.00105,21.0,5.0E-5 - 0.0043,-0.0032000002,-0.74418604,5e-05,0.0043,-0.006,0.0014833333,-0.0003833333,-0.25842696,0.0019195804,-0.0008195804,63489,4,0.0,-0.18333334,15,America/New_York,EDT,-14400000,0.001 - 0.0012,0.0011,0.0,0.0,0,0,finmb_66631064,Other OTC,Harrison Vickers and Waterman Inc.,USD,80356607,USD,False,False,0.0011,1630525782,0.0,0.0011,0.0012,0.001,13912485,PNK,HARRISON VICKERS & WATERMAN INC,0,us_market,PRE,-0.006,-0.4269581,51.46,,,0.0043,0.0,0.0015,0.0019,80.36M,19.67M,192.39M,,,2.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2019","Mar 30, 2016",-223.22%,-9.96%,-8.53%,,4.26M,0.00,"1,367.20%",3.03M,-157.05k,-9.51M,-0.0060,,79.61k,0,1.36M,,0.41,-0.01,-145.48k,-531.37k,Value,33408,Consumer Defensive,"Harrison Vickers and Waterman Inc., through its subsidiary, Attitude Beer Holding Co., holds interest in the World of Beer tavern in West Hartford, Connecticut. It sells a selection of approximately 500 craft and imported beers along with tavern food, and other spirits and cocktails. The company was formerly known as Sharp Performance, Inc. and changed its name to Harrison Vickers and Waterman Inc. in October 2013. The company was founded in 2008 and is based in North Palm Beach, Florida. The company is a subsidiary of Attitude Drinks Incorporated.",North Palm Beach,561-227-2727,FL,United States,http://hvwenergy.com,86400,712 U.S. Highway 1,Beverages—Brewers,Suite 200
t-2,HVCW,-10753624.0,192392000,,,-7223553,-28128,-7243580,285569,583850,6653,6653,251526,-357789,,,,0,817833,811180,233983,-7230206,,-7223553,-7243580,637269.0,12437268.0,-10753624.0,193586.0,11190307.0,1655526.0,12634.0,231157.0,-11403527.0,237326.0,152372.0,11843792.0,927604.0,490596.0,593476.0,75079.0,128417.0,,,,,64893.0,-40000.0,80000.0,13852.0,9478.0,-73716.0,-47568.0,34865.0,7334.0,5970.0,-66148.0,6892444.0,-100748.0,-484.0,-11353196.0,en-US,US,EQUITY,False,Delayed Quote,19669087,0.00105,21.0,5.0E-5 - 0.0043,-0.0032000002,-0.74418604,5e-05,0.0043,-0.006,0.0014833333,-0.0003833333,-0.25842696,0.0019195804,-0.0008195804,63489,4,0.0,-0.18333334,15,America/New_York,EDT,-14400000,0.001 - 0.0012,0.0011,0.0,0.0,0,0,finmb_66631064,Other OTC,Harrison Vickers and Waterman Inc.,USD,80356607,USD,False,False,0.0011,1630525782,0.0,0.0011,0.0012,0.001,13912485,PNK,HARRISON VICKERS & WATERMAN INC,0,us_market,PRE,-0.006,-0.4269581,51.46,,,0.0043,0.0,0.0015,0.0019,80.36M,19.67M,192.39M,,,2.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2019","Mar 30, 2016",-223.22%,-9.96%,-8.53%,,4.26M,0.00,"1,367.20%",3.03M,-157.05k,-9.51M,-0.0060,,79.61k,0,1.36M,,0.41,-0.01,-145.48k,-531.37k,Value,33408,Consumer Defensive,"Harrison Vickers and Waterman Inc., through its subsidiary, Attitude Beer Holding Co., holds interest in the World of Beer tavern in West Hartford, Connecticut. It sells a selection of approximately 500 craft and imported beers along with tavern food, and other spirits and cocktails. The company was formerly known as Sharp Performance, Inc. and changed its name to Harrison Vickers and Waterman Inc. in October 2013. The company was founded in 2008 and is based in North Palm Beach, Florida. The company is a subsidiary of Attitude Drinks Incorporated.",North Palm Beach,561-227-2727,FL,United States,http://hvwenergy.com,86400,712 U.S. Highway 1,Beverages—Brewers,Suite 200
t-3,HVCW,-3510045.0,192392000,,,-3503747,17995,-3550478,1180847,1188596,-60106,-60106,251526,-1443491,,,,0,1639742,1699848,451146,-3443641,,-3503747,-3550478,637267.0,6086085.0,-3510045.0,198823.0,4412890.0,2594045.0,12634.0,131423.0,-4159946.0,198823.0,226088.0,5875563.0,962470.0,1432752.0,210522.0,81049.0,367974.0,,,144699.0,950000.0,398673.0,-1234563.0,1895432.0,1895432.0,-478057.0,226088.0,-434781.0,67855.0,7334.0,-81049.0,-66148.0,2046881.0,-100748.0,-1234563.0,-4442811.0,en-US,US,EQUITY,False,Delayed Quote,19669087,0.00105,21.0,5.0E-5 - 0.0043,-0.0032000002,-0.74418604,5e-05,0.0043,-0.006,0.0014833333,-0.0003833333,-0.25842696,0.0019195804,-0.0008195804,63489,4,0.0,-0.18333334,15,America/New_York,EDT,-14400000,0.001 - 0.0012,0.0011,0.0,0.0,0,0,finmb_66631064,Other OTC,Harrison Vickers and Waterman Inc.,USD,80356607,USD,False,False,0.0011,1630525782,0.0,0.0011,0.0012,0.001,13912485,PNK,HARRISON VICKERS & WATERMAN INC,0,us_market,PRE,-0.006,-0.4269581,51.46,,,0.0043,0.0,0.0015,0.0019,80.36M,19.67M,192.39M,,,2.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2019","Mar 30, 2016",-223.22%,-9.96%,-8.53%,,4.26M,0.00,"1,367.20%",3.03M,-157.05k,-9.51M,-0.0060,,79.61k,0,1.36M,,0.41,-0.01,-145.48k,-531.37k,Value,33408,Consumer Defensive,"Harrison Vickers and Waterman Inc., through its subsidiary, Attitude Beer Holding Co., holds interest in the World of Beer tavern in West Hartford, Connecticut. It sells a selection of approximately 500 craft and imported beers along with tavern food, and other spirits and cocktails. The company was formerly known as Sharp Performance, Inc. and changed its name to Harrison Vickers and Waterman Inc. in October 2013. The company was founded in 2008 and is based in North Palm Beach, Florida. The company is a subsidiary of Attitude Drinks Incorporated.",North Palm Beach,561-227-2727,FL,United States,http://hvwenergy.com,86400,712 U.S. Highway 1,Beverages—Brewers,Suite 200
