Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermDebt,intangibleAssets,otherCurrentLiab,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,fax,industry
t0,HIMR,-2184193.0,95530,,,-88491,,-88491,86299,-200,-87500,-87500,1001,-881,,,,0,0,87500,200,-991,,-88491,-88491,2032566.0,839886.0,-2184193.0,50815.0,5651.0,-4222410.0,-1.0,1006.0,824186.0,177419.0,2662.0,48154.0,15700.0,,,,,0,-2662,51016,51016,21143,1006,-47348,20000,-2662,-776032.0,en-US,US,EQUITY,False,Delayed Quote,-24.999994,3.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_39091839,Other OTC,"Hollund Industrial Marine, Inc.",USD,15132113,19643429,0.00025,5.0000005,5.0E-5 - 0.0023,-0.002,-0.86956525,5e-05,0.0023,USD,False,False,us_market,0.0003,1630523481,-9.9999976e-05,0.0003,0.0004,0.0003,2546780,PRE,HOLLUND INDUSTRIAL MARINE INC,PNK,-1.441,0,-3.648,0.0004422222,-0.00014222218,-0.32160798,0.0007448252,-0.00044482521,-0.59722096,23882,-8.2236846e-05,15,America/New_York,EDT,-14400000,4,,,,0.0023,0.0,0.0004,0.0007,15.13M,19.64M,95.53k,,,,,,,,,,,,,,,,,,1:5000,"Sep 07, 2014","Dec 30, 2012","Sep 29, 2012",0.00%,0.00%,"-2,943.84%",,,,,-330,,-1.21M,-1.4410,,1.01k,0,278.4k,,0.04,-3.65,-163.53k,-1.07M,Value,98230,Industrials,2,"Hollund Industrial Marine, Inc., a development stage company, provides integrated project development services and solutions primarily for the underwater forest management. The company's integrated project development services comprise resource and needs assessment, permitting, environmental and project planning, logging, milling, product branding, marketing, and sales. It also provides Tiger-Lynk machine system, a robot manipulator for heavy construction and repair, forest recovery, mining, flood emergency response, diver assistance, cutting, drilling, grappling, welding, dredging, raking, heavy transport, and other remote services. The company was formerly known as Hollund Industrial, Inc. and changed its name to Hollund Industrial Marine, Inc. in July 2008. Hollund Industrial Marine, Inc. is headquartered in Blaine, Washington.",Blaine,707-659-6631,WA,United States,86400,107-417 477 Peace Portal Drive,604-534-8118,Specialty Industrial Machinery
t-1,HIMR,-1933926.0,95530,,,-22159,,-22159,22035,0,-22035,-22035,1001,-124,,,,0,0,22035,0,-124,,-22159,-22159,1229953.0,1224361.0,-1933926.0,,348.0,-3164227.0,,,1224361.0,164125.0,,,,,,,,0,-2662,6410,6410,15749,1006,-6410,20000,-2662,,en-US,US,EQUITY,False,Delayed Quote,-24.999994,3.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_39091839,Other OTC,"Hollund Industrial Marine, Inc.",USD,15132113,19643429,0.00025,5.0000005,5.0E-5 - 0.0023,-0.002,-0.86956525,5e-05,0.0023,USD,False,False,us_market,0.0003,1630523481,-9.9999976e-05,0.0003,0.0004,0.0003,2546780,PRE,HOLLUND INDUSTRIAL MARINE INC,PNK,-1.441,0,-3.648,0.0004422222,-0.00014222218,-0.32160798,0.0007448252,-0.00044482521,-0.59722096,23882,-8.2236846e-05,15,America/New_York,EDT,-14400000,4,,,,0.0023,0.0,0.0004,0.0007,15.13M,19.64M,95.53k,,,,,,,,,,,,,,,,,,1:5000,"Sep 07, 2014","Dec 30, 2012","Sep 29, 2012",0.00%,0.00%,"-2,943.84%",,,,,-330,,-1.21M,-1.4410,,1.01k,0,278.4k,,0.04,-3.65,-163.53k,-1.07M,Value,98230,Industrials,2,"Hollund Industrial Marine, Inc., a development stage company, provides integrated project development services and solutions primarily for the underwater forest management. The company's integrated project development services comprise resource and needs assessment, permitting, environmental and project planning, logging, milling, product branding, marketing, and sales. It also provides Tiger-Lynk machine system, a robot manipulator for heavy construction and repair, forest recovery, mining, flood emergency response, diver assistance, cutting, drilling, grappling, welding, dredging, raking, heavy transport, and other remote services. The company was formerly known as Hollund Industrial, Inc. and changed its name to Hollund Industrial Marine, Inc. in July 2008. Hollund Industrial Marine, Inc. is headquartered in Blaine, Washington.",Blaine,707-659-6631,WA,United States,86400,107-417 477 Peace Portal Drive,604-534-8118,Specialty Industrial Machinery
t-2,HIMR,-1911859.0,95530,,,79002178,,79002178,34400,-3600,-38524,-38524,524,-52898,,,,0,0,38524,3600,79040702,,79002178,79002178,1229907.0,1205463.0,-1911859.0,3261.0,302.0,-3142068.0,,,1205463.0,157715.0,,3261.0,,,,,,0,-2662,14989,14989,126842,164,-14825,-79143845,-2662,-1202202.0,en-US,US,EQUITY,False,Delayed Quote,-24.999994,3.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_39091839,Other OTC,"Hollund Industrial Marine, Inc.",USD,15132113,19643429,0.00025,5.0000005,5.0E-5 - 0.0023,-0.002,-0.86956525,5e-05,0.0023,USD,False,False,us_market,0.0003,1630523481,-9.9999976e-05,0.0003,0.0004,0.0003,2546780,PRE,HOLLUND INDUSTRIAL MARINE INC,PNK,-1.441,0,-3.648,0.0004422222,-0.00014222218,-0.32160798,0.0007448252,-0.00044482521,-0.59722096,23882,-8.2236846e-05,15,America/New_York,EDT,-14400000,4,,,,0.0023,0.0,0.0004,0.0007,15.13M,19.64M,95.53k,,,,,,,,,,,,,,,,,,1:5000,"Sep 07, 2014","Dec 30, 2012","Sep 29, 2012",0.00%,0.00%,"-2,943.84%",,,,,-330,,-1.21M,-1.4410,,1.01k,0,278.4k,,0.04,-3.65,-163.53k,-1.07M,Value,98230,Industrials,2,"Hollund Industrial Marine, Inc., a development stage company, provides integrated project development services and solutions primarily for the underwater forest management. The company's integrated project development services comprise resource and needs assessment, permitting, environmental and project planning, logging, milling, product branding, marketing, and sales. It also provides Tiger-Lynk machine system, a robot manipulator for heavy construction and repair, forest recovery, mining, flood emergency response, diver assistance, cutting, drilling, grappling, welding, dredging, raking, heavy transport, and other remote services. The company was formerly known as Hollund Industrial, Inc. and changed its name to Hollund Industrial Marine, Inc. in July 2008. Hollund Industrial Marine, Inc. is headquartered in Blaine, Washington.",Blaine,707-659-6631,WA,United States,86400,107-417 477 Peace Portal Drive,604-534-8118,Specialty Industrial Machinery
t-3,HIMR,-83978039.0,95530,,,17637606,,17637606,98851,-200,-99366,-99366,315,-52428,,,,0,0,99366,200,17736972,,17637606,17637606,1281287.0,82590997.0,-80978039.0,3012958.0,482.0,-82144246.0,,-165.0,82218408.0,2078940.0,,12958.0,372589.0,3000000.0,79157600.0,-115562.0,-115562.0,0,-2662,7352,7352,144442,164,-7352,-17789400,-2662,-82205450.0,en-US,US,EQUITY,False,Delayed Quote,-24.999994,3.0E-4 - 4.0E-4,0.0004,0.0,0.0,0,0,finmb_39091839,Other OTC,"Hollund Industrial Marine, Inc.",USD,15132113,19643429,0.00025,5.0000005,5.0E-5 - 0.0023,-0.002,-0.86956525,5e-05,0.0023,USD,False,False,us_market,0.0003,1630523481,-9.9999976e-05,0.0003,0.0004,0.0003,2546780,PRE,HOLLUND INDUSTRIAL MARINE INC,PNK,-1.441,0,-3.648,0.0004422222,-0.00014222218,-0.32160798,0.0007448252,-0.00044482521,-0.59722096,23882,-8.2236846e-05,15,America/New_York,EDT,-14400000,4,,,,0.0023,0.0,0.0004,0.0007,15.13M,19.64M,95.53k,,,,,,,,,,,,,,,,,,1:5000,"Sep 07, 2014","Dec 30, 2012","Sep 29, 2012",0.00%,0.00%,"-2,943.84%",,,,,-330,,-1.21M,-1.4410,,1.01k,0,278.4k,,0.04,-3.65,-163.53k,-1.07M,Value,98230,Industrials,2,"Hollund Industrial Marine, Inc., a development stage company, provides integrated project development services and solutions primarily for the underwater forest management. The company's integrated project development services comprise resource and needs assessment, permitting, environmental and project planning, logging, milling, product branding, marketing, and sales. It also provides Tiger-Lynk machine system, a robot manipulator for heavy construction and repair, forest recovery, mining, flood emergency response, diver assistance, cutting, drilling, grappling, welding, dredging, raking, heavy transport, and other remote services. The company was formerly known as Hollund Industrial, Inc. and changed its name to Hollund Industrial Marine, Inc. in July 2008. Hollund Industrial Marine, Inc. is headquartered in Blaine, Washington.",Blaine,707-659-6631,WA,United States,86400,107-417 477 Peace Portal Drive,604-534-8118,Specialty Industrial Machinery
