Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,accountsPayable,goodWill,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,HYBOF,6988347.0,245520992,,,-2071958,,-2071958,1356063,1607351,-559687,-559687,60006,,,,,0,3705839,4265526,2098488,-1512271,,-2071958,-2071958,17538723.0,6988347.0,94961.0,24527070.0,51368164.0,3058734.0,-44879023.0,851695.0,499206.0,-1.0,1083379.0,5399711.0,499206.0,14374353.0,6411043.0,3741675.0,1604358.0,5744346.0,4327717.0,,-871385.0,-1282728.0,-417292.0,3648849.0,1223123.0,-366059.0,-2732180.0,739172.0,245407.0,4066141.0,-1996539.0,-1282728.0,,1011332.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0018 - 0.0018,0.0018,finmb_548234128,Other OTC,HyperBlock Inc.,USD,42722,77940,0.00179,179.0,1.0E-5 - 0.02,-0.018199999,-0.90999997,1e-05,0.02,USD,False,False,us_market,0.0018,1630428134,0.0,0.0012,0.0018,0.0018,30901,PRE,HYPERBLOCK INC,PNK,-0.114,0,0.028,0.005775,-0.003975,-0.68831176,0.007364014,-0.0055640144,-0.75556815,441937,0.06428571,15,America/New_York,EDT,-14400000,4,0.94,,,0.02,0.0,0.0058,0.0074,42.72k,77.94k,245.52M,,191.08M,22.15%,0.69%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2018","Sep 29, 2019",-208.87%,-24.48%,,,14.37M,0.05,-6.40%,5.52M,-1.25M,-30.01M,-0.1140,,1.08M,0,12.26M,175.50,1.19,0.03,-15.19M,,Value,M5C 1X6,Financial Services,"HyperBlock Inc., a crypto-asset company, owns and operates cryptocurrency datacenters in North America. Its product offerings include cryptocurrency mining, Mining-as-a-Service, server hosting, and server hardware. The company is based in Toronto, Canada.",Toronto,800-613-4721,ON,Canada,http://www.hyperblock.co,86400,140 Yonge Street,Capital Markets,Suite 209
t-1,HYBOF,9048508.0,245520992,,,2086362,,2086362,1603165,2268929,29896,29896,22248,,,,,0,4168592,4138696,1899663,2056466,,2086362,2086362,18546537.0,9048508.0,,27595045.0,51368164.0,3677203.0,-42807064.0,,487408.0,,1449438.0,12220540.0,487408.0,14696771.0,9156599.0,3741675.0,2165711.0,,5169254.0,,-1459364.0,422535.0,1116734.0,4998541.0,-2633404.0,19193.0,-5401883.0,600331.0,1394.0,3881807.0,-3997202.0,-577465.0,,-3063941.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0018 - 0.0018,0.0018,finmb_548234128,Other OTC,HyperBlock Inc.,USD,42722,77940,0.00179,179.0,1.0E-5 - 0.02,-0.018199999,-0.90999997,1e-05,0.02,USD,False,False,us_market,0.0018,1630428134,0.0,0.0012,0.0018,0.0018,30901,PRE,HYPERBLOCK INC,PNK,-0.114,0,0.028,0.005775,-0.003975,-0.68831176,0.007364014,-0.0055640144,-0.75556815,441937,0.06428571,15,America/New_York,EDT,-14400000,4,0.94,,,0.02,0.0,0.0058,0.0074,42.72k,77.94k,245.52M,,191.08M,22.15%,0.69%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2018","Sep 29, 2019",-208.87%,-24.48%,,,14.37M,0.05,-6.40%,5.52M,-1.25M,-30.01M,-0.1140,,1.08M,0,12.26M,175.50,1.19,0.03,-15.19M,,Value,M5C 1X6,Financial Services,"HyperBlock Inc., a crypto-asset company, owns and operates cryptocurrency datacenters in North America. Its product offerings include cryptocurrency mining, Mining-as-a-Service, server hosting, and server hardware. The company is based in Toronto, Canada.",Toronto,800-613-4721,ON,Canada,http://www.hyperblock.co,86400,140 Yonge Street,Capital Markets,Suite 209
t-2,HYBOF,6948858.0,245520992,,,-1068975,,-1068975,1624510,1567500,-825991,-825991,20235,,,,,0,2807449,3633440,1239949,-242984,,-1068975,-1068975,20473344.0,6948858.0,286933.0,27422202.0,51368164.0,3337743.0,-44893426.0,493712.0,474120.0,,1430245.0,13396239.0,474120.0,15870655.0,7809872.0,3741675.0,2498165.0,,5751808.0,,-47863.0,-259982.0,-84602.0,2262364.0,1296883.0,757610.0,-1244772.0,726681.0,338738.0,2346966.0,-2490236.0,-259982.0,,-5586367.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0018 - 0.0018,0.0018,finmb_548234128,Other OTC,HyperBlock Inc.,USD,42722,77940,0.00179,179.0,1.0E-5 - 0.02,-0.018199999,-0.90999997,1e-05,0.02,USD,False,False,us_market,0.0018,1630428134,0.0,0.0012,0.0018,0.0018,30901,PRE,HYPERBLOCK INC,PNK,-0.114,0,0.028,0.005775,-0.003975,-0.68831176,0.007364014,-0.0055640144,-0.75556815,441937,0.06428571,15,America/New_York,EDT,-14400000,4,0.94,,,0.02,0.0,0.0058,0.0074,42.72k,77.94k,245.52M,,191.08M,22.15%,0.69%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2018","Sep 29, 2019",-208.87%,-24.48%,,,14.37M,0.05,-6.40%,5.52M,-1.25M,-30.01M,-0.1140,,1.08M,0,12.26M,175.50,1.19,0.03,-15.19M,,Value,M5C 1X6,Financial Services,"HyperBlock Inc., a crypto-asset company, owns and operates cryptocurrency datacenters in North America. Its product offerings include cryptocurrency mining, Mining-as-a-Service, server hosting, and server hardware. The company is based in Toronto, Canada.",Toronto,800-613-4721,ON,Canada,http://www.hyperblock.co,86400,140 Yonge Street,Capital Markets,Suite 209
t-3,HYBOF,11849244.0,245520992,,,-5847020,,-5847020,1992766,516190,-2433100,-2433100,85589,,,,,0,3960399,6393499,3444209,-3413920,,-5847020,-5847020,11568665.0,12741290.0,4306145.0,24309955.0,58085429.0,4167800.0,-45344139.0,127994.0,,4874101.0,782725.0,11440671.0,,12341575.0,7264838.0,3811496.0,1171171.0,,6398158.0,892046.0,6077086.0,-14466298.0,3307522.0,18402528.0,-1190557.0,-142512.0,-4078741.0,870935.0,-305671.0,2176281.0,-3683514.0,-6313273.0,12918725.0,-4175833.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0018 - 0.0018,0.0018,finmb_548234128,Other OTC,HyperBlock Inc.,USD,42722,77940,0.00179,179.0,1.0E-5 - 0.02,-0.018199999,-0.90999997,1e-05,0.02,USD,False,False,us_market,0.0018,1630428134,0.0,0.0012,0.0018,0.0018,30901,PRE,HYPERBLOCK INC,PNK,-0.114,0,0.028,0.005775,-0.003975,-0.68831176,0.007364014,-0.0055640144,-0.75556815,441937,0.06428571,15,America/New_York,EDT,-14400000,4,0.94,,,0.02,0.0,0.0058,0.0074,42.72k,77.94k,245.52M,,191.08M,22.15%,0.69%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2018","Sep 29, 2019",-208.87%,-24.48%,,,14.37M,0.05,-6.40%,5.52M,-1.25M,-30.01M,-0.1140,,1.08M,0,12.26M,175.50,1.19,0.03,-15.19M,,Value,M5C 1X6,Financial Services,"HyperBlock Inc., a crypto-asset company, owns and operates cryptocurrency datacenters in North America. Its product offerings include cryptocurrency mining, Mining-as-a-Service, server hosting, and server hardware. The company is based in Toronto, Canada.",Toronto,800-613-4721,ON,Canada,http://www.hyperblock.co,86400,140 Yonge Street,Capital Markets,Suite 209
