Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,marketState,shortName,market,exchangeDataDelayedBy,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry,address2
t0,EB,-30651000,74888496,15319000,,-84378000,,-84891000,24667000,14143000,-25843000,-25843000,,-7610000,,,,513000,27818000,53661000,13675000,-58535000,,-84891000,-84891000,39555000,862673000,684758000,183292000,31731000,868050000,1000,14780000,-679382000,14049000,174388000,8406000,593342000,307956000,21457000,624244000,7425000,352060000,256167000,63164000,-118000,69410000,47651000,-3933000,4680000,87702000,-2611000,40169000,3457000,-160000,-23828000,58448000,-93000,316288000,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,1620331200,1620331200,1620331200,-1.791,-0.54,-1.43,-12.139861,1.96,17.271389,0.0886116,0.005130543,20.191813,-2.831812,-0.14024556,1626967040,-32.148148,8.857143,15,America/New_York,EDT,-14400000,2,-1.809953,17.11 - 17.6,17.68,17.11,17.14,9,18,finmb_45534830,REGULAR,"Eventbrite, Inc.",us_market,0,NYQ,False,False,17.36,1630507059,-0.3199997,17.78,17.6,17.11,95278,NYSE,"Eventbrite, Inc.",USD,1093889,777016,8.35,0.9267481,9.01 - 26.52,-9.16,-0.34539968,9.01,26.52,3.1,,,26.52,9.01,17.27,20.19,1.09M,777.02k,74.89M,,73.33M,1.33%,95.57%,11.48M,7.66,15.43%,12.25%,11.88M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-192.51%,-102.46%,-7.00%,-68.42%,84.74M,0.93,-43.30%,43.68M,-72.74M,-163.13M,-1.79,,593.34M,6.33,366.09M,199.73,2.03,1.96,-69.46M,-36.12M,Value,94103,Technology,611,10,10,"Eventbrite, Inc. operates a self-service ticketing and experience technology platform that serves event creators in the United States and internationally. Its platform integrates components needed to plan, promote, and produce live events that allow creators to reduce friction and costs, increase reach, and drive ticket sales. The company was formerly known as Mollyguard Corporation and changed its name to Eventbrite, Inc. in 2009. Eventbrite, Inc. was incorporated in 2008 and is headquartered in San Francisco, California.",San Francisco,415 692 7779,CA,10,1609372800,1622505600,7,United States,http://www.eventbrite.com,86400,10,155 5th Street,Software—Application,7th Floor
t-1,EB,98851000,74888496,11793000,,-20618000,,-20231000,14958000,13658000,-13093000,-13093000,,-10665000,,,,-387000,26658000,39751000,13000000,-7525000,,-20231000,-20231000,42333000,913115000,480113000,315572000,36217000,795685000,1000,10807000,-597544000,15430000,174388000,16371000,505756000,246536000,25460000,537133000,10766000,206630000,193037000,-25880000,-8049000,-723000,164000,-2528000,5738000,-37498000,-4851000,-29613000,3564000,-516000,-23828000,11712000,-383000,290597000,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,1620331200,1620331200,1620331200,-1.791,-0.54,-1.43,-12.139861,1.96,17.271389,0.0886116,0.005130543,20.191813,-2.831812,-0.14024556,1626967040,-32.148148,8.857143,15,America/New_York,EDT,-14400000,2,-1.809953,17.11 - 17.6,17.68,17.11,17.14,9,18,finmb_45534830,REGULAR,"Eventbrite, Inc.",us_market,0,NYQ,False,False,17.36,1630507059,-0.3199997,17.78,17.6,17.11,95278,NYSE,"Eventbrite, Inc.",USD,1093889,777016,8.35,0.9267481,9.01 - 26.52,-9.16,-0.34539968,9.01,26.52,3.1,,,26.52,9.01,17.27,20.19,1.09M,777.02k,74.89M,,73.33M,1.33%,95.57%,11.48M,7.66,15.43%,12.25%,11.88M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-192.51%,-102.46%,-7.00%,-68.42%,84.74M,0.93,-43.30%,43.68M,-72.74M,-163.13M,-1.79,,593.34M,6.33,366.09M,199.73,2.03,1.96,-69.46M,-36.12M,Value,94103,Technology,611,10,10,"Eventbrite, Inc. operates a self-service ticketing and experience technology platform that serves event creators in the United States and internationally. Its platform integrates components needed to plan, promote, and produce live events that allow creators to reduce friction and costs, increase reach, and drive ticket sales. The company was formerly known as Mollyguard Corporation and changed its name to Eventbrite, Inc. in 2009. Eventbrite, Inc. was incorporated in 2008 and is headquartered in San Francisco, California.",San Francisco,415 692 7779,CA,10,1609372800,1622505600,7,United States,http://www.eventbrite.com,86400,10,155 5th Street,Software—Application,7th Floor
t-2,EB,109725000,74888496,11540000,,-19184000,,-19427000,10834000,10637000,-11737000,-11737000,,-10284000,,,,243000,21868000,33605000,11231000,-7447000,,-19427000,-19427000,41332000,898929000,523209000,321617000,51787000,844826000,1000,9616000,-577313000,14442000,170560000,22156000,543296000,293469000,31612000,579166000,14297000,201531000,219176000,12523000,-840000,-4172000,-1761000,-10906000,2624000,-3165000,-213000,-564000,3478000,-988000,-23828000,3179000,-86000,285697000,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,1620331200,1620331200,1620331200,-1.791,-0.54,-1.43,-12.139861,1.96,17.271389,0.0886116,0.005130543,20.191813,-2.831812,-0.14024556,1626967040,-32.148148,8.857143,15,America/New_York,EDT,-14400000,2,-1.809953,17.11 - 17.6,17.68,17.11,17.14,9,18,finmb_45534830,REGULAR,"Eventbrite, Inc.",us_market,0,NYQ,False,False,17.36,1630507059,-0.3199997,17.78,17.6,17.11,95278,NYSE,"Eventbrite, Inc.",USD,1093889,777016,8.35,0.9267481,9.01 - 26.52,-9.16,-0.34539968,9.01,26.52,3.1,,,26.52,9.01,17.27,20.19,1.09M,777.02k,74.89M,,73.33M,1.33%,95.57%,11.48M,7.66,15.43%,12.25%,11.88M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-192.51%,-102.46%,-7.00%,-68.42%,84.74M,0.93,-43.30%,43.68M,-72.74M,-163.13M,-1.79,,593.34M,6.33,366.09M,199.73,2.03,1.96,-69.46M,-36.12M,Value,94103,Technology,611,10,10,"Eventbrite, Inc. operates a self-service ticketing and experience technology platform that serves event creators in the United States and internationally. Its platform integrates components needed to plan, promote, and produce live events that allow creators to reduce friction and costs, increase reach, and drive ticket sales. The company was formerly known as Mollyguard Corporation and changed its name to Eventbrite, Inc. in 2009. Eventbrite, Inc. was incorporated in 2008 and is headquartered in San Francisco, California.",San Francisco,415 692 7779,CA,10,1609372800,1622505600,7,United States,http://www.eventbrite.com,86400,10,155 5th Street,Software—Application,7th Floor
t-3,EB,114511000,74888496,13247000,,-38585000,,-38584000,13299000,-600000,-27146000,-27146000,,-3625000,,,,-1000,8394000,35540000,8994000,-11439000,,-38584000,-38584000,43948000,886904000,526656000,329019000,67396000,855675000,1000,5659000,-557886000,14599000,170560000,30646000,546863000,302478000,33425000,577096000,12872000,196581000,207366000,-28291000,-826000,260538000,252407000,-21655000,7558000,173916000,-89000,-77665000,3578000,-931000,-15600000,3388000,-197000,274618000,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,1620331200,1620331200,1620331200,-1.791,-0.54,-1.43,-12.139861,1.96,17.271389,0.0886116,0.005130543,20.191813,-2.831812,-0.14024556,1626967040,-32.148148,8.857143,15,America/New_York,EDT,-14400000,2,-1.809953,17.11 - 17.6,17.68,17.11,17.14,9,18,finmb_45534830,REGULAR,"Eventbrite, Inc.",us_market,0,NYQ,False,False,17.36,1630507059,-0.3199997,17.78,17.6,17.11,95278,NYSE,"Eventbrite, Inc.",USD,1093889,777016,8.35,0.9267481,9.01 - 26.52,-9.16,-0.34539968,9.01,26.52,3.1,,,26.52,9.01,17.27,20.19,1.09M,777.02k,74.89M,,73.33M,1.33%,95.57%,11.48M,7.66,15.43%,12.25%,11.88M,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-192.51%,-102.46%,-7.00%,-68.42%,84.74M,0.93,-43.30%,43.68M,-72.74M,-163.13M,-1.79,,593.34M,6.33,366.09M,199.73,2.03,1.96,-69.46M,-36.12M,Value,94103,Technology,611,10,10,"Eventbrite, Inc. operates a self-service ticketing and experience technology platform that serves event creators in the United States and internationally. Its platform integrates components needed to plan, promote, and produce live events that allow creators to reduce friction and costs, increase reach, and drive ticket sales. The company was formerly known as Mollyguard Corporation and changed its name to Eventbrite, Inc. in 2009. Eventbrite, Inc. was incorporated in 2008 and is headquartered in San Francisco, California.",San Francisco,415 692 7779,CA,10,1609372800,1622505600,7,United States,http://www.eventbrite.com,86400,10,155 5th Street,Software—Application,7th Floor
