Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,changeToNetincome,capitalExpenditures,changeToInventory,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,epsForward,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,fax,industry,address2
t0,JAX,86701000.0,15090100,,,3162000,1558000,3390000,5153000,23613000,3410000,3410000,11722000,-153000,,,,367000,57375000,53965000,33762000,-248000,595000,2795000,3390000,25648000.0,106327000.0,127317000.0,112349000.0,173000.0,3026000.0,241224000.0,15000.0,6007000.0,10001000.0,11234000.0,15250000.0,30936000.0,4846000.0,7667000.0,174524000.0,29818000.0,8270000.0,6375000.0,2800000.0,4987000.0,,101000.0,-1505000.0,-417000.0,-417000.0,-2349000.0,2887000.0,4809000.0,2920000.0,-9000.0,486000.0,261000.0,-1496000.0,,,-1118000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,False,False,0,9.98,2.520202,3.96 - 13.98,-0.03999996,-0.0028612276,3.96,13.98,1621335540,1627934400,1628280000,-0.098,0.7,0.1436746,13.92 - 13.95,13.92,13.92,0.0,14,11,finmb_312601,NYSE,"J. Alexander's Holdings, Inc.",USD,162573,326585,7.445,13.834286,0.105713844,0.0076414384,11.431239,2.5087605,0.21946532,210355984,19.914286,1.8723975,15,America/New_York,EDT,-14400000,2,NYQ,PRE,us_market,"J. Alexander's Holdings, Inc.",13.94,1630526402,0.019999504,13.95,13.95,13.92,39449,1.55,,,13.98,3.96,13.83,11.43,162.57k,326.58k,15.09M,,11.78M,4.67%,53.98%,183.94k,0.57,1.45%,1.22%,96.53k,,,,,,0.00%,,,,,"Jan 02, 2021","Apr 03, 2021",-0.78%,-4.03%,-1.89%,-1.65%,183.78M,12.47,0.70%,59.71M,4.66M,-1.88M,-0.10,,15.25M,1.01,99.02M,86.93,0.96,7.45,9.04M,-5.69M,Value,37202,Consumer Cyclical,3200,5,6,"J. Alexander's Holdings, Inc., through its subsidiaries, owns and operates complementary upscale dining restaurants in the United States. It operates restaurants under various concepts, including J. Alexander's, Redlands Grill, Lyndhurst Grill, Overland Park Grill, Merus Grill, and Stoney River Steakhouse and Grill. The company's restaurants offer American menu. As of April 20, 2020, it operated 47 restaurants in 16 states. J. Alexander's Holdings, Inc. was founded in 1970 and is headquartered in Nashville, Tennessee.",Nashville,615 269 1900,TN,8,1609372800,1625097600,9,United States,http://www.jalexandersholdings.com,86400,8,3401 West End Avenue,615 469 1940,Restaurants,Suite 260 PO Box 24300
t-1,JAX,82899000.0,15090100,,,1257000,1558000,3921000,4312000,20683000,1569000,1569000,11824000,-236000,,,,-2707000,52569000,51000000,31886000,-312000,-43000,3964000,3921000,25648000.0,105915000.0,127014000.0,108547000.0,184000.0,6931000.0,237119000.0,15000.0,2617000.0,9875000.0,11006000.0,12363000.0,25425000.0,4627000.0,1667000.0,174703000.0,25762000.0,8756000.0,12746000.0,2538000.0,5147000.0,344000.0,601000.0,-1427000.0,-10972000.0,-10997000.0,2942000.0,-4821000.0,7603000.0,2950000.0,-127000.0,-7152000.0,3784000.0,-1300000.0,557000.0,-25000.0,337000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,False,False,0,9.98,2.520202,3.96 - 13.98,-0.03999996,-0.0028612276,3.96,13.98,1621335540,1627934400,1628280000,-0.098,0.7,0.1436746,13.92 - 13.95,13.92,13.92,0.0,14,11,finmb_312601,NYSE,"J. Alexander's Holdings, Inc.",USD,162573,326585,7.445,13.834286,0.105713844,0.0076414384,11.431239,2.5087605,0.21946532,210355984,19.914286,1.8723975,15,America/New_York,EDT,-14400000,2,NYQ,PRE,us_market,"J. Alexander's Holdings, Inc.",13.94,1630526402,0.019999504,13.95,13.95,13.92,39449,1.55,,,13.98,3.96,13.83,11.43,162.57k,326.58k,15.09M,,11.78M,4.67%,53.98%,183.94k,0.57,1.45%,1.22%,96.53k,,,,,,0.00%,,,,,"Jan 02, 2021","Apr 03, 2021",-0.78%,-4.03%,-1.89%,-1.65%,183.78M,12.47,0.70%,59.71M,4.66M,-1.88M,-0.10,,15.25M,1.01,99.02M,86.93,0.96,7.45,9.04M,-5.69M,Value,37202,Consumer Cyclical,3200,5,6,"J. Alexander's Holdings, Inc., through its subsidiaries, owns and operates complementary upscale dining restaurants in the United States. It operates restaurants under various concepts, including J. Alexander's, Redlands Grill, Lyndhurst Grill, Overland Park Grill, Merus Grill, and Stoney River Steakhouse and Grill. The company's restaurants offer American menu. As of April 20, 2020, it operated 47 restaurants in 16 states. J. Alexander's Holdings, Inc. was founded in 1970 and is headquartered in Nashville, Tennessee.",Nashville,615 269 1900,TN,8,1609372800,1625097600,9,United States,http://www.jalexandersholdings.com,86400,8,3401 West End Avenue,615 469 1940,Restaurants,Suite 260 PO Box 24300
t-2,JAX,78488000.0,15090100,,,-1643000,1558000,-1760000,3811000,16387000,-1199000,-1199000,10666000,-283000,,,,64000,46230000,47429000,29843000,-444000,-53000,-1707000,-1760000,25648000.0,105425000.0,133744000.0,104136000.0,198000.0,2760000.0,239438000.0,15000.0,-1304000.0,9508000.0,14008000.0,17184000.0,30948000.0,7808000.0,12222000.0,177150000.0,22632000.0,1604000.0,13092000.0,2638000.0,3807000.0,,-2994000.0,-2036000.0,-10972000.0,-320000.0,2873000.0,-131000.0,2225000.0,3084000.0,-54000.0,900000.0,122000.0,-3052000.0,557000.0,-320000.0,-8316000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,False,False,0,9.98,2.520202,3.96 - 13.98,-0.03999996,-0.0028612276,3.96,13.98,1621335540,1627934400,1628280000,-0.098,0.7,0.1436746,13.92 - 13.95,13.92,13.92,0.0,14,11,finmb_312601,NYSE,"J. Alexander's Holdings, Inc.",USD,162573,326585,7.445,13.834286,0.105713844,0.0076414384,11.431239,2.5087605,0.21946532,210355984,19.914286,1.8723975,15,America/New_York,EDT,-14400000,2,NYQ,PRE,us_market,"J. Alexander's Holdings, Inc.",13.94,1630526402,0.019999504,13.95,13.95,13.92,39449,1.55,,,13.98,3.96,13.83,11.43,162.57k,326.58k,15.09M,,11.78M,4.67%,53.98%,183.94k,0.57,1.45%,1.22%,96.53k,,,,,,0.00%,,,,,"Jan 02, 2021","Apr 03, 2021",-0.78%,-4.03%,-1.89%,-1.65%,183.78M,12.47,0.70%,59.71M,4.66M,-1.88M,-0.10,,15.25M,1.01,99.02M,86.93,0.96,7.45,9.04M,-5.69M,Value,37202,Consumer Cyclical,3200,5,6,"J. Alexander's Holdings, Inc., through its subsidiaries, owns and operates complementary upscale dining restaurants in the United States. It operates restaurants under various concepts, including J. Alexander's, Redlands Grill, Lyndhurst Grill, Overland Park Grill, Merus Grill, and Stoney River Steakhouse and Grill. The company's restaurants offer American menu. As of April 20, 2020, it operated 47 restaurants in 16 states. J. Alexander's Holdings, Inc. was founded in 1970 and is headquartered in Nashville, Tennessee.",Nashville,615 269 1900,TN,8,1609372800,1625097600,9,United States,http://www.jalexandersholdings.com,86400,8,3401 West End Avenue,615 469 1940,Restaurants,Suite 260 PO Box 24300
t-3,JAX,79787000.0,15090100,,,-11352000,1558000,-6988000,4095000,4577000,-11186000,-11186000,8536000,-189000,,,,-4419000,27602000,38788000,23025000,-166000,-55000,-6933000,-6988000,25648000.0,104964000.0,136415000.0,105435000.0,211000.0,2964000.0,243408000.0,15000.0,456000.0,8172000.0,13309000.0,17315000.0,27906000.0,7157000.0,5250000.0,177860000.0,26591000.0,2504000.0,20233000.0,2895000.0,7171000.0,,2759000.0,-1701000.0,-10972000.0,-208000.0,-1078000.0,-7503000.0,-5594000.0,3110000.0,-87000.0,-974000.0,-2423000.0,-1614000.0,557000.0,-208000.0,-1315000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,False,False,0,9.98,2.520202,3.96 - 13.98,-0.03999996,-0.0028612276,3.96,13.98,1621335540,1627934400,1628280000,-0.098,0.7,0.1436746,13.92 - 13.95,13.92,13.92,0.0,14,11,finmb_312601,NYSE,"J. Alexander's Holdings, Inc.",USD,162573,326585,7.445,13.834286,0.105713844,0.0076414384,11.431239,2.5087605,0.21946532,210355984,19.914286,1.8723975,15,America/New_York,EDT,-14400000,2,NYQ,PRE,us_market,"J. Alexander's Holdings, Inc.",13.94,1630526402,0.019999504,13.95,13.95,13.92,39449,1.55,,,13.98,3.96,13.83,11.43,162.57k,326.58k,15.09M,,11.78M,4.67%,53.98%,183.94k,0.57,1.45%,1.22%,96.53k,,,,,,0.00%,,,,,"Jan 02, 2021","Apr 03, 2021",-0.78%,-4.03%,-1.89%,-1.65%,183.78M,12.47,0.70%,59.71M,4.66M,-1.88M,-0.10,,15.25M,1.01,99.02M,86.93,0.96,7.45,9.04M,-5.69M,Value,37202,Consumer Cyclical,3200,5,6,"J. Alexander's Holdings, Inc., through its subsidiaries, owns and operates complementary upscale dining restaurants in the United States. It operates restaurants under various concepts, including J. Alexander's, Redlands Grill, Lyndhurst Grill, Overland Park Grill, Merus Grill, and Stoney River Steakhouse and Grill. The company's restaurants offer American menu. As of April 20, 2020, it operated 47 restaurants in 16 states. J. Alexander's Holdings, Inc. was founded in 1970 and is headquartered in Nashville, Tennessee.",Nashville,615 269 1900,TN,8,1609372800,1625097600,9,United States,http://www.jalexandersholdings.com,86400,8,3401 West End Avenue,615 469 1940,Restaurants,Suite 260 PO Box 24300
