Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,HDVW,256741.0,10204000,,,-176707,13948,-166149,155385,-16623,-177315,-177315,,,,,,-9769,132981,310296,149604,608,,-166938,-166149,81296.0,785374.0,140531.0,338037.0,3446.0,492516.0,10204.0,-457541.0,95911.0,140531.0,152954.0,258266.0,153217.0,137085.0,46666,-161131,304999,1353,304999,38137,-105731,1862,17897,4234,-111131,117735.0,en-US,US,EQUITY,False,Delayed Quote,USD,HD VIEW 360 INC,-0.98842096,2040,0.006060606,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0002,1627997677,0.0002,0.0002,0.0002,0.0002,10,PNK,us_market,0.0,2.0E-4 - 2.0E-4,0.0,0.0,0.0,0,0,finmb_320640536,Other OTC,"HD View 360, Inc.",USD,334,2314,0.0001,1.0,1.0E-4 - 0.2,-0.1998,-0.999,0.0001,0.2,-0.046,0.033,0.003909091,-0.003709091,-0.9488372,0.017272593,-0.017072594,154.53,,,0.2,0.0001,0.0039,0.0173,334,2.31k,10.2M,,1.06M,89.64%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2016","Sep 29, 2017",-67.90%,-75.97%,-79.41%,-150.69%,646.12k,0.07,-41.30%,208.15k,-481.97k,-438.71k,-0.0460,,95.91k,0.01,,,1.84,0.03,-370k,-531.03k,Value,33131,,5,"HD View 360, Inc. provides security surveillance products and systems to commercial users under the HD View 360 brand name in the United States. Its products include IP network video recorders, analog digital video recorders, HDCVI video recorders, HDCVI cameras, HDCVI pan tilt cameras, IP cameras, IP pan tilt zoom cameras, video IP intercoms, analog cameras, connectors, cables, secure lock boxes, HDMI video products, and IP networking products, as well as tools, testers, and power supplies. The company also provides various services, such as networking, IT solutions, structured cabling, mobile app and mobile device integration, and closed-circuit television installation and upgrades. HD View 360, Inc. was founded in 2014 and is based in Miami, Florida.",Miami,786-294-0559,FL,1483142400,United States,http://hdview360.com,86400,150 South East 2nd avenue,,Suite 404
t-1,HDVW,79484.0,10204000,,,-112906,13159,-112132,114163,2781,-113244,-113244,,,,,,0,119888,233132,117107,338,,-112906,-112132,31296.0,381038.0,95013.0,110780.0,4594.0,218952.0,9541.0,-279799.0,57774.0,95013.0,43685.0,143971.0,74559.0,90419.0,26985,-20796,304999,-3158,304999,-117372,-96576,1862,-17196,-374,-4500,48958.0,en-US,US,EQUITY,False,Delayed Quote,USD,HD VIEW 360 INC,-0.98842096,2040,0.006060606,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0002,1627997677,0.0002,0.0002,0.0002,0.0002,10,PNK,us_market,0.0,2.0E-4 - 2.0E-4,0.0,0.0,0.0,0,0,finmb_320640536,Other OTC,"HD View 360, Inc.",USD,334,2314,0.0001,1.0,1.0E-4 - 0.2,-0.1998,-0.999,0.0001,0.2,-0.046,0.033,0.003909091,-0.003709091,-0.9488372,0.017272593,-0.017072594,154.53,,,0.2,0.0001,0.0039,0.0173,334,2.31k,10.2M,,1.06M,89.64%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2016","Sep 29, 2017",-67.90%,-75.97%,-79.41%,-150.69%,646.12k,0.07,-41.30%,208.15k,-481.97k,-438.71k,-0.0460,,95.91k,0.01,,,1.84,0.03,-370k,-531.03k,Value,33131,,5,"HD View 360, Inc. provides security surveillance products and systems to commercial users under the HD View 360 brand name in the United States. Its products include IP network video recorders, analog digital video recorders, HDCVI video recorders, HDCVI cameras, HDCVI pan tilt cameras, IP cameras, IP pan tilt zoom cameras, video IP intercoms, analog cameras, connectors, cables, secure lock boxes, HDMI video products, and IP networking products, as well as tools, testers, and power supplies. The company also provides various services, such as networking, IT solutions, structured cabling, mobile app and mobile device integration, and closed-circuit television installation and upgrades. HD View 360, Inc. was founded in 2014 and is based in Miami, Florida.",Miami,786-294-0559,FL,1483142400,United States,http://hdview360.com,86400,150 South East 2nd avenue,,Suite 404
t-2,HDVW,200475.0,10204000,,,-89142,12385,-79385,127135,39205,-89792,-89792,,,,,,-10016,180273,270065,141068,650,,-79126,-79385,15000.0,381038.0,71474.0,215475.0,5743.0,299334.0,9541.0,-175104.0,175146.0,71474.0,41047.0,243287.0,57363.0,65731.0,8510,-15000,6000,1500,6000,-83632,-74632,1862,1490,1407,-4500,171813.0,en-US,US,EQUITY,False,Delayed Quote,USD,HD VIEW 360 INC,-0.98842096,2040,0.006060606,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0002,1627997677,0.0002,0.0002,0.0002,0.0002,10,PNK,us_market,0.0,2.0E-4 - 2.0E-4,0.0,0.0,0.0,0,0,finmb_320640536,Other OTC,"HD View 360, Inc.",USD,334,2314,0.0001,1.0,1.0E-4 - 0.2,-0.1998,-0.999,0.0001,0.2,-0.046,0.033,0.003909091,-0.003709091,-0.9488372,0.017272593,-0.017072594,154.53,,,0.2,0.0001,0.0039,0.0173,334,2.31k,10.2M,,1.06M,89.64%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2016","Sep 29, 2017",-67.90%,-75.97%,-79.41%,-150.69%,646.12k,0.07,-41.30%,208.15k,-481.97k,-438.71k,-0.0460,,95.91k,0.01,,,1.84,0.03,-370k,-531.03k,Value,33131,,5,"HD View 360, Inc. provides security surveillance products and systems to commercial users under the HD View 360 brand name in the United States. Its products include IP network video recorders, analog digital video recorders, HDCVI video recorders, HDCVI cameras, HDCVI pan tilt cameras, IP cameras, IP pan tilt zoom cameras, video IP intercoms, analog cameras, connectors, cables, secure lock boxes, HDMI video products, and IP networking products, as well as tools, testers, and power supplies. The company also provides various services, such as networking, IT solutions, structured cabling, mobile app and mobile device integration, and closed-circuit television installation and upgrades. HD View 360, Inc. was founded in 2014 and is based in Miami, Florida.",Miami,786-294-0559,FL,1483142400,United States,http://hdview360.com,86400,150 South East 2nd avenue,,Suite 404
t-3,HDVW,288861.0,10204000,,,-107846,12126,-76883,106978,-8959,-119488,-119488,,-253.0,,,,-30924,203989,323477,212948,11642,,-76922,-76883,,375046.0,61815.0,288861.0,6891.0,362802.0,9533.0,-95718.0,258778.0,61815.0,42909.0,319893.0,48837.0,54924.0,28793,-2886,149752,-1387,149752,53806,-93060,3301,-6532,1953,-2886,258078.0,en-US,US,EQUITY,False,Delayed Quote,USD,HD VIEW 360 INC,-0.98842096,2040,0.006060606,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0002,1627997677,0.0002,0.0002,0.0002,0.0002,10,PNK,us_market,0.0,2.0E-4 - 2.0E-4,0.0,0.0,0.0,0,0,finmb_320640536,Other OTC,"HD View 360, Inc.",USD,334,2314,0.0001,1.0,1.0E-4 - 0.2,-0.1998,-0.999,0.0001,0.2,-0.046,0.033,0.003909091,-0.003709091,-0.9488372,0.017272593,-0.017072594,154.53,,,0.2,0.0001,0.0039,0.0173,334,2.31k,10.2M,,1.06M,89.64%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2016","Sep 29, 2017",-67.90%,-75.97%,-79.41%,-150.69%,646.12k,0.07,-41.30%,208.15k,-481.97k,-438.71k,-0.0460,,95.91k,0.01,,,1.84,0.03,-370k,-531.03k,Value,33131,,5,"HD View 360, Inc. provides security surveillance products and systems to commercial users under the HD View 360 brand name in the United States. Its products include IP network video recorders, analog digital video recorders, HDCVI video recorders, HDCVI cameras, HDCVI pan tilt cameras, IP cameras, IP pan tilt zoom cameras, video IP intercoms, analog cameras, connectors, cables, secure lock boxes, HDMI video products, and IP networking products, as well as tools, testers, and power supplies. The company also provides various services, such as networking, IT solutions, structured cabling, mobile app and mobile device integration, and closed-circuit television installation and upgrades. HD View 360, Inc. was founded in 2014 and is based in Miami, Florida.",Miami,786-294-0559,FL,1483142400,United States,http://hdview360.com,86400,150 South East 2nd avenue,,Suite 404
