Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,epsForward,exchangeDataDelayedBy,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,DENN,-187199000.0,64144800,,,-2032000,,-828000,18913000,45534000,18172000,18172000,4552000,-21273000,,,,-1204000,106165000,87993000,60631000,-20204000,,-828000,-828000,50892000.0,129176000.0,517770000.0,-99423000.0,1727000.0,19805000.0,418347000.0,642000.0,1621000.0,-172161000.0,57934000.0,36884000.0,-57080000.0,54988000.0,10882000.0,87612000.0,19854000.0,-57080000.0,227156000.0,48427000.0,2069000.0,20407000.0,226000000.0,1280000.0,14376000.0,,3800000.0,-1187000.0,-35507000.0,-35575000.0,6313000.0,-3626000.0,-68000.0,33136000.0,3897000.0,74000.0,-111000.0,404000.0,18503000.0,-1525000.0,,,,-39185000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,0.51,32.39216,-1.591,15.33,1.1900005,0.0776256,16.992392,-0.47239113,-0.027800156,1059672128,22.944445,-10.383408,15,America/New_York,EDT,-14400000,False,False,16.52,1630504217,-0.020000458,16.57,16.59,16.42,15343,REGULAR,NCM,2,-0.120921746,16.42 - 16.59,16.54,16.46,16.51,12,14,finmb_28565,NasdaqCM,Denny's Corporation,USD,528989,572000,7.9800005,0.9344263,8.54 - 20.02,-3.5,-0.17482518,8.54,20.02,1620144302,1635159540,1635508800,118.0,0.14,0.72,0,Denny's Corporation,1.78,,,20.02,8.54,15.33,16.99,528.99k,572k,64.14M,,61.98M,3.11%,86.16%,2.55M,4.28,5.28%,3.97%,2.35M,,,,,,0.00%,,,,,"Dec 29, 2020","Jun 29, 2021",9.21%,7.35%,3.51%,,338.49M,5.17,164.30%,100.41M,40.4M,31.19M,0.14,,12.95M,0.2,390.21M,,0.55,-1.59,48.19M,57.93M,Value,29319-9966,Consumer Cyclical,3100,7,5,"Denny's Corporation, through its subsidiary, Denny's, Inc., owns and operates full-service restaurant chains under the Denny's brand. As of June 24, 2021, it had 1,649 franchised, licensed, and company restaurants worldwide. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",Spartanburg,864 597 8000,SC,1,1609372800,1625097600,1,United States,http://www.dennys.com,86400,2,203 East Main Street,Restaurants
t-1,DENN,-190182000.0,64144800,,,31285000,,23181000,17914000,32198000,6046000,6046000,4577000,25615000,,,,8104000,80576000,74530000,48378000,25239000,,23181000,23181000,51226000.0,125950000.0,524997000.0,-102072000.0,2071000.0,19437000.0,422925000.0,641000.0,1620000.0,-171333000.0,58411000.0,36884000.0,-57330000.0,52713000.0,14508000.0,75819000.0,18052000.0,-57330000.0,228368000.0,53734000.0,2064000.0,20821000.0,244600000.0,1169000.0,10632000.0,,1820000.0,180000.0,1402000.0,201000.0,2831000.0,10616000.0,-1309000.0,10235000.0,3661000.0,215000.0,13000.0,353000.0,-21588000.0,-1583000.0,200000.0,116000.0,-8000.0,-22085000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,0.51,32.39216,-1.591,15.33,1.1900005,0.0776256,16.992392,-0.47239113,-0.027800156,1059672128,22.944445,-10.383408,15,America/New_York,EDT,-14400000,False,False,16.52,1630504217,-0.020000458,16.57,16.59,16.42,15343,REGULAR,NCM,2,-0.120921746,16.42 - 16.59,16.54,16.46,16.51,12,14,finmb_28565,NasdaqCM,Denny's Corporation,USD,528989,572000,7.9800005,0.9344263,8.54 - 20.02,-3.5,-0.17482518,8.54,20.02,1620144302,1635159540,1635508800,118.0,0.14,0.72,0,Denny's Corporation,1.78,,,20.02,8.54,15.33,16.99,528.99k,572k,64.14M,,61.98M,3.11%,86.16%,2.55M,4.28,5.28%,3.97%,2.35M,,,,,,0.00%,,,,,"Dec 29, 2020","Jun 29, 2021",9.21%,7.35%,3.51%,,338.49M,5.17,164.30%,100.41M,40.4M,31.19M,0.14,,12.95M,0.2,390.21M,,0.55,-1.59,48.19M,57.93M,Value,29319-9966,Consumer Cyclical,3100,7,5,"Denny's Corporation, through its subsidiary, Denny's, Inc., owns and operates full-service restaurant chains under the Denny's brand. As of June 24, 2021, it had 1,649 franchised, licensed, and company restaurants worldwide. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",Spartanburg,864 597 8000,SC,1,1609372800,1625097600,1,United States,http://www.dennys.com,86400,2,203 East Main Street,Restaurants
t-2,DENN,-218889000.0,64144800,,,2297000,,2359000,19380000,28663000,-3191000,-3191000,8565000,25615000,,,,-62000,80105000,83296000,51442000,5488000,,2359000,2359000,51559000.0,123833000.0,561395000.0,-130446000.0,2414000.0,20101000.0,430949000.0,640000.0,1125000.0,-194514000.0,47053000.0,36884000.0,-60405000.0,58322000.0,3892000.0,77178000.0,23210000.0,-60405000.0,235518000.0,48666000.0,2272000.0,21349000.0,286100000.0,1181000.0,12021000.0,300000.0,-2142000.0,3376000.0,-17331000.0,-19174000.0,4322000.0,-7325000.0,-1282000.0,8473000.0,3909000.0,215000.0,-164000.0,-1087000.0,2736000.0,-1486000.0,200000.0,215000.0,-776000.0,-28512000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,0.51,32.39216,-1.591,15.33,1.1900005,0.0776256,16.992392,-0.47239113,-0.027800156,1059672128,22.944445,-10.383408,15,America/New_York,EDT,-14400000,False,False,16.52,1630504217,-0.020000458,16.57,16.59,16.42,15343,REGULAR,NCM,2,-0.120921746,16.42 - 16.59,16.54,16.46,16.51,12,14,finmb_28565,NasdaqCM,Denny's Corporation,USD,528989,572000,7.9800005,0.9344263,8.54 - 20.02,-3.5,-0.17482518,8.54,20.02,1620144302,1635159540,1635508800,118.0,0.14,0.72,0,Denny's Corporation,1.78,,,20.02,8.54,15.33,16.99,528.99k,572k,64.14M,,61.98M,3.11%,86.16%,2.55M,4.28,5.28%,3.97%,2.35M,,,,,,0.00%,,,,,"Dec 29, 2020","Jun 29, 2021",9.21%,7.35%,3.51%,,338.49M,5.17,164.30%,100.41M,40.4M,31.19M,0.14,,12.95M,0.2,390.21M,,0.55,-1.59,48.19M,57.93M,Value,29319-9966,Consumer Cyclical,3100,7,5,"Denny's Corporation, through its subsidiary, Denny's, Inc., owns and operates full-service restaurant chains under the Denny's brand. As of June 24, 2021, it had 1,649 franchised, licensed, and company restaurants worldwide. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",Spartanburg,864 597 8000,SC,1,1609372800,1625097600,1,United States,http://www.dennys.com,86400,2,203 East Main Street,Restaurants
t-3,DENN,-227355000.0,64144800,,,7295000,,6477000,14739000,25091000,2959000,2959000,3345000,3367000,,,,818000,71644000,68685000,46553000,4336000,,6477000,6477000,52100000.0,672502000.0,589168000.0,-138371000.0,2119000.0,21394000.0,450797000.0,1178000.0,3206000.0,-196873000.0,62993000.0,36884000.0,-615178000.0,59580000.0,11217000.0,72460000.0,27047000.0,-61205000.0,245052000.0,57181000.0,2266000.0,20637000.0,297800000.0,1017000.0,10898000.0,,-8003000.0,1609000.0,-77521000.0,-7817000.0,-1421000.0,-9860000.0,-13000.0,-3652000.0,4048000.0,281000.0,90000.0,-1877000.0,-4900000.0,-1000000.0,200000.0,69717000.0,-776000.0,-15279000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,0.51,32.39216,-1.591,15.33,1.1900005,0.0776256,16.992392,-0.47239113,-0.027800156,1059672128,22.944445,-10.383408,15,America/New_York,EDT,-14400000,False,False,16.52,1630504217,-0.020000458,16.57,16.59,16.42,15343,REGULAR,NCM,2,-0.120921746,16.42 - 16.59,16.54,16.46,16.51,12,14,finmb_28565,NasdaqCM,Denny's Corporation,USD,528989,572000,7.9800005,0.9344263,8.54 - 20.02,-3.5,-0.17482518,8.54,20.02,1620144302,1635159540,1635508800,118.0,0.14,0.72,0,Denny's Corporation,1.78,,,20.02,8.54,15.33,16.99,528.99k,572k,64.14M,,61.98M,3.11%,86.16%,2.55M,4.28,5.28%,3.97%,2.35M,,,,,,0.00%,,,,,"Dec 29, 2020","Jun 29, 2021",9.21%,7.35%,3.51%,,338.49M,5.17,164.30%,100.41M,40.4M,31.19M,0.14,,12.95M,0.2,390.21M,,0.55,-1.59,48.19M,57.93M,Value,29319-9966,Consumer Cyclical,3100,7,5,"Denny's Corporation, through its subsidiary, Denny's, Inc., owns and operates full-service restaurant chains under the Denny's brand. As of June 24, 2021, it had 1,649 franchised, licensed, and company restaurants worldwide. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",Spartanburg,864 597 8000,SC,1,1609372800,1625097600,1,United States,http://www.dennys.com,86400,2,203 East Main Street,Restaurants
